overall	high_tfx	low_tfx
0.83916	0.88529	0.63333
0.74247	0.79779	0.60317
0.89333	0.94048	0.60714
0.88462	0.87937	1.00000
0.90625	0.93277	0.73469
0.86869	0.94048	0.71667
0.92769	0.94444	0.75556
0.89660	0.92717	0.76190
0.88820	0.89076	0.80952
0.84550	0.90000	0.60714
0.85692	0.87970	0.66667
0.92720	0.93750	0.87500
0.88342	0.92157	0.55000
0.84615	0.86257	0.78571
0.83598	0.94386	0.57407
0.86508	0.86905	0.85714
0.84512	0.86508	0.62500
0.87302	0.94118	0.59375
0.77760	0.86471	0.42500
0.88582	0.93985	0.72727
0.82381	0.90079	0.64198
0.81548	0.80556	0.74074
0.90759	0.94398	0.83333
0.96140	0.95833	0.81818
0.77273	0.78571	0.75000
0.90596	0.91842	0.88889
0.84688	0.86296	0.75000
0.85490	0.93304	0.65000
0.83036	0.82870	0.87500
0.85786	0.92500	0.53333
0.80082	0.89474	0.35714
0.85417	0.92014	0.61667
0.88939	0.93750	0.68519
0.87656	0.92935	0.66667
0.86261	0.93981	0.64935
0.95175	0.95408	0.92000
0.87710	0.92917	0.72222
0.82931	0.87307	0.66667
0.86406	0.92778	0.57500
0.83851	0.92570	0.59091
0.89185	0.96753	0.54545
0.91515	0.96838	0.65000
0.93791	1.00000	0.57143
0.90827	0.93125	0.85227
0.82853	0.84000	0.80952
0.86207	0.89474	0.72000
0.83072	0.87813	0.61111
0.80070	0.85000	0.59091
0.84211	0.86154	0.76190
0.93103	0.95666	0.90000
0.95429	0.98039	0.78571
0.81410	0.85069	0.64062
0.82087	0.89869	0.50000
0.86619	0.91775	0.62963
0.86000	0.94183	0.57407
0.73077	0.78750	0.70000
0.82069	0.85714	0.72500
0.89300	0.92667	0.80952
0.91296	0.92708	0.79167
0.85093	0.90509	0.67273
0.87440	0.92059	0.73810
0.88571	0.96491	0.52778
0.85044	0.87719	0.76667
0.86925	0.88360	0.85417
0.89819	0.89444	0.93333
0.90995	0.94737	0.63636
0.92695	0.92328	0.96429
0.95280	0.97076	0.78571
0.85500	0.87778	0.76667
0.85379	0.91667	0.64000
0.93273	0.97059	0.78182
0.91319	0.99160	0.62857
0.84524	0.89975	0.59259
0.84615	0.85598	0.66667
0.83653	0.83902	0.84000
0.89247	0.92857	0.75000
0.91833	0.95518	0.62500
0.85648	0.85294	0.94286
0.82328	0.88125	0.53846
0.84310	0.83806	0.87500
0.84000	0.85673	0.78571
0.91410	0.93290	0.77500
0.91871	0.94737	0.71875
0.77395	0.83611	0.64935
0.84762	0.91373	0.64583
0.83333	0.84910	0.80556
0.87758	0.90756	0.75000
0.91693	0.95278	0.72222
0.90110	0.93706	0.75000
0.82792	0.89474	0.55556
0.89003	0.91538	0.71875
0.82298	0.92667	0.46154
0.92436	0.97628	0.53571
0.88906	0.93681	0.40741
0.82821	0.87778	0.65000
0.89712	0.95714	0.71429
0.84914	0.89161	0.57143
0.98872	1.00000	1.00000
0.92057	0.93981	0.87500
0.90580	0.89722	1.00000
0.80423	0.82000	0.73810
0.86536	0.90179	0.69841
0.86727	0.91447	0.66667
0.91379	0.91991	0.93333
0.83974	0.94203	0.44444
0.90519	0.96919	0.58333
0.91795	0.93565	0.57143
0.82714	0.83889	0.72727
0.85556	0.93651	0.51852
0.89808	0.97895	0.60000
0.89752	0.97059	0.63333
0.90281	0.94242	0.73958
0.94983	0.99667	0.70833
0.95455	0.99346	0.83077
0.92969	0.95109	0.83333
0.82175	0.85714	0.71429
0.86957	0.92434	0.81250
0.83548	0.87059	0.66667
0.89130	0.92760	0.78571
0.84911	0.86967	0.68750
0.89601	0.96364	0.63636
0.84788	0.86739	0.77143
0.82963	0.88624	0.41667
0.83000	0.86349	0.52778
0.80749	0.82086	0.80000
0.91856	0.94152	0.72222
0.91600	0.91905	0.97500
0.92270	0.95072	0.61111
0.86944	0.92727	0.69444
0.82321	0.85434	0.61905
0.87200	0.87374	0.78571
0.88218	0.93541	0.62857
0.91714	0.97230	0.77778
0.84354	0.93333	0.50000
0.85500	0.91118	0.68750
0.87344	0.89234	0.30000
0.82667	0.84429	0.75000
0.86453	0.92286	0.50000
0.86207	0.87500	0.69048
0.85913	0.88889	0.67500
0.84105	0.90625	0.73864
0.88906	0.95666	0.72917
0.82341	0.86296	0.53333
0.89966	0.97500	0.70833
0.89818	0.87941	1.00000
0.87191	0.93651	0.70000
0.81061	0.91481	0.57143
0.91575	0.93939	0.75000
0.83871	0.88235	0.61111
0.86538	0.92949	0.71429
0.87366	0.92308	0.67677
0.84603	0.90741	0.63889
0.85909	0.92017	0.68269
0.88308	0.93651	0.59375
0.83824	0.93506	0.33333
0.97379	0.99744	0.75000
0.82308	0.86765	0.53333
0.93143	0.94737	0.87500
0.89886	0.93254	0.66667
0.83333	0.88571	0.76000
0.82167	0.89583	0.66667
0.88963	0.92157	0.79167
0.85185	0.85714	0.78571
0.90364	0.92157	0.80000
0.80632	0.90278	0.46154
0.88000	0.95439	0.54000
0.88715	0.97059	0.63889
0.89031	0.94022	0.77500
0.79673	0.83193	0.71667
0.86420	0.94183	0.55000
0.88462	0.91610	0.73333
0.87101	0.93352	0.54545
0.77509	0.85953	0.52273
0.96250	0.98958	0.75000
0.83025	0.87778	0.61111
0.83333	0.88562	0.56250
0.92535	0.94444	0.76667
0.86801	0.86842	0.93750
0.86968	0.92284	0.71429
0.88174	0.87963	0.88571
0.88536	0.90132	0.75000
0.84000	0.86667	0.86667
0.92929	0.92059	1.00000
0.81077	0.89000	0.43333
0.82555	0.85000	0.66667
0.85238	0.85531	0.89286
0.87083	0.94949	0.70370
0.88793	0.90212	0.83333
0.80827	0.86842	0.69841
0.87455	0.95000	0.76667
0.90000	0.97193	0.56364
0.86357	0.88889	0.66667
0.94213	0.96458	0.80556
0.87542	0.88438	0.80952
0.88286	0.92133	0.71429
0.84615	0.91786	0.63333
0.88735	0.93043	0.72222
0.89171	0.92798	0.60714
0.87018	0.94755	0.32143
0.87742	0.92929	0.68254
0.88714	0.92560	0.80357
0.91439	0.93734	0.77143
0.87298	0.88393	0.92857
0.85607	0.89975	0.50000
0.82857	0.88360	0.57500
0.86548	0.90859	0.75758
0.83482	0.92157	0.64286
0.83718	0.85880	0.60000
0.84000	0.88857	0.71429
0.83442	0.84912	0.61538
0.85053	0.89474	0.64062
0.85733	0.95072	0.58571
0.88654	0.89164	0.71429
0.90177	0.90657	0.80000
0.90030	0.91250	0.81250
0.93077	0.96131	0.68182
0.88401	0.92690	0.57500
0.85755	0.90000	0.77778
0.95370	0.98997	0.62500
0.89224	0.93889	0.75926
0.83289	0.89356	0.59722
0.80998	0.82707	0.68056
0.89907	0.91148	0.83333
0.83467	0.84250	0.73333
0.89259	0.88889	0.89583
0.82930	0.93421	0.47917
0.92262	0.99211	0.44444
0.83766	0.82353	0.84444
0.90455	0.91818	0.87500
0.92308	0.96904	0.61111
0.81913	0.89020	0.56667
0.81731	0.85197	0.67857
0.81687	0.88688	0.66000
0.91026	0.95000	0.79630
0.84375	0.89062	0.56250
0.82364	0.83036	0.79167
0.82571	0.86997	0.74242
0.96667	0.97222	0.91667
0.79464	0.86842	0.50000
0.85167	0.95238	0.56000
0.94862	0.97544	0.78571
0.90333	0.92424	0.85000
0.89167	0.94444	0.65306
0.82891	0.86053	0.55556
0.80816	0.89712	0.61458
0.76061	0.82692	0.63736
0.91910	0.92572	0.73333
0.79830	0.87926	0.63077
0.80556	0.81863	0.80952
0.84483	0.87143	0.59259
0.88889	0.90756	0.81250
0.87205	0.94118	0.51111
0.90737	0.92545	0.80000
0.88103	0.86513	0.92500
0.87654	0.89931	0.77778
0.88723	0.92059	0.84722
0.86364	0.91923	0.59259
0.86667	0.95467	0.52727
0.90476	0.97959	0.69048
0.87158	0.92839	0.75000
0.75469	0.84091	0.45000
0.87831	0.90909	0.68000
0.80901	0.85758	0.60417
0.90134	0.96078	0.62222
0.88875	0.94866	0.58333
0.86180	0.91156	0.76190
0.88988	0.92667	0.76389
0.76346	0.78205	0.67857
0.89459	0.92273	0.64286
0.91964	0.92532	0.93333
0.82422	0.88636	0.60000
0.91250	0.93582	0.81818
0.89286	0.92083	0.75000
0.74728	0.81469	0.32500
0.89732	0.93684	0.73846
0.81965	0.89474	0.29167
0.85263	0.92333	0.57500
0.92333	0.95833	0.92593
0.84169	0.88770	0.62857
0.91124	0.92105	0.85714
0.89205	0.89841	0.87500
0.84367	0.90263	0.66234
0.88474	0.91444	0.73333
0.82234	0.88971	0.64444
0.90148	0.89474	0.87500
0.87154	0.90602	0.84375
0.88826	0.90625	0.78125
0.81994	0.84795	0.96429
0.87931	0.92381	0.62500
0.92185	0.93600	0.90625
0.86111	0.92388	0.50000
0.84236	0.86579	0.83333
0.83284	0.85833	0.81818
0.86538	0.87917	0.78788
0.90095	0.92000	0.70000
0.87167	0.92177	0.69697
0.71923	0.82548	0.44156
0.94400	0.94118	1.00000
0.80889	0.86378	0.58333
0.83813	0.89646	0.55556
0.90559	0.92593	0.75000
0.84722	0.87121	0.71212
0.88942	0.88503	0.89286
0.94973	0.98500	0.75000
0.79821	0.85407	0.62000
0.85953	0.89161	0.72500
0.89545	0.90441	1.00000
0.89198	0.97368	0.64062
0.76490	0.81389	0.48571
0.83333	0.91429	0.67500
0.79734	0.88235	0.55556
0.83075	0.84722	0.70000
0.86207	0.93000	0.55556
0.97980	1.00000	0.85000
0.85696	0.87121	0.74545
0.81094	0.85859	0.65000
0.90455	0.91176	0.85000
0.82692	0.89375	0.61667
0.89130	0.98120	0.50000
0.88347	0.92355	0.73469
0.86437	0.91026	0.66667
0.91667	0.95278	0.77778
0.90260	0.93985	0.73810
0.81769	0.81624	0.81481
0.85550	0.85789	0.88889
0.91207	0.95937	0.61111
0.84568	0.86667	0.83333
0.89497	0.95000	0.66667
0.85167	0.90873	0.52857
0.85863	0.86550	0.84000
0.80640	0.92014	0.42857
0.85569	0.90373	0.60000
0.85641	0.96579	0.47143
0.86014	0.86029	0.84000
0.88429	0.95185	0.71000
0.89153	0.94486	0.70370
0.89676	0.90741	0.78125
0.88122	0.87146	0.93939
