overall	high_tfx	low_tfx
0.89685	0.90588	0.86667
0.79766	0.84559	0.69841
0.94519	0.97857	0.67857
0.91538	0.93968	0.72000
0.90030	0.94398	0.69388
0.88047	0.89286	0.85000
0.93651	0.94097	0.93333
0.93056	0.96359	0.83333
0.88665	0.92157	0.66667
0.87776	0.90556	0.71429
0.91231	0.90727	0.93333
0.93956	0.94750	0.85417
0.89327	0.90441	0.85000
0.90247	0.91520	0.87143
0.93386	0.97193	0.83333
0.88889	0.90476	0.83333
0.87205	0.89153	0.79167
0.94246	0.97794	0.78125
0.88640	0.92353	0.75000
0.87139	0.92732	0.72727
0.89206	0.95238	0.72840
0.81746	0.83333	0.77778
0.94483	0.97199	0.89583
0.91912	0.95238	0.45455
0.84848	0.84161	0.84375
0.88871	0.92895	0.74074
0.90170	0.92222	0.85000
0.93357	0.94643	0.87500
0.87946	0.88426	0.83333
0.87458	0.90833	0.73333
0.84066	0.88158	0.64286
0.91667	0.93750	0.85000
0.89545	0.92857	0.75926
0.88125	0.93478	0.66667
0.89913	0.90741	0.88312
0.99123	0.98980	1.00000
0.87879	0.92500	0.79167
0.86312	0.90402	0.70833
0.89687	0.90278	0.87500
0.85870	0.90402	0.79545
0.91852	0.92532	0.83636
0.93939	0.98024	0.75000
0.93791	0.98000	0.61905
0.82157	0.83750	0.79545
0.86557	0.87333	0.86905
0.88064	0.90476	0.74000
0.91536	0.91562	0.88889
0.80944	0.85667	0.54545
0.89084	0.88846	0.92857
0.96708	0.98452	0.92000
0.90857	0.93557	0.75000
0.81731	0.84375	0.75000
0.88348	0.92810	0.72500
0.84468	0.84848	0.79630
0.94857	0.97784	0.83333
0.84188	0.86250	0.93333
0.88000	0.89724	0.90000
0.92730	0.96667	0.84524
0.92713	0.93056	1.00000
0.86708	0.90046	0.76364
0.84058	0.89118	0.64286
0.84381	0.92982	0.47222
0.84018	0.85714	0.90000
0.85776	0.88360	0.77083
0.91626	0.92500	0.93333
0.90457	0.92105	0.85455
0.92695	0.91005	1.00000
0.94930	0.98830	0.71429
0.85000	0.87500	0.73333
0.88414	0.93611	0.72000
0.88182	0.91176	0.80000
0.90972	0.95798	0.72857
0.87202	0.89223	0.70370
0.87469	0.86613	0.88889
0.82503	0.83523	0.76000
0.92166	0.94361	0.79762
0.85833	0.92157	0.37500
0.86420	0.88235	0.82857
0.95977	0.98125	0.92308
0.85255	0.82186	0.97500
0.85600	0.87719	0.88095
0.90769	0.92641	0.82500
0.90548	0.94737	0.68750
0.86718	0.91111	0.80519
0.91048	0.92157	0.93750
0.91168	0.92072	0.83333
0.93455	0.93697	0.92500
0.97335	0.98889	0.80556
0.85897	0.89161	0.81250
0.95130	0.97661	0.80556
0.93095	0.92821	0.96875
0.88043	0.94000	0.69231
0.93846	0.95652	0.78571
0.87706	0.91484	0.70370
0.84615	0.83889	0.87500
0.92387	0.94286	0.78571
0.87931	0.92657	0.57143
0.95301	0.97941	0.68750
0.91276	0.93750	0.81250
0.91739	0.91944	0.94444
0.87302	0.87000	0.97619
0.87097	0.91964	0.73016
0.91273	0.92105	0.80556
0.91810	0.93135	0.90000
0.83974	0.88986	0.74074
0.89185	0.94118	0.62500
0.89103	0.88522	1.00000
0.85000	0.85556	0.85455
0.90159	0.93122	0.88889
0.90577	0.95789	0.80000
0.89752	0.94771	0.80000
0.90281	0.93333	0.79167
0.94314	0.97333	0.83333
0.91642	0.95098	0.80000
0.90885	0.93750	0.77778
0.86809	0.90476	0.77381
0.88043	0.92763	0.81250
0.87258	0.89882	0.66667
0.87138	0.91403	0.80000
0.90398	0.89474	0.95833
0.92450	0.97273	0.76364
0.92328	0.92826	0.94286
0.93333	0.96032	0.58333
0.86667	0.90159	0.75000
0.89973	0.92781	0.85000
0.93182	0.93860	1.00000
0.84000	0.89762	0.70000
0.94079	0.93043	0.94444
0.85278	0.89697	0.77778
0.87857	0.88515	0.90476
0.90933	0.90909	0.96429
0.91523	0.92344	0.91429
0.87857	0.91967	0.70370
0.90986	0.93333	0.85417
0.86167	0.89474	0.77083
0.87969	0.91627	0.20000
0.86476	0.92734	0.62500
0.81105	0.88571	0.37500
0.88594	0.89773	0.83333
0.86957	0.88562	0.87500
0.87809	0.92969	0.75000
0.91454	0.95975	0.81250
0.90675	0.93333	0.70000
0.75510	0.82778	0.50000
0.90545	0.91176	0.81250
0.87346	0.93651	0.75556
0.90530	0.96296	0.85714
0.88278	0.91212	0.87500
0.84178	0.86364	0.72222
0.92500	0.93590	1.00000
0.90591	0.93357	0.85859
0.88413	0.90370	0.87500
0.89242	0.93277	0.80769
0.93538	0.96561	0.78125
0.91667	0.95779	0.79167
0.98759	1.00000	0.87500
0.87885	0.90074	0.76667
0.95714	0.97214	0.90278
0.92593	0.93452	1.00000
0.90208	0.93333	0.86000
0.90833	0.94097	0.81250
0.92308	0.95098	0.85417
0.87963	0.90584	0.83929
0.83091	0.87255	0.65714
0.81950	0.80556	0.87692
0.84000	0.90175	0.68000
0.88871	0.95588	0.69444
0.88319	0.91304	0.85000
0.87840	0.91176	0.81667
0.89198	0.92798	0.82500
0.89316	0.93651	0.73333
0.91739	0.96676	0.86364
0.83218	0.86622	0.75000
0.94750	0.97083	0.82500
0.93210	0.93889	0.94444
0.89194	0.88889	0.87500
0.91667	0.92398	0.86667
0.84472	0.86842	0.79167
0.89161	0.89815	0.89011
0.89565	0.87654	1.00000
0.90829	0.91776	0.90000
0.82316	0.87083	0.76667
0.91077	0.92353	0.85714
0.80769	0.84333	0.66667
0.80357	0.82750	0.70833
0.85714	0.86813	0.78571
0.88750	0.88889	0.92593
0.91810	0.94974	0.77083
0.97180	0.96930	0.98413
0.92832	0.98000	0.85000
0.90000	0.93333	0.74545
0.85007	0.90556	0.57778
0.90625	0.92292	0.72222
0.85185	0.88750	0.71429
0.92857	0.94617	0.78571
0.86923	0.91071	0.81667
0.92438	0.93913	0.91667
0.90508	0.92798	0.78571
0.91481	0.93706	0.85714
0.91226	0.96465	0.68254
0.89286	0.90476	0.92857
0.88213	0.91980	0.75714
0.87097	0.90476	0.71429
0.86507	0.91980	0.59375
0.87068	0.91270	0.65000
0.88690	0.89197	0.84848
0.88542	0.94444	0.72857
0.88077	0.89352	0.63333
0.91000	0.94286	0.81818
0.84740	0.85965	0.76923
0.87566	0.90789	0.78125
0.88533	0.95072	0.80000
0.85385	0.85449	0.85714
0.85346	0.87374	0.84000
0.86607	0.88500	0.75000
0.90769	0.94048	0.59091
0.89498	0.92105	0.80000
0.90598	0.94722	0.75926
0.92901	0.94737	0.91667
0.87069	0.91111	0.81481
0.87135	0.91036	0.75000
0.82770	0.82331	0.87500
0.88043	0.88756	0.87500
0.85467	0.86000	0.82222
0.89815	0.91270	0.87500
0.79704	0.88947	0.41667
0.93006	0.97368	0.69444
0.76840	0.78431	0.71111
0.90303	0.89697	0.98214
0.91137	0.94427	0.72222
0.79826	0.87451	0.56667
0.88622	0.88487	0.91071
0.89506	0.93213	0.82000
0.90385	0.92000	0.85185
0.87798	0.88021	0.90625
0.85091	0.85714	0.86111
0.86286	0.91022	0.71212
0.93889	0.97222	0.75000
0.87946	0.93275	0.72000
0.90431	0.90476	0.90000
0.93676	0.96140	0.85714
0.84167	0.87879	0.75000
0.90833	0.91830	0.89796
0.83156	0.87105	0.68254
0.90204	0.97119	0.80208
0.76818	0.79231	0.76923
0.92042	0.92029	0.86667
0.87074	0.93189	0.78462
0.77083	0.84314	0.54762
0.85920	0.88095	0.74074
0.95556	0.94678	1.00000
0.95791	1.00000	0.71111
0.89397	0.88909	0.96667
0.90172	0.89145	0.92500
