overall	high_tfx	low_tfx
0.87587	0.90882	0.80000
0.80769	0.88235	0.63492
0.94074	0.97619	0.60714
0.93077	0.93968	0.92000
0.95238	0.95798	0.93878
0.90067	0.93651	0.85000
0.93474	0.93056	0.91111
0.93364	0.96639	0.83333
0.90994	0.91036	0.88095
0.92020	0.92222	1.00000
0.90769	0.89975	0.96667
0.92582	0.92250	0.93750
0.89163	0.89951	0.85000
0.85165	0.89181	0.67143
0.91005	0.95789	0.81481
0.85913	0.89286	0.76190
0.87879	0.86508	1.00000
0.92262	0.96324	0.90625
0.87200	0.91765	0.72500
0.93149	0.95238	0.83117
0.84762	0.89683	0.71605
0.82738	0.83796	0.75926
0.90345	0.92717	0.79167
0.94853	0.95536	1.00000
0.84175	0.82298	0.96875
0.87774	0.91316	0.70370
0.89792	0.92593	0.77500
0.89860	0.93750	0.71250
0.88244	0.88194	1.00000
0.91137	0.92500	0.80000
0.84753	0.90526	0.53571
0.89583	0.93056	0.78333
0.87576	0.90476	0.64815
0.90781	0.93750	0.77778
0.92174	0.93981	0.96104
0.97807	0.98980	0.96000
0.91414	0.95417	0.81944
0.78100	0.79876	0.70833
0.85469	0.89167	0.62500
0.89596	0.92570	0.77273
0.96593	0.98052	0.87273
0.95556	0.96838	0.97500
0.92974	1.00000	0.40476
0.86190	0.88750	0.81818
0.83813	0.83333	0.83333
0.89125	0.91228	0.80000
0.86834	0.89687	0.77778
0.84091	0.87667	0.81818
0.85770	0.85769	0.92857
0.96552	0.98452	0.90000
0.93857	0.98319	0.75000
0.84936	0.89931	0.76562
0.88696	0.91830	0.75000
0.87216	0.90909	0.74074
0.91286	0.96122	0.72222
0.84402	0.87083	0.83333
0.91724	0.94486	0.85000
0.89438	0.94333	0.82143
0.93117	0.92361	0.95833
0.87081	0.89352	0.78182
0.86312	0.89118	0.76190
0.89143	0.95088	0.66667
0.87977	0.92231	0.66667
0.84339	0.88360	0.70833
0.88013	0.89722	0.80000
0.93145	0.94211	1.00000
0.88474	0.88889	0.89286
0.94056	0.97953	0.67857
0.86167	0.87500	0.90000
0.88000	0.94722	0.62000
0.93455	0.95378	0.89091
0.88715	0.97059	0.55714
0.87054	0.84461	0.96296
0.88958	0.87627	1.00000
0.84930	0.85417	0.96000
0.88018	0.94361	0.64286
0.89000	0.92717	0.66667
0.86265	0.87701	0.85714
0.94397	0.96250	0.90385
0.87902	0.87045	0.92500
0.84320	0.87719	0.78571
0.84231	0.85281	0.80000
0.84121	0.87368	0.65625
0.88761	0.89167	0.85714
0.90476	0.92549	0.91667
0.85185	0.87980	0.63889
0.90545	0.91807	0.97500
0.93260	0.93611	0.77778
0.89744	0.93706	0.78125
0.93344	0.96491	0.75000
0.92711	0.94103	0.90625
0.85714	0.95333	0.48718
0.94615	0.96245	0.75000
0.91904	0.95055	0.62963
0.91795	0.92222	0.95000
0.92798	0.96071	0.71429
0.87931	0.89860	0.71429
0.96617	0.98235	0.81250
0.94141	0.93750	1.00000
0.91449	0.91389	0.94444
0.87831	0.88000	0.95238
0.88920	0.89583	0.88889
0.91091	0.91776	0.80556
0.88793	0.91304	0.83333
0.89103	0.90145	0.81481
0.89778	0.94398	0.68750
0.90769	0.91478	1.00000
0.86143	0.88889	0.80000
0.90317	0.90476	0.77778
0.91731	0.97368	0.77143
0.88354	0.94444	0.80000
0.90026	0.91818	0.84375
0.96488	0.99333	0.83333
0.93109	0.94444	0.89231
0.90755	0.93478	0.80556
0.85561	0.88571	0.72619
0.88406	0.93092	0.78125
0.84194	0.88235	0.50000
0.93297	0.96380	0.82857
0.88203	0.88972	0.91667
0.88462	0.92424	0.63636
0.89418	0.91522	0.80000
0.92963	0.95503	0.58333
0.93500	0.92063	0.97222
0.91043	0.94920	0.78333
0.92045	0.96199	0.55556
0.84400	0.90476	0.77500
0.93750	0.92754	1.00000
0.87361	0.89091	0.80556
0.85714	0.87395	0.76190
0.88000	0.90909	0.85714
0.91810	0.94737	0.74286
0.93143	0.95845	0.85185
0.91667	0.95333	0.81250
0.88000	0.91447	0.77083
0.91719	0.91866	0.50000
0.88571	0.91003	0.71875
0.88770	0.92286	0.75000
0.85411	0.87955	0.71429
0.87652	0.88889	0.97500
0.93056	0.97266	0.78409
0.92204	0.94118	0.87500
0.87698	0.90000	0.66667
0.90816	0.93611	0.79167
0.90909	0.90000	1.00000
0.89969	0.95238	0.78889
0.88636	0.94074	0.73810
0.91941	0.94848	0.87500
