overall	high_tfx	low_tfx
0.81250	0.81081	0.81818
0.71429	0.75758	0.62500
0.76923	0.85366	0.45455
0.89130	0.86111	1.00000
0.80769	0.86842	0.64286
0.77551	0.87879	0.56250
0.83333	0.91176	0.64286
0.90196	0.92105	0.84615
0.84314	0.86842	0.76923
0.72000	0.74359	0.63636
0.88235	0.92500	0.72727
0.87037	0.87500	0.85714
0.84000	0.87805	0.66667
0.79630	0.86486	0.64706
0.80000	0.88235	0.66667
0.84444	0.87500	0.76923
0.73469	0.76923	0.60000
0.84444	0.93939	0.58333
0.70000	0.78378	0.46154
0.75862	0.85000	0.55556
0.80392	0.87879	0.66667
0.77778	0.80000	0.73333
0.79630	0.84211	0.68750
0.87755	0.97297	0.58333
0.71429	0.72973	0.66667
0.86275	0.87179	0.83333
0.80435	0.84848	0.69231
0.85417	0.96667	0.66667
0.76923	0.78571	0.70000
0.81633	0.89474	0.54545
0.70370	0.82051	0.40000
0.78000	0.82353	0.68750
0.82692	0.89189	0.66667
0.78846	0.87179	0.53846
0.85417	0.93333	0.72222
0.90698	0.92857	0.86667
0.69388	0.87097	0.38889
0.76000	0.88889	0.42857
0.80769	0.89744	0.53846
0.70588	0.86111	0.33333
0.78846	0.91667	0.50000
0.83333	0.88235	0.71429
0.92308	1.00000	0.76471
0.77778	0.84091	0.63158
0.83333	0.82857	0.84211
0.85455	0.87500	0.80000
0.76471	0.86111	0.53333
0.66667	0.77143	0.38462
0.82609	0.84848	0.76923
0.92157	0.94444	0.86667
0.88679	0.94737	0.73333
0.70000	0.82353	0.43750
0.75000	0.82857	0.53846
0.82759	0.83721	0.80000
0.77358	0.86842	0.53333
0.68182	0.74194	0.53846
0.85185	0.87500	0.78571
0.88889	0.88571	0.89474
0.84444	0.91176	0.63636
0.75862	0.80952	0.62500
0.80000	0.86486	0.61538
0.84783	0.94118	0.58333
0.83019	0.87500	0.69231
0.81132	0.82051	0.78571
0.86000	0.82051	1.00000
0.80000	0.87179	0.62500
0.86000	0.89744	0.72727
0.85417	0.91892	0.63636
0.81633	0.84211	0.72727
0.77778	0.84615	0.60000
0.80851	0.90323	0.62500
0.81250	0.96774	0.52941
0.80769	0.87500	0.58333
0.85965	0.86957	0.81818
0.78571	0.82609	0.60000
0.84615	0.87879	0.78947
0.89796	0.94737	0.72727
0.84314	0.84615	0.83333
0.88679	0.91667	0.82353
0.76087	0.75000	0.78571
0.74000	0.75676	0.69231
0.87500	0.88372	0.84615
0.82609	0.85294	0.75000
0.71429	0.76316	0.61111
0.80435	0.90625	0.57143
0.81132	0.85000	0.69231
0.86207	0.86667	0.84615
0.82353	0.81579	0.84615
0.80851	0.88571	0.58333
0.82000	0.83784	0.76923
0.80702	0.87805	0.62500
0.74510	0.85714	0.50000
0.87500	0.91111	0.72727
0.80769	0.82500	0.75000
0.78049	0.85714	0.61538
0.82222	0.91176	0.54545
0.71111	0.77143	0.50000
0.91489	0.94595	0.80000
0.85714	0.83333	0.92857
0.84906	0.86842	0.80000
0.70833	0.80000	0.46154
0.79630	0.81579	0.75000
0.85106	0.91429	0.66667
0.84906	0.85714	0.81818
0.86000	0.92105	0.66667
0.76923	0.81579	0.64286
0.91071	0.89583	1.00000
0.70909	0.76923	0.56250
0.72549	0.76923	0.58333
0.86957	0.96552	0.70588
0.82353	0.85714	0.75000
0.82456	0.86486	0.75000
0.87755	0.94286	0.71429
0.88679	0.91429	0.83333
0.82143	0.92308	0.58824
0.78000	0.90323	0.57895
0.76596	0.82857	0.58333
0.84314	0.83333	0.88889
0.80851	0.93333	0.58824
0.87037	0.87500	0.85714
0.86792	0.94595	0.68750
0.83636	0.83721	0.83333
0.80851	0.89744	0.37500
0.77551	0.91667	0.38462
0.75000	0.82051	0.58824
0.84783	0.89189	0.66667
0.78182	0.85366	0.57143
0.84314	0.89474	0.69231
0.75926	0.81081	0.64706
0.79167	0.78947	0.80000
0.80000	0.86207	0.63636
0.75472	0.85366	0.41667
0.86792	0.89474	0.80000
0.71429	0.88571	0.28571
0.79592	0.82857	0.71429
0.82692	0.90244	0.54545
0.80435	0.79412	0.83333
0.72000	0.82051	0.36364
0.78182	0.80952	0.69231
0.75000	0.82857	0.53846
0.86275	0.87500	0.84211
0.76923	0.83333	0.62500
0.67391	0.81818	0.30769
0.83673	0.89744	0.60000
0.80851	0.89189	0.50000
0.80392	0.84375	0.73684
0.76087	0.84848	0.53846
0.82979	0.89189	0.60000
0.76923	0.76923	0.76923
0.80435	0.83784	0.66667
0.76364	0.91429	0.50000
0.72549	0.84848	0.50000
0.71154	0.87097	0.47619
0.90196	0.92308	0.83333
0.80769	0.86111	0.68750
0.92593	1.00000	0.71429
0.76087	0.81818	0.61538
0.79245	0.88889	0.58824
0.86792	0.86667	0.87500
0.81818	0.86207	0.73333
0.70000	0.79412	0.50000
0.79592	0.82857	0.71429
0.81481	0.86111	0.72222
0.80851	0.82857	0.75000
0.82143	0.89474	0.66667
0.77551	0.88235	0.53333
0.82353	0.96970	0.55556
0.83019	0.87179	0.71429
0.70833	0.77419	0.58824
0.78431	0.84211	0.61538
0.81132	0.88095	0.54545
0.77358	0.86842	0.53333
0.74510	0.80556	0.60000
0.84211	0.93182	0.53846
0.72549	0.89474	0.23077
0.74468	0.77143	0.66667
0.91667	0.94595	0.81818
0.72549	0.85714	0.43750
0.78571	0.77778	0.80000
0.81250	0.83333	0.75000
0.83333	0.85714	0.76923
0.81818	0.83871	0.76923
0.85714	0.91892	0.66667
0.70588	0.74286	0.62500
0.72222	0.80000	0.50000
0.81034	0.80851	0.81818
0.77273	0.82759	0.66667
0.86792	0.89744	0.78571
0.74468	0.80645	0.62500
0.73469	0.90909	0.37500
0.74000	0.88235	0.43750
0.75000	0.86842	0.42857
0.81356	0.88636	0.60000
0.81633	0.86111	0.69231
0.79245	0.84091	0.55556
0.80392	0.88235	0.64706
0.78431	0.84211	0.61538
0.83929	0.84444	0.81818
0.82609	0.91429	0.54545
0.76786	0.90000	0.43750
0.85455	0.86486	0.83333
0.82456	0.90000	0.64706
0.82979	0.81579	0.88889
0.78846	0.82500	0.66667
0.77778	0.82927	0.61538
0.82759	0.94737	0.60000
0.80769	0.85714	0.70588
0.80357	0.88372	0.53846
0.73684	0.89744	0.38889
0.76000	0.85294	0.56250
0.72727	0.82051	0.50000
0.81818	0.84211	0.76471
0.76087	0.77778	0.70000
0.84000	0.87500	0.70000
0.84615	0.85000	0.83333
0.90196	0.92105	0.84615
0.82353	0.94595	0.50000
0.84906	0.86842	0.80000
0.86275	0.90000	0.72727
0.79245	0.86842	0.60000
0.78182	0.86842	0.58824
0.80000	0.84848	0.70588
0.88235	0.87805	0.90000
0.80000	0.80488	0.78571
0.81250	0.84375	0.75000
0.72727	0.82051	0.50000
0.84615	0.94872	0.53846
0.69767	0.75862	0.57143
0.82692	0.86486	0.73333
0.77551	0.88889	0.46154
0.70833	0.84375	0.43750
0.82000	0.82857	0.80000
0.82222	0.90000	0.66667
0.84000	0.85714	0.80000
0.78846	0.85000	0.58333
0.78723	0.76667	0.82353
0.84906	0.91667	0.70588
0.85185	0.86364	0.80000
0.73077	0.81081	0.53333
0.70732	0.92308	0.33333
0.93333	0.94118	0.90909
0.86000	0.89189	0.76923
0.77551	0.88571	0.50000
0.70909	0.82051	0.43750
0.71429	0.75000	0.65000
0.67925	0.72727	0.60000
0.89091	0.91489	0.75000
0.70370	0.83333	0.44444
0.80952	0.86207	0.69231
0.77358	0.85366	0.50000
0.78846	0.89474	0.50000
0.85714	0.91429	0.71429
0.88333	0.89362	0.84615
0.85714	0.85714	0.85714
0.80392	0.82353	0.76471
0.89091	0.91892	0.83333
0.72917	0.81818	0.53333
0.83929	0.87500	0.75000
0.78049	0.96429	0.38462
0.86207	0.90000	0.77778
0.75000	0.77778	0.68750
0.85417	0.86842	0.80000
0.74510	0.81081	0.57143
0.79592	0.94286	0.42857
0.87719	0.90909	0.76923
0.80392	0.82857	0.75000
0.88462	0.94286	0.76471
0.71739	0.74194	0.66667
0.88679	0.90476	0.81818
0.88462	0.94444	0.75000
0.79167	0.80645	0.76471
0.80702	0.90909	0.46154
0.73913	0.83871	0.53333
0.72131	0.83333	0.30769
0.80769	0.88235	0.66667
0.84000	0.90000	0.60000
0.73469	0.85714	0.42857
0.81633	0.86486	0.66667
0.76471	0.82051	0.58333
0.78846	0.83784	0.66667
0.86538	0.88889	0.81250
0.75439	0.82051	0.61111
0.88000	0.92308	0.72727
0.82979	0.90909	0.64286
0.78000	0.85000	0.50000
0.80000	0.81818	0.75000
0.91304	0.91176	0.91667
0.77358	0.78378	0.75000
0.85106	0.86111	0.81818
0.88462	0.92500	0.75000
0.78723	0.88235	0.53846
0.76000	0.82051	0.54545
0.79245	0.92105	0.46667
0.79167	0.80645	0.76471
0.84783	0.85714	0.81818
0.83673	0.85714	0.78571
0.64286	0.76316	0.38889
0.84444	0.88571	0.70000
0.69231	0.77778	0.50000
0.72222	0.77500	0.57143
0.81250	0.88889	0.58333
0.80702	0.82500	0.76471
0.84000	0.84615	0.81818
0.83636	0.95000	0.53333
0.76786	0.78049	0.73333
0.85714	0.85714	0.85714
0.83333	0.84848	0.77778
0.74510	0.85714	0.50000
0.74000	0.78947	0.58333
0.74468	0.82759	0.61111
0.80769	0.86486	0.66667
0.84314	0.84211	0.84615
0.79245	0.90000	0.46154
0.90741	0.95000	0.78571
0.78571	0.82500	0.68750
0.78846	0.82500	0.66667
0.82692	0.88571	0.70588
0.76923	0.80556	0.68750
0.81633	0.90909	0.62500
0.82759	0.86364	0.71429
0.80000	0.87097	0.64286
0.86000	0.89474	0.75000
0.78000	0.90909	0.52941
0.76786	0.77273	0.75000
0.74000	0.82051	0.45455
0.83673	0.86111	0.76923
0.82222	0.85294	0.72727
0.86538	0.94737	0.64286
0.79592	0.90625	0.58824
0.78846	0.83784	0.66667
0.80000	0.97059	0.43750
0.76000	0.86486	0.46154
0.82143	0.87179	0.70588
0.83333	0.81818	0.86667
0.77358	0.84848	0.65000
0.80000	0.87500	0.60000
0.80000	0.87879	0.58333
0.86667	0.84783	0.92857
0.84783	0.93750	0.64286
0.72340	0.88235	0.30769
0.83333	0.92500	0.57143
0.80769	0.85000	0.66667
0.80392	0.81579	0.76923
0.84615	0.89744	0.69231
0.80000	0.81081	0.76923
0.89796	0.94444	0.76923
0.79630	0.85714	0.68421
0.88235	0.92105	0.76923
0.77358	0.75676	0.81250
0.83333	0.82500	0.85714
0.82692	0.91892	0.60000
0.73585	0.85000	0.38462
0.77083	0.90000	0.55556
0.81481	0.82051	0.80000
0.82000	0.84615	0.72727
0.77083	0.80556	0.66667
0.78431	0.83784	0.64286
0.72549	0.72727	0.72222
0.83333	0.85366	0.76923
0.80392	0.86486	0.64286
0.80000	0.90000	0.53333
0.79070	0.82759	0.71429
0.77551	0.81250	0.70588
0.72727	0.88571	0.45000
0.86792	0.94872	0.64286
0.83673	0.88235	0.73333
0.87234	0.93750	0.73333
0.72093	0.73333	0.69231
0.76744	0.82353	0.55556
0.81132	0.83333	0.76471
0.78000	0.81579	0.66667
0.87500	0.87805	0.86667
0.83333	0.92500	0.37500
0.84000	0.83333	0.87500
0.86538	0.84615	0.92308
0.80000	0.90625	0.53846
0.82000	0.86111	0.71429
0.85455	0.85714	0.84615
0.83673	0.86842	0.72727
0.84000	0.85366	0.77778
0.71154	0.86486	0.33333
0.69811	0.78788	0.55000
0.85417	0.86486	0.81818
0.82000	0.85714	0.73333
0.78261	0.86207	0.64706
0.77193	0.86111	0.61905
0.81395	0.89286	0.66667
0.75000	0.84211	0.50000
0.78723	0.79412	0.76923
0.80000	0.88571	0.60000
0.84783	0.88235	0.75000
0.78261	0.90323	0.53333
0.84314	0.89744	0.66667
0.75472	0.87500	0.38462
0.85965	0.90244	0.75000
0.80000	0.86842	0.58333
0.84000	0.83784	0.84615
0.83673	0.83333	0.84615
0.83333	0.85294	0.78571
0.81818	0.86486	0.72222
0.87755	0.92308	0.70000
0.79592	0.81081	0.75000
0.87500	0.93182	0.66667
