overall	high_tfx	low_tfx
0.75741	0.81481	0.60000
0.78571	0.90000	0.52778
0.76389	0.87451	0.63889
0.81159	0.80952	0.79630
0.81213	0.85500	0.58333
0.83455	0.88846	0.77778
0.86615	0.85000	0.97143
0.78472	0.84211	0.48571
0.75797	0.80966	0.67857
0.76708	0.89967	0.38000
0.77423	0.87302	0.57143
0.80864	0.84461	0.66667
0.85714	0.88012	0.82500
0.74916	0.74412	0.55000
0.80485	0.84696	0.46667
0.72414	0.79487	0.56061
0.80000	0.81179	0.87500
0.81859	0.87302	0.65000
0.79196	0.79257	0.80000
0.75123	0.81330	0.54545
0.83696	0.88810	0.47619
0.80254	0.83333	0.75000
0.84848	0.86111	0.83333
0.77874	0.76250	0.75000
0.82292	0.86667	0.66667
0.74143	0.80702	0.51667
0.79274	0.76071	0.95833
0.81385	0.85833	0.48571
0.80571	0.84416	0.71429
0.76889	0.79757	0.73333
0.76747	0.77193	0.72000
0.70942	0.83681	0.41667
0.89286	0.91413	0.86111
0.80032	0.85526	0.50000
0.90635	0.97479	0.81944
0.69565	0.67037	0.78333
0.72605	0.75325	0.66071
0.74242	0.81538	0.51852
0.76019	0.76177	0.76667
0.92006	0.95518	0.75000
0.89055	0.91190	0.86250
0.77336	0.84615	0.41667
0.84034	0.91700	0.80000
0.75721	0.75750	0.80000
0.66239	0.76812	0.56818
0.83644	0.84375	0.76190
0.75041	0.80051	0.50000
0.86857	0.91228	0.77778
0.81720	0.83291	0.71429
0.81127	0.86275	0.57143
0.75048	0.75694	0.66667
0.84154	0.84091	0.88889
0.76850	0.80844	0.48148
0.70862	0.77041	0.57292
0.79412	0.83459	0.60606
0.73244	0.77557	0.50000
0.80741	0.80556	0.86667
0.77183	0.86466	0.41667
0.80833	0.82333	0.82000
0.76810	0.86842	0.41429
0.75577	0.75781	0.72500
0.80185	0.80000	0.83673
0.73000	0.78824	0.54688
0.83464	0.83254	0.82000
0.70069	0.76471	0.53750
0.85965	0.90278	0.74603
0.83160	0.90026	0.14286
0.72542	0.75505	0.71429
0.73654	0.75238	0.68333
0.71939	0.72941	0.65625
0.70330	0.77273	0.36667
0.68894	0.73684	
0.73732	0.75556	0.61111
0.81250	0.87500	0.37500
0.71392	0.69156	0.68000
0.80460	0.83971	0.68571
0.84190	0.89286	0.75000
0.80612	0.82026	0.57500
0.77941	0.84500	0.41071
0.87103	0.85606	1.00000
0.73636	0.76731	0.66667
0.72994	0.78409	0.67500
0.84832	0.83934	0.68750
0.81167	0.90000	0.59722
0.71937	0.73162	0.63889
0.80660	0.85119	0.67857
0.86694	0.87229	0.83333
0.78000	0.79699	0.82143
0.70798	0.77068	0.55556
0.83667	0.84062	0.75000
0.72167	0.76754	0.62500
0.88285	0.94444	0.84615
0.76645	0.82857	0.65909
0.67071	0.76860	0.29545
0.83579	0.80556	1.00000
0.85145	0.87719	0.69444
0.72634	0.81283	0.58571
0.76860	0.76144	0.75758
0.69302	0.78947	0.25000
0.85268	0.86601	0.85714
0.72462	0.78638	0.50000
0.81522	0.85417	0.75000
0.72161	0.75735	0.62500
0.77297	0.76374	0.81818
0.73958	0.78993	0.50000
0.85452	0.91597	0.44444
0.83515	0.86012	0.80808
0.82813	0.86364	0.83333
0.81973	0.85913	0.74000
0.73958	0.75000	0.43182
0.83218	0.90132	0.69231
0.80059	0.83508	0.60000
0.75718	0.80714	0.37500
0.79576	0.88131	0.56818
0.81624	0.80952	0.82500
0.75417	0.83765	0.42857
0.71667	0.77632	0.31818
0.80106	0.87879	0.68831
0.89806	0.93822	0.68750
0.79238	0.79739	0.71429
0.79119	0.79853	0.72500
0.83571	0.85714	0.75325
0.75463	0.72963	0.83333
0.86263	0.92000	0.37500
0.63514	0.64500	0.62500
0.84500	0.84848	0.84000
0.80758	0.86000	0.73333
0.78583	0.80272	0.58333
0.74403	0.80186	0.55952
0.78490	0.79608	0.75000
0.72348	0.76984	0.64286
0.78091	0.79449	0.80000
0.66989	0.66667	0.88889
0.84325	0.85385	0.92500
0.71930	0.79221	0.65455
0.79200	0.82353	0.73958
0.78000	0.80060	0.69841
0.82870	0.87616	0.64286
0.84291	0.89545	0.55556
0.75661	0.81283	0.35000
0.78684	0.87733	0.35000
0.84512	0.86275	0.93333
0.80556	0.86975	0.65306
0.80810	0.81746	0.70000
0.80909	0.88366	0.30303
0.72629	0.80392	0.54167
0.80000	0.80303	0.75000
0.78595	0.80549	0.66667
0.74008	0.88421	0.23333
0.72391	0.79592	0.51852
0.77915	0.78992	0.71667
0.88542	0.93684	0.50000
0.72845	0.73810	0.68750
0.89375	0.89444	0.87500
0.68910	0.72222	0.50000
0.74614	0.73545	0.76000
0.84524	0.92857	0.53571
0.74021	0.77282	0.55102
0.80215	0.82867	0.75000
0.72074	0.68421	0.88889
0.73175	0.73580	0.77778
0.82159	0.86555	0.58333
0.77931	0.84399	0.52083
0.72609	0.79667	0.26667
0.83523	0.89951	0.57500
0.71846	0.84083	0.37500
0.83873	0.89062	0.65000
0.76389	0.83056	0.65741
0.79960	0.83509	0.44444
0.83700	0.86905	0.71429
0.76020	0.75617	0.86667
0.86201	0.82680	0.98000
0.79969	0.79365	0.77143
0.70821	0.77429	0.47917
0.84462	0.86184	0.81667
0.75521	0.79556	0.61905
0.75625	0.77350	0.83333
0.80247	0.81313	0.71111
0.78030	0.86710	0.44444
0.83670	0.84211	0.93750
0.75868	0.78289	0.70000
0.80952	0.83918	0.60000
0.87674	0.90977	0.80000
0.80200	0.80805	0.77778
0.79250	0.80167	0.75000
0.73139	0.81000	0.52273
0.73714	0.82018	0.25000
0.76705	0.84561	0.25926
0.72596	0.72697	0.60000
0.84799	0.85121	0.83333
0.80417	0.85462	0.64286
0.78272	0.79870	0.62222
0.76212	0.78125	0.73485
0.81389	0.85714	0.63889
0.79586	0.81203	0.72917
0.74641	0.82716	0.63636
0.79857	0.83158	0.66667
0.84766	0.92895	0.55000
0.72840	0.71324	0.81818
0.78643	0.91304	0.31667
0.85559	0.85941	0.78571
0.78114	0.83929	0.52778
0.85552	0.87812	0.66667
0.81919	0.92517	0.52000
0.78276	0.80000	0.68254
0.80929	0.93311	0.33333
0.75199	0.77273	0.61905
0.80276	0.81875	0.84615
0.80435	0.84773	0.50000
0.88172	0.90580	0.79167
0.77249	0.81364	0.59524
0.80645	0.88675	0.52500
0.88889	0.90909	0.96875
0.74835	0.75439	0.68750
0.87829	0.87647	0.85714
0.84375	0.87218	0.74000
0.79601	0.78947	0.84000
0.78261	0.79727	0.73077
0.71529	0.82368	0.41667
0.84829	0.85333	0.89091
0.74154	0.73684	0.77083
0.72414	0.78788	0.55102
0.88276	0.85139	1.00000
0.83385	0.85990	0.68750
0.73103	0.71465	0.75758
0.87077	0.87500	0.93333
0.71837	0.73913	0.62500
0.78148	0.78328	0.79167
0.81522	0.90625	0.58571
0.85690	0.86068	0.82500
0.73554	0.76316	0.50000
0.73060	0.80592	
0.73977	0.79870	0.59375
0.79832	0.81119	0.73077
0.81609	0.83600	0.80000
0.81056	0.86378	0.68182
0.75481	0.76177	0.65714
0.87054	0.95370	0.65000
0.83333	0.84962	0.79167
0.58211	0.60877	0.45833
0.87500	0.90385	0.78125
0.75699	0.86275	0.55556
0.80936	0.84259	0.75000
0.72633	0.85390	0.37500
0.78040	0.83254	0.66667
0.79497	0.88421	0.57143
0.80121	0.83032	0.82143
0.76111	0.81373	0.75000
0.80200	0.79193	0.83333
0.73656	0.80978	0.58333
0.78897	0.88101	0.35000
0.67045	0.70445	0.71429
0.82759	0.91667	0.56000
0.72619	0.80903	0.61111
0.76543	0.77667	0.69048
0.82182	0.79091	0.92727
0.77176	0.81985	0.57692
0.71446	0.73206	0.66667
0.72308	0.79412	0.44444
0.80254	0.82026	0.72222
0.86371	0.91331	0.70000
0.75595	0.79101	0.64286
0.76708	0.78490	0.55000
0.81173	0.84091	0.72500
0.70077	0.77951	0.60000
0.80702	0.78462	0.95238
0.87856	0.92484	0.80000
0.76705	0.76984	0.82500
0.81028	0.83626	0.66667
0.90462	0.91429	0.87500
0.84000	0.84211	0.86667
0.78444	0.83816	0.62500
0.79924	0.85494	0.54167
0.82552	0.86222	0.78182
0.85884	0.90850	0.82500
0.75304	0.79514	0.50000
0.78261	0.83918	0.62500
0.69143	0.74937	0.42857
0.79933	0.86786	0.62963
0.85449	0.89855	0.75000
0.74916	0.78000	0.55556
0.79784	0.83509	0.69444
0.72031	0.73571	0.66667
0.75962	0.82500	0.41667
0.67778	0.72101	0.52381
0.68000	0.73897	0.47500
0.81600	0.79321	0.92857
0.70353	0.82440	0.30612
0.88142	0.87594	0.93750
0.81818	0.82805	0.75556
0.83023	0.85156	0.77143
0.86574	0.90725	0.80556
0.80172	0.80290	0.70370
0.82794	0.88889	0.62500
0.85038	0.88889	0.68750
0.77083	0.81579	0.65625
0.75772	0.81424	0.50000
0.73810	0.70238	0.82143
0.65212	0.68958	0.39286
0.77066	0.82540	0.52083
0.71857	0.79514	0.63462
0.72005	0.78772	0.46032
0.79630	0.77847	0.86667
0.63889	0.72549	0.45062
0.76042	0.77857	0.63889
0.77250	0.78684	0.73846
0.61273	0.67556	0.57143
0.70192	0.76667	0.50000
0.77174	0.73438	1.00000
0.78804	0.81315	0.64286
0.83392	0.81469	0.75000
0.75952	0.74000	0.93333
0.81614	0.89091	0.57500
0.82143	0.82368	0.79167
0.76960	0.83761	0.61905
0.83818	0.87701	0.40000
0.79286	0.79710	0.79167
0.80714	0.83591	0.78788
0.80727	0.84520	0.66667
0.71893	0.73701	0.72917
0.77104	0.83333	0.35714
0.81379	0.84300	0.71429
0.76803	0.80065	0.65455
0.83118	0.86437	0.65455
0.81071	0.89946	0.59524
0.88889	0.98462	0.68182
0.63333	0.68954	0.00000
0.77011	0.78676	0.83333
0.74107	0.80952	0.53333
0.80381	0.81100	0.83333
0.83862	0.81871	0.92424
0.63048	0.69531	0.42222
0.77455	0.82816	0.55000
0.70679	0.80556	0.38889
0.82000	0.89915	0.59259
0.75905	0.75837	0.78571
0.77340	0.84890	0.61905
0.81270	0.82900	0.77778
0.77071	0.81579	0.62963
0.73447	0.75163	0.70000
0.79034	0.85449	0.66667
0.83934	0.88000	0.69444
0.88314	0.96842	0.75325
0.81043	0.86923	0.64000
0.75115	0.82057	0.51389
0.80718	0.84706	0.72917
0.81538	0.86750	0.56667
0.81091	0.90909	0.73333
0.76231	0.87798	0.23333
0.82676	0.86728	0.71875
0.78157	0.73684	1.00000
0.79018	0.81771	0.67500
0.82381	0.86316	0.40000
0.85765	0.88095	0.79167
0.75041	0.82857	0.46032
0.78788	0.84561	0.55357
0.78147	0.79240	0.75000
0.80299	0.81236	0.72222
0.71701	0.76496	0.50000
0.84402	0.90980	0.59259
0.78926	0.86574	0.55556
0.74506	0.86574	0.68000
0.67428	0.73593	0.61364
0.73389	0.81510	0.44000
0.78133	0.85500	0.50000
0.77778	0.84659	0.61818
0.74174	0.80769	0.47222
0.80214	0.82323	0.62500
0.76923	0.78728	0.62500
0.71983	0.74306	0.60000
0.74537	0.83025	0.50000
0.84674	0.87143	0.81481
0.81786	0.87353	0.70833
0.77591	0.83851	0.64935
0.85548	0.95739	0.48333
0.73860	0.82692	0.51667
0.76923	0.77961	0.73333
0.80600	0.88346	0.53571
0.79853	0.75585	0.87500
0.80110	0.78139	0.93333
0.73077	0.81000	0.36667
0.83974	0.83987	0.83333
0.80702	0.82564	0.84091
0.78882	0.81203	0.67857
0.77391	0.84454	0.44444
0.74286	0.79198	0.55556
0.75262	0.78385	0.60000
0.79630	0.80870	0.61111
0.79679	0.84559	0.65476
0.82143	0.84062	0.77500
0.85926	0.90833	0.70909
0.86849	0.85537	0.90000
0.76556	0.81283	0.66964
