overall	high_tfx	low_tfx
0.75000	0.81081	0.54545
0.73469	0.78788	0.62500
0.78846	0.85366	0.54545
0.69565	0.77778	0.40000
0.73077	0.76316	0.64286
0.71429	0.75758	0.62500
0.83333	0.94118	0.57143
0.76471	0.81579	0.61538
0.76471	0.86842	0.46154
0.76000	0.79487	0.63636
0.60784	0.70000	0.27273
0.79630	0.80000	0.78571
0.76000	0.78049	0.66667
0.74074	0.75676	0.70588
0.69091	0.82353	0.47619
0.75556	0.78125	0.69231
0.65306	0.66667	0.60000
0.77778	0.81818	0.66667
0.74000	0.81081	0.53846
0.74138	0.90000	0.38889
0.72549	0.78788	0.61111
0.71111	0.80000	0.53333
0.77778	0.81579	0.68750
0.73469	0.78378	0.58333
0.69388	0.72973	0.58333
0.78431	0.76923	0.83333
0.82609	0.84848	0.76923
0.68750	0.76667	0.55556
0.76923	0.78571	0.70000
0.67347	0.76316	0.36364
0.83333	0.87179	0.73333
0.76000	0.88235	0.50000
0.65385	0.72973	0.46667
0.73077	0.79487	0.53846
0.70833	0.70000	0.72222
0.67442	0.82143	0.40000
0.67347	0.74194	0.55556
0.66000	0.72222	0.50000
0.75000	0.82051	0.53846
0.66667	0.80556	0.33333
0.71154	0.77778	0.56250
0.81250	0.85294	0.71429
0.76923	0.80000	0.70588
0.76190	0.81818	0.63158
0.66667	0.71429	0.57895
0.69091	0.77500	0.46667
0.74510	0.77778	0.66667
0.77083	0.80000	0.69231
0.78261	0.72727	0.92308
0.78431	0.83333	0.66667
0.75472	0.76316	0.73333
0.80000	0.88235	0.62500
0.75000	0.82857	0.53846
0.70690	0.74419	0.60000
0.69811	0.81579	0.40000
0.68182	0.70968	0.61538
0.64815	0.70000	0.50000
0.70370	0.68571	0.73684
0.68889	0.70588	0.63636
0.70690	0.73810	0.62500
0.86000	0.94595	0.61538
0.73913	0.85294	0.41667
0.73585	0.80000	0.53846
0.67925	0.69231	0.64286
0.68000	0.66667	0.72727
0.78182	0.84615	0.62500
0.74000	0.71795	0.81818
0.77083	0.81081	0.63636
0.73469	0.76316	0.63636
0.75926	0.87179	0.46667
0.68085	0.70968	0.62500
0.68750	0.74194	0.58824
0.75000	0.80000	0.58333
0.71930	0.78261	0.45455
0.71429	0.69565	0.80000
0.76923	0.78788	0.73684
0.79592	0.84211	0.63636
0.74510	0.82051	0.50000
0.62264	0.72222	0.41176
0.73913	0.78125	0.64286
0.70000	0.72973	0.61538
0.83929	0.86047	0.76923
0.82609	0.88235	0.66667
0.69643	0.71053	0.66667
0.69565	0.75000	0.57143
0.71698	0.77500	0.53846
0.67241	0.71111	0.53846
0.72549	0.84211	0.38462
0.70213	0.77143	0.50000
0.74000	0.78378	0.61538
0.68421	0.78049	0.43750
0.64706	0.82857	0.25000
0.78571	0.84444	0.54545
0.76923	0.87500	0.41667
0.70732	0.75000	0.61538
0.84444	0.88235	0.72727
0.62222	0.68571	0.40000
0.80851	0.81081	0.80000
0.80357	0.85714	0.64286
0.81132	0.86842	0.66667
0.68750	0.74286	0.53846
0.70370	0.78947	0.50000
0.68085	0.71429	0.58333
0.83019	0.80952	0.90909
0.64000	0.78947	0.16667
0.73077	0.78947	0.57143
0.73214	0.75000	0.62500
0.70909	0.71795	0.68750
0.74510	0.84615	0.41667
0.76087	0.93103	0.47059
0.76471	0.82857	0.62500
0.75439	0.86486	0.55000
0.73469	0.85714	0.42857
0.77358	0.85714	0.61111
0.82143	0.84615	0.76471
0.72000	0.77419	0.63158
0.68085	0.71429	0.58333
0.78431	0.83333	0.55556
0.74468	0.80000	0.64706
0.79630	0.87500	0.57143
0.69811	0.81081	0.43750
0.70909	0.74419	0.58333
0.85106	0.87179	0.75000
0.65306	0.72222	0.46154
0.62500	0.74359	0.35294
0.80435	0.86486	0.55556
0.81818	0.85366	0.71429
0.76471	0.89474	0.38462
0.72222	0.81081	0.52941
0.79167	0.84211	0.60000
0.72500	0.75862	0.63636
0.64151	0.70732	0.41667
0.77358	0.78947	0.73333
0.73469	0.80000	0.57143
0.59184	0.62857	0.50000
0.78846	0.82927	0.63636
0.63043	0.64706	0.58333
0.72000	0.82051	0.36364
0.63636	0.64286	0.61538
0.72917	0.80000	0.53846
0.68627	0.75000	0.57895
0.71154	0.75000	0.62500
0.69565	0.75758	0.53846
0.75510	0.79487	0.60000
0.65957	0.72973	0.40000
0.72549	0.81250	0.57895
0.69565	0.78788	0.46154
0.70213	0.78378	0.40000
0.71154	0.82051	0.38462
0.60870	0.62162	0.55556
0.69091	0.80000	0.50000
0.80392	0.84848	0.72222
0.67308	0.77419	0.52381
0.78431	0.84615	0.58333
0.80769	0.94444	0.50000
0.77778	0.82500	0.64286
0.69565	0.78788	0.46154
0.71698	0.80556	0.52941
0.77358	0.77778	0.75000
0.63636	0.68966	0.53333
0.72000	0.79412	0.56250
0.77551	0.85714	0.57143
0.74074	0.80556	0.61111
0.74468	0.80000	0.58333
0.71429	0.78947	0.55556
0.71429	0.82353	0.46667
0.76471	0.84848	0.61111
0.77358	0.82051	0.64286
0.72917	0.83871	0.52941
0.72549	0.73684	0.69231
0.77358	0.80952	0.63636
0.69811	0.84211	0.33333
0.64706	0.72222	0.46667
0.73684	0.79545	0.53846
0.74510	0.78947	0.61538
0.65957	0.77143	0.33333
0.81250	0.89189	0.54545
0.66667	0.74286	0.50000
0.73214	0.77778	0.65000
0.72917	0.80556	0.50000
0.70833	0.74286	0.61538
0.68182	0.83871	0.30769
0.75510	0.78378	0.66667
0.68627	0.77143	0.50000
0.64815	0.67500	0.57143
0.67241	0.65957	0.72727
0.63636	0.65517	0.60000
0.79245	0.82051	0.71429
0.72340	0.77419	0.62500
0.71429	0.81818	0.50000
0.80000	0.91176	0.56250
0.69231	0.76316	0.50000
0.88136	0.86364	0.93333
0.77551	0.77778	0.76923
0.67925	0.72727	0.44444
0.66667	0.73529	0.52941
0.72549	0.78947	0.53846
0.71429	0.77778	0.45455
0.76087	0.85714	0.45455
0.75000	0.87500	0.43750
0.67273	0.78378	0.44444
0.77193	0.85000	0.58824
0.78723	0.84211	0.55556
0.76923	0.85000	0.50000
0.75926	0.80488	0.61538
0.74138	0.84211	0.55000
0.71154	0.74286	0.64706
0.69643	0.72093	0.61538
0.66667	0.69231	0.61111
0.70000	0.70588	0.68750
0.72727	0.79487	0.56250
0.69091	0.76316	0.52941
0.84783	0.80556	1.00000
0.78000	0.80000	0.70000
0.82692	0.85000	0.75000
0.72549	0.78947	0.53846
0.76471	0.86486	0.50000
0.77358	0.78947	0.73333
0.78431	0.85000	0.54545
0.69811	0.81579	0.40000
0.74545	0.81579	0.58824
0.70000	0.75758	0.58824
0.72549	0.73171	0.70000
0.65455	0.70732	0.50000
0.75000	0.84375	0.56250
0.69091	0.76923	0.50000
0.82692	0.92308	0.53846
0.76744	0.79310	0.71429
0.71154	0.72973	0.66667
0.67347	0.77778	0.38462
0.66667	0.78125	0.43750
0.70000	0.80000	0.46667
0.68889	0.80000	0.46667
0.80000	0.88571	0.60000
0.67308	0.72500	0.50000
0.61702	0.63333	0.58824
0.69811	0.75000	0.58824
0.85185	0.86364	0.80000
0.63462	0.67568	0.53333
0.75610	0.84615	0.60000
0.71111	0.76471	0.54545
0.68000	0.72973	0.53846
0.75510	0.82857	0.57143
0.70909	0.71795	0.68750
0.66071	0.77778	0.45000
0.71698	0.75758	0.65000
0.76364	0.74468	0.87500
0.66667	0.69444	0.61111
0.76190	0.79310	0.69231
0.71698	0.78049	0.50000
0.76923	0.89474	0.42857
0.83673	0.91429	0.64286
0.68333	0.74468	0.46154
0.69388	0.74286	0.57143
0.70588	0.76471	0.58824
0.78182	0.81081	0.72222
0.75000	0.81818	0.60000
0.78571	0.82500	0.68750
0.80488	0.82143	0.76923
0.72414	0.75000	0.66667
0.71154	0.75000	0.62500
0.72917	0.81579	0.40000
0.60784	0.72973	0.28571
0.77551	0.80000	0.71429
0.77193	0.86364	0.46154
0.68627	0.74286	0.56250
0.71154	0.68571	0.76471
0.60870	0.70968	0.40000
0.69811	0.69048	0.72727
0.63462	0.72222	0.43750
0.81250	0.90323	0.64706
0.64912	0.75000	0.30769
0.69565	0.77419	0.53333
0.70492	0.77083	0.46154
0.73077	0.82353	0.55556
0.76000	0.82500	0.50000
0.73469	0.80000	0.57143
0.79592	0.86486	0.58333
0.68627	0.71795	0.58333
0.78846	0.81081	0.73333
0.73077	0.80556	0.56250
0.78947	0.84615	0.66667
0.74000	0.79487	0.54545
0.70213	0.72727	0.64286
0.74000	0.80000	0.50000
0.73333	0.90909	0.25000
0.67391	0.73529	0.50000
0.71698	0.70270	0.75000
0.70213	0.72222	0.63636
0.78846	0.85000	0.58333
0.74468	0.88235	0.38462
0.66000	0.71795	0.45455
0.71698	0.81579	0.46667
0.70833	0.77419	0.58824
