group	mean	lower	upper	metric
0_TFx	0.9343126153288722	0.8890295961644845	0.9692650158924339	AUC
>0-0.05_TFx	0.9685842483256544	0.9352838577291381	0.994367255544581	AUC
>=0.05_TFx	0.9951316428742679	0.9777721088435374	1.0	AUC
Bile_Duct_Cancer	0.9799475367880806	0.94172597626545	1.0	AUC
Breast_Cancer	0.955233853089537	0.9083984537428319	0.9890220012055455	AUC
Colorectal_Cancer	0.9592910698872096	0.8882150842793257	0.9980172136422136	AUC
Gastric_cancer	0.9527161645138883	0.882492294520548	0.9967658284787915	AUC
I	0.9376823818463351	0.8572681228095272	0.9929579940967889	AUC
II	0.9530866363360964	0.9157697456416638	0.9798589790448342	AUC
III	0.9736732678546107	0.9327976106608132	0.995935370790955	AUC
IV	0.9884370390500353	0.9612312115587582	1.0	AUC
Lung_Cancer	0.99956009693582	0.9950980392156863	1.0	AUC
Ovarian_Cancer	0.9952435685442876	0.9816105814701321	1.0	AUC
Pancreatic_Cancer	0.9014748160809297	0.7993569958847737	0.9763323757035648	AUC
overall	0.9573223720296455	0.9295171481583793	0.9784071446862145	AUC
