	median	0.025	0.975
overall	0.94599	0.90314	0.97421
Bile_Duct_Cancer	0.97436	0.89947	1.00000
Breast_Cancer	0.94800	0.89041	0.98524
Colorectal_Cancer	0.96269	0.86380	0.99708
Gastric_cancer	0.94743	0.83178	0.99613
Lung_Cancer	0.99667	0.95758	1.00000
Ovarian_Cancer	0.98298	0.93407	1.00000
Pancreatic_Cancer	0.88465	0.76071	0.97152
I	0.93551	0.84808	0.98906
II	0.94033	0.89155	0.97591
III	0.95985	0.88776	0.99286
IV	0.98622	0.93150	1.00000
0-0.03TFx	0.93218	0.88617	0.96845
0.03-0.05TFx	0.97171	0.89898	0.99790
>0.05TFx	0.98557	0.91318	1.00000
