	median	0.025	0.975
overall	0.93888	0.87884	0.96641
Bile_Duct_Cancer	0.97106	0.90738	0.99822
Breast_Cancer	0.93568	0.86418	0.97684
Colorectal_Cancer	0.97701	0.86665	0.99790
Gastric_cancer	0.93000	0.80654	0.99152
Lung_Cancer	0.99524	0.96505	1.00000
Ovarian_Cancer	0.98576	0.94898	1.00000
Pancreatic_Cancer	0.84987	0.71454	0.94890
I	0.92842	0.83146	0.98534
II	0.93118	0.87008	0.96658
III	0.94983	0.86260	0.98851
IV	0.98734	0.92031	1.00000
0_TFx	0.90191	0.82999	0.95489
>0-0.05_TFx	0.94502	0.87858	0.97955
>=0.05_TFx	0.98874	0.91779	1.00000
