	median	0.025	0.975
overall	0.92270	0.81398	0.95607
Bile_Duct_Cancer	0.96968	0.89953	1.00000
Breast_Cancer	0.90601	0.77886	0.96013
Colorectal_Cancer	0.96774	0.69150	0.99702
Gastric_cancer	0.94545	0.78581	0.99550
Lung_Cancer	0.98851	0.86904	1.00000
Ovarian_Cancer	0.96906	0.85713	0.99526
Pancreatic_Cancer	0.81386	0.66790	0.93605
I	0.91032	0.77082	0.97626
II	0.91114	0.81872	0.95715
III	0.93271	0.78853	0.98069
IV	0.98413	0.79322	1.00000
0_TFx	0.87388	0.75953	0.93800
>0-0.05_TFx	0.93028	0.82243	0.96999
>=0.05_TFx	0.99031	0.84778	1.00000
