overall	Bile_Duct_Cancer	Breast_Cancer	Colorectal_Cancer	Gastric_cancer	Lung_Cancer	Ovarian_Cancer	Pancreatic_Cancer	I	II	III	IV	0_TFx	>0-0.05_TFx	>=0.05_TFx
0.81933	0.94056	0.86378	0.88095	0.55256	1.00000	0.93429	0.69428	0.82051	0.84646	0.78846	0.74038	0.73958	0.80000	0.96239
0.83729	0.88889	0.84127	0.90864	0.54938	0.97500	0.96420	0.79596	0.87569	0.85766	0.80333	0.70694	0.79465	0.85026	0.98889
0.73674	0.93333	0.85630	0.58824	0.45882	0.97353	0.76471	0.66176	0.61981	0.82417	0.63268	0.79608	0.69506	0.76168	0.75556
0.87441	0.99846	0.87395	0.90753	0.71457	0.99785	0.92308	0.83154	0.85323	0.89158	0.89834	0.81900	0.80987	0.89467	0.93309
0.81779	0.86013	0.80000	0.94353	0.50686	0.97255	0.89619	0.92406	0.90261	0.84706	0.62081	0.78588	0.68431	0.85561	0.92773
0.81859	0.86375	0.85625	0.91250	0.47344	0.93438	0.88558	0.77946	0.87697	0.81531	0.80227	0.77000	0.76902	0.79936	0.95357
0.82629	0.92394	0.83675	0.69894	0.68886	0.96831	0.91197	0.79225	0.84708	0.83708	0.77934	0.81338	0.77746	0.83786	0.90923
0.85685	0.91875	0.89205	0.82188	0.73438	0.95000	0.85673	0.79375	0.77679	0.89390	0.87969	0.74286	0.80909	0.86750	0.91364
0.84123	0.90864	0.84938	0.78601	0.70494	0.98765	0.87205	0.83128	0.80247	0.86596	0.89259	0.73016	0.81070	0.82802	0.99588
0.87612	0.94118	0.91197	0.74958	0.77941	0.95441	0.93294	0.77941	0.86431	0.86863	0.88512	0.91373	0.78992	0.89751	0.94588
0.82059	0.96914	0.83510	0.87369	0.68687	0.99074	0.89712	0.63668	0.76014	0.81608	0.82716	0.89338	0.79475	0.79740	0.92945
0.84492	0.88180	0.86867	0.74238	0.66802	0.99390	0.94512	0.83689	0.75813	0.88123	0.85192	0.89634	0.81332	0.85205	0.90000
0.78891	0.86131	0.84992	0.82308	0.52324	0.96154	0.89487	0.76007	0.74872	0.84740	0.65201	0.88889	0.73961	0.80012	0.86095
0.82588	0.89910	0.84685	0.85135	0.51474	0.98311	0.92838	0.82077	0.78986	0.85969	0.72008	0.92793	0.79357	0.82145	0.92998
0.86582	0.94485	0.94071	0.87722	0.73418	0.93418	0.84465	0.80802	0.71482	0.89850	0.88734	0.93852	0.84916	0.84388	0.96709
0.83718	0.86310	0.79184	0.94714	0.45000	0.92000	0.88750	0.92571	0.81735	0.86795	0.75952	0.84429	0.70130	0.86023	0.98980
0.87669	0.98198	0.90709	0.81419	0.69670	0.98311	0.95700	0.83514	0.83559	0.90870	0.80293	0.88610	0.80931	0.90811	0.94865
0.83766	0.85859	0.85535	0.81241	0.75844	0.94805	0.92916	0.69740	0.82973	0.83797	0.81076	0.90043	0.79277	0.83032	0.92900
0.79730	0.88438	0.85457	0.67492	0.67736	0.98649	0.93093	0.74131	0.79617	0.82432	0.65878	0.83108	0.75364	0.84165	0.76426
0.84513	0.94004	0.84527	0.77572	0.66790	0.93621	0.92593	0.91235	0.82840	0.87937	0.71399	0.89012	0.72891	0.88995	0.98080
0.76975	0.87671	0.82791	0.77886	0.52740	0.94863	0.89041	0.71062	0.70434	0.81109	0.70685	0.79224	0.78196	0.74838	0.81694
0.81827	0.87751	0.87711	0.86145	0.64802	0.93675	0.94980	0.74799	0.73333	0.85944	0.77572	0.97289	0.70281	0.87459	0.81067
0.77890	0.87500	0.83873	0.81151	0.52206	0.92222	0.84306	0.81838	0.68142	0.85525	0.70139	0.78549	0.72817	0.77929	0.88675
0.82291	0.89708	0.82382	0.89591	0.52030	1.00000	0.92749	0.78300	0.78316	0.82056	0.73158	0.99850	0.83657	0.75098	0.98421
0.82289	0.93623	0.83860	0.73913	0.57327	0.98758	0.84300	0.84990	0.71377	0.88472	0.83851	0.76398	0.75478	0.82763	0.92857
0.85650	0.93074	0.83825	0.87446	0.79708	0.95779	0.84316	0.83816	0.87106	0.87164	0.82251	0.81818	0.73377	0.87634	0.95931
0.83879	0.97887	0.82202	0.95775	0.65728	0.97183	0.86307	0.72887	0.82654	0.84048	0.81590	0.89202	0.82138	0.82141	0.95262
0.85831	0.97149	0.86447	0.90789	0.76864	0.92982	0.92915	0.69838	0.86266	0.86114	0.74854	0.94883	0.78816	0.85330	0.96754
0.84689	0.91433	0.88090	0.74055	0.59675	0.99719	0.90209	0.91814	0.82287	0.86054	0.90752	0.75905	0.76711	0.87257	0.90543
0.84573	0.93493	0.86466	0.69406	0.69406	0.94521	0.88418	0.86806	0.83562	0.87884	0.79538	0.78425	0.80584	0.86459	0.84089
0.84370	0.94042	0.90160	0.77415	0.68261	0.98188	0.87681	0.81643	0.76232	0.86989	0.81401	0.88199	0.73671	0.87138	0.94106
0.80389	0.90667	0.85917	0.71467	0.59444	0.97778	0.81185	0.84848	0.72267	0.87886	0.72952	0.79111	0.74756	0.81305	0.84533
