	median	0.025	0.975
overall	0.89431	0.83909	0.93575
Bile_Duct_Cancer	0.94204	0.83480	0.99405
Breast_Cancer	0.90448	0.81707	0.96421
Colorectal_Cancer	0.90359	0.76888	0.98819
Gastric_cancer	0.87260	0.72534	0.98017
Lung_Cancer	0.98148	0.82248	1.00000
Ovarian_Cancer	0.95294	0.86065	0.99306
Pancreatic_Cancer	0.80453	0.64534	0.92827
I	0.86730	0.75203	0.95179
II	0.89255	0.82360	0.94545
III	0.90038	0.78028	0.97151
IV	0.95031	0.84482	1.00000
0-0.03TFx	0.86616	0.79969	0.91900
0.03-0.05TFx	0.94129	0.85024	0.99177
>0.05TFx	0.96573	0.89846	0.99892
