	median	0.025	0.975
overall	0.84787	0.78986	0.89624
Bile_Duct_Cancer	0.89844	0.76027	0.98291
Breast_Cancer	0.87560	0.78333	0.94096
Colorectal_Cancer	0.82177	0.65268	0.95107
Gastric_cancer	0.77083	0.57769	0.91870
Lung_Cancer	0.97410	0.81315	1.00000
Ovarian_Cancer	0.92257	0.81544	0.98495
Pancreatic_Cancer	0.77639	0.61538	0.90361
I	0.81258	0.69062	0.91236
II	0.86163	0.78058	0.92137
III	0.84401	0.72873	0.94445
IV	0.87945	0.73199	0.98514
0_TFx	0.78264	0.68716	0.86296
>0-0.05_TFx	0.86557	0.79642	0.92422
>=0.05_TFx	0.91718	0.81818	0.98802
