site_name	pearson-r_central_coverage	pearson-pval_central_coverage	pearson-adjusted-p-val_central_coverage	lin-reg-RMSE_central_coverage	pearson-r_mean_coverage	pearson-pval_mean_coverage	pearson-adjusted-p-val_mean_coverage	lin-reg-RMSE_mean_coverage	pearson-r_amplitude	pearson-pval_amplitude	pearson-adjusted-p-val_amplitude	lin-reg-RMSE_amplitude
AHR.hg38.10000	-0.4624141650749421	1.646562741755059e-11	6.322487133501407e-10	0.06122373050851656	-0.4676038562195719	9.103544237768815e-12	3.813373530709826e-10	0.018736657649852197	0.133931033998361	0.06472625180614351	0.20679488924505174	0.4825834554118451
AR.hg38.10000	-0.13068254837686918	0.07155348783560476	0.11989184406232442	0.06082453978374939	-0.22611786493770397	0.0016589572983550158	0.007445558350950487	0.014804177505465265	0.009123836087512082	0.9003107422376142	0.9324646973175289	0.55679147144326
ARID3A.hg38.10000	0.08202095495333551	0.2593144731729509	0.33365718903140784	0.046642798874246764	0.03661620512690966	0.6150395855256499	0.6779822331671638	0.011158233332819095	-0.042831629169665084	0.5563112994888779	0.7521653171944961	0.5435389978176937
ARNT.hg38.10000	-4.483786808808249e-05	0.9995088191454008	0.9995088191454008	0.06621243676011823	-0.10483474767563808	0.14893188664066506	0.21108015512605538	0.022659797257454584	0.09667699329027568	0.18336982767942825	0.4127307607981277	0.4834413828043402
ARNTL.hg38.10000	-0.16731419591811342	0.020696169762131456	0.0461683787001394	0.10972971940259017	-0.11376762533922218	0.11709809667679674	0.17475239626879607	0.01731977246352391	0.07717662134025736	0.28860618170846	0.538636289624205	0.5345988798562996
ASCL1.hg38.10000	-0.2854006804786361	6.281456294552983e-05	0.00038821459394204497	0.08920016984596246	-0.23293726369823606	0.001183401757306146	0.005794057954602818	0.020884280492580728	-0.06766047895466466	0.3523635729425115	0.5852029383230257	0.47537884348192283
ASCL2.hg38.10000	-0.4622520861824885	1.6770522900534238e-11	6.322487133501407e-10	0.047635226914604284	-0.4818241404797215	1.7037316219209193e-12	8.028835268302333e-11	0.017988214394359846	0.19074983247372232	0.008212045720914092	0.040736068905060686	0.4874439365633005
ATF1.hg38.10000	-0.2841966972339621	6.766103185315897e-05	0.00041142272594582146	0.05609963259608877	-0.16618193899609882	0.021584358751841157	0.047647116768911216	0.031395844700470896	-0.3674436992141438	1.7050601648850397e-07	2.5712307286466395e-06	0.7702444016227067
ATF2.hg38.10000	0.09669887436900688	0.18327022587611566	0.2458821179903758	0.062248416443821716	0.16256243855710809	0.0246479013056797	0.05162365995689582	0.010532565960157019	0.02691965017015063	0.7116344868090725	0.8462833011826929	0.653112353696676
ATF3.hg38.10000	-0.19058408388731096	0.008268975565178112	0.022922086677001092	0.05771174023852559	-0.10373651416265454	0.15325961946922886	0.21559282291007195	0.02061396580855393	-0.12127560118761387	0.094675409737738	0.26836563512125733	0.7524208513633474
