TF_a	TF_b	num_site_TF_b	exact	window
AHR.hg38.10000	AHR.hg38.10000	10000	10000	10000
AHR.hg38.10000	FOXM1.hg38.10000	10000	168	3445
AHR.hg38.10000	ESR1.hg38.10000	10000	154	3394
AHR.hg38.10000	ZNF701.hg38.10000	10000	111	3065
AHR.hg38.10000	GATA3.hg38.10000	10000	101	2669
AHR.hg38.10000	MBD2.hg38.10000	10000	85	1861
AHR.hg38.10000	NR2F2.hg38.10000	10000	77	2194
AHR.hg38.10000	RARG.hg38.10000	10000	61	2175
AHR.hg38.10000	TFAP2C.hg38.10000	10000	59	1689
AHR.hg38.10000	ZNF217.hg38.10000	10000	58	1992
AHR.hg38.10000	PGR.hg38.10000	10000	53	1933
AHR.hg38.10000	TCF12.hg38.10000	10000	53	1240
AHR.hg38.10000	TRPS1.hg38.10000	10000	52	1832
AHR.hg38.10000	ARNT.hg38.10000	10000	51	1862
AHR.hg38.10000	GATA2.hg38.10000	10000	51	1263
AHR.hg38.10000	NR1H2.hg38.10000	10000	50	1518
AHR.hg38.10000	ETV2.hg38.10000	10000	47	1546
AHR.hg38.10000	SMAD4.hg38.10000	10000	44	975
AHR.hg38.10000	RARA.hg38.10000	10000	41	1323
AHR.hg38.10000	FOXA1.hg38.10000	10000	40	2088
AHR.hg38.10000	GRHL2.hg38.10000	10000	40	1705
AHR.hg38.10000	HIF1A.hg38.10000	10000	40	1334
AHR.hg38.10000	JUN.hg38.10000	10000	38	1429
AHR.hg38.10000	TEAD4.hg38.10000	10000	38	1279
AHR.hg38.10000	FOXA2.hg38.10000	10000	38	1255
AHR.hg38.10000	NR1H3.hg38.10000	10000	38	1235
AHR.hg38.10000	RELA.hg38.10000	10000	38	1021
AHR.hg38.10000	JUND.hg38.10000	10000	36	1259
AHR.hg38.10000	BHLHE40.hg38.10000	10000	36	832
AHR.hg38.10000	NR3C1.hg38.10000	10000	35	1251
AHR.hg38.10000	SMAD3.hg38.10000	10000	35	1073
AHR.hg38.10000	EPAS1.hg38.10000	10000	35	1042
AHR.hg38.10000	RXRA.hg38.10000	10000	35	1027
AHR.hg38.10000	ESRRA.hg38.10000	10000	34	1440
AHR.hg38.10000	FOS.hg38.10000	10000	34	1008
AHR.hg38.10000	STAT3.hg38.10000	10000	33	1146
AHR.hg38.10000	ASCL2.hg38.10000	10000	32	1269
AHR.hg38.10000	CREM.hg38.10000	10000	32	863
AHR.hg38.10000	NR5A2.hg38.10000	10000	31	1705
AHR.hg38.10000	FOSL2.hg38.10000	10000	31	1202
AHR.hg38.10000	JUNB.hg38.10000	10000	31	1125
AHR.hg38.10000	ATF3.hg38.10000	10000	31	980
AHR.hg38.10000	ETV4.hg38.10000	10000	30	1249
AHR.hg38.10000	SOX9.hg38.10000	10000	30	1117
AHR.hg38.10000	RBPJ.hg38.10000	10000	30	964
AHR.hg38.10000	HIF3A.hg38.10000	10000	30	887
AHR.hg38.10000	TP53.hg38.10000	10000	29	789
AHR.hg38.10000	TFAP2A.hg38.10000	10000	28	1197
AHR.hg38.10000	THAP11.hg38.10000	10000	28	645
AHR.hg38.10000	KLF10.hg38.10000	10000	27	1024
AHR.hg38.10000	FOXP1.hg38.10000	10000	27	971
AHR.hg38.10000	ETV5.hg38.10000	10000	26	1014
AHR.hg38.10000	TEAD1.hg38.10000	10000	26	976
AHR.hg38.10000	ESR2.hg38.10000	10000	26	829
