TF_a	TF_b	num_site_TF_b	exact	window
AR.hg38.10000	AR.hg38.10000	10000	10000	10000
AR.hg38.10000	HNF4G.hg38.10000	10000	545	4383
AR.hg38.10000	NR3C1.hg38.10000	10000	196	1825
AR.hg38.10000	PGR.hg38.10000	10000	162	1934
AR.hg38.10000	NKX3-1.hg38.10000	10000	124	3533
AR.hg38.10000	HOXB13.hg38.10000	10000	95	2550
AR.hg38.10000	FOXA1.hg38.10000	10000	76	2238
AR.hg38.10000	ERF.hg38.10000	10000	57	1732
AR.hg38.10000	GATA2.hg38.10000	10000	43	1394
AR.hg38.10000	ASCL2.hg38.10000	10000	37	1727
AR.hg38.10000	ESR1.hg38.10000	10000	37	721
AR.hg38.10000	ERG.hg38.10000	10000	27	603
AR.hg38.10000	FOXM1.hg38.10000	10000	26	738
AR.hg38.10000	FOXA2.hg38.10000	10000	21	902
AR.hg38.10000	HIF1A.hg38.10000	10000	19	277
AR.hg38.10000	GATA3.hg38.10000	10000	18	733
AR.hg38.10000	FOXA3.hg38.10000	10000	18	456
AR.hg38.10000	RARG.hg38.10000	10000	17	501
AR.hg38.10000	ZNF701.hg38.10000	10000	16	584
AR.hg38.10000	RELA.hg38.10000	10000	16	166
AR.hg38.10000	FOXP1.hg38.10000	10000	15	597
AR.hg38.10000	NR1H2.hg38.10000	10000	15	438
AR.hg38.10000	RBPJ.hg38.10000	10000	15	167
AR.hg38.10000	HES2.hg38.10000	10000	14	696
AR.hg38.10000	ZBTB33.hg38.10000	10000	14	168
AR.hg38.10000	AHR.hg38.10000	10000	13	745
AR.hg38.10000	HMG20A.hg38.10000	10000	13	396
AR.hg38.10000	TCF7.hg38.10000	10000	13	388
AR.hg38.10000	MIXL1.hg38.10000	10000	13	293
AR.hg38.10000	POU2F1.hg38.10000	10000	12	625
AR.hg38.10000	CDX2.hg38.10000	10000	12	543
AR.hg38.10000	JUNB.hg38.10000	10000	12	453
AR.hg38.10000	MLX.hg38.10000	10000	12	368
AR.hg38.10000	SOX2.hg38.10000	10000	12	139
AR.hg38.10000	VDR.hg38.10000	10000	12	128
AR.hg38.10000	GABPA.hg38.10000	10000	12	95
AR.hg38.10000	ASCL1.hg38.10000	10000	11	228
AR.hg38.10000	STAT1.hg38.10000	10000	11	123
AR.hg38.10000	REL.hg38.10000	10000	11	76
AR.hg38.10000	NR5A2.hg38.10000	10000	10	452
AR.hg38.10000	ZNF217.hg38.10000	10000	10	391
AR.hg38.10000	ARID3A.hg38.10000	10000	10	351
AR.hg38.10000	ZNF778.hg38.10000	10000	10	328
AR.hg38.10000	HOXC5.hg38.10000	10000	10	318
AR.hg38.10000	NFIL3.hg38.10000	10000	10	311
AR.hg38.10000	HIF3A.hg38.10000	10000	10	303
AR.hg38.10000	STAT3.hg38.10000	10000	10	259
AR.hg38.10000	ELF3.hg38.10000	10000	10	258
AR.hg38.10000	ZNF324.hg38.10000	10000	10	214
AR.hg38.10000	RXRA.hg38.10000	10000	10	212
AR.hg38.10000	CREB1.hg38.10000	10000	10	159
AR.hg38.10000	ZEB1.hg38.10000	10000	10	120
AR.hg38.10000	STAT5A.hg38.10000	10000	10	113
AR.hg38.10000	RELB.hg38.10000	10000	10	79
AR.hg38.10000	SOX13.hg38.10000	10000	9	453
AR.hg38.10000	TRPS1.hg38.10000	10000	9	410
AR.hg38.10000	HES1.hg38.10000	10000	9	381
AR.hg38.10000	MYBL2.hg38.10000	10000	9	290
AR.hg38.10000	JUN.hg38.10000	10000	9	284
AR.hg38.10000	TFAP2C.hg38.10000	10000	9	278
AR.hg38.10000	RARA.hg38.10000	10000	9	262
AR.hg38.10000	PBX4.hg38.10000	10000	9	254
AR.hg38.10000	TCF7L2.hg38.10000	10000	9	249
AR.hg38.10000	ETV1.hg38.10000	10000	9	241
AR.hg38.10000	FOXK1.hg38.10000	10000	9	200
AR.hg38.10000	TP53.hg38.10000	10000	9	140
AR.hg38.10000	XBP1.hg38.10000	10000	9	64
AR.hg38.10000	ETV4.hg38.10000	10000	8	440
AR.hg38.10000	NR1H3.hg38.10000	10000	8	437
AR.hg38.10000	EHF.hg38.10000	10000	8	269
AR.hg38.10000	ZNF341.hg38.10000	10000	8	130
AR.hg38.10000	BCL6.hg38.10000	10000	8	112
AR.hg38.10000	LEF1.hg38.10000	10000	8	107
AR.hg38.10000	POU5F1.hg38.10000	10000	8	105
AR.hg38.10000	ZNF22.hg38.10000	10000	8	73
AR.hg38.10000	REST.hg38.10000	10000	8	72
AR.hg38.10000	KMT2A.hg38.10000	10000	8	57
AR.hg38.10000	NR2F2.hg38.10000	10000	7	534
AR.hg38.10000	SOX5.hg38.10000	10000	7	370
AR.hg38.10000	ZSCAN9.hg38.10000	10000	7	281
AR.hg38.10000	PPARG.hg38.10000	10000	7	279
AR.hg38.10000	ZNF792.hg38.10000	10000	7	253
AR.hg38.10000	NR2F6.hg38.10000	10000	7	243
AR.hg38.10000	MBD2.hg38.10000	10000	7	227
AR.hg38.10000	HNF1B.hg38.10000	10000	7	223
AR.hg38.10000	HOMEZ.hg38.10000	10000	7	223
AR.hg38.10000	NFKB1.hg38.10000	10000	7	183
