TF_a	TF_b	num_site_TF_b	exact	window
ATF1.hg38.10000	ATF1.hg38.10000	10000	10000	10000
ATF1.hg38.10000	CREB1.hg38.10000	10000	603	5586
ATF1.hg38.10000	CREM.hg38.10000	10000	512	5062
ATF1.hg38.10000	ATF3.hg38.10000	10000	176	2477
ATF1.hg38.10000	THAP11.hg38.10000	10000	169	3188
ATF1.hg38.10000	GABPA.hg38.10000	10000	150	3512
ATF1.hg38.10000	IRF2.hg38.10000	10000	130	2891
ATF1.hg38.10000	SIX5.hg38.10000	10000	129	3354
ATF1.hg38.10000	RBPJ.hg38.10000	10000	127	3488
ATF1.hg38.10000	KLF10.hg38.10000	10000	119	3999
ATF1.hg38.10000	SRF.hg38.10000	10000	116	1838
ATF1.hg38.10000	GMEB2.hg38.10000	10000	113	3895
ATF1.hg38.10000	NFYC.hg38.10000	10000	113	3534
ATF1.hg38.10000	RFX5.hg38.10000	10000	113	2908
ATF1.hg38.10000	SP1.hg38.10000	10000	109	3769
ATF1.hg38.10000	IKZF5.hg38.10000	10000	108	2309
ATF1.hg38.10000	ATF2.hg38.10000	10000	98	1208
ATF1.hg38.10000	FOXP1.hg38.10000	10000	95	2651
ATF1.hg38.10000	RXRB.hg38.10000	10000	95	1599
ATF1.hg38.10000	ZNF792.hg38.10000	10000	92	2103
ATF1.hg38.10000	ZSCAN9.hg38.10000	10000	91	1993
ATF1.hg38.10000	HOMEZ.hg38.10000	10000	91	1686
ATF1.hg38.10000	ZNF580.hg38.10000	10000	90	2458
ATF1.hg38.10000	KLF16.hg38.10000	10000	90	2119
ATF1.hg38.10000	MIXL1.hg38.10000	10000	90	1831
ATF1.hg38.10000	ETS1.hg38.10000	10000	88	3170
ATF1.hg38.10000	ELF1.hg38.10000	10000	87	3569
ATF1.hg38.10000	TFE3.hg38.10000	10000	84	2126
ATF1.hg38.10000	ZBTB33.hg38.10000	10000	83	2535
ATF1.hg38.10000	JUN.hg38.10000	10000	82	2392
ATF1.hg38.10000	STAT1.hg38.10000	10000	80	2834
ATF1.hg38.10000	RELA.hg38.10000	10000	79	2262
ATF1.hg38.10000	ZFP1.hg38.10000	10000	78	1871
ATF1.hg38.10000	ATF7.hg38.10000	10000	78	1356
ATF1.hg38.10000	RXRA.hg38.10000	10000	75	2558
ATF1.hg38.10000	TCF12.hg38.10000	10000	75	2245
ATF1.hg38.10000	ZFP42.hg38.10000	10000	74	2599
ATF1.hg38.10000	SMAD4.hg38.10000	10000	74	2030
ATF1.hg38.10000	ETV5.hg38.10000	10000	73	2716
ATF1.hg38.10000	MYCN.hg38.10000	10000	72	2927
ATF1.hg38.10000	MLX.hg38.10000	10000	72	2099
ATF1.hg38.10000	CTCF.hg38.10000	10000	72	1503
ATF1.hg38.10000	HIF1A.hg38.10000	10000	71	2301
ATF1.hg38.10000	E2F1.hg38.10000	10000	70	3684
ATF1.hg38.10000	ZNF143.hg38.10000	10000	70	2913
ATF1.hg38.10000	ETV4.hg38.10000	10000	70	2232
ATF1.hg38.10000	FOXM1.hg38.10000	10000	69	2261
ATF1.hg38.10000	KLF11.hg38.10000	10000	68	3008
ATF1.hg38.10000	ERG.hg38.10000	10000	67	3045
ATF1.hg38.10000	YY1.hg38.10000	10000	66	3212
ATF1.hg38.10000	ZNF574.hg38.10000	10000	65	2248
ATF1.hg38.10000	BHLHE40.hg38.10000	10000	64	2282
ATF1.hg38.10000	MECP2.hg38.10000	10000	64	1020
ATF1.hg38.10000	HMG20A.hg38.10000	10000	63	1212
ATF1.hg38.10000	FOXA3.hg38.10000	10000	62	1084
ATF1.hg38.10000	MYC.hg38.10000	10000	60	3449
ATF1.hg38.10000	NFYA.hg38.10000	10000	60	3077
ATF1.hg38.10000	KLF5.hg38.10000	10000	60	2731
ATF1.hg38.10000	MYRF.hg38.10000	10000	59	2287
ATF1.hg38.10000	MBD2.hg38.10000	10000	59	2091
ATF1.hg38.10000	ELK4.hg38.10000	10000	58	2700
ATF1.hg38.10000	MAX.hg38.10000	10000	57	3464
ATF1.hg38.10000	SOX13.hg38.10000	10000	57	1479
ATF1.hg38.10000	ZBTB2.hg38.10000	10000	57	942
ATF1.hg38.10000	SP2.hg38.10000	10000	56	2965
ATF1.hg38.10000	RUNX1.hg38.10000	10000	56	2297
ATF1.hg38.10000	REST.hg38.10000	10000	56	1610
ATF1.hg38.10000	KLF6.hg38.10000	10000	55	2723
ATF1.hg38.10000	E4F1.hg38.10000	10000	55	2530
ATF1.hg38.10000	ETV1.hg38.10000	10000	55	2403
ATF1.hg38.10000	IRF1.hg38.10000	10000	55	1741
ATF1.hg38.10000	ZIC2.hg38.10000	10000	55	1568
ATF1.hg38.10000	E2F4.hg38.10000	10000	54	3097
ATF1.hg38.10000	MNT.hg38.10000	10000	54	2902
ATF1.hg38.10000	MYBL2.hg38.10000	10000	54	1983
ATF1.hg38.10000	JUND.hg38.10000	10000	54	1055
ATF1.hg38.10000	TBP.hg38.10000	10000	52	3609
ATF1.hg38.10000	ZSCAN22.hg38.10000	10000	52	1873
ATF1.hg38.10000	BCL6.hg38.10000	10000	52	1497
ATF1.hg38.10000	SOX9.hg38.10000	10000	51	2192
ATF1.hg38.10000	VDR.hg38.10000	10000	51	1860
ATF1.hg38.10000	SOX5.hg38.10000	10000	51	1185
ATF1.hg38.10000	NR2C2.hg38.10000	10000	50	2185
ATF1.hg38.10000	E2F8.hg38.10000	10000	50	2114
ATF1.hg38.10000	STAT3.hg38.10000	10000	49	1695
ATF1.hg38.10000	SP4.hg38.10000	10000	48	2151
ATF1.hg38.10000	FLI1.hg38.10000	10000	48	2099
ATF1.hg38.10000	NFE2.hg38.10000	10000	48	1447
ATF1.hg38.10000	MXI1.hg38.10000	10000	46	3025
ATF1.hg38.10000	ERF.hg38.10000	10000	46	1429
ATF1.hg38.10000	TFAP4.hg38.10000	10000	45	2002
ATF1.hg38.10000	NFIL3.hg38.10000	10000	45	1319
ATF1.hg38.10000	ZBTB11.hg38.10000	10000	44	2170
ATF1.hg38.10000	FOXK2.hg38.10000	10000	44	2167
ATF1.hg38.10000	ELK3.hg38.10000	10000	44	1930
ATF1.hg38.10000	RARA.hg38.10000	10000	44	1900
ATF1.hg38.10000	BCL11B.hg38.10000	10000	43	2541
ATF1.hg38.10000	USF2.hg38.10000	10000	43	1827
ATF1.hg38.10000	NR2F6.hg38.10000	10000	43	1294
ATF1.hg38.10000	ZKSCAN1.hg38.10000	10000	43	1282
ATF1.hg38.10000	HNF4A.hg38.10000	10000	43	1174
ATF1.hg38.10000	ZNF652.hg38.10000	10000	43	1058
ATF1.hg38.10000	USF1.hg38.10000	10000	42	1886
ATF1.hg38.10000	TCF7.hg38.10000	10000	42	1081
ATF1.hg38.10000	TEAD3.hg38.10000	10000	42	973
ATF1.hg38.10000	ZBTB26.hg38.10000	10000	40	2280
ATF1.hg38.10000	TFDP1.hg38.10000	10000	39	2744
ATF1.hg38.10000	ELF4.hg38.10000	10000	39	2657
ATF1.hg38.10000	SP5.hg38.10000	10000	39	2156
ATF1.hg38.10000	XBP1.hg38.10000	10000	39	1159
ATF1.hg38.10000	KLF1.hg38.10000	10000	38	1648
ATF1.hg38.10000	ZNF324.hg38.10000	10000	38	1633
ATF1.hg38.10000	CTCFL.hg38.10000	10000	38	1596
ATF1.hg38.10000	MAZ.hg38.10000	10000	37	2464
ATF1.hg38.10000	TRPS1.hg38.10000	10000	37	1512
ATF1.hg38.10000	PPARG.hg38.10000	10000	37	1217
ATF1.hg38.10000	KLF9.hg38.10000	10000	36	2489
ATF1.hg38.10000	PBX3.hg38.10000	10000	36	1579
ATF1.hg38.10000	HOXA6.hg38.10000	10000	35	2556
ATF1.hg38.10000	SETDB1.hg38.10000	10000	35	1935
ATF1.hg38.10000	BACH1.hg38.10000	10000	35	1731
ATF1.hg38.10000	IRF3.hg38.10000	10000	35	1524
ATF1.hg38.10000	MYB.hg38.10000	10000	35	1398
ATF1.hg38.10000	THRB.hg38.10000	10000	35	1225
ATF1.hg38.10000	FOXO3.hg38.10000	10000	34	1583
ATF1.hg38.10000	ZBTB17.hg38.10000	10000	34	1453
ATF1.hg38.10000	POU3F2.hg38.10000	10000	33	1560
ATF1.hg38.10000	FOXP3.hg38.10000	10000	33	1309
ATF1.hg38.10000	E2F6.hg38.10000	10000	32	2328
ATF1.hg38.10000	SREBF2.hg38.10000	10000	32	1754
ATF1.hg38.10000	NR1H2.hg38.10000	10000	32	1154
ATF1.hg38.10000	ASCL2.hg38.10000	10000	32	1148
ATF1.hg38.10000	PAX5.hg38.10000	10000	32	1118
ATF1.hg38.10000	ZFP64.hg38.10000	10000	31	1073
ATF1.hg38.10000	NR1H3.hg38.10000	10000	31	689
ATF1.hg38.10000	ZNF217.hg38.10000	10000	30	1888
ATF1.hg38.10000	ZNF3.hg38.10000	10000	30	1414
ATF1.hg38.10000	MYNN.hg38.10000	10000	30	910
ATF1.hg38.10000	STAT5B.hg38.10000	10000	29	1414
ATF1.hg38.10000	CEBPD.hg38.10000	10000	29	1096
ATF1.hg38.10000	TP53.hg38.10000	10000	29	1046
ATF1.hg38.10000	VEZF1.hg38.10000	10000	28	1943
ATF1.hg38.10000	EHF.hg38.10000	10000	28	1464
ATF1.hg38.10000	HSF1.hg38.10000	10000	28	1299
ATF1.hg38.10000	FOXK1.hg38.10000	10000	28	1165
ATF1.hg38.10000	NR2F2.hg38.10000	10000	28	1135
ATF1.hg38.10000	PBX2.hg38.10000	10000	28	1060
ATF1.hg38.10000	PKNOX1.hg38.10000	10000	27	1645
ATF1.hg38.10000	E2F7.hg38.10000	10000	27	1296
ATF1.hg38.10000	POU2F1.hg38.10000	10000	27	1190
ATF1.hg38.10000	KLF15.hg38.10000	10000	26	1864
ATF1.hg38.10000	STAT5A.hg38.10000	10000	26	1370
ATF1.hg38.10000	POU5F1.hg38.10000	10000	26	710
ATF1.hg38.10000	ARID3A.hg38.10000	10000	25	1251
ATF1.hg38.10000	ARNT.hg38.10000	10000	25	1244
ATF1.hg38.10000	FOXA2.hg38.10000	10000	25	996
ATF1.hg38.10000	HES1.hg38.10000	10000	25	937
ATF1.hg38.10000	ZNF35.hg38.10000	10000	25	816
ATF1.hg38.10000	HLF.hg38.10000	10000	25	645
ATF1.hg38.10000	NRF1.hg38.10000	10000	24	2742
ATF1.hg38.10000	SOX4.hg38.10000	10000	24	2083
ATF1.hg38.10000	PATZ1.hg38.10000	10000	24	1836
ATF1.hg38.10000	ZNF444.hg38.10000	10000	24	1532
ATF1.hg38.10000	REL.hg38.10000	10000	24	1477
ATF1.hg38.10000	ZNF18.hg38.10000	10000	24	1228
ATF1.hg38.10000	RBAK.hg38.10000	10000	24	1086
ATF1.hg38.10000	ZNF701.hg38.10000	10000	24	967
ATF1.hg38.10000	FOS.hg38.10000	10000	24	964
ATF1.hg38.10000	EGR1.hg38.10000	10000	23	2103
ATF1.hg38.10000	YY2.hg38.10000	10000	23	1994
ATF1.hg38.10000	CLOCK.hg38.10000	10000	23	1639
ATF1.hg38.10000	KLF4.hg38.10000	10000	23	1569
ATF1.hg38.10000	GFI1B.hg38.10000	10000	23	1455
ATF1.hg38.10000	ZEB1.hg38.10000	10000	23	1437
ATF1.hg38.10000	ZEB2.hg38.10000	10000	23	1337
ATF1.hg38.10000	AHR.hg38.10000	10000	23	775
ATF1.hg38.10000	LEF1.hg38.10000	10000	22	1985
ATF1.hg38.10000	ZBTB14.hg38.10000	10000	22	1866
ATF1.hg38.10000	NFATC3.hg38.10000	10000	22	1136
ATF1.hg38.10000	RUNX3.hg38.10000	10000	22	742
ATF1.hg38.10000	IRF4.hg38.10000	10000	22	693
ATF1.hg38.10000	PROX1.hg38.10000	10000	22	664
ATF1.hg38.10000	MAF.hg38.10000	10000	21	1428
