TF_a	TF_b	num_site_TF_b	exact	window
BATF.hg38.10000	BATF.hg38.10000	10000	10000	10000
BATF.hg38.10000	IRF4.hg38.10000	10000	315	4183
BATF.hg38.10000	BATF3.hg38.10000	10000	271	3758
BATF.hg38.10000	BCL11A.hg38.10000	10000	152	2798
BATF.hg38.10000	ETV6.hg38.10000	10000	126	2774
BATF.hg38.10000	JUND.hg38.10000	10000	85	1115
BATF.hg38.10000	FOS.hg38.10000	10000	81	1087
BATF.hg38.10000	RUNX3.hg38.10000	10000	72	1879
BATF.hg38.10000	ATF3.hg38.10000	10000	71	1016
BATF.hg38.10000	TBX21.hg38.10000	10000	68	1725
BATF.hg38.10000	FOSL1.hg38.10000	10000	68	951
BATF.hg38.10000	IKZF2.hg38.10000	10000	54	2393
BATF.hg38.10000	JUN.hg38.10000	10000	52	914
BATF.hg38.10000	FOSL2.hg38.10000	10000	48	814
BATF.hg38.10000	POU2F2.hg38.10000	10000	46	1828
BATF.hg38.10000	NFKB2.hg38.10000	10000	44	1630
BATF.hg38.10000	PAX5.hg38.10000	10000	44	1599
BATF.hg38.10000	CREM.hg38.10000	10000	43	794
BATF.hg38.10000	JUNB.hg38.10000	10000	42	771
BATF.hg38.10000	CEBPG.hg38.10000	10000	42	418
BATF.hg38.10000	MEF2A.hg38.10000	10000	41	1436
BATF.hg38.10000	RELA.hg38.10000	10000	39	1069
BATF.hg38.10000	RELB.hg38.10000	10000	38	1622
BATF.hg38.10000	REL.hg38.10000	10000	36	1331
BATF.hg38.10000	BACH1.hg38.10000	10000	36	1055
BATF.hg38.10000	CEBPB.hg38.10000	10000	36	493
BATF.hg38.10000	BACH2.hg38.10000	10000	35	1477
BATF.hg38.10000	TCF3.hg38.10000	10000	33	1405
BATF.hg38.10000	MEF2C.hg38.10000	10000	33	1393
BATF.hg38.10000	IRF1.hg38.10000	10000	33	862
BATF.hg38.10000	FOSB.hg38.10000	10000	33	548
BATF.hg38.10000	SPIB.hg38.10000	10000	29	1117
BATF.hg38.10000	STAT5B.hg38.10000	10000	28	1022
BATF.hg38.10000	ATF4.hg38.10000	10000	28	341
BATF.hg38.10000	TCF12.hg38.10000	10000	27	902
BATF.hg38.10000	SMAD3.hg38.10000	10000	27	656
BATF.hg38.10000	CEBPA.hg38.10000	10000	26	627
BATF.hg38.10000	STAT2.hg38.10000	10000	25	793
BATF.hg38.10000	HMG20A.hg38.10000	10000	24	911
BATF.hg38.10000	STAT3.hg38.10000	10000	24	774
BATF.hg38.10000	NFE2.hg38.10000	10000	23	544
BATF.hg38.10000	STAT5A.hg38.10000	10000	22	807
BATF.hg38.10000	VDR.hg38.10000	10000	22	722
BATF.hg38.10000	RXRA.hg38.10000	10000	21	665
BATF.hg38.10000	TCF7.hg38.10000	10000	21	645
BATF.hg38.10000	ARID3A.hg38.10000	10000	20	945
BATF.hg38.10000	STAT1.hg38.10000	10000	20	557
BATF.hg38.10000	CREB1.hg38.10000	10000	20	397
BATF.hg38.10000	PBX3.hg38.10000	10000	19	730
