TF_a	TF_b	num_site_TF_b	exact	window
BHLHE40.hg38.10000	BHLHE40.hg38.10000	10000	10000	10000
BHLHE40.hg38.10000	USF1.hg38.10000	10000	281	3207
BHLHE40.hg38.10000	USF2.hg38.10000	10000	280	3179
BHLHE40.hg38.10000	MAX.hg38.10000	10000	217	4140
BHLHE40.hg38.10000	MYC.hg38.10000	10000	192	4123
BHLHE40.hg38.10000	MITF.hg38.10000	10000	150	2763
BHLHE40.hg38.10000	MYCN.hg38.10000	10000	140	3643
BHLHE40.hg38.10000	PLAG1.hg38.10000	10000	138	2662
BHLHE40.hg38.10000	MNT.hg38.10000	10000	103	3334
BHLHE40.hg38.10000	HIF1A.hg38.10000	10000	101	2517
BHLHE40.hg38.10000	TFE3.hg38.10000	10000	93	1962
BHLHE40.hg38.10000	ATF3.hg38.10000	10000	92	2071
BHLHE40.hg38.10000	NFE2.hg38.10000	10000	92	1921
BHLHE40.hg38.10000	E2F6.hg38.10000	10000	91	3132
BHLHE40.hg38.10000	MXI1.hg38.10000	10000	83	3130
BHLHE40.hg38.10000	CREB1.hg38.10000	10000	82	3079
BHLHE40.hg38.10000	CREM.hg38.10000	10000	80	2872
BHLHE40.hg38.10000	MLX.hg38.10000	10000	76	1732
BHLHE40.hg38.10000	TCF12.hg38.10000	10000	72	2431
BHLHE40.hg38.10000	SP1.hg38.10000	10000	64	3235
BHLHE40.hg38.10000	ATF1.hg38.10000	10000	64	2253
BHLHE40.hg38.10000	CLOCK.hg38.10000	10000	61	2137
BHLHE40.hg38.10000	E2F4.hg38.10000	10000	53	2636
BHLHE40.hg38.10000	IRF2.hg38.10000	10000	53	1840
BHLHE40.hg38.10000	TFEB.hg38.10000	10000	53	1427
BHLHE40.hg38.10000	SIX5.hg38.10000	10000	52	2329
BHLHE40.hg38.10000	ETS1.hg38.10000	10000	52	2318
BHLHE40.hg38.10000	RBPJ.hg38.10000	10000	51	2680
BHLHE40.hg38.10000	KLF16.hg38.10000	10000	51	1648
BHLHE40.hg38.10000	ETV5.hg38.10000	10000	50	2539
BHLHE40.hg38.10000	GMEB2.hg38.10000	10000	49	2929
BHLHE40.hg38.10000	HIF3A.hg38.10000	10000	49	1105
BHLHE40.hg38.10000	NFYA.hg38.10000	10000	48	2947
BHLHE40.hg38.10000	STAT1.hg38.10000	10000	47	2350
BHLHE40.hg38.10000	RXRA.hg38.10000	10000	47	2250
BHLHE40.hg38.10000	RUNX1.hg38.10000	10000	47	2149
BHLHE40.hg38.10000	FOXM1.hg38.10000	10000	47	1613
BHLHE40.hg38.10000	ARNTL.hg38.10000	10000	47	1560
BHLHE40.hg38.10000	ERG.hg38.10000	10000	46	2674
BHLHE40.hg38.10000	ZBTB14.hg38.10000	10000	46	2498
BHLHE40.hg38.10000	FOXP1.hg38.10000	10000	46	2093
BHLHE40.hg38.10000	JUN.hg38.10000	10000	46	2013
BHLHE40.hg38.10000	THAP11.hg38.10000	10000	45	1886
BHLHE40.hg38.10000	SOX9.hg38.10000	10000	44	1849
BHLHE40.hg38.10000	IKZF5.hg38.10000	10000	44	1518
BHLHE40.hg38.10000	PAX5.hg38.10000	10000	44	1358
BHLHE40.hg38.10000	E2F1.hg38.10000	10000	43	3218
BHLHE40.hg38.10000	KLF5.hg38.10000	10000	43	2482
BHLHE40.hg38.10000	KLF9.hg38.10000	10000	43	2414
BHLHE40.hg38.10000	RARA.hg38.10000	10000	43	2061
BHLHE40.hg38.10000	ZNF143.hg38.10000	10000	42	1995
BHLHE40.hg38.10000	ZBTB26.hg38.10000	10000	40	2589
BHLHE40.hg38.10000	KLF6.hg38.10000	10000	40	2246
BHLHE40.hg38.10000	ZBTB33.hg38.10000	10000	40	2006
BHLHE40.hg38.10000	FOXK2.hg38.10000	10000	40	2000
BHLHE40.hg38.10000	ZNF792.hg38.10000	10000	40	1597
BHLHE40.hg38.10000	STAT3.hg38.10000	10000	39	1606
BHLHE40.hg38.10000	ZNF580.hg38.10000	10000	39	1564
BHLHE40.hg38.10000	TBP.hg38.10000	10000	38	2842
BHLHE40.hg38.10000	MAZ.hg38.10000	10000	38	2394
BHLHE40.hg38.10000	RELA.hg38.10000	10000	38	2105
BHLHE40.hg38.10000	KLF10.hg38.10000	10000	37	2519
BHLHE40.hg38.10000	FOS.hg38.10000	10000	37	1219
BHLHE40.hg38.10000	AHR.hg38.10000	10000	36	854
BHLHE40.hg38.10000	BCL11B.hg38.10000	10000	35	2406
BHLHE40.hg38.10000	NFYC.hg38.10000	10000	35	2250
BHLHE40.hg38.10000	ETV1.hg38.10000	10000	34	2127
BHLHE40.hg38.10000	SMAD4.hg38.10000	10000	34	1569
BHLHE40.hg38.10000	TCF3.hg38.10000	10000	34	1394
BHLHE40.hg38.10000	STAT5A.hg38.10000	10000	34	1382
BHLHE40.hg38.10000	HOMEZ.hg38.10000	10000	34	808
BHLHE40.hg38.10000	E2F8.hg38.10000	10000	33	1689
BHLHE40.hg38.10000	REL.hg38.10000	10000	33	1620
BHLHE40.hg38.10000	ZSCAN9.hg38.10000	10000	33	1526
BHLHE40.hg38.10000	BCL6.hg38.10000	10000	33	1386
BHLHE40.hg38.10000	TFDP1.hg38.10000	10000	32	2454
BHLHE40.hg38.10000	EGR1.hg38.10000	10000	32	2288
BHLHE40.hg38.10000	ARNT.hg38.10000	10000	32	1871
BHLHE40.hg38.10000	RFX5.hg38.10000	10000	32	1706
BHLHE40.hg38.10000	BACH1.hg38.10000	10000	32	1649
BHLHE40.hg38.10000	ZNF574.hg38.10000	10000	32	1593
BHLHE40.hg38.10000	SRF.hg38.10000	10000	32	1318
BHLHE40.hg38.10000	YY1.hg38.10000	10000	31	2479
BHLHE40.hg38.10000	GABPA.hg38.10000	10000	31	2463
BHLHE40.hg38.10000	MYRF.hg38.10000	10000	31	1960
BHLHE40.hg38.10000	NR1H2.hg38.10000	10000	31	1232
BHLHE40.hg38.10000	SP5.hg38.10000	10000	30	2008
BHLHE40.hg38.10000	TFAP4.hg38.10000	10000	30	1675
BHLHE40.hg38.10000	POU2F2.hg38.10000	10000	30	1499
BHLHE40.hg38.10000	TRPS1.hg38.10000	10000	30	1414
BHLHE40.hg38.10000	EPAS1.hg38.10000	10000	30	1139
BHLHE40.hg38.10000	JUND.hg38.10000	10000	30	1124
BHLHE40.hg38.10000	RXRB.hg38.10000	10000	30	887
BHLHE40.hg38.10000	ELF1.hg38.10000	10000	29	2690
BHLHE40.hg38.10000	NRF1.hg38.10000	10000	29	2641
BHLHE40.hg38.10000	E4F1.hg38.10000	10000	29	1836
BHLHE40.hg38.10000	HES1.hg38.10000	10000	29	1080
BHLHE40.hg38.10000	TP53.hg38.10000	10000	29	920
BHLHE40.hg38.10000	TEAD3.hg38.10000	10000	29	679
BHLHE40.hg38.10000	KLF15.hg38.10000	10000	28	1848
BHLHE40.hg38.10000	SOX4.hg38.10000	10000	28	1803
BHLHE40.hg38.10000	MIXL1.hg38.10000	10000	28	967
BHLHE40.hg38.10000	TBX21.hg38.10000	10000	28	957
BHLHE40.hg38.10000	ELK4.hg38.10000	10000	27	2026
