TF_a	TF_b	num_site_TF_b	exact	window
BPTF.hg38.10000	BPTF.hg38.10000	10000	10000	10000
BPTF.hg38.10000	EPAS1.hg38.10000	10000	11	146
BPTF.hg38.10000	PGR.hg38.10000	10000	10	470
BPTF.hg38.10000	NR2C2.hg38.10000	10000	10	142
BPTF.hg38.10000	ZNF274.hg38.10000	10000	9	184
BPTF.hg38.10000	FOXM1.hg38.10000	10000	7	284
BPTF.hg38.10000	NR1H2.hg38.10000	10000	7	179
BPTF.hg38.10000	PPARD.hg38.10000	10000	7	159
BPTF.hg38.10000	TP53.hg38.10000	10000	7	148
BPTF.hg38.10000	ASCL1.hg38.10000	10000	7	128
BPTF.hg38.10000	ZNF680.hg38.10000	10000	7	102
BPTF.hg38.10000	NR3C1.hg38.10000	10000	6	261
BPTF.hg38.10000	VDR.hg38.10000	10000	6	171
BPTF.hg38.10000	REL.hg38.10000	10000	6	147
BPTF.hg38.10000	ZBTB33.hg38.10000	10000	6	143
BPTF.hg38.10000	HEY1.hg38.10000	10000	6	141
BPTF.hg38.10000	NFATC1.hg38.10000	10000	6	110
BPTF.hg38.10000	RARG.hg38.10000	10000	5	224
BPTF.hg38.10000	ASCL2.hg38.10000	10000	5	212
BPTF.hg38.10000	ERG.hg38.10000	10000	5	182
BPTF.hg38.10000	RARA.hg38.10000	10000	5	178
BPTF.hg38.10000	HIF1A.hg38.10000	10000	5	175
BPTF.hg38.10000	RXRA.hg38.10000	10000	5	175
BPTF.hg38.10000	CEBPA.hg38.10000	10000	5	165
BPTF.hg38.10000	ELK4.hg38.10000	10000	5	161
BPTF.hg38.10000	ZEB1.hg38.10000	10000	5	152
BPTF.hg38.10000	ZNF324.hg38.10000	10000	5	133
BPTF.hg38.10000	ZNF143.hg38.10000	10000	5	131
BPTF.hg38.10000	SOX2.hg38.10000	10000	5	123
BPTF.hg38.10000	MECOM.hg38.10000	10000	5	114
BPTF.hg38.10000	DDIT3.hg38.10000	10000	5	110
BPTF.hg38.10000	ZNF184.hg38.10000	10000	5	89
BPTF.hg38.10000	ESR1.hg38.10000	10000	4	239
BPTF.hg38.10000	AR.hg38.10000	10000	4	231
BPTF.hg38.10000	RELA.hg38.10000	10000	4	187
BPTF.hg38.10000	NR5A2.hg38.10000	10000	4	184
BPTF.hg38.10000	CEBPG.hg38.10000	10000	4	182
BPTF.hg38.10000	EHF.hg38.10000	10000	4	154
BPTF.hg38.10000	FOXK1.hg38.10000	10000	4	153
BPTF.hg38.10000	TCF7L2.hg38.10000	10000	4	147
BPTF.hg38.10000	ZBTB17.hg38.10000	10000	4	136
BPTF.hg38.10000	KLF6.hg38.10000	10000	4	133
BPTF.hg38.10000	STAT6.hg38.10000	10000	4	131
BPTF.hg38.10000	ZNF778.hg38.10000	10000	4	128
BPTF.hg38.10000	SPDEF.hg38.10000	10000	4	121
BPTF.hg38.10000	KMT2A.hg38.10000	10000	4	120
BPTF.hg38.10000	SETDB1.hg38.10000	10000	4	118
BPTF.hg38.10000	XBP1.hg38.10000	10000	4	117
BPTF.hg38.10000	NFKB2.hg38.10000	10000	4	90
BPTF.hg38.10000	ZNF449.hg38.10000	10000	4	74
