TF_a	TF_b	num_site_TF_b	exact	window
CEBPB.hg38.10000	CEBPB.hg38.10000	10000	10000	10000
CEBPB.hg38.10000	CEBPG.hg38.10000	10000	1178	5353
CEBPB.hg38.10000	CEBPA.hg38.10000	10000	973	4718
CEBPB.hg38.10000	CEBPD.hg38.10000	10000	355	2623
CEBPB.hg38.10000	HES2.hg38.10000	10000	294	3665
CEBPB.hg38.10000	HLF.hg38.10000	10000	226	1422
CEBPB.hg38.10000	DDIT3.hg38.10000	10000	188	1831
CEBPB.hg38.10000	ATF3.hg38.10000	10000	186	1965
CEBPB.hg38.10000	NFIL3.hg38.10000	10000	116	1534
CEBPB.hg38.10000	ATF4.hg38.10000	10000	90	1049
CEBPB.hg38.10000	JUNB.hg38.10000	10000	57	1723
CEBPB.hg38.10000	JUN.hg38.10000	10000	54	1501
CEBPB.hg38.10000	FOSL2.hg38.10000	10000	45	1517
CEBPB.hg38.10000	STAT3.hg38.10000	10000	39	1635
CEBPB.hg38.10000	NR3C1.hg38.10000	10000	39	1361
CEBPB.hg38.10000	BATF.hg38.10000	10000	36	489
CEBPB.hg38.10000	TFE3.hg38.10000	10000	35	844
CEBPB.hg38.10000	JUND.hg38.10000	10000	34	1234
CEBPB.hg38.10000	PPARG.hg38.10000	10000	34	1026
CEBPB.hg38.10000	RXRA.hg38.10000	10000	33	1316
CEBPB.hg38.10000	NR1H2.hg38.10000	10000	33	1220
CEBPB.hg38.10000	TEAD4.hg38.10000	10000	32	848
CEBPB.hg38.10000	NR1H3.hg38.10000	10000	31	929
CEBPB.hg38.10000	SOX13.hg38.10000	10000	31	884
CEBPB.hg38.10000	ZSCAN9.hg38.10000	10000	31	796
CEBPB.hg38.10000	ATF7.hg38.10000	10000	31	540
CEBPB.hg38.10000	NFKB1.hg38.10000	10000	30	974
CEBPB.hg38.10000	ZFP1.hg38.10000	10000	30	829
CEBPB.hg38.10000	SREBF2.hg38.10000	10000	29	1079
CEBPB.hg38.10000	ETV5.hg38.10000	10000	27	1024
CEBPB.hg38.10000	E2F7.hg38.10000	10000	27	958
CEBPB.hg38.10000	SMAD3.hg38.10000	10000	26	1070
CEBPB.hg38.10000	FOSL1.hg38.10000	10000	26	951
CEBPB.hg38.10000	MYBL2.hg38.10000	10000	26	827
CEBPB.hg38.10000	HMG20A.hg38.10000	10000	26	772
CEBPB.hg38.10000	TCF12.hg38.10000	10000	24	841
CEBPB.hg38.10000	ETV4.hg38.10000	10000	24	770
CEBPB.hg38.10000	MLX.hg38.10000	10000	23	753
CEBPB.hg38.10000	FOS.hg38.10000	10000	22	1097
CEBPB.hg38.10000	ZNF792.hg38.10000	10000	22	752
CEBPB.hg38.10000	THAP11.hg38.10000	10000	22	637
CEBPB.hg38.10000	STAT1.hg38.10000	10000	21	907
CEBPB.hg38.10000	CREM.hg38.10000	10000	21	773
CEBPB.hg38.10000	SOX5.hg38.10000	10000	21	633
CEBPB.hg38.10000	FOXP1.hg38.10000	10000	21	624
CEBPB.hg38.10000	TEAD1.hg38.10000	10000	20	864
CEBPB.hg38.10000	CREB1.hg38.10000	10000	20	833
CEBPB.hg38.10000	LYL1.hg38.10000	10000	20	722
CEBPB.hg38.10000	EHF.hg38.10000	10000	19	927
CEBPB.hg38.10000	RELA.hg38.10000	10000	19	859
CEBPB.hg38.10000	KLF6.hg38.10000	10000	19	762
CEBPB.hg38.10000	HOMEZ.hg38.10000	10000	19	630
CEBPB.hg38.10000	TRPS1.hg38.10000	10000	18	972
CEBPB.hg38.10000	RXRB.hg38.10000	10000	18	662
CEBPB.hg38.10000	ZNF701.hg38.10000	10000	18	654
CEBPB.hg38.10000	FOXA3.hg38.10000	10000	18	623
CEBPB.hg38.10000	TEAD3.hg38.10000	10000	18	605
CEBPB.hg38.10000	HIF1A.hg38.10000	10000	16	840
CEBPB.hg38.10000	ATF1.hg38.10000	10000	16	790
CEBPB.hg38.10000	KLF10.hg38.10000	10000	16	766
CEBPB.hg38.10000	ARID3A.hg38.10000	10000	16	765
CEBPB.hg38.10000	MIXL1.hg38.10000	10000	16	573
CEBPB.hg38.10000	NR4A1.hg38.10000	10000	16	456
CEBPB.hg38.10000	EPAS1.hg38.10000	10000	15	820
CEBPB.hg38.10000	ZBTB16.hg38.10000	10000	15	594
CEBPB.hg38.10000	ZNF554.hg38.10000	10000	15	534
CEBPB.hg38.10000	HSF1.hg38.10000	10000	15	519
CEBPB.hg38.10000	IRF1.hg38.10000	10000	14	904
CEBPB.hg38.10000	VDR.hg38.10000	10000	14	858
CEBPB.hg38.10000	RARA.hg38.10000	10000	14	857
CEBPB.hg38.10000	SMAD4.hg38.10000	10000	14	742
CEBPB.hg38.10000	RBPJ.hg38.10000	10000	14	699
CEBPB.hg38.10000	ELK4.hg38.10000	10000	13	867
