TF_a	TF_b	num_site_TF_b	exact	window
CEBPD.hg38.10000	CEBPD.hg38.10000	10000	10000	10000
CEBPD.hg38.10000	GATA1.hg38.10000	10000	594	4821
CEBPD.hg38.10000	TAL1.hg38.10000	10000	451	4358
CEBPD.hg38.10000	CEBPB.hg38.10000	10000	355	2675
CEBPD.hg38.10000	SMAD1.hg38.10000	10000	323	3437
CEBPD.hg38.10000	STAT5A.hg38.10000	10000	272	3327
CEBPD.hg38.10000	CEBPG.hg38.10000	10000	269	2365
CEBPD.hg38.10000	CEBPA.hg38.10000	10000	264	2188
CEBPD.hg38.10000	KLF16.hg38.10000	10000	185	2684
CEBPD.hg38.10000	SOX6.hg38.10000	10000	153	3270
CEBPD.hg38.10000	GATA2.hg38.10000	10000	149	1804
CEBPD.hg38.10000	NFIL3.hg38.10000	10000	78	970
CEBPD.hg38.10000	ZEB2.hg38.10000	10000	77	2279
CEBPD.hg38.10000	MYNN.hg38.10000	10000	73	1773
CEBPD.hg38.10000	GATA4.hg38.10000	10000	69	1204
CEBPD.hg38.10000	HES2.hg38.10000	10000	68	1247
CEBPD.hg38.10000	FOXO3.hg38.10000	10000	67	1394
CEBPD.hg38.10000	ATF3.hg38.10000	10000	67	1316
CEBPD.hg38.10000	HLF.hg38.10000	10000	65	788
CEBPD.hg38.10000	SMAD5.hg38.10000	10000	64	1287
CEBPD.hg38.10000	DDIT3.hg38.10000	10000	61	853
CEBPD.hg38.10000	TCF12.hg38.10000	10000	59	1623
CEBPD.hg38.10000	GATA6.hg38.10000	10000	57	1139
CEBPD.hg38.10000	HES1.hg38.10000	10000	55	1372
CEBPD.hg38.10000	LYL1.hg38.10000	10000	55	1158
CEBPD.hg38.10000	MBD2.hg38.10000	10000	52	1105
CEBPD.hg38.10000	STAT2.hg38.10000	10000	50	1584
CEBPD.hg38.10000	STAT1.hg38.10000	10000	44	1360
CEBPD.hg38.10000	NFE2.hg38.10000	10000	42	1543
CEBPD.hg38.10000	VEZF1.hg38.10000	10000	42	1311
CEBPD.hg38.10000	REST.hg38.10000	10000	42	718
CEBPD.hg38.10000	ZBTB7A.hg38.10000	10000	37	1840
CEBPD.hg38.10000	JUN.hg38.10000	10000	37	1229
CEBPD.hg38.10000	POU2F2.hg38.10000	10000	37	801
CEBPD.hg38.10000	ATF4.hg38.10000	10000	37	538
CEBPD.hg38.10000	HMBOX1.hg38.10000	10000	35	1388
CEBPD.hg38.10000	ARNT.hg38.10000	10000	35	1292
CEBPD.hg38.10000	SMAD4.hg38.10000	10000	34	972
CEBPD.hg38.10000	CREM.hg38.10000	10000	33	1240
CEBPD.hg38.10000	ETS1.hg38.10000	10000	32	1029
CEBPD.hg38.10000	FOXK2.hg38.10000	10000	30	1568
CEBPD.hg38.10000	HEY1.hg38.10000	10000	30	1086
CEBPD.hg38.10000	MYBL2.hg38.10000	10000	30	942
CEBPD.hg38.10000	TRPS1.hg38.10000	10000	30	877
CEBPD.hg38.10000	ATF1.hg38.10000	10000	29	1075
CEBPD.hg38.10000	IRF2.hg38.10000	10000	29	928
CEBPD.hg38.10000	CREB1.hg38.10000	10000	28	1193
CEBPD.hg38.10000	ZNF792.hg38.10000	10000	27	936
CEBPD.hg38.10000	RUNX1.hg38.10000	10000	26	1166
CEBPD.hg38.10000	STAT3.hg38.10000	10000	26	1074
CEBPD.hg38.10000	YY1.hg38.10000	10000	25	988
CEBPD.hg38.10000	FOXP1.hg38.10000	10000	25	908
CEBPD.hg38.10000	SOX17.hg38.10000	10000	25	575
CEBPD.hg38.10000	RXRA.hg38.10000	10000	24	1285
CEBPD.hg38.10000	KLF10.hg38.10000	10000	24	1190
CEBPD.hg38.10000	MYB.hg38.10000	10000	24	930
CEBPD.hg38.10000	JUND.hg38.10000	10000	24	768
CEBPD.hg38.10000	GATA3.hg38.10000	10000	24	560
CEBPD.hg38.10000	ZFP1.hg38.10000	10000	23	821
CEBPD.hg38.10000	SOX13.hg38.10000	10000	23	820
CEBPD.hg38.10000	NEUROD1.hg38.10000	10000	23	675
CEBPD.hg38.10000	LEF1.hg38.10000	10000	22	1028
CEBPD.hg38.10000	TFE3.hg38.10000	10000	22	830
CEBPD.hg38.10000	TCF3.hg38.10000	10000	22	697
CEBPD.hg38.10000	ZKSCAN1.hg38.10000	10000	22	639
CEBPD.hg38.10000	MXI1.hg38.10000	10000	21	1143
CEBPD.hg38.10000	ETV5.hg38.10000	10000	21	1128
CEBPD.hg38.10000	GABPA.hg38.10000	10000	21	1022
CEBPD.hg38.10000	THAP11.hg38.10000	10000	21	864
CEBPD.hg38.10000	MLX.hg38.10000	10000	21	861
CEBPD.hg38.10000	ZNF184.hg38.10000	10000	21	808
CEBPD.hg38.10000	ZNF580.hg38.10000	10000	21	767
CEBPD.hg38.10000	NR2F6.hg38.10000	10000	21	674
CEBPD.hg38.10000	TCF7.hg38.10000	10000	21	660
CEBPD.hg38.10000	RXRB.hg38.10000	10000	21	601
CEBPD.hg38.10000	MEIS2.hg38.10000	10000	20	1181
CEBPD.hg38.10000	MYC.hg38.10000	10000	20	1139
CEBPD.hg38.10000	BACH1.hg38.10000	10000	20	1084
CEBPD.hg38.10000	RBPJ.hg38.10000	10000	20	1021
CEBPD.hg38.10000	TCF7L2.hg38.10000	10000	20	769
CEBPD.hg38.10000	GFI1B.hg38.10000	10000	19	1378
CEBPD.hg38.10000	NFATC3.hg38.10000	10000	19	1076
CEBPD.hg38.10000	MECOM.hg38.10000	10000	19	1071
CEBPD.hg38.10000	RELA.hg38.10000	10000	19	1046
CEBPD.hg38.10000	SIX5.hg38.10000	10000	19	975
CEBPD.hg38.10000	ETV4.hg38.10000	10000	19	950
CEBPD.hg38.10000	FOS.hg38.10000	10000	19	881
CEBPD.hg38.10000	ZBTB11.hg38.10000	10000	19	846
CEBPD.hg38.10000	ZNF3.hg38.10000	10000	19	811
CEBPD.hg38.10000	PPARG.hg38.10000	10000	19	729
CEBPD.hg38.10000	E2F4.hg38.10000	10000	18	1178
CEBPD.hg38.10000	GMEB2.hg38.10000	10000	18	1079
CEBPD.hg38.10000	KLF5.hg38.10000	10000	18	985
CEBPD.hg38.10000	MYCN.hg38.10000	10000	18	953
CEBPD.hg38.10000	NR1H2.hg38.10000	10000	18	878
CEBPD.hg38.10000	E2F7.hg38.10000	10000	18	750
CEBPD.hg38.10000	FOSB.hg38.10000	10000	18	713
CEBPD.hg38.10000	JUNB.hg38.10000	10000	18	692
CEBPD.hg38.10000	HMG20A.hg38.10000	10000	18	690
CEBPD.hg38.10000	ZNF324.hg38.10000	10000	18	683
CEBPD.hg38.10000	SP4.hg38.10000	10000	18	651
CEBPD.hg38.10000	REL.hg38.10000	10000	18	628
CEBPD.hg38.10000	ZNF701.hg38.10000	10000	18	625
CEBPD.hg38.10000	ATF7.hg38.10000	10000	18	460
CEBPD.hg38.10000	TFDP1.hg38.10000	10000	17	1043
CEBPD.hg38.10000	NFATC1.hg38.10000	10000	17	1023
CEBPD.hg38.10000	ERG.hg38.10000	10000	17	1005
CEBPD.hg38.10000	VDR.hg38.10000	10000	17	911
CEBPD.hg38.10000	FLI1.hg38.10000	10000	17	839
CEBPD.hg38.10000	IRF1.hg38.10000	10000	17	753
CEBPD.hg38.10000	KLF1.hg38.10000	10000	17	684
CEBPD.hg38.10000	FOSL2.hg38.10000	10000	17	666
CEBPD.hg38.10000	ZBTB17.hg38.10000	10000	17	624
CEBPD.hg38.10000	MIXL1.hg38.10000	10000	17	622
CEBPD.hg38.10000	HOMEZ.hg38.10000	10000	17	553
CEBPD.hg38.10000	NR1H3.hg38.10000	10000	17	513
CEBPD.hg38.10000	ELF4.hg38.10000	10000	16	1304
CEBPD.hg38.10000	MAX.hg38.10000	10000	16	1014
CEBPD.hg38.10000	RARA.hg38.10000	10000	16	945
CEBPD.hg38.10000	MYRF.hg38.10000	10000	16	854
CEBPD.hg38.10000	RFX5.hg38.10000	10000	16	819
CEBPD.hg38.10000	SREBF2.hg38.10000	10000	16	785
CEBPD.hg38.10000	NR2C2.hg38.10000	10000	16	766
