TF_a	TF_b	num_site_TF_b	exact	window
CEBPG.hg38.10000	CEBPG.hg38.10000	10000	10000	10000
CEBPG.hg38.10000	CEBPB.hg38.10000	10000	1178	5357
CEBPG.hg38.10000	CEBPA.hg38.10000	10000	476	3238
CEBPG.hg38.10000	CEBPD.hg38.10000	10000	269	2327
CEBPG.hg38.10000	ATF4.hg38.10000	10000	245	2341
CEBPG.hg38.10000	ATF3.hg38.10000	10000	195	1821
CEBPG.hg38.10000	DDIT3.hg38.10000	10000	171	1575
CEBPG.hg38.10000	HLF.hg38.10000	10000	169	1295
CEBPG.hg38.10000	NFIL3.hg38.10000	10000	134	1473
CEBPG.hg38.10000	HES2.hg38.10000	10000	118	1892
CEBPG.hg38.10000	ATF7.hg38.10000	10000	58	682
CEBPG.hg38.10000	BATF.hg38.10000	10000	42	414
CEBPG.hg38.10000	STAT3.hg38.10000	10000	29	886
CEBPG.hg38.10000	ZFP1.hg38.10000	10000	28	709
CEBPG.hg38.10000	FOXA3.hg38.10000	10000	27	600
CEBPG.hg38.10000	ATF2.hg38.10000	10000	26	303
CEBPG.hg38.10000	CREM.hg38.10000	10000	25	646
CEBPG.hg38.10000	ZNF792.hg38.10000	10000	25	635
CEBPG.hg38.10000	JUN.hg38.10000	10000	24	854
CEBPG.hg38.10000	ETV5.hg38.10000	10000	23	674
CEBPG.hg38.10000	SOX13.hg38.10000	10000	22	692
CEBPG.hg38.10000	JUND.hg38.10000	10000	21	677
CEBPG.hg38.10000	SMAD4.hg38.10000	10000	21	574
CEBPG.hg38.10000	TFE3.hg38.10000	10000	20	677
CEBPG.hg38.10000	ZSCAN9.hg38.10000	10000	20	634
CEBPG.hg38.10000	HMG20A.hg38.10000	10000	20	620
CEBPG.hg38.10000	MYBL2.hg38.10000	10000	19	642
CEBPG.hg38.10000	RARA.hg38.10000	10000	19	606
CEBPG.hg38.10000	ARID3A.hg38.10000	10000	19	589
CEBPG.hg38.10000	SOX5.hg38.10000	10000	19	545
CEBPG.hg38.10000	RXRA.hg38.10000	10000	18	842
CEBPG.hg38.10000	TRPS1.hg38.10000	10000	18	622
CEBPG.hg38.10000	NR1H3.hg38.10000	10000	18	554
CEBPG.hg38.10000	NR1H2.hg38.10000	10000	17	781
CEBPG.hg38.10000	JUNB.hg38.10000	10000	17	762
CEBPG.hg38.10000	FOSL2.hg38.10000	10000	17	693
CEBPG.hg38.10000	CREB1.hg38.10000	10000	17	676
CEBPG.hg38.10000	RXRB.hg38.10000	10000	17	550
CEBPG.hg38.10000	NR2F6.hg38.10000	10000	16	553
CEBPG.hg38.10000	THAP11.hg38.10000	10000	16	517
CEBPG.hg38.10000	ATF1.hg38.10000	10000	15	718
CEBPG.hg38.10000	PPARG.hg38.10000	10000	14	675
CEBPG.hg38.10000	NR2F2.hg38.10000	10000	14	538
CEBPG.hg38.10000	TEAD1.hg38.10000	10000	14	459
CEBPG.hg38.10000	LYL1.hg38.10000	10000	14	444
CEBPG.hg38.10000	KLF10.hg38.10000	10000	13	608
CEBPG.hg38.10000	MLX.hg38.10000	10000	13	607
CEBPG.hg38.10000	IRF2.hg38.10000	10000	13	555
CEBPG.hg38.10000	GMEB2.hg38.10000	10000	13	486
CEBPG.hg38.10000	BATF3.hg38.10000	10000	13	265
CEBPG.hg38.10000	SREBF2.hg38.10000	10000	12	699
CEBPG.hg38.10000	FOS.hg38.10000	10000	12	616
CEBPG.hg38.10000	HOMEZ.hg38.10000	10000	12	538
CEBPG.hg38.10000	MIXL1.hg38.10000	10000	12	520
CEBPG.hg38.10000	NFKB1.hg38.10000	10000	12	516
CEBPG.hg38.10000	RBPJ.hg38.10000	10000	12	503
CEBPG.hg38.10000	TFAP4.hg38.10000	10000	12	483
CEBPG.hg38.10000	TEAD4.hg38.10000	10000	12	447
CEBPG.hg38.10000	ZNF554.hg38.10000	10000	12	420
CEBPG.hg38.10000	KLF6.hg38.10000	10000	11	579
CEBPG.hg38.10000	SMAD3.hg38.10000	10000	11	530
CEBPG.hg38.10000	RUNX1.hg38.10000	10000	11	514
CEBPG.hg38.10000	TEAD3.hg38.10000	10000	11	467
CEBPG.hg38.10000	AHR.hg38.10000	10000	11	443
CEBPG.hg38.10000	SMAD1.hg38.10000	10000	11	442
CEBPG.hg38.10000	NR3C1.hg38.10000	10000	10	702
CEBPG.hg38.10000	ZEB2.hg38.10000	10000	10	611
CEBPG.hg38.10000	SOX6.hg38.10000	10000	10	559
CEBPG.hg38.10000	ZNF701.hg38.10000	10000	10	556
CEBPG.hg38.10000	RELA.hg38.10000	10000	10	554
CEBPG.hg38.10000	ZNF580.hg38.10000	10000	10	534
CEBPG.hg38.10000	FOXP1.hg38.10000	10000	10	502
CEBPG.hg38.10000	ELF3.hg38.10000	10000	10	499
CEBPG.hg38.10000	GABPA.hg38.10000	10000	10	487
CEBPG.hg38.10000	NFE2.hg38.10000	10000	10	464
CEBPG.hg38.10000	FOSL1.hg38.10000	10000	10	462
CEBPG.hg38.10000	NR2F1.hg38.10000	10000	10	461
CEBPG.hg38.10000	MNT.hg38.10000	10000	10	450
CEBPG.hg38.10000	ZNF574.hg38.10000	10000	10	448
CEBPG.hg38.10000	STAT6.hg38.10000	10000	10	409
CEBPG.hg38.10000	ZNF324.hg38.10000	10000	10	387
CEBPG.hg38.10000	MYB.hg38.10000	10000	10	360
CEBPG.hg38.10000	STAT1.hg38.10000	10000	9	633
CEBPG.hg38.10000	IRF1.hg38.10000	10000	9	571
CEBPG.hg38.10000	VDR.hg38.10000	10000	9	554
CEBPG.hg38.10000	MYRF.hg38.10000	10000	9	539
CEBPG.hg38.10000	FOXK2.hg38.10000	10000	9	538
CEBPG.hg38.10000	KLF16.hg38.10000	10000	9	469
CEBPG.hg38.10000	ETV1.hg38.10000	10000	9	463
CEBPG.hg38.10000	BACH1.hg38.10000	10000	9	446
CEBPG.hg38.10000	MECOM.hg38.10000	10000	9	440
CEBPG.hg38.10000	ZNF652.hg38.10000	10000	9	393
CEBPG.hg38.10000	ESRRA.hg38.10000	10000	9	348
CEBPG.hg38.10000	NR4A1.hg38.10000	10000	9	302
CEBPG.hg38.10000	ELK4.hg38.10000	10000	8	597
CEBPG.hg38.10000	FOXM1.hg38.10000	10000	8	569
CEBPG.hg38.10000	ETV4.hg38.10000	10000	8	536
CEBPG.hg38.10000	HIF1A.hg38.10000	10000	8	527
CEBPG.hg38.10000	THRB.hg38.10000	10000	8	484
CEBPG.hg38.10000	MAX.hg38.10000	10000	8	473
CEBPG.hg38.10000	FOXA2.hg38.10000	10000	8	458
CEBPG.hg38.10000	ZNF217.hg38.10000	10000	8	458
CEBPG.hg38.10000	E2F1.hg38.10000	10000	8	450
CEBPG.hg38.10000	TCF7.hg38.10000	10000	8	435
CEBPG.hg38.10000	KLF5.hg38.10000	10000	8	423
CEBPG.hg38.10000	PGR.hg38.10000	10000	8	416
CEBPG.hg38.10000	FOXO3.hg38.10000	10000	8	413
CEBPG.hg38.10000	NKX2-1.hg38.10000	10000	8	411
CEBPG.hg38.10000	HSF1.hg38.10000	10000	8	384
CEBPG.hg38.10000	NFIA.hg38.10000	10000	8	372
CEBPG.hg38.10000	CDX2.hg38.10000	10000	8	345
CEBPG.hg38.10000	HOXC5.hg38.10000	10000	8	323
CEBPG.hg38.10000	E2F7.hg38.10000	10000	7	548
CEBPG.hg38.10000	TBP.hg38.10000	10000	7	494
CEBPG.hg38.10000	STAT5A.hg38.10000	10000	7	396
CEBPG.hg38.10000	SP2.hg38.10000	10000	7	389
CEBPG.hg38.10000	SP5.hg38.10000	10000	7	385
CEBPG.hg38.10000	PBX4.hg38.10000	10000	7	381
CEBPG.hg38.10000	HMBOX1.hg38.10000	10000	7	370
CEBPG.hg38.10000	IKZF1.hg38.10000	10000	7	353
CEBPG.hg38.10000	FEZF1.hg38.10000	10000	7	276
CEBPG.hg38.10000	RFX5.hg38.10000	10000	6	541
CEBPG.hg38.10000	ZNF3.hg38.10000	10000	6	528
CEBPG.hg38.10000	SOX4.hg38.10000	10000	6	465
CEBPG.hg38.10000	VEZF1.hg38.10000	10000	6	464
CEBPG.hg38.10000	NFYC.hg38.10000	10000	6	463
CEBPG.hg38.10000	MXI1.hg38.10000	10000	6	430
CEBPG.hg38.10000	SOX9.hg38.10000	10000	6	427
CEBPG.hg38.10000	ZBTB33.hg38.10000	10000	6	390
CEBPG.hg38.10000	ZBTB16.hg38.10000	10000	6	388
CEBPG.hg38.10000	GFI1.hg38.10000	10000	6	378
CEBPG.hg38.10000	TCF7L2.hg38.10000	10000	6	368
CEBPG.hg38.10000	KLF4.hg38.10000	10000	6	359
CEBPG.hg38.10000	GATA3.hg38.10000	10000	6	349
