TF_a	TF_b	num_site_TF_b	exact	window
DDIT3.hg38.10000	DDIT3.hg38.10000	10000	10000	10000
DDIT3.hg38.10000	CEBPB.hg38.10000	10000	188	1834
DDIT3.hg38.10000	CEBPG.hg38.10000	10000	171	1577
DDIT3.hg38.10000	CEBPA.hg38.10000	10000	109	1149
DDIT3.hg38.10000	ATF3.hg38.10000	10000	97	1658
DDIT3.hg38.10000	USF1.hg38.10000	10000	75	790
DDIT3.hg38.10000	USF2.hg38.10000	10000	71	758
DDIT3.hg38.10000	CEBPD.hg38.10000	10000	61	843
DDIT3.hg38.10000	PLAG1.hg38.10000	10000	59	627
DDIT3.hg38.10000	HES2.hg38.10000	10000	55	1408
DDIT3.hg38.10000	ATF4.hg38.10000	10000	53	1320
DDIT3.hg38.10000	JUN.hg38.10000	10000	38	1253
DDIT3.hg38.10000	NFE2.hg38.10000	10000	35	634
DDIT3.hg38.10000	JUNB.hg38.10000	10000	34	1445
DDIT3.hg38.10000	FOSL2.hg38.10000	10000	32	1384
DDIT3.hg38.10000	MITF.hg38.10000	10000	31	607
DDIT3.hg38.10000	HLF.hg38.10000	10000	31	383
DDIT3.hg38.10000	NFIL3.hg38.10000	10000	29	430
DDIT3.hg38.10000	FOSL1.hg38.10000	10000	28	1208
DDIT3.hg38.10000	JUND.hg38.10000	10000	28	1202
DDIT3.hg38.10000	FOS.hg38.10000	10000	28	1191
DDIT3.hg38.10000	SMAD3.hg38.10000	10000	26	1336
DDIT3.hg38.10000	TEAD4.hg38.10000	10000	24	1024
DDIT3.hg38.10000	STAT3.hg38.10000	10000	22	1049
DDIT3.hg38.10000	HIF1A.hg38.10000	10000	20	740
DDIT3.hg38.10000	NR1H3.hg38.10000	10000	20	642
DDIT3.hg38.10000	MAX.hg38.10000	10000	20	533
DDIT3.hg38.10000	BHLHE40.hg38.10000	10000	19	615
DDIT3.hg38.10000	TEAD1.hg38.10000	10000	18	949
DDIT3.hg38.10000	NR1H2.hg38.10000	10000	18	830
DDIT3.hg38.10000	TRPS1.hg38.10000	10000	18	803
DDIT3.hg38.10000	TFEB.hg38.10000	10000	18	767
DDIT3.hg38.10000	NR3C1.hg38.10000	10000	18	731
DDIT3.hg38.10000	MNT.hg38.10000	10000	18	487
DDIT3.hg38.10000	E2F7.hg38.10000	10000	16	989
