TF_a	TF_b	num_site_TF_b	exact	window
E2F4.hg38.10000	E2F4.hg38.10000	10000	10000	10000
E2F4.hg38.10000	E2F1.hg38.10000	10000	312	6203
E2F4.hg38.10000	TFDP1.hg38.10000	10000	187	4984
E2F4.hg38.10000	E2F6.hg38.10000	10000	119	4235
E2F4.hg38.10000	MAX.hg38.10000	10000	92	4615
E2F4.hg38.10000	SP1.hg38.10000	10000	88	5049
E2F4.hg38.10000	CREB1.hg38.10000	10000	82	4748
E2F4.hg38.10000	CREM.hg38.10000	10000	77	3916
E2F4.hg38.10000	MYCN.hg38.10000	10000	74	4032
E2F4.hg38.10000	MYC.hg38.10000	10000	72	4683
E2F4.hg38.10000	TBP.hg38.10000	10000	71	4611
E2F4.hg38.10000	RBPJ.hg38.10000	10000	71	3956
E2F4.hg38.10000	ELF1.hg38.10000	10000	70	4185
E2F4.hg38.10000	ZNF143.hg38.10000	10000	69	3209
E2F4.hg38.10000	NFYA.hg38.10000	10000	64	4283
E2F4.hg38.10000	GMEB2.hg38.10000	10000	62	4393
E2F4.hg38.10000	ERG.hg38.10000	10000	62	3759
E2F4.hg38.10000	ZBTB33.hg38.10000	10000	60	2880
E2F4.hg38.10000	SP2.hg38.10000	10000	57	3909
E2F4.hg38.10000	KLF9.hg38.10000	10000	57	3373
E2F4.hg38.10000	STAT1.hg38.10000	10000	57	3123
E2F4.hg38.10000	KLF10.hg38.10000	10000	56	3780
E2F4.hg38.10000	YY1.hg38.10000	10000	55	3967
E2F4.hg38.10000	FOXM1.hg38.10000	10000	55	2437
E2F4.hg38.10000	NRF1.hg38.10000	10000	54	4138
E2F4.hg38.10000	GABPA.hg38.10000	10000	54	3974
E2F4.hg38.10000	ZBTB14.hg38.10000	10000	54	3291
E2F4.hg38.10000	ATF1.hg38.10000	10000	54	3234
E2F4.hg38.10000	IRF2.hg38.10000	10000	54	2562
E2F4.hg38.10000	KLF5.hg38.10000	10000	53	3359
E2F4.hg38.10000	BHLHE40.hg38.10000	10000	53	2772
E2F4.hg38.10000	NFYC.hg38.10000	10000	52	3775
E2F4.hg38.10000	BCL11B.hg38.10000	10000	52	3425
E2F4.hg38.10000	ZFP42.hg38.10000	10000	50	3086
E2F4.hg38.10000	SP4.hg38.10000	10000	50	2963
E2F4.hg38.10000	RUNX1.hg38.10000	10000	49	2774
E2F4.hg38.10000	SP5.hg38.10000	10000	48	2889
E2F4.hg38.10000	TCF12.hg38.10000	10000	47	2717
E2F4.hg38.10000	SOX9.hg38.10000	10000	47	2601
E2F4.hg38.10000	HIF1A.hg38.10000	10000	47	2471
E2F4.hg38.10000	ZNF580.hg38.10000	10000	46	1954
E2F4.hg38.10000	THAP11.hg38.10000	10000	44	2948
E2F4.hg38.10000	ZNF574.hg38.10000	10000	44	2188
