TF_a	TF_b	num_site_TF_b	exact	window
EHF.hg38.10000	EHF.hg38.10000	10000	10000	10000
EHF.hg38.10000	ELF3.hg38.10000	10000	184	3219
EHF.hg38.10000	ELF1.hg38.10000	10000	165	3097
EHF.hg38.10000	GABPA.hg38.10000	10000	111	2559
EHF.hg38.10000	FLI1.hg38.10000	10000	79	2096
EHF.hg38.10000	ERG.hg38.10000	10000	75	2510
EHF.hg38.10000	ELF4.hg38.10000	10000	73	2400
EHF.hg38.10000	ETV1.hg38.10000	10000	70	2285
EHF.hg38.10000	ETS1.hg38.10000	10000	69	2353
EHF.hg38.10000	E4F1.hg38.10000	10000	63	2053
EHF.hg38.10000	ELK4.hg38.10000	10000	56	2440
EHF.hg38.10000	RBPJ.hg38.10000	10000	52	1921
EHF.hg38.10000	RELA.hg38.10000	10000	52	1792
EHF.hg38.10000	SPI1.hg38.10000	10000	52	968
EHF.hg38.10000	ETV4.hg38.10000	10000	49	1806
EHF.hg38.10000	KLF10.hg38.10000	10000	45	1883
EHF.hg38.10000	STAT3.hg38.10000	10000	43	2200
EHF.hg38.10000	STAT1.hg38.10000	10000	43	1995
EHF.hg38.10000	ETV5.hg38.10000	10000	43	1769
EHF.hg38.10000	FOXP1.hg38.10000	10000	43	1538
EHF.hg38.10000	ELK3.hg38.10000	10000	42	1410
EHF.hg38.10000	CREB1.hg38.10000	10000	41	1957
EHF.hg38.10000	IRF1.hg38.10000	10000	39	1419
EHF.hg38.10000	VDR.hg38.10000	10000	37	1368
EHF.hg38.10000	SIX5.hg38.10000	10000	36	1656
EHF.hg38.10000	ZBTB33.hg38.10000	10000	35	1377
EHF.hg38.10000	NR1H3.hg38.10000	10000	35	1194
EHF.hg38.10000	ETV6.hg38.10000	10000	35	1180
EHF.hg38.10000	JUN.hg38.10000	10000	34	2138
EHF.hg38.10000	GMEB2.hg38.10000	10000	33	1841
EHF.hg38.10000	TBP.hg38.10000	10000	33	1833
EHF.hg38.10000	RXRA.hg38.10000	10000	32	1766
EHF.hg38.10000	SREBF2.hg38.10000	10000	32	1048
EHF.hg38.10000	HIF1A.hg38.10000	10000	31	1745
EHF.hg38.10000	ZEB1.hg38.10000	10000	31	1263
EHF.hg38.10000	MECOM.hg38.10000	10000	31	1113
EHF.hg38.10000	TCF12.hg38.10000	10000	30	1656
EHF.hg38.10000	THAP11.hg38.10000	10000	30	1451
EHF.hg38.10000	SP2.hg38.10000	10000	29	1553
EHF.hg38.10000	RUNX1.hg38.10000	10000	28	1644
EHF.hg38.10000	NR1H2.hg38.10000	10000	28	1626
EHF.hg38.10000	ATF1.hg38.10000	10000	28	1433
