TF_a	TF_b	num_site_TF_b	exact	window
ESR2.hg38.10000	ESR2.hg38.10000	10000	10000	10000
ESR2.hg38.10000	ESR1.hg38.10000	10000	280	2752
ESR2.hg38.10000	ETV2.hg38.10000	10000	239	2413
ESR2.hg38.10000	RARG.hg38.10000	10000	40	1572
ESR2.hg38.10000	NR2F2.hg38.10000	10000	40	1281
ESR2.hg38.10000	RARA.hg38.10000	10000	30	1191
ESR2.hg38.10000	AHR.hg38.10000	10000	26	846
ESR2.hg38.10000	FOXM1.hg38.10000	10000	24	733
ESR2.hg38.10000	ESRRA.hg38.10000	10000	22	939
ESR2.hg38.10000	NR2F1.hg38.10000	10000	22	795
ESR2.hg38.10000	NR5A2.hg38.10000	10000	20	778
ESR2.hg38.10000	RXRA.hg38.10000	10000	19	955
ESR2.hg38.10000	NR3C1.hg38.10000	10000	18	885
ESR2.hg38.10000	MBD2.hg38.10000	10000	18	549
ESR2.hg38.10000	JUNB.hg38.10000	10000	17	960
ESR2.hg38.10000	PGR.hg38.10000	10000	16	650
ESR2.hg38.10000	JUN.hg38.10000	10000	15	1158
ESR2.hg38.10000	NR2F6.hg38.10000	10000	15	570
ESR2.hg38.10000	THRB.hg38.10000	10000	15	553
ESR2.hg38.10000	SREBF2.hg38.10000	10000	15	547
ESR2.hg38.10000	TFE3.hg38.10000	10000	15	517
ESR2.hg38.10000	TCF12.hg38.10000	10000	14	759
ESR2.hg38.10000	ZNF217.hg38.10000	10000	14	563
ESR2.hg38.10000	HIC1.hg38.10000	10000	13	620
ESR2.hg38.10000	SMAD3.hg38.10000	10000	12	1185
ESR2.hg38.10000	ATF3.hg38.10000	10000	12	937
ESR2.hg38.10000	VDR.hg38.10000	10000	12	677
ESR2.hg38.10000	PROX1.hg38.10000	10000	12	626
ESR2.hg38.10000	HES2.hg38.10000	10000	12	558
ESR2.hg38.10000	NR2C2.hg38.10000	10000	12	531
ESR2.hg38.10000	RXRB.hg38.10000	10000	12	431
ESR2.hg38.10000	HNF4A.hg38.10000	10000	12	364
ESR2.hg38.10000	FOSL2.hg38.10000	10000	11	1059
ESR2.hg38.10000	EPAS1.hg38.10000	10000	11	1030
ESR2.hg38.10000	E2F7.hg38.10000	10000	11	659
ESR2.hg38.10000	JUND.hg38.10000	10000	10	1061
ESR2.hg38.10000	TFEB.hg38.10000	10000	10	643
ESR2.hg38.10000	TFAP2A.hg38.10000	10000	10	584
ESR2.hg38.10000	BACH1.hg38.10000	10000	10	466
ESR2.hg38.10000	HMG20A.hg38.10000	10000	10	378
ESR2.hg38.10000	TEAD4.hg38.10000	10000	9	965
ESR2.hg38.10000	NR1H2.hg38.10000	10000	9	822
ESR2.hg38.10000	TRPS1.hg38.10000	10000	9	737
ESR2.hg38.10000	ZNF701.hg38.10000	10000	9	720
ESR2.hg38.10000	NR1H3.hg38.10000	10000	9	695
ESR2.hg38.10000	BHLHE40.hg38.10000	10000	9	577
ESR2.hg38.10000	SOX5.hg38.10000	10000	9	320
ESR2.hg38.10000	FOSL1.hg38.10000	10000	8	929
ESR2.hg38.10000	STAT1.hg38.10000	10000	8	584
ESR2.hg38.10000	KLF4.hg38.10000	10000	8	582
ESR2.hg38.10000	FOSB.hg38.10000	10000	8	573
ESR2.hg38.10000	NKX2-1.hg38.10000	10000	8	532
ESR2.hg38.10000	MLX.hg38.10000	10000	8	469
ESR2.hg38.10000	ZNF792.hg38.10000	10000	8	452
ESR2.hg38.10000	MYRF.hg38.10000	10000	8	439
ESR2.hg38.10000	PPARG.hg38.10000	10000	8	415
ESR2.hg38.10000	IKZF5.hg38.10000	10000	8	414
ESR2.hg38.10000	E2F8.hg38.10000	10000	8	382
ESR2.hg38.10000	HOMEZ.hg38.10000	10000	8	325
ESR2.hg38.10000	PBX2.hg38.10000	10000	8	261
ESR2.hg38.10000	FOS.hg38.10000	10000	7	954
ESR2.hg38.10000	ARNT.hg38.10000	10000	7	720
ESR2.hg38.10000	TCF7L1.hg38.10000	10000	7	622
ESR2.hg38.10000	KLF5.hg38.10000	10000	7	570
ESR2.hg38.10000	MYCN.hg38.10000	10000	7	518
ESR2.hg38.10000	RUNX2.hg38.10000	10000	7	475
ESR2.hg38.10000	SOX4.hg38.10000	10000	7	470
ESR2.hg38.10000	ZNF554.hg38.10000	10000	7	449
ESR2.hg38.10000	PBX4.hg38.10000	10000	7	424
ESR2.hg38.10000	BCL11A.hg38.10000	10000	7	408
ESR2.hg38.10000	ZSCAN9.hg38.10000	10000	7	391
ESR2.hg38.10000	TCF3.hg38.10000	10000	7	370
ESR2.hg38.10000	NFIL3.hg38.10000	10000	7	295
ESR2.hg38.10000	HIF1A.hg38.10000	10000	6	765
ESR2.hg38.10000	TFAP2C.hg38.10000	10000	6	638
ESR2.hg38.10000	HOXC5.hg38.10000	10000	6	486
ESR2.hg38.10000	TFAP4.hg38.10000	10000	6	448
ESR2.hg38.10000	NFE2L2.hg38.10000	10000	6	439
ESR2.hg38.10000	HIF3A.hg38.10000	10000	6	389
ESR2.hg38.10000	LEF1.hg38.10000	10000	6	383
ESR2.hg38.10000	NFKB1.hg38.10000	10000	6	381
ESR2.hg38.10000	IRF2.hg38.10000	10000	6	333
ESR2.hg38.10000	ZNF574.hg38.10000	10000	6	302
ESR2.hg38.10000	HMBOX1.hg38.10000	10000	6	245
ESR2.hg38.10000	TEAD1.hg38.10000	10000	5	755
ESR2.hg38.10000	ETV5.hg38.10000	10000	5	677
ESR2.hg38.10000	NFIC.hg38.10000	10000	5	661
ESR2.hg38.10000	KLF6.hg38.10000	10000	5	534
ESR2.hg38.10000	CREB1.hg38.10000	10000	5	506
ESR2.hg38.10000	CREM.hg38.10000	10000	5	473
ESR2.hg38.10000	MXI1.hg38.10000	10000	5	463
ESR2.hg38.10000	KLF1.hg38.10000	10000	5	462
ESR2.hg38.10000	NFATC1.hg38.10000	10000	5	433
ESR2.hg38.10000	ATF1.hg38.10000	10000	5	428
ESR2.hg38.10000	TP53.hg38.10000	10000	5	427
ESR2.hg38.10000	SP7.hg38.10000	10000	5	378
ESR2.hg38.10000	TEAD3.hg38.10000	10000	5	354
ESR2.hg38.10000	ELF3.hg38.10000	10000	5	346
ESR2.hg38.10000	ZNF3.hg38.10000	10000	5	339
ESR2.hg38.10000	ZNF580.hg38.10000	10000	5	333
ESR2.hg38.10000	BACH2.hg38.10000	10000	5	304
ESR2.hg38.10000	TBX21.hg38.10000	10000	5	291
ESR2.hg38.10000	ZBTB6.hg38.10000	10000	5	271
