TF_a	TF_b	num_site_TF_b	exact	window
ETV4.hg38.10000	ETV4.hg38.10000	10000	10000	10000
ETV4.hg38.10000	GABPA.hg38.10000	10000	138	3288
ETV4.hg38.10000	ETV1.hg38.10000	10000	132	3292
ETV4.hg38.10000	ERG.hg38.10000	10000	114	3303
ETV4.hg38.10000	ELF1.hg38.10000	10000	110	3114
ETV4.hg38.10000	ETV5.hg38.10000	10000	100	2683
ETV4.hg38.10000	ETS1.hg38.10000	10000	98	2981
ETV4.hg38.10000	SOX13.hg38.10000	10000	87	1947
ETV4.hg38.10000	TFE3.hg38.10000	10000	83	2102
ETV4.hg38.10000	SMAD4.hg38.10000	10000	82	2225
ETV4.hg38.10000	RXRB.hg38.10000	10000	76	1559
ETV4.hg38.10000	ELK4.hg38.10000	10000	74	2898
ETV4.hg38.10000	MLX.hg38.10000	10000	74	2355
ETV4.hg38.10000	FLI1.hg38.10000	10000	73	2494
ETV4.hg38.10000	ATF1.hg38.10000	10000	70	2232
ETV4.hg38.10000	ZSCAN9.hg38.10000	10000	70	2162
ETV4.hg38.10000	RXRA.hg38.10000	10000	68	2481
ETV4.hg38.10000	KLF10.hg38.10000	10000	67	3127
ETV4.hg38.10000	JUN.hg38.10000	10000	67	2258
ETV4.hg38.10000	STAT1.hg38.10000	10000	66	2342
ETV4.hg38.10000	THAP11.hg38.10000	10000	66	2149
ETV4.hg38.10000	FOXP1.hg38.10000	10000	65	2233
ETV4.hg38.10000	IKZF5.hg38.10000	10000	65	2228
ETV4.hg38.10000	ZNF792.hg38.10000	10000	64	2246
ETV4.hg38.10000	CREB1.hg38.10000	10000	63	2654
ETV4.hg38.10000	TBP.hg38.10000	10000	62	2541
ETV4.hg38.10000	FOXM1.hg38.10000	10000	60	2319
ETV4.hg38.10000	CREM.hg38.10000	10000	58	2416
ETV4.hg38.10000	KLF16.hg38.10000	10000	57	1490
ETV4.hg38.10000	ZNF580.hg38.10000	10000	56	1750
ETV4.hg38.10000	KLF6.hg38.10000	10000	55	2182
ETV4.hg38.10000	IRF2.hg38.10000	10000	55	1965
ETV4.hg38.10000	ZFP1.hg38.10000	10000	55	1759
ETV4.hg38.10000	TCF12.hg38.10000	10000	54	2292
ETV4.hg38.10000	TCF7.hg38.10000	10000	54	1592
ETV4.hg38.10000	SOX5.hg38.10000	10000	53	1303
ETV4.hg38.10000	ERF.hg38.10000	10000	52	1774
ETV4.hg38.10000	VDR.hg38.10000	10000	52	1728
ETV4.hg38.10000	HMG20A.hg38.10000	10000	52	1414
ETV4.hg38.10000	RELA.hg38.10000	10000	51	2072
ETV4.hg38.10000	RARA.hg38.10000	10000	49	1960
ETV4.hg38.10000	EHF.hg38.10000	10000	49	1838
ETV4.hg38.10000	YY1.hg38.10000	10000	47	2157
ETV4.hg38.10000	FOXA3.hg38.10000	10000	46	1213
ETV4.hg38.10000	GMEB2.hg38.10000	10000	45	2634
ETV4.hg38.10000	HIF1A.hg38.10000	10000	45	2107
ETV4.hg38.10000	STAT3.hg38.10000	10000	44	1882
ETV4.hg38.10000	FOXO3.hg38.10000	10000	44	1871
ETV4.hg38.10000	MIXL1.hg38.10000	10000	44	1549
ETV4.hg38.10000	HOMEZ.hg38.10000	10000	44	1365
ETV4.hg38.10000	MYBL2.hg38.10000	10000	43	2053
ETV4.hg38.10000	NR1H2.hg38.10000	10000	43	1563
ETV4.hg38.10000	ZBTB33.hg38.10000	10000	42	2011
ETV4.hg38.10000	E2F1.hg38.10000	10000	41	2516
ETV4.hg38.10000	ZBTB11.hg38.10000	10000	41	1969
ETV4.hg38.10000	NR2F6.hg38.10000	10000	41	1324
ETV4.hg38.10000	NFIL3.hg38.10000	10000	41	1224
ETV4.hg38.10000	RUNX1.hg38.10000	10000	40	1906
ETV4.hg38.10000	SOX4.hg38.10000	10000	40	1748
ETV4.hg38.10000	ELK3.hg38.10000	10000	39	1826
ETV4.hg38.10000	ZNF574.hg38.10000	10000	39	1658
ETV4.hg38.10000	NR2F2.hg38.10000	10000	38	1479
ETV4.hg38.10000	FOXA2.hg38.10000	10000	38	1322
ETV4.hg38.10000	ELF4.hg38.10000	10000	37	2171
ETV4.hg38.10000	SIX5.hg38.10000	10000	37	2155
ETV4.hg38.10000	MYRF.hg38.10000	10000	37	1920
ETV4.hg38.10000	THRB.hg38.10000	10000	37	1481
ETV4.hg38.10000	ELF3.hg38.10000	10000	37	1455
ETV4.hg38.10000	E4F1.hg38.10000	10000	36	1886
ETV4.hg38.10000	E2F8.hg38.10000	10000	35	1692
ETV4.hg38.10000	JUND.hg38.10000	10000	35	1281
ETV4.hg38.10000	SOX9.hg38.10000	10000	34	1912
ETV4.hg38.10000	MAZ.hg38.10000	10000	34	1804
ETV4.hg38.10000	MYC.hg38.10000	10000	33	2515
ETV4.hg38.10000	SP2.hg38.10000	10000	33	2050
ETV4.hg38.10000	ZNF701.hg38.10000	10000	33	1467
ETV4.hg38.10000	BCL6.hg38.10000	10000	33	1223
ETV4.hg38.10000	TP53.hg38.10000	10000	33	1153
ETV4.hg38.10000	MYCN.hg38.10000	10000	32	2153
ETV4.hg38.10000	FOXA1.hg38.10000	10000	32	1213
ETV4.hg38.10000	ETV6.hg38.10000	10000	32	864
ETV4.hg38.10000	KLF5.hg38.10000	10000	31	2164
ETV4.hg38.10000	NFYC.hg38.10000	10000	31	2074
ETV4.hg38.10000	MXI1.hg38.10000	10000	31	1996
ETV4.hg38.10000	MNT.hg38.10000	10000	31	1884
ETV4.hg38.10000	TEAD3.hg38.10000	10000	31	1085
ETV4.hg38.10000	TRPS1.hg38.10000	10000	30	1864
ETV4.hg38.10000	ASCL2.hg38.10000	10000	30	1488
ETV4.hg38.10000	ARID3A.hg38.10000	10000	30	1356
ETV4.hg38.10000	AHR.hg38.10000	10000	30	1275
ETV4.hg38.10000	RBPJ.hg38.10000	10000	29	2412
ETV4.hg38.10000	NR3C1.hg38.10000	10000	29	1083
ETV4.hg38.10000	MECOM.hg38.10000	10000	29	1062
ETV4.hg38.10000	ZNF652.hg38.10000	10000	29	1047
ETV4.hg38.10000	E2F4.hg38.10000	10000	28	1948
ETV4.hg38.10000	ATF3.hg38.10000	10000	28	1613
ETV4.hg38.10000	KLF4.hg38.10000	10000	28	1392
ETV4.hg38.10000	IRF1.hg38.10000	10000	28	1319
ETV4.hg38.10000	SMAD5.hg38.10000	10000	27	2171
ETV4.hg38.10000	BCL11B.hg38.10000	10000	27	1894
ETV4.hg38.10000	STAT5A.hg38.10000	10000	27	1139
ETV4.hg38.10000	HOXC5.hg38.10000	10000	27	1029
ETV4.hg38.10000	SP1.hg38.10000	10000	26	2449
ETV4.hg38.10000	MAX.hg38.10000	10000	26	2351
ETV4.hg38.10000	NR2C2.hg38.10000	10000	26	1729
ETV4.hg38.10000	TFAP2C.hg38.10000	10000	26	1432
ETV4.hg38.10000	ZNF324.hg38.10000	10000	26	1317
ETV4.hg38.10000	TEAD4.hg38.10000	10000	26	1283
ETV4.hg38.10000	HSF1.hg38.10000	10000	26	1118
ETV4.hg38.10000	SMAD3.hg38.10000	10000	26	1098
ETV4.hg38.10000	FOS.hg38.10000	10000	26	925
ETV4.hg38.10000	KLF11.hg38.10000	10000	25	1922
ETV4.hg38.10000	KLF9.hg38.10000	10000	25	1769
ETV4.hg38.10000	ZBTB26.hg38.10000	10000	25	1646
ETV4.hg38.10000	ZEB1.hg38.10000	10000	25	1290
ETV4.hg38.10000	SPDEF.hg38.10000	10000	25	1025
ETV4.hg38.10000	CDX2.hg38.10000	10000	25	983
ETV4.hg38.10000	PAX5.hg38.10000	10000	25	852
ETV4.hg38.10000	SP5.hg38.10000	10000	24	1722
ETV4.hg38.10000	TFAP4.hg38.10000	10000	24	1571
ETV4.hg38.10000	HNF4A.hg38.10000	10000	24	1269
ETV4.hg38.10000	FOSL2.hg38.10000	10000	24	1019
ETV4.hg38.10000	ZKSCAN1.hg38.10000	10000	24	880
ETV4.hg38.10000	CEBPB.hg38.10000	10000	24	803
ETV4.hg38.10000	ZFP42.hg38.10000	10000	23	1544
ETV4.hg38.10000	MBD2.hg38.10000	10000	23	1387
ETV4.hg38.10000	REST.hg38.10000	10000	23	1226
ETV4.hg38.10000	NR1H3.hg38.10000	10000	23	1037
ETV4.hg38.10000	PPARG.hg38.10000	10000	23	1025
ETV4.hg38.10000	TFEB.hg38.10000	10000	23	783
ETV4.hg38.10000	CXXC1.hg38.10000	10000	22	1996
ETV4.hg38.10000	ZNF143.hg38.10000	10000	22	1813
ETV4.hg38.10000	BHLHE40.hg38.10000	10000	22	1531
ETV4.hg38.10000	SETDB1.hg38.10000	10000	22	1434
ETV4.hg38.10000	ZNF3.hg38.10000	10000	22	1374
ETV4.hg38.10000	YY2.hg38.10000	10000	22	1365
ETV4.hg38.10000	TCF7L2.hg38.10000	10000	22	1189
ETV4.hg38.10000	TEAD1.hg38.10000	10000	22	1050
ETV4.hg38.10000	NFIC.hg38.10000	10000	22	948
ETV4.hg38.10000	HES1.hg38.10000	10000	22	933
ETV4.hg38.10000	VEZF1.hg38.10000	10000	21	1595
ETV4.hg38.10000	FOXK2.hg38.10000	10000	21	1429
ETV4.hg38.10000	ZBTB17.hg38.10000	10000	21	1275
ETV4.hg38.10000	STAT5B.hg38.10000	10000	21	1203
ETV4.hg38.10000	MYB.hg38.10000	10000	21	1116
ETV4.hg38.10000	PROX1.hg38.10000	10000	21	973
ETV4.hg38.10000	HIF3A.hg38.10000	10000	21	897
ETV4.hg38.10000	ZNF217.hg38.10000	10000	20	1621
ETV4.hg38.10000	EGR1.hg38.10000	10000	20	1565
ETV4.hg38.10000	SP4.hg38.10000	10000	20	1483
ETV4.hg38.10000	KLF15.hg38.10000	10000	20	1328
ETV4.hg38.10000	TCF7L1.hg38.10000	10000	20	1321
