TF_a	TF_b	num_site_TF_b	exact	window
FOXK1.hg38.10000	FOXK1.hg38.10000	10000	10000	10000
FOXK1.hg38.10000	PPARD.hg38.10000	10000	145	1354
FOXK1.hg38.10000	HIF1A.hg38.10000	10000	105	1354
FOXK1.hg38.10000	ZNF274.hg38.10000	10000	89	701
FOXK1.hg38.10000	EPAS1.hg38.10000	10000	83	821
FOXK1.hg38.10000	FOXM1.hg38.10000	10000	71	1275
FOXK1.hg38.10000	POU3F2.hg38.10000	10000	69	1220
FOXK1.hg38.10000	NR2C2.hg38.10000	10000	65	1618
FOXK1.hg38.10000	FOXK2.hg38.10000	10000	63	1671
FOXK1.hg38.10000	FOXP1.hg38.10000	10000	60	1339
FOXK1.hg38.10000	FOXA2.hg38.10000	10000	56	1007
FOXK1.hg38.10000	RBPJ.hg38.10000	10000	53	1360
FOXK1.hg38.10000	ZBTB33.hg38.10000	10000	51	1265
FOXK1.hg38.10000	NFKB1.hg38.10000	10000	49	582
FOXK1.hg38.10000	FOXA1.hg38.10000	10000	48	750
FOXK1.hg38.10000	CREB1.hg38.10000	10000	46	1493
FOXK1.hg38.10000	TP53.hg38.10000	10000	46	799
FOXK1.hg38.10000	XBP1.hg38.10000	10000	44	848
FOXK1.hg38.10000	RELA.hg38.10000	10000	43	1080
FOXK1.hg38.10000	ZNF143.hg38.10000	10000	42	1130
FOXK1.hg38.10000	VDR.hg38.10000	10000	41	907
FOXK1.hg38.10000	POU5F1.hg38.10000	10000	41	489
FOXK1.hg38.10000	MNT.hg38.10000	10000	40	1520
FOXK1.hg38.10000	ERG.hg38.10000	10000	39	1092
FOXK1.hg38.10000	ZNF778.hg38.10000	10000	37	1342
FOXK1.hg38.10000	NFATC1.hg38.10000	10000	37	1210
FOXK1.hg38.10000	GABPA.hg38.10000	10000	37	1122
FOXK1.hg38.10000	ARNTL.hg38.10000	10000	37	849
FOXK1.hg38.10000	ZEB1.hg38.10000	10000	36	859
FOXK1.hg38.10000	RBAK.hg38.10000	10000	35	1163
FOXK1.hg38.10000	ZNF184.hg38.10000	10000	35	1023
FOXK1.hg38.10000	RARG.hg38.10000	10000	34	568
FOXK1.hg38.10000	ZNF574.hg38.10000	10000	33	1335
FOXK1.hg38.10000	SIX5.hg38.10000	10000	33	1169
FOXK1.hg38.10000	IRF1.hg38.10000	10000	33	861
FOXK1.hg38.10000	LEF1.hg38.10000	10000	32	933
FOXK1.hg38.10000	MAX.hg38.10000	10000	31	1364
FOXK1.hg38.10000	ZBTB17.hg38.10000	10000	31	828
FOXK1.hg38.10000	SETDB1.hg38.10000	10000	31	797
FOXK1.hg38.10000	TBP.hg38.10000	10000	30	1269
FOXK1.hg38.10000	KLF10.hg38.10000	10000	30	1193
FOXK1.hg38.10000	STAT1.hg38.10000	10000	30	1138
FOXK1.hg38.10000	ZFP42.hg38.10000	10000	30	1073
FOXK1.hg38.10000	RXRA.hg38.10000	10000	30	939
FOXK1.hg38.10000	FLI1.hg38.10000	10000	30	809
FOXK1.hg38.10000	YY2.hg38.10000	10000	29	937
FOXK1.hg38.10000	ATF1.hg38.10000	10000	28	1122
FOXK1.hg38.10000	ETS1.hg38.10000	10000	28	1108
FOXK1.hg38.10000	ASCL1.hg38.10000	10000	28	540
FOXK1.hg38.10000	CLOCK.hg38.10000	10000	27	1139
FOXK1.hg38.10000	ZNF341.hg38.10000	10000	27	859
FOXK1.hg38.10000	STAT6.hg38.10000	10000	27	770
FOXK1.hg38.10000	SOX2.hg38.10000	10000	27	526
FOXK1.hg38.10000	CREM.hg38.10000	10000	26	1244
FOXK1.hg38.10000	THAP11.hg38.10000	10000	26	1018
FOXK1.hg38.10000	NR5A2.hg38.10000	10000	26	563
FOXK1.hg38.10000	ZNF324.hg38.10000	10000	25	1226
FOXK1.hg38.10000	MXI1.hg38.10000	10000	25	1137
FOXK1.hg38.10000	TCF7L2.hg38.10000	10000	25	608
FOXK1.hg38.10000	ELF1.hg38.10000	10000	24	1143
FOXK1.hg38.10000	NR3C1.hg38.10000	10000	24	535
FOXK1.hg38.10000	SMAD5.hg38.10000	10000	23	1024
FOXK1.hg38.10000	PATZ1.hg38.10000	10000	23	986
FOXK1.hg38.10000	REL.hg38.10000	10000	23	697
FOXK1.hg38.10000	MYC.hg38.10000	10000	22	1248
FOXK1.hg38.10000	GMEB2.hg38.10000	10000	22	1173
FOXK1.hg38.10000	FEZF1.hg38.10000	10000	22	964
FOXK1.hg38.10000	JUN.hg38.10000	10000	22	951
FOXK1.hg38.10000	ZBTB42.hg38.10000	10000	22	785
FOXK1.hg38.10000	EHF.hg38.10000	10000	22	735
FOXK1.hg38.10000	RARA.hg38.10000	10000	22	735
FOXK1.hg38.10000	STAT5A.hg38.10000	10000	22	702
FOXK1.hg38.10000	MYNN.hg38.10000	10000	22	695
FOXK1.hg38.10000	BCL6.hg38.10000	10000	22	692
FOXK1.hg38.10000	HEY1.hg38.10000	10000	21	1114
FOXK1.hg38.10000	ATF3.hg38.10000	10000	21	921
FOXK1.hg38.10000	E2F8.hg38.10000	10000	21	761
FOXK1.hg38.10000	MAF.hg38.10000	10000	21	650
FOXK1.hg38.10000	SMAD4.hg38.10000	10000	21	631
FOXK1.hg38.10000	AHR.hg38.10000	10000	21	557
FOXK1.hg38.10000	YY1.hg38.10000	10000	20	1091
FOXK1.hg38.10000	ASCL2.hg38.10000	10000	20	725
FOXK1.hg38.10000	REST.hg38.10000	10000	20	595
FOXK1.hg38.10000	ZKSCAN1.hg38.10000	10000	20	522
FOXK1.hg38.10000	RELB.hg38.10000	10000	20	422
FOXK1.hg38.10000	MEF2C.hg38.10000	10000	20	275
FOXK1.hg38.10000	ELK4.hg38.10000	10000	19	1195
FOXK1.hg38.10000	SP1.hg38.10000	10000	19	1106
FOXK1.hg38.10000	ZNF18.hg38.10000	10000	19	983
FOXK1.hg38.10000	ZSCAN4.hg38.10000	10000	19	976
FOXK1.hg38.10000	BHLHE40.hg38.10000	10000	19	924
FOXK1.hg38.10000	TCF12.hg38.10000	10000	19	902
FOXK1.hg38.10000	CXXC1.hg38.10000	10000	18	1037
FOXK1.hg38.10000	E2F4.hg38.10000	10000	18	986
FOXK1.hg38.10000	TRPS1.hg38.10000	10000	18	817
FOXK1.hg38.10000	ZNF580.hg38.10000	10000	18	753
FOXK1.hg38.10000	SREBF2.hg38.10000	10000	18	696
FOXK1.hg38.10000	PRDM1.hg38.10000	10000	18	468
FOXK1.hg38.10000	ZNF22.hg38.10000	10000	18	255
FOXK1.hg38.10000	MYCN.hg38.10000	10000	17	1174
FOXK1.hg38.10000	KLF5.hg38.10000	10000	17	1150
FOXK1.hg38.10000	E4F1.hg38.10000	10000	17	1031
FOXK1.hg38.10000	ETV5.hg38.10000	10000	17	945
FOXK1.hg38.10000	RFX5.hg38.10000	10000	17	910
FOXK1.hg38.10000	TFAP4.hg38.10000	10000	17	891
FOXK1.hg38.10000	STAT3.hg38.10000	10000	17	814
FOXK1.hg38.10000	MBD2.hg38.10000	10000	17	749
FOXK1.hg38.10000	ZNF35.hg38.10000	10000	17	633
FOXK1.hg38.10000	SPDEF.hg38.10000	10000	17	544
FOXK1.hg38.10000	EBF3.hg38.10000	10000	17	480
FOXK1.hg38.10000	FOXA3.hg38.10000	10000	17	409
FOXK1.hg38.10000	USF1.hg38.10000	10000	16	809
FOXK1.hg38.10000	USF2.hg38.10000	10000	16	781
FOXK1.hg38.10000	ZIC2.hg38.10000	10000	16	715
FOXK1.hg38.10000	POU2F1.hg38.10000	10000	16	641
FOXK1.hg38.10000	IKZF5.hg38.10000	10000	16	609
FOXK1.hg38.10000	MYB.hg38.10000	10000	16	556
FOXK1.hg38.10000	OSR2.hg38.10000	10000	15	907
FOXK1.hg38.10000	SP7.hg38.10000	10000	15	869
FOXK1.hg38.10000	ZSCAN22.hg38.10000	10000	15	833
FOXK1.hg38.10000	RUNX1.hg38.10000	10000	15	823
FOXK1.hg38.10000	SP4.hg38.10000	10000	15	818
FOXK1.hg38.10000	SP5.hg38.10000	10000	15	776
FOXK1.hg38.10000	KLF15.hg38.10000	10000	15	764
FOXK1.hg38.10000	ZNF217.hg38.10000	10000	15	741
FOXK1.hg38.10000	NFKB2.hg38.10000	10000	15	338
FOXK1.hg38.10000	SOX9.hg38.10000	10000	14	901
FOXK1.hg38.10000	ZBTB26.hg38.10000	10000	14	856
