TF_a	TF_b	num_site_TF_b	exact	window
FOXP1.hg38.10000	FOXP1.hg38.10000	10000	10000	10000
FOXP1.hg38.10000	BCL6.hg38.10000	10000	123	2883
FOXP1.hg38.10000	FOXM1.hg38.10000	10000	121	2463
FOXP1.hg38.10000	CREB1.hg38.10000	10000	118	3450
FOXP1.hg38.10000	CREM.hg38.10000	10000	115	3138
FOXP1.hg38.10000	ETS1.hg38.10000	10000	113	3002
FOXP1.hg38.10000	KLF10.hg38.10000	10000	112	3205
FOXP1.hg38.10000	IRF2.hg38.10000	10000	112	2361
FOXP1.hg38.10000	RBPJ.hg38.10000	10000	102	3177
FOXP1.hg38.10000	STAT1.hg38.10000	10000	101	2800
FOXP1.hg38.10000	ERG.hg38.10000	10000	99	3039
FOXP1.hg38.10000	RELA.hg38.10000	10000	99	2708
FOXP1.hg38.10000	ZNF143.hg38.10000	10000	99	2404
FOXP1.hg38.10000	ATF1.hg38.10000	10000	95	2612
FOXP1.hg38.10000	SP1.hg38.10000	10000	94	3094
FOXP1.hg38.10000	TCF12.hg38.10000	10000	94	2788
FOXP1.hg38.10000	THAP11.hg38.10000	10000	92	2469
FOXP1.hg38.10000	RXRA.hg38.10000	10000	91	2772
FOXP1.hg38.10000	HIF1A.hg38.10000	10000	89	2330
FOXP1.hg38.10000	RUNX1.hg38.10000	10000	88	2780
FOXP1.hg38.10000	GMEB2.hg38.10000	10000	87	3254
FOXP1.hg38.10000	GABPA.hg38.10000	10000	87	3077
FOXP1.hg38.10000	FOXA3.hg38.10000	10000	87	1303
FOXP1.hg38.10000	ELF1.hg38.10000	10000	85	3145
FOXP1.hg38.10000	SIX5.hg38.10000	10000	85	2708
FOXP1.hg38.10000	MYC.hg38.10000	10000	83	3153
FOXP1.hg38.10000	MIXL1.hg38.10000	10000	82	1517
FOXP1.hg38.10000	MAX.hg38.10000	10000	80	3088
FOXP1.hg38.10000	ZNF792.hg38.10000	10000	80	1920
FOXP1.hg38.10000	FOXA1.hg38.10000	10000	79	1684
FOXP1.hg38.10000	IKZF5.hg38.10000	10000	78	2014
FOXP1.hg38.10000	KLF16.hg38.10000	10000	77	1760
FOXP1.hg38.10000	TP53.hg38.10000	10000	77	1278
FOXP1.hg38.10000	VDR.hg38.10000	10000	76	2132
FOXP1.hg38.10000	STAT3.hg38.10000	10000	75	1999
FOXP1.hg38.10000	MYCN.hg38.10000	10000	74	2705
FOXP1.hg38.10000	ZBTB33.hg38.10000	10000	74	2585
FOXP1.hg38.10000	FOXA2.hg38.10000	10000	74	2121
FOXP1.hg38.10000	SMAD4.hg38.10000	10000	73	2039
FOXP1.hg38.10000	FOXO1.hg38.10000	10000	72	2084
FOXP1.hg38.10000	FOXP3.hg38.10000	10000	71	2107
FOXP1.hg38.10000	ZFP1.hg38.10000	10000	71	1664
FOXP1.hg38.10000	YY1.hg38.10000	10000	69	2838
FOXP1.hg38.10000	ZNF574.hg38.10000	10000	69	1927
FOXP1.hg38.10000	FOXK2.hg38.10000	10000	67	2540
FOXP1.hg38.10000	MLX.hg38.10000	10000	67	1877
FOXP1.hg38.10000	E2F1.hg38.10000	10000	66	3140
FOXP1.hg38.10000	ETV5.hg38.10000	10000	66	2730
FOXP1.hg38.10000	NFYC.hg38.10000	10000	66	2553
FOXP1.hg38.10000	ZNF580.hg38.10000	10000	66	1894
FOXP1.hg38.10000	ZSCAN9.hg38.10000	10000	66	1863
FOXP1.hg38.10000	SOX13.hg38.10000	10000	66	1359
FOXP1.hg38.10000	KLF6.hg38.10000	10000	65	2383
FOXP1.hg38.10000	ETV4.hg38.10000	10000	65	2219
FOXP1.hg38.10000	HOMEZ.hg38.10000	10000	64	1313
FOXP1.hg38.10000	SOX5.hg38.10000	10000	63	1138
FOXP1.hg38.10000	IRF1.hg38.10000	10000	62	1899
FOXP1.hg38.10000	SRF.hg38.10000	10000	60	1534
FOXP1.hg38.10000	FOXK1.hg38.10000	10000	60	1345
FOXP1.hg38.10000	FLI1.hg38.10000	10000	59	2219
FOXP1.hg38.10000	POU2F2.hg38.10000	10000	59	2186
FOXP1.hg38.10000	ATF3.hg38.10000	10000	59	1704
FOXP1.hg38.10000	RARA.hg38.10000	10000	58	2142
FOXP1.hg38.10000	MYBL2.hg38.10000	10000	58	1883
FOXP1.hg38.10000	TFE3.hg38.10000	10000	58	1774
FOXP1.hg38.10000	ERF.hg38.10000	10000	58	1616
FOXP1.hg38.10000	RXRB.hg38.10000	10000	58	1233
FOXP1.hg38.10000	TBP.hg38.10000	10000	57	3072
FOXP1.hg38.10000	KLF5.hg38.10000	10000	56	2663
FOXP1.hg38.10000	BCL11B.hg38.10000	10000	55	2581
FOXP1.hg38.10000	ETV6.hg38.10000	10000	55	1480
FOXP1.hg38.10000	MYRF.hg38.10000	10000	54	1998
FOXP1.hg38.10000	SOX9.hg38.10000	10000	53	2100
FOXP1.hg38.10000	IRF4.hg38.10000	10000	53	1321
FOXP1.hg38.10000	ZNF324.hg38.10000	10000	52	1648
FOXP1.hg38.10000	ETV1.hg38.10000	10000	51	2470
FOXP1.hg38.10000	ZSCAN22.hg38.10000	10000	51	1511
FOXP1.hg38.10000	ZKSCAN1.hg38.10000	10000	51	1156
FOXP1.hg38.10000	JUN.hg38.10000	10000	50	2070
FOXP1.hg38.10000	RFX5.hg38.10000	10000	50	1996
FOXP1.hg38.10000	MAF.hg38.10000	10000	50	1655
FOXP1.hg38.10000	MNT.hg38.10000	10000	49	2546
FOXP1.hg38.10000	TBX21.hg38.10000	10000	48	1240
FOXP1.hg38.10000	ZBTB11.hg38.10000	10000	47	1967
FOXP1.hg38.10000	TRPS1.hg38.10000	10000	47	1619
FOXP1.hg38.10000	ZFP42.hg38.10000	10000	46	2104
FOXP1.hg38.10000	BHLHE40.hg38.10000	10000	46	2090
FOXP1.hg38.10000	TCF3.hg38.10000	10000	46	1861
FOXP1.hg38.10000	MYB.hg38.10000	10000	46	1735
FOXP1.hg38.10000	STAT5A.hg38.10000	10000	46	1695
FOXP1.hg38.10000	PAX5.hg38.10000	10000	45	1808
FOXP1.hg38.10000	NR2C2.hg38.10000	10000	45	1753
FOXP1.hg38.10000	RELB.hg38.10000	10000	45	1159
FOXP1.hg38.10000	MBD2.hg38.10000	10000	44	1483
FOXP1.hg38.10000	KLF4.hg38.10000	10000	43	1577
FOXP1.hg38.10000	EHF.hg38.10000	10000	43	1532
FOXP1.hg38.10000	ZEB1.hg38.10000	10000	43	1364
FOXP1.hg38.10000	HMG20A.hg38.10000	10000	43	1181
FOXP1.hg38.10000	TCF7.hg38.10000	10000	43	1063
FOXP1.hg38.10000	ZNF652.hg38.10000	10000	43	861
FOXP1.hg38.10000	E2F8.hg38.10000	10000	42	1940
FOXP1.hg38.10000	TFAP4.hg38.10000	10000	42	1905
FOXP1.hg38.10000	ARID3A.hg38.10000	10000	42	1383
FOXP1.hg38.10000	CXXC1.hg38.10000	10000	41	2520
FOXP1.hg38.10000	E2F4.hg38.10000	10000	41	2466
FOXP1.hg38.10000	MAZ.hg38.10000	10000	41	2293
FOXP1.hg38.10000	SP4.hg38.10000	10000	41	1937
FOXP1.hg38.10000	LEF1.hg38.10000	10000	41	1762
FOXP1.hg38.10000	ZNF701.hg38.10000	10000	41	1319
FOXP1.hg38.10000	CTCFL.hg38.10000	10000	41	1315
FOXP1.hg38.10000	E4F1.hg38.10000	10000	40	2151
FOXP1.hg38.10000	REST.hg38.10000	10000	40	1469
FOXP1.hg38.10000	NFYA.hg38.10000	10000	39	2706
FOXP1.hg38.10000	ELK4.hg38.10000	10000	39	2409
FOXP1.hg38.10000	ZBTB26.hg38.10000	10000	39	2176
FOXP1.hg38.10000	KLF1.hg38.10000	10000	39	1635
FOXP1.hg38.10000	MECOM.hg38.10000	10000	39	1541
FOXP1.hg38.10000	MXI1.hg38.10000	10000	38	2488
FOXP1.hg38.10000	KLF11.hg38.10000	10000	38	2263
FOXP1.hg38.10000	MEF2B.hg38.10000	10000	38	1415
FOXP1.hg38.10000	STAT2.hg38.10000	10000	37	2080
FOXP1.hg38.10000	POU5F1.hg38.10000	10000	37	921
FOXP1.hg38.10000	TFDP1.hg38.10000	10000	36	2335
FOXP1.hg38.10000	USF1.hg38.10000	10000	36	1617
FOXP1.hg38.10000	PBX3.hg38.10000	10000	36	1341
FOXP1.hg38.10000	SP2.hg38.10000	10000	35	2334
FOXP1.hg38.10000	KLF9.hg38.10000	10000	35	2242
FOXP1.hg38.10000	SOX4.hg38.10000	10000	35	1981
FOXP1.hg38.10000	IKZF1.hg38.10000	10000	35	1726
FOXP1.hg38.10000	SETDB1.hg38.10000	10000	35	1717
FOXP1.hg38.10000	CTCF.hg38.10000	10000	35	1000
FOXP1.hg38.10000	REL.hg38.10000	10000	34	1774
FOXP1.hg38.10000	ELK3.hg38.10000	10000	34	1658
FOXP1.hg38.10000	ZBTB17.hg38.10000	10000	34	1578
FOXP1.hg38.10000	POU3F2.hg38.10000	10000	34	1520
FOXP1.hg38.10000	SMAD1.hg38.10000	10000	34	1248
FOXP1.hg38.10000	NR1H3.hg38.10000	10000	34	779
FOXP1.hg38.10000	STAT5B.hg38.10000	10000	33	1773
FOXP1.hg38.10000	FOXO3.hg38.10000	10000	33	1516
FOXP1.hg38.10000	ASCL2.hg38.10000	10000	33	1478
FOXP1.hg38.10000	THRB.hg38.10000	10000	33	1086
FOXP1.hg38.10000	PATZ1.hg38.10000	10000	32	1875
FOXP1.hg38.10000	HSF1.hg38.10000	10000	32	1319
FOXP1.hg38.10000	XBP1.hg38.10000	10000	32	1013
FOXP1.hg38.10000	EGR1.hg38.10000	10000	31	2079
FOXP1.hg38.10000	NR1H2.hg38.10000	10000	31	1348
FOXP1.hg38.10000	JUND.hg38.10000	10000	31	936
FOXP1.hg38.10000	NRF1.hg38.10000	10000	30	2330
FOXP1.hg38.10000	ZNF341.hg38.10000	10000	30	1550
FOXP1.hg38.10000	NR2F2.hg38.10000	10000	30	1047
FOXP1.hg38.10000	MYNN.hg38.10000	10000	30	943
FOXP1.hg38.10000	SP5.hg38.10000	10000	29	2072
FOXP1.hg38.10000	MECP2.hg38.10000	10000	29	633
FOXP1.hg38.10000	ZBTB2.hg38.10000	10000	29	611
FOXP1.hg38.10000	ZNF217.hg38.10000	10000	28	1675
FOXP1.hg38.10000	STAT6.hg38.10000	10000	28	1368
FOXP1.hg38.10000	ZNF18.hg38.10000	10000	28	1234
FOXP1.hg38.10000	NFE2.hg38.10000	10000	28	1228
FOXP1.hg38.10000	BCL11A.hg38.10000	10000	28	1183
FOXP1.hg38.10000	RUNX3.hg38.10000	10000	28	1082
FOXP1.hg38.10000	NR2F6.hg38.10000	10000	28	966
FOXP1.hg38.10000	ZBTB16.hg38.10000	10000	28	903
FOXP1.hg38.10000	TEAD4.hg38.10000	10000	28	882
FOXP1.hg38.10000	NR4A1.hg38.10000	10000	28	771
FOXP1.hg38.10000	VEZF1.hg38.10000	10000	27	1873
FOXP1.hg38.10000	ZBTB7A.hg38.10000	10000	27	1816
FOXP1.hg38.10000	CLOCK.hg38.10000	10000	27	1490
FOXP1.hg38.10000	ZNF3.hg38.10000	10000	27	1372
FOXP1.hg38.10000	ARNTL.hg38.10000	10000	27	1148
FOXP1.hg38.10000	AHR.hg38.10000	10000	27	978
FOXP1.hg38.10000	TEAD3.hg38.10000	10000	27	866
FOXP1.hg38.10000	EPAS1.hg38.10000	10000	27	739
FOXP1.hg38.10000	GFI1B.hg38.10000	10000	26	1483
FOXP1.hg38.10000	ZNF444.hg38.10000	10000	26	1465
FOXP1.hg38.10000	NFKB1.hg38.10000	10000	26	871
FOXP1.hg38.10000	HNF4A.hg38.10000	10000	26	826
FOXP1.hg38.10000	HIF3A.hg38.10000	10000	26	788
FOXP1.hg38.10000	ZNF35.hg38.10000	10000	26	750
FOXP1.hg38.10000	ZBTB14.hg38.10000	10000	25	1723
FOXP1.hg38.10000	CDX2.hg38.10000	10000	25	995
FOXP1.hg38.10000	CEBPD.hg38.10000	10000	25	910
FOXP1.hg38.10000	SOX17.hg38.10000	10000	25	762
FOXP1.hg38.10000	SOX2.hg38.10000	10000	25	691
FOXP1.hg38.10000	ELF4.hg38.10000	10000	24	2136
FOXP1.hg38.10000	SPI1.hg38.10000	10000	24	1128
FOXP1.hg38.10000	TCF7L2.hg38.10000	10000	24	1093
FOXP1.hg38.10000	IKZF2.hg38.10000	10000	24	986
FOXP1.hg38.10000	HES1.hg38.10000	10000	24	984
FOXP1.hg38.10000	PPARD.hg38.10000	10000	24	546
FOXP1.hg38.10000	NFATC1.hg38.10000	10000	23	2364
FOXP1.hg38.10000	KMT2A.hg38.10000	10000	23	2360
FOXP1.hg38.10000	ZIC2.hg38.10000	10000	23	1215
FOXP1.hg38.10000	SPIB.hg38.10000	10000	23	942
FOXP1.hg38.10000	NFIL3.hg38.10000	10000	23	940
FOXP1.hg38.10000	ZFP64.hg38.10000	10000	23	936
FOXP1.hg38.10000	ZNF24.hg38.10000	10000	23	896
FOXP1.hg38.10000	HOXC5.hg38.10000	10000	23	775
FOXP1.hg38.10000	E2F6.hg38.10000	10000	22	1992
FOXP1.hg38.10000	TCF7L1.hg38.10000	10000	22	1321
FOXP1.hg38.10000	IRF3.hg38.10000	10000	22	978
FOXP1.hg38.10000	CEBPA.hg38.10000	10000	22	717
FOXP1.hg38.10000	ZNF778.hg38.10000	10000	21	1078
FOXP1.hg38.10000	PBX1.hg38.10000	10000	21	864
FOXP1.hg38.10000	NFIC.hg38.10000	10000	21	801
FOXP1.hg38.10000	CEBPB.hg38.10000	10000	21	646
FOXP1.hg38.10000	ZNF280A.hg38.10000	10000	21	590
FOXP1.hg38.10000	USF2.hg38.10000	10000	20	1465
FOXP1.hg38.10000	POU2F1.hg38.10000	10000	20	1103
FOXP1.hg38.10000	RARG.hg38.10000	10000	20	1035
FOXP1.hg38.10000	NR3C1.hg38.10000	10000	20	762
FOXP1.hg38.10000	ATF2.hg38.10000	10000	20	492
FOXP1.hg38.10000	KLF15.hg38.10000	10000	19	1654
FOXP1.hg38.10000	YY2.hg38.10000	10000	19	1653
FOXP1.hg38.10000	OVOL2.hg38.10000	10000	19	1284
FOXP1.hg38.10000	SP7.hg38.10000	10000	19	940
FOXP1.hg38.10000	PGR.hg38.10000	10000	19	932
FOXP1.hg38.10000	SPDEF.hg38.10000	10000	19	931
FOXP1.hg38.10000	LYL1.hg38.10000	10000	19	732
FOXP1.hg38.10000	SOX6.hg38.10000	10000	19	654
FOXP1.hg38.10000	MEF2C.hg38.10000	10000	19	619
FOXP1.hg38.10000	EBF3.hg38.10000	10000	19	421
FOXP1.hg38.10000	BACH1.hg38.10000	10000	18	1492
FOXP1.hg38.10000	E2F7.hg38.10000	10000	18	1297
FOXP1.hg38.10000	NFATC3.hg38.10000	10000	18	1166
FOXP1.hg38.10000	PPARG.hg38.10000	10000	18	1127
FOXP1.hg38.10000	RBAK.hg38.10000	10000	18	770
FOXP1.hg38.10000	HLF.hg38.10000	10000	18	491
FOXP1.hg38.10000	STAT4.hg38.10000	10000	17	1223
FOXP1.hg38.10000	ELF3.hg38.10000	10000	17	1156
FOXP1.hg38.10000	ZEB2.hg38.10000	10000	17	1067
FOXP1.hg38.10000	EBF1.hg38.10000	10000	17	991
FOXP1.hg38.10000	JUNB.hg38.10000	10000	17	569
FOXP1.hg38.10000	HMBOX1.hg38.10000	10000	17	531
FOXP1.hg38.10000	HOXA6.hg38.10000	10000	16	2219
FOXP1.hg38.10000	ZBTB42.hg38.10000	10000	16	768
FOXP1.hg38.10000	MEIS1.hg38.10000	10000	16	593
FOXP1.hg38.10000	ZNF184.hg38.10000	10000	16	496
FOXP1.hg38.10000	HOXB13.hg38.10000	10000	16	423
FOXP1.hg38.10000	ARNT.hg38.10000	10000	15	1347
FOXP1.hg38.10000	NEUROD1.hg38.10000	10000	15	1181
FOXP1.hg38.10000	PROX1.hg38.10000	10000	15	792
FOXP1.hg38.10000	TCF4.hg38.10000	10000	15	735
FOXP1.hg38.10000	HNF4G.hg38.10000	10000	15	657
FOXP1.hg38.10000	FEZF1.hg38.10000	10000	15	621
FOXP1.hg38.10000	GLIS1.hg38.10000	10000	15	621
FOXP1.hg38.10000	AR.hg38.10000	10000	15	602
FOXP1.hg38.10000	ZNF680.hg38.10000	10000	15	350
FOXP1.hg38.10000	ZNF382.hg38.10000	10000	15	324
FOXP1.hg38.10000	SMAD5.hg38.10000	10000	14	2331
FOXP1.hg38.10000	ZBTB48.hg38.10000	10000	14	1473
FOXP1.hg38.10000	MITF.hg38.10000	10000	14	1269
FOXP1.hg38.10000	PLAG1.hg38.10000	10000	14	1216
FOXP1.hg38.10000	NFKB2.hg38.10000	10000	14	981
FOXP1.hg38.10000	NR2F1.hg38.10000	10000	14	961
FOXP1.hg38.10000	ZNF263.hg38.10000	10000	14	949
FOXP1.hg38.10000	TLX1.hg38.10000	10000	14	812
FOXP1.hg38.10000	NFIA.hg38.10000	10000	14	697
FOXP1.hg38.10000	ZNF554.hg38.10000	10000	14	694
FOXP1.hg38.10000	ASCL1.hg38.10000	10000	14	656
FOXP1.hg38.10000	SMAD3.hg38.10000	10000	14	625
FOXP1.hg38.10000	FOSL2.hg38.10000	10000	14	611
FOXP1.hg38.10000	MEF2A.hg38.10000	10000	14	575
FOXP1.hg38.10000	NKX3-1.hg38.10000	10000	14	503
FOXP1.hg38.10000	ZNF768.hg38.10000	10000	14	481
FOXP1.hg38.10000	ZNF264.hg38.10000	10000	14	462
FOXP1.hg38.10000	GLIS2.hg38.10000	10000	13	1468
FOXP1.hg38.10000	TFAP2C.hg38.10000	10000	13	1237
FOXP1.hg38.10000	HIC1.hg38.10000	10000	13	1012
FOXP1.hg38.10000	TEAD1.hg38.10000	10000	13	753
FOXP1.hg38.10000	BATF.hg38.10000	10000	13	613
FOXP1.hg38.10000	HES2.hg38.10000	10000	13	595
FOXP1.hg38.10000	ATF7.hg38.10000	10000	13	579
FOXP1.hg38.10000	ZSCAN16.hg38.10000	10000	13	290
FOXP1.hg38.10000	NKX2-1.hg38.10000	10000	12	735
FOXP1.hg38.10000	FOS.hg38.10000	10000	12	731
FOXP1.hg38.10000	RUNX2.hg38.10000	10000	12	573
FOXP1.hg38.10000	FOSL1.hg38.10000	10000	12	463
FOXP1.hg38.10000	HEY1.hg38.10000	10000	11	2594
FOXP1.hg38.10000	SREBF2.hg38.10000	10000	11	1446
FOXP1.hg38.10000	PKNOX1.hg38.10000	10000	11	1135
FOXP1.hg38.10000	BACH2.hg38.10000	10000	11	1108
FOXP1.hg38.10000	TET3.hg38.10000	10000	11	923
FOXP1.hg38.10000	MSC.hg38.10000	10000	11	811
FOXP1.hg38.10000	OSR2.hg38.10000	10000	11	698
FOXP1.hg38.10000	ESR1.hg38.10000	10000	11	550
FOXP1.hg38.10000	NFE2L2.hg38.10000	10000	11	489
FOXP1.hg38.10000	HNF1B.hg38.10000	10000	11	469
FOXP1.hg38.10000	HMGA1.hg38.10000	10000	11	73
FOXP1.hg38.10000	TFAP2A.hg38.10000	10000	10	1180
FOXP1.hg38.10000	ZBTB6.hg38.10000	10000	10	858
FOXP1.hg38.10000	ESRRA.hg38.10000	10000	10	812
FOXP1.hg38.10000	NR5A2.hg38.10000	10000	10	762
FOXP1.hg38.10000	CEBPG.hg38.10000	10000	10	513
FOXP1.hg38.10000	TAL1.hg38.10000	10000	10	453
FOXP1.hg38.10000	GATA4.hg38.10000	10000	10	413
FOXP1.hg38.10000	TWIST1.hg38.10000	10000	10	345
FOXP1.hg38.10000	ZNF22.hg38.10000	10000	10	151
FOXP1.hg38.10000	TFEB.hg38.10000	10000	9	651
FOXP1.hg38.10000	PITX3.hg38.10000	10000	9	607
