TF_a	TF_b	num_site_TF_b	exact	window
GATA2.hg38.10000	GATA2.hg38.10000	10000	10000	10000
GATA2.hg38.10000	GATA3.hg38.10000	10000	610	4287
GATA2.hg38.10000	GATA1.hg38.10000	10000	315	2606
GATA2.hg38.10000	TAL1.hg38.10000	10000	211	2287
GATA2.hg38.10000	SMAD1.hg38.10000	10000	155	2033
GATA2.hg38.10000	CEBPD.hg38.10000	10000	149	1778
GATA2.hg38.10000	GATA4.hg38.10000	10000	108	1335
GATA2.hg38.10000	STAT5A.hg38.10000	10000	104	1396
GATA2.hg38.10000	SOX6.hg38.10000	10000	96	1627
GATA2.hg38.10000	TCF12.hg38.10000	10000	82	1389
GATA2.hg38.10000	LYL1.hg38.10000	10000	78	1627
GATA2.hg38.10000	KLF16.hg38.10000	10000	69	1045
GATA2.hg38.10000	GATA6.hg38.10000	10000	63	978
GATA2.hg38.10000	AHR.hg38.10000	10000	51	1232
GATA2.hg38.10000	MECOM.hg38.10000	10000	49	1372
GATA2.hg38.10000	FOXM1.hg38.10000	10000	44	1241
GATA2.hg38.10000	AR.hg38.10000	10000	43	1400
GATA2.hg38.10000	ZNF701.hg38.10000	10000	42	1082
GATA2.hg38.10000	FOXA1.hg38.10000	10000	41	1530
GATA2.hg38.10000	HES1.hg38.10000	10000	41	1045
GATA2.hg38.10000	MYNN.hg38.10000	10000	41	881
GATA2.hg38.10000	ERF.hg38.10000	10000	40	1303
GATA2.hg38.10000	MYB.hg38.10000	10000	40	867
GATA2.hg38.10000	HOXB13.hg38.10000	10000	39	1622
GATA2.hg38.10000	NKX3-1.hg38.10000	10000	38	1522
GATA2.hg38.10000	MBD2.hg38.10000	10000	36	679
GATA2.hg38.10000	CDX2.hg38.10000	10000	33	676
GATA2.hg38.10000	ERG.hg38.10000	10000	32	775
GATA2.hg38.10000	FOXO3.hg38.10000	10000	30	670
GATA2.hg38.10000	TRPS1.hg38.10000	10000	29	883
GATA2.hg38.10000	ZEB2.hg38.10000	10000	28	1077
GATA2.hg38.10000	ARNT.hg38.10000	10000	28	864
GATA2.hg38.10000	LEF1.hg38.10000	10000	28	461
GATA2.hg38.10000	TFEB.hg38.10000	10000	27	773
GATA2.hg38.10000	STAT1.hg38.10000	10000	25	734
GATA2.hg38.10000	NR5A2.hg38.10000	10000	24	698
GATA2.hg38.10000	ZBTB16.hg38.10000	10000	23	942
GATA2.hg38.10000	PGR.hg38.10000	10000	23	908
GATA2.hg38.10000	HMBOX1.hg38.10000	10000	23	820
GATA2.hg38.10000	VDR.hg38.10000	10000	23	441
GATA2.hg38.10000	FOS.hg38.10000	10000	22	746
GATA2.hg38.10000	TBX21.hg38.10000	10000	22	574
GATA2.hg38.10000	ZNF778.hg38.10000	10000	22	553
