TF_a	TF_b	num_site_TF_b	exact	window
GFI1B.hg38.10000	GFI1B.hg38.10000	10000	10000	10000
GFI1B.hg38.10000	NRF1.hg38.10000	10000	131	2575
GFI1B.hg38.10000	MEIS2.hg38.10000	10000	58	1092
GFI1B.hg38.10000	NFYA.hg38.10000	10000	47	1976
GFI1B.hg38.10000	RELA.hg38.10000	10000	46	1712
GFI1B.hg38.10000	E2F1.hg38.10000	10000	39	2326
GFI1B.hg38.10000	SP1.hg38.10000	10000	38	2094
GFI1B.hg38.10000	ARNTL.hg38.10000	10000	37	1013
GFI1B.hg38.10000	XBP1.hg38.10000	10000	35	713
GFI1B.hg38.10000	RBPJ.hg38.10000	10000	34	1848
GFI1B.hg38.10000	GFI1.hg38.10000	10000	34	1440
GFI1B.hg38.10000	THAP11.hg38.10000	10000	34	1350
GFI1B.hg38.10000	STAT1.hg38.10000	10000	33	1652
GFI1B.hg38.10000	FOXM1.hg38.10000	10000	33	1064
GFI1B.hg38.10000	E2F4.hg38.10000	10000	32	1939
GFI1B.hg38.10000	RUNX1.hg38.10000	10000	32	1917
GFI1B.hg38.10000	LEF1.hg38.10000	10000	31	1465
GFI1B.hg38.10000	CREB1.hg38.10000	10000	30	2147
GFI1B.hg38.10000	GABPA.hg38.10000	10000	30	1773
GFI1B.hg38.10000	SIX5.hg38.10000	10000	30	1679
GFI1B.hg38.10000	ATF3.hg38.10000	10000	30	1270
GFI1B.hg38.10000	IRF1.hg38.10000	10000	30	909
GFI1B.hg38.10000	KLF11.hg38.10000	10000	29	1503
GFI1B.hg38.10000	NFYC.hg38.10000	10000	28	1674
GFI1B.hg38.10000	ZNF324.hg38.10000	10000	27	1047
GFI1B.hg38.10000	FOXP1.hg38.10000	10000	26	1478
GFI1B.hg38.10000	SMAD1.hg38.10000	10000	26	1418
GFI1B.hg38.10000	VDR.hg38.10000	10000	26	1039
GFI1B.hg38.10000	CREM.hg38.10000	10000	25	1834
GFI1B.hg38.10000	ZBTB33.hg38.10000	10000	24	1333
GFI1B.hg38.10000	ELF1.hg38.10000	10000	23	1894
GFI1B.hg38.10000	KLF5.hg38.10000	10000	23	1558
