TF_a	TF_b	num_site_TF_b	exact	window
GLIS2.hg38.10000	GLIS2.hg38.10000	10000	10000	10000
GLIS2.hg38.10000	PATZ1.hg38.10000	10000	62	3349
GLIS2.hg38.10000	GLIS1.hg38.10000	10000	57	1910
GLIS2.hg38.10000	MAZ.hg38.10000	10000	44	3110
GLIS2.hg38.10000	ZBTB26.hg38.10000	10000	40	2791
GLIS2.hg38.10000	SP2.hg38.10000	10000	37	2680
GLIS2.hg38.10000	SP5.hg38.10000	10000	33	2273
GLIS2.hg38.10000	ZIC2.hg38.10000	10000	33	1447
GLIS2.hg38.10000	KLF5.hg38.10000	10000	29	2401
GLIS2.hg38.10000	SP1.hg38.10000	10000	28	2983
GLIS2.hg38.10000	ZBTB7A.hg38.10000	10000	28	2361
GLIS2.hg38.10000	KLF15.hg38.10000	10000	28	2188
GLIS2.hg38.10000	VEZF1.hg38.10000	10000	28	1801
GLIS2.hg38.10000	MYCN.hg38.10000	10000	25	2501
GLIS2.hg38.10000	ZBTB20.hg38.10000	10000	25	2218
GLIS2.hg38.10000	ZBTB48.hg38.10000	10000	25	2161
GLIS2.hg38.10000	KDM2B.hg38.10000	10000	24	2685
GLIS2.hg38.10000	SP4.hg38.10000	10000	24	2389
GLIS2.hg38.10000	HIF1A.hg38.10000	10000	24	1634
GLIS2.hg38.10000	SP7.hg38.10000	10000	24	1503
GLIS2.hg38.10000	RBPJ.hg38.10000	10000	23	2246
GLIS2.hg38.10000	MYC.hg38.10000	10000	22	2863
GLIS2.hg38.10000	EGR1.hg38.10000	10000	22	2126
GLIS2.hg38.10000	MAX.hg38.10000	10000	21	2605
GLIS2.hg38.10000	ZNF335.hg38.10000	10000	21	2159
GLIS2.hg38.10000	KLF1.hg38.10000	10000	21	1685
GLIS2.hg38.10000	SOX4.hg38.10000	10000	21	1566
GLIS2.hg38.10000	NFATC1.hg38.10000	10000	20	2257
GLIS2.hg38.10000	KLF11.hg38.10000	10000	20	2139
GLIS2.hg38.10000	MYRF.hg38.10000	10000	20	1639
GLIS2.hg38.10000	KMT2A.hg38.10000	10000	19	2747
GLIS2.hg38.10000	ERG.hg38.10000	10000	19	2307
GLIS2.hg38.10000	ZNF444.hg38.10000	10000	19	1324
GLIS2.hg38.10000	TFAP2C.hg38.10000	10000	19	1270
GLIS2.hg38.10000	NFYA.hg38.10000	10000	18	2519
GLIS2.hg38.10000	ZNF341.hg38.10000	10000	18	1743
GLIS2.hg38.10000	ZSCAN22.hg38.10000	10000	18	1610
GLIS2.hg38.10000	ZNF792.hg38.10000	10000	18	1220
GLIS2.hg38.10000	CLOCK.hg38.10000	10000	18	1191
GLIS2.hg38.10000	E2F1.hg38.10000	10000	17	2901
GLIS2.hg38.10000	ZBTB14.hg38.10000	10000	17	2857
GLIS2.hg38.10000	CXXC1.hg38.10000	10000	17	2575
GLIS2.hg38.10000	ETV5.hg38.10000	10000	17	2229
GLIS2.hg38.10000	GABPA.hg38.10000	10000	17	2191
GLIS2.hg38.10000	SMAD5.hg38.10000	10000	17	1969
GLIS2.hg38.10000	ETV1.hg38.10000	10000	17	1916
GLIS2.hg38.10000	ZNF324.hg38.10000	10000	17	1477
GLIS2.hg38.10000	THAP11.hg38.10000	10000	17	1454
GLIS2.hg38.10000	BACH1.hg38.10000	10000	17	1345
GLIS2.hg38.10000	ZFHX2.hg38.10000	10000	17	1153
GLIS2.hg38.10000	ZNF143.hg38.10000	10000	16	1727
GLIS2.hg38.10000	ATF1.hg38.10000	10000	16	1588
GLIS2.hg38.10000	ZNF574.hg38.10000	10000	16	1588
GLIS2.hg38.10000	PLAG1.hg38.10000	10000	16	1471
GLIS2.hg38.10000	ZBTB33.hg38.10000	10000	16	1468
GLIS2.hg38.10000	RXRA.hg38.10000	10000	15	1561
GLIS2.hg38.10000	ZBTB11.hg38.10000	10000	15	1519
GLIS2.hg38.10000	RELA.hg38.10000	10000	15	1480
