TF_a	TF_b	num_site_TF_b	exact	window
HLF.hg38.10000	HLF.hg38.10000	10000	10000	10000
HLF.hg38.10000	NFIL3.hg38.10000	10000	266	2988
HLF.hg38.10000	CEBPB.hg38.10000	10000	226	1435
HLF.hg38.10000	CEBPG.hg38.10000	10000	169	1304
HLF.hg38.10000	CEBPA.hg38.10000	10000	132	1156
HLF.hg38.10000	CEBPD.hg38.10000	10000	65	781
HLF.hg38.10000	SOX13.hg38.10000	10000	56	1231
HLF.hg38.10000	ZFP1.hg38.10000	10000	47	1096
HLF.hg38.10000	ZNF792.hg38.10000	10000	47	1009
HLF.hg38.10000	ATF3.hg38.10000	10000	41	684
HLF.hg38.10000	HES2.hg38.10000	10000	40	1022
HLF.hg38.10000	TFE3.hg38.10000	10000	39	1020
HLF.hg38.10000	ATF4.hg38.10000	10000	38	434
HLF.hg38.10000	RXRB.hg38.10000	10000	37	1047
HLF.hg38.10000	MIXL1.hg38.10000	10000	35	973
HLF.hg38.10000	FOXA3.hg38.10000	10000	35	839
HLF.hg38.10000	MLX.hg38.10000	10000	34	1117
HLF.hg38.10000	ZSCAN9.hg38.10000	10000	32	1086
HLF.hg38.10000	SMAD4.hg38.10000	10000	31	854
HLF.hg38.10000	DDIT3.hg38.10000	10000	31	384
HLF.hg38.10000	ZNF3.hg38.10000	10000	30	792
HLF.hg38.10000	TEAD3.hg38.10000	10000	29	1113
HLF.hg38.10000	HMG20A.hg38.10000	10000	28	967
HLF.hg38.10000	MYRF.hg38.10000	10000	28	650
HLF.hg38.10000	SOX5.hg38.10000	10000	27	943
HLF.hg38.10000	THRB.hg38.10000	10000	26	857
HLF.hg38.10000	IKZF5.hg38.10000	10000	25	937
HLF.hg38.10000	ATF1.hg38.10000	10000	25	634
HLF.hg38.10000	HSF1.hg38.10000	10000	25	466
HLF.hg38.10000	NFYC.hg38.10000	10000	24	434
HLF.hg38.10000	REST.hg38.10000	10000	24	243
HLF.hg38.10000	HOMEZ.hg38.10000	10000	23	823
HLF.hg38.10000	ZNF580.hg38.10000	10000	21	655
HLF.hg38.10000	ZNF652.hg38.10000	10000	21	632
HLF.hg38.10000	IRF2.hg38.10000	10000	21	626
HLF.hg38.10000	THAP11.hg38.10000	10000	20	515
HLF.hg38.10000	ARID3A.hg38.10000	10000	19	913
HLF.hg38.10000	HNF4A.hg38.10000	10000	19	894
HLF.hg38.10000	MYBL2.hg38.10000	10000	18	1063
HLF.hg38.10000	NR2F6.hg38.10000	10000	18	714
HLF.hg38.10000	KLF10.hg38.10000	10000	18	688
HLF.hg38.10000	FOXP1.hg38.10000	10000	18	491
HLF.hg38.10000	CREM.hg38.10000	10000	18	432
HLF.hg38.10000	ETV5.hg38.10000	10000	17	502
HLF.hg38.10000	NR1H3.hg38.10000	10000	17	432
HLF.hg38.10000	ATF7.hg38.10000	10000	17	285
HLF.hg38.10000	RXRA.hg38.10000	10000	16	637
HLF.hg38.10000	KLF6.hg38.10000	10000	16	498
HLF.hg38.10000	RARA.hg38.10000	10000	16	464
HLF.hg38.10000	ATF2.hg38.10000	10000	16	205
HLF.hg38.10000	CREB1.hg38.10000	10000	13	468
HLF.hg38.10000	STAT3.hg38.10000	10000	12	489
HLF.hg38.10000	GMEB2.hg38.10000	10000	12	467
HLF.hg38.10000	SREBF2.hg38.10000	10000	12	388
HLF.hg38.10000	TRPS1.hg38.10000	10000	12	370
HLF.hg38.10000	ZNF574.hg38.10000	10000	12	316
HLF.hg38.10000	PBX2.hg38.10000	10000	12	303
HLF.hg38.10000	KLF9.hg38.10000	10000	11	297
HLF.hg38.10000	MXI1.hg38.10000	10000	11	281
HLF.hg38.10000	TCF7.hg38.10000	10000	10	724
HLF.hg38.10000	PPARG.hg38.10000	10000	10	507
HLF.hg38.10000	RBPJ.hg38.10000	10000	10	390
HLF.hg38.10000	STAT1.hg38.10000	10000	10	375
HLF.hg38.10000	KLF16.hg38.10000	10000	10	364
HLF.hg38.10000	BATF.hg38.10000	10000	10	187
HLF.hg38.10000	HIF3A.hg38.10000	10000	9	375
HLF.hg38.10000	ZBTB33.hg38.10000	10000	9	313
HLF.hg38.10000	ZNF143.hg38.10000	10000	9	252
HLF.hg38.10000	FOXO3.hg38.10000	10000	8	792
HLF.hg38.10000	ETV4.hg38.10000	10000	8	609
HLF.hg38.10000	ZNF554.hg38.10000	10000	8	304
HLF.hg38.10000	MECOM.hg38.10000	10000	8	247
HLF.hg38.10000	ZBTB26.hg38.10000	10000	8	237
HLF.hg38.10000	KLF4.hg38.10000	10000	8	232
HLF.hg38.10000	POU5F1.hg38.10000	10000	8	150
HLF.hg38.10000	FOXA2.hg38.10000	10000	7	489
HLF.hg38.10000	NR3C1.hg38.10000	10000	7	488
HLF.hg38.10000	JUN.hg38.10000	10000	7	462
HLF.hg38.10000	NR1H2.hg38.10000	10000	7	451
HLF.hg38.10000	HNF1A.hg38.10000	10000	7	396
HLF.hg38.10000	KLF11.hg38.10000	10000	7	382
HLF.hg38.10000	PROX1.hg38.10000	10000	7	353
HLF.hg38.10000	CDX2.hg38.10000	10000	7	344
HLF.hg38.10000	E2F8.hg38.10000	10000	7	302
HLF.hg38.10000	ETV1.hg38.10000	10000	7	294
HLF.hg38.10000	ERF.hg38.10000	10000	7	279
HLF.hg38.10000	PBX4.hg38.10000	10000	7	252
HLF.hg38.10000	FOSL2.hg38.10000	10000	6	412
HLF.hg38.10000	JUND.hg38.10000	10000	6	407
HLF.hg38.10000	ELF3.hg38.10000	10000	6	400
HLF.hg38.10000	RFX5.hg38.10000	10000	6	376
