TF_a	TF_b	num_site_TF_b	exact	window
HMBOX1.hg38.10000	HMBOX1.hg38.10000	10000	10000	10000
HMBOX1.hg38.10000	ZBTB33.hg38.10000	10000	48	688
HMBOX1.hg38.10000	GATA1.hg38.10000	10000	44	1457
HMBOX1.hg38.10000	CEBPD.hg38.10000	10000	35	1413
HMBOX1.hg38.10000	TAL1.hg38.10000	10000	34	1343
HMBOX1.hg38.10000	SMAD1.hg38.10000	10000	32	1292
HMBOX1.hg38.10000	STAT5A.hg38.10000	10000	31	1129
HMBOX1.hg38.10000	SOX6.hg38.10000	10000	29	1462
HMBOX1.hg38.10000	FOSB.hg38.10000	10000	27	968
HMBOX1.hg38.10000	REST.hg38.10000	10000	27	483
HMBOX1.hg38.10000	MYNN.hg38.10000	10000	26	748
HMBOX1.hg38.10000	RBPJ.hg38.10000	10000	26	552
HMBOX1.hg38.10000	VDR.hg38.10000	10000	24	597
HMBOX1.hg38.10000	FOS.hg38.10000	10000	23	1029
HMBOX1.hg38.10000	GATA2.hg38.10000	10000	23	851
HMBOX1.hg38.10000	STAT6.hg38.10000	10000	23	549
HMBOX1.hg38.10000	ZNF184.hg38.10000	10000	23	522
HMBOX1.hg38.10000	FOSL1.hg38.10000	10000	22	872
HMBOX1.hg38.10000	STAT1.hg38.10000	10000	22	746
HMBOX1.hg38.10000	RUNX1.hg38.10000	10000	22	691
HMBOX1.hg38.10000	ZBTB16.hg38.10000	10000	22	569
HMBOX1.hg38.10000	ZEB1.hg38.10000	10000	22	419
HMBOX1.hg38.10000	KLF16.hg38.10000	10000	21	811
HMBOX1.hg38.10000	HIF1A.hg38.10000	10000	21	622
HMBOX1.hg38.10000	KLF5.hg38.10000	10000	21	584
HMBOX1.hg38.10000	ZNF341.hg38.10000	10000	21	343
HMBOX1.hg38.10000	JUND.hg38.10000	10000	20	892
HMBOX1.hg38.10000	LEF1.hg38.10000	10000	20	496
HMBOX1.hg38.10000	FOXM1.hg38.10000	10000	19	774
HMBOX1.hg38.10000	TCF7L2.hg38.10000	10000	19	645
HMBOX1.hg38.10000	RARG.hg38.10000	10000	19	342
HMBOX1.hg38.10000	BACH1.hg38.10000	10000	18	707
HMBOX1.hg38.10000	NR1H2.hg38.10000	10000	18	671
HMBOX1.hg38.10000	MAF.hg38.10000	10000	18	603
HMBOX1.hg38.10000	RARA.hg38.10000	10000	18	454
HMBOX1.hg38.10000	ATF3.hg38.10000	10000	17	812
HMBOX1.hg38.10000	JUNB.hg38.10000	10000	17	787
HMBOX1.hg38.10000	MECOM.hg38.10000	10000	17	664
HMBOX1.hg38.10000	CREB1.hg38.10000	10000	17	614
