TF_a	TF_b	num_site_TF_b	exact	window
HNF1A.hg38.10000	HNF1A.hg38.10000	10000	10000	10000
HNF1A.hg38.10000	HNF1B.hg38.10000	10000	156	3985
HNF1A.hg38.10000	NR1H3.hg38.10000	10000	31	872
HNF1A.hg38.10000	ARID3A.hg38.10000	10000	27	1115
HNF1A.hg38.10000	MIXL1.hg38.10000	10000	27	809
HNF1A.hg38.10000	MLX.hg38.10000	10000	26	865
HNF1A.hg38.10000	SOX13.hg38.10000	10000	24	970
HNF1A.hg38.10000	NR1H2.hg38.10000	10000	18	953
HNF1A.hg38.10000	FOXA2.hg38.10000	10000	18	703
HNF1A.hg38.10000	HMG20A.hg38.10000	10000	18	678
HNF1A.hg38.10000	MYBL2.hg38.10000	10000	18	669
HNF1A.hg38.10000	HES2.hg38.10000	10000	17	889
HNF1A.hg38.10000	TCF7.hg38.10000	10000	17	843
HNF1A.hg38.10000	NFIL3.hg38.10000	10000	17	787
HNF1A.hg38.10000	RXRB.hg38.10000	10000	16	539
HNF1A.hg38.10000	ELF3.hg38.10000	10000	15	793
HNF1A.hg38.10000	FOXO3.hg38.10000	10000	15	528
HNF1A.hg38.10000	HNF4A.hg38.10000	10000	14	660
HNF1A.hg38.10000	THRB.hg38.10000	10000	14	642
HNF1A.hg38.10000	NR2F2.hg38.10000	10000	14	513
HNF1A.hg38.10000	KLF10.hg38.10000	10000	14	412
HNF1A.hg38.10000	SOX5.hg38.10000	10000	13	741
HNF1A.hg38.10000	NR2F6.hg38.10000	10000	13	544
HNF1A.hg38.10000	ZNF652.hg38.10000	10000	13	524
HNF1A.hg38.10000	CDX2.hg38.10000	10000	12	850
HNF1A.hg38.10000	TFE3.hg38.10000	10000	12	717
HNF1A.hg38.10000	ZFP1.hg38.10000	10000	12	634
HNF1A.hg38.10000	ZNF792.hg38.10000	10000	12	573
HNF1A.hg38.10000	FOSL2.hg38.10000	10000	11	729
HNF1A.hg38.10000	JUND.hg38.10000	10000	11	669
HNF1A.hg38.10000	ZSCAN9.hg38.10000	10000	11	602
HNF1A.hg38.10000	IKZF5.hg38.10000	10000	11	592
HNF1A.hg38.10000	HOMEZ.hg38.10000	10000	11	569
HNF1A.hg38.10000	THAP11.hg38.10000	10000	11	247
HNF1A.hg38.10000	JUNB.hg38.10000	10000	10	800
HNF1A.hg38.10000	NR3C1.hg38.10000	10000	10	614
HNF1A.hg38.10000	NFIA.hg38.10000	10000	10	407
HNF1A.hg38.10000	CREM.hg38.10000	10000	10	239
HNF1A.hg38.10000	FOXA3.hg38.10000	10000	9	561
HNF1A.hg38.10000	SOX9.hg38.10000	10000	9	559
HNF1A.hg38.10000	STAT3.hg38.10000	10000	9	452
HNF1A.hg38.10000	HES1.hg38.10000	10000	9	434
HNF1A.hg38.10000	HOXC5.hg38.10000	10000	9	396
HNF1A.hg38.10000	ATF3.hg38.10000	10000	9	380
HNF1A.hg38.10000	ATF1.hg38.10000	10000	9	372
HNF1A.hg38.10000	IRF2.hg38.10000	10000	9	275
HNF1A.hg38.10000	TEAD3.hg38.10000	10000	8	540
HNF1A.hg38.10000	ETV4.hg38.10000	10000	8	522
HNF1A.hg38.10000	FOXA1.hg38.10000	10000	8	403
HNF1A.hg38.10000	FOXM1.hg38.10000	10000	8	352
HNF1A.hg38.10000	GATA2.hg38.10000	10000	8	264
HNF1A.hg38.10000	EPAS1.hg38.10000	10000	7	804
HNF1A.hg38.10000	SMAD4.hg38.10000	10000	7	612
HNF1A.hg38.10000	SMAD3.hg38.10000	10000	7	487
HNF1A.hg38.10000	ARNT.hg38.10000	10000	7	427
HNF1A.hg38.10000	HLF.hg38.10000	10000	7	412
HNF1A.hg38.10000	HIF1A.hg38.10000	10000	7	348
HNF1A.hg38.10000	ZBTB33.hg38.10000	10000	7	227
HNF1A.hg38.10000	TP53.hg38.10000	10000	7	178
HNF1A.hg38.10000	HOXA6.hg38.10000	10000	6	519
HNF1A.hg38.10000	PDX1.hg38.10000	10000	6	516
HNF1A.hg38.10000	TEAD4.hg38.10000	10000	6	513
HNF1A.hg38.10000	FOSL1.hg38.10000	10000	6	465
HNF1A.hg38.10000	TCF7L2.hg38.10000	10000	6	428
HNF1A.hg38.10000	ASCL2.hg38.10000	10000	6	419
HNF1A.hg38.10000	ZNF3.hg38.10000	10000	6	410
HNF1A.hg38.10000	TEAD1.hg38.10000	10000	6	402
HNF1A.hg38.10000	TRPS1.hg38.10000	10000	6	380
HNF1A.hg38.10000	FOS.hg38.10000	10000	6	379
HNF1A.hg38.10000	VEZF1.hg38.10000	10000	6	373
HNF1A.hg38.10000	KLF6.hg38.10000	10000	6	317
HNF1A.hg38.10000	PRDM6.hg38.10000	10000	6	236
HNF1A.hg38.10000	GATA3.hg38.10000	10000	6	232
HNF1A.hg38.10000	FOXK2.hg38.10000	10000	6	176
HNF1A.hg38.10000	PROX1.hg38.10000	10000	5	648
HNF1A.hg38.10000	JUN.hg38.10000	10000	5	531
HNF1A.hg38.10000	ETV5.hg38.10000	10000	5	481
HNF1A.hg38.10000	RXRA.hg38.10000	10000	5	446
HNF1A.hg38.10000	CEBPB.hg38.10000	10000	5	396
HNF1A.hg38.10000	ZIC2.hg38.10000	10000	5	374
HNF1A.hg38.10000	E2F7.hg38.10000	10000	5	349
HNF1A.hg38.10000	HNF4G.hg38.10000	10000	5	349
HNF1A.hg38.10000	ERF.hg38.10000	10000	5	338
HNF1A.hg38.10000	TCF12.hg38.10000	10000	5	333
HNF1A.hg38.10000	TCF7L1.hg38.10000	10000	5	325
HNF1A.hg38.10000	HMBOX1.hg38.10000	10000	5	319
HNF1A.hg38.10000	NR2F1.hg38.10000	10000	5	305
HNF1A.hg38.10000	GMEB2.hg38.10000	10000	5	301
HNF1A.hg38.10000	AHR.hg38.10000	10000	5	290
HNF1A.hg38.10000	NFE2L2.hg38.10000	10000	5	266
HNF1A.hg38.10000	KLF5.hg38.10000	10000	5	259
HNF1A.hg38.10000	AR.hg38.10000	10000	5	249
HNF1A.hg38.10000	HOXB13.hg38.10000	10000	5	226
HNF1A.hg38.10000	SMAD1.hg38.10000	10000	5	224
HNF1A.hg38.10000	BHLHE40.hg38.10000	10000	5	203
HNF1A.hg38.10000	CREB1.hg38.10000	10000	5	191
HNF1A.hg38.10000	KLF16.hg38.10000	10000	5	190
HNF1A.hg38.10000	ETS1.hg38.10000	10000	5	157
HNF1A.hg38.10000	EHF.hg38.10000	10000	4	429
HNF1A.hg38.10000	ZNF217.hg38.10000	10000	4	295
HNF1A.hg38.10000	GATA6.hg38.10000	10000	4	285
HNF1A.hg38.10000	OSR2.hg38.10000	10000	4	284
HNF1A.hg38.10000	SP7.hg38.10000	10000	4	276
HNF1A.hg38.10000	PBX4.hg38.10000	10000	4	273
HNF1A.hg38.10000	CEBPG.hg38.10000	10000	4	255
HNF1A.hg38.10000	ESR1.hg38.10000	10000	4	255
HNF1A.hg38.10000	CEBPD.hg38.10000	10000	4	234
HNF1A.hg38.10000	MEF2A.hg38.10000	10000	4	230
HNF1A.hg38.10000	STAT1.hg38.10000	10000	4	224
HNF1A.hg38.10000	BATF.hg38.10000	10000	4	215
HNF1A.hg38.10000	TWIST1.hg38.10000	10000	4	209
HNF1A.hg38.10000	BCL11A.hg38.10000	10000	4	208
HNF1A.hg38.10000	SP5.hg38.10000	10000	4	196
HNF1A.hg38.10000	ELK4.hg38.10000	10000	4	195
HNF1A.hg38.10000	PATZ1.hg38.10000	10000	4	194
HNF1A.hg38.10000	EOMES.hg38.10000	10000	4	178
HNF1A.hg38.10000	GLIS1.hg38.10000	10000	4	161
HNF1A.hg38.10000	IRF4.hg38.10000	10000	4	158
HNF1A.hg38.10000	PBX2.hg38.10000	10000	4	153
HNF1A.hg38.10000	EGR1.hg38.10000	10000	4	143
HNF1A.hg38.10000	GATA1.hg38.10000	10000	4	124
HNF1A.hg38.10000	HOXA2.hg38.10000	10000	3	536
HNF1A.hg38.10000	FOXP1.hg38.10000	10000	3	405
HNF1A.hg38.10000	NKX2-1.hg38.10000	10000	3	385
HNF1A.hg38.10000	NFIC.hg38.10000	10000	3	362
HNF1A.hg38.10000	GATA4.hg38.10000	10000	3	333
HNF1A.hg38.10000	PBX3.hg38.10000	10000	3	306
HNF1A.hg38.10000	TFEB.hg38.10000	10000	3	292
HNF1A.hg38.10000	ZNF701.hg38.10000	10000	3	271
HNF1A.hg38.10000	NFKB1.hg38.10000	10000	3	264
HNF1A.hg38.10000	ESRRA.hg38.10000	10000	3	246
HNF1A.hg38.10000	IKZF2.hg38.10000	10000	3	241
HNF1A.hg38.10000	TET3.hg38.10000	10000	3	240
