TF_a	TF_b	num_site_TF_b	exact	window
HOXA2.hg38.10000	HOXA2.hg38.10000	10000	10000	10000
HOXA2.hg38.10000	SOX9.hg38.10000	10000	3	926
HOXA2.hg38.10000	PATZ1.hg38.10000	10000	3	543
HOXA2.hg38.10000	HNF1A.hg38.10000	10000	3	501
HOXA2.hg38.10000	STAT6.hg38.10000	10000	3	398
HOXA2.hg38.10000	NR2F2.hg38.10000	10000	3	375
HOXA2.hg38.10000	ZEB2.hg38.10000	10000	3	344
HOXA2.hg38.10000	IRF1.hg38.10000	10000	2	880
HOXA2.hg38.10000	JUN.hg38.10000	10000	2	768
HOXA2.hg38.10000	RXRA.hg38.10000	10000	2	662
HOXA2.hg38.10000	OVOL2.hg38.10000	10000	2	614
HOXA2.hg38.10000	FOSL2.hg38.10000	10000	2	537
HOXA2.hg38.10000	VDR.hg38.10000	10000	2	518
HOXA2.hg38.10000	BHLHE40.hg38.10000	10000	2	498
HOXA2.hg38.10000	FOXA2.hg38.10000	10000	2	476
HOXA2.hg38.10000	HMBOX1.hg38.10000	10000	2	416
HOXA2.hg38.10000	GRHL2.hg38.10000	10000	2	332
HOXA2.hg38.10000	DDIT3.hg38.10000	10000	2	292
HOXA2.hg38.10000	EPAS1.hg38.10000	10000	2	290
HOXA2.hg38.10000	MECOM.hg38.10000	10000	2	276
HOXA2.hg38.10000	HLF.hg38.10000	10000	2	262
HOXA2.hg38.10000	CREB1.hg38.10000	10000	1	988
HOXA2.hg38.10000	ZIC2.hg38.10000	10000	1	935
HOXA2.hg38.10000	GMEB2.hg38.10000	10000	1	920
HOXA2.hg38.10000	NR1H2.hg38.10000	10000	1	914
HOXA2.hg38.10000	MAX.hg38.10000	10000	1	876
HOXA2.hg38.10000	IRF2.hg38.10000	10000	1	833
HOXA2.hg38.10000	ZNF217.hg38.10000	10000	1	767
HOXA2.hg38.10000	STAT1.hg38.10000	10000	1	759
HOXA2.hg38.10000	HEY1.hg38.10000	10000	1	756
HOXA2.hg38.10000	RBPJ.hg38.10000	10000	1	716
HOXA2.hg38.10000	E2F4.hg38.10000	10000	1	710
HOXA2.hg38.10000	RELA.hg38.10000	10000	1	696
HOXA2.hg38.10000	FOXM1.hg38.10000	10000	1	679
HOXA2.hg38.10000	ELF3.hg38.10000	10000	1	666
HOXA2.hg38.10000	NFATC1.hg38.10000	10000	1	658
HOXA2.hg38.10000	THAP11.hg38.10000	10000	1	646
HOXA2.hg38.10000	ZNF143.hg38.10000	10000	1	641
HOXA2.hg38.10000	E2F6.hg38.10000	10000	1	627
HOXA2.hg38.10000	ETV4.hg38.10000	10000	1	623
HOXA2.hg38.10000	FOXK2.hg38.10000	10000	1	568
HOXA2.hg38.10000	KLF6.hg38.10000	10000	1	545
HOXA2.hg38.10000	KLF9.hg38.10000	10000	1	543
