TF_a	TF_b	num_site_TF_b	exact	window
HOXB13.hg38.10000	HOXB13.hg38.10000	10000	10000	10000
HOXB13.hg38.10000	NKX3-1.hg38.10000	10000	136	3346
HOXB13.hg38.10000	AR.hg38.10000	10000	95	2551
HOXB13.hg38.10000	ERF.hg38.10000	10000	94	2124
HOXB13.hg38.10000	FOXA1.hg38.10000	10000	73	1867
HOXB13.hg38.10000	CDX2.hg38.10000	10000	48	1080
HOXB13.hg38.10000	HNF4G.hg38.10000	10000	41	1259
HOXB13.hg38.10000	GATA2.hg38.10000	10000	39	1618
HOXB13.hg38.10000	HOXC9.hg38.10000	10000	24	601
HOXB13.hg38.10000	FOXM1.hg38.10000	10000	21	705
HOXB13.hg38.10000	FEZF1.hg38.10000	10000	21	681
HOXB13.hg38.10000	TP53.hg38.10000	10000	21	131
HOXB13.hg38.10000	VDR.hg38.10000	10000	20	139
HOXB13.hg38.10000	ESR1.hg38.10000	10000	19	436
HOXB13.hg38.10000	ASCL2.hg38.10000	10000	18	1045
HOXB13.hg38.10000	ONECUT2.hg38.10000	10000	16	624
HOXB13.hg38.10000	AHR.hg38.10000	10000	16	538
HOXB13.hg38.10000	FOXP1.hg38.10000	10000	16	419
HOXB13.hg38.10000	ZNF22.hg38.10000	10000	16	103
HOXB13.hg38.10000	PRDM6.hg38.10000	10000	15	750
HOXB13.hg38.10000	ZNF778.hg38.10000	10000	15	638
HOXB13.hg38.10000	NR1H2.hg38.10000	10000	15	491
HOXB13.hg38.10000	ZBTB33.hg38.10000	10000	15	136
HOXB13.hg38.10000	RBPJ.hg38.10000	10000	15	126
HOXB13.hg38.10000	HOXA9.hg38.10000	10000	14	512
HOXB13.hg38.10000	ZIC2.hg38.10000	10000	14	432
HOXB13.hg38.10000	HES1.hg38.10000	10000	14	431
HOXB13.hg38.10000	TRPS1.hg38.10000	10000	14	352
HOXB13.hg38.10000	ZNF341.hg38.10000	10000	14	144
HOXB13.hg38.10000	NR1H3.hg38.10000	10000	13	530
HOXB13.hg38.10000	FOXK1.hg38.10000	10000	13	293
HOXB13.hg38.10000	EBF3.hg38.10000	10000	13	196
HOXB13.hg38.10000	RARA.hg38.10000	10000	13	176
HOXB13.hg38.10000	RELA.hg38.10000	10000	13	126
