TF_a	TF_b	num_site_TF_b	exact	window
HSF1.hg38.10000	HSF1.hg38.10000	10000	10000	10000
HSF1.hg38.10000	ETS1.hg38.10000	10000	54	1684
HSF1.hg38.10000	STAT1.hg38.10000	10000	51	1650
HSF1.hg38.10000	RBPJ.hg38.10000	10000	49	1776
HSF1.hg38.10000	CREM.hg38.10000	10000	43	1600
HSF1.hg38.10000	MAX.hg38.10000	10000	41	1724
HSF1.hg38.10000	SIX5.hg38.10000	10000	41	1446
HSF1.hg38.10000	RXRA.hg38.10000	10000	40	1457
HSF1.hg38.10000	SOX4.hg38.10000	10000	40	1420
HSF1.hg38.10000	HIF1A.hg38.10000	10000	40	1351
HSF1.hg38.10000	CREB1.hg38.10000	10000	39	1788
HSF1.hg38.10000	ATF3.hg38.10000	10000	39	1335
HSF1.hg38.10000	IRF2.hg38.10000	10000	39	1297
HSF1.hg38.10000	MYCN.hg38.10000	10000	38	1604
HSF1.hg38.10000	GMEB2.hg38.10000	10000	37	1703
HSF1.hg38.10000	RELA.hg38.10000	10000	35	1477
HSF1.hg38.10000	FOXM1.hg38.10000	10000	35	1348
HSF1.hg38.10000	SP1.hg38.10000	10000	34	1702
HSF1.hg38.10000	MAZ.hg38.10000	10000	33	1430
HSF1.hg38.10000	TCF12.hg38.10000	10000	32	1457
HSF1.hg38.10000	FOXP1.hg38.10000	10000	32	1353
HSF1.hg38.10000	SOX9.hg38.10000	10000	32	1167
HSF1.hg38.10000	RUNX1.hg38.10000	10000	31	1340
HSF1.hg38.10000	VDR.hg38.10000	10000	31	1228
HSF1.hg38.10000	RARA.hg38.10000	10000	31	1144
HSF1.hg38.10000	SMAD4.hg38.10000	10000	31	1072
HSF1.hg38.10000	THAP11.hg38.10000	10000	30	1408
HSF1.hg38.10000	MYC.hg38.10000	10000	29	1783
HSF1.hg38.10000	E2F1.hg38.10000	10000	29	1709
HSF1.hg38.10000	ZNF574.hg38.10000	10000	29	1078
HSF1.hg38.10000	KLF10.hg38.10000	10000	28	1574
HSF1.hg38.10000	TFDP1.hg38.10000	10000	28	1392
HSF1.hg38.10000	ZNF143.hg38.10000	10000	28	1352
HSF1.hg38.10000	ATF1.hg38.10000	10000	28	1340
HSF1.hg38.10000	MYRF.hg38.10000	10000	28	1125
HSF1.hg38.10000	ZNF792.hg38.10000	10000	28	1087
HSF1.hg38.10000	IKZF5.hg38.10000	10000	28	1056
HSF1.hg38.10000	YY1.hg38.10000	10000	27	1559
HSF1.hg38.10000	TRPS1.hg38.10000	10000	27	1166
HSF1.hg38.10000	ZNF580.hg38.10000	10000	27	1124
HSF1.hg38.10000	ERF.hg38.10000	10000	27	760
HSF1.hg38.10000	ERG.hg38.10000	10000	26	1638
HSF1.hg38.10000	MXI1.hg38.10000	10000	26	1459
HSF1.hg38.10000	JUN.hg38.10000	10000	26	1418
HSF1.hg38.10000	ETV4.hg38.10000	10000	26	1129
HSF1.hg38.10000	MYBL2.hg38.10000	10000	26	1061
HSF1.hg38.10000	KLF16.hg38.10000	10000	26	1028
HSF1.hg38.10000	ZFP1.hg38.10000	10000	26	845
HSF1.hg38.10000	ETV5.hg38.10000	10000	25	1484
HSF1.hg38.10000	BCL11B.hg38.10000	10000	25	1350
HSF1.hg38.10000	IRF1.hg38.10000	10000	25	888
HSF1.hg38.10000	TP53.hg38.10000	10000	25	871
HSF1.hg38.10000	HLF.hg38.10000	10000	25	476
HSF1.hg38.10000	GABPA.hg38.10000	10000	24	1538
HSF1.hg38.10000	RFX5.hg38.10000	10000	24	1131
HSF1.hg38.10000	TBP.hg38.10000	10000	23	1817
HSF1.hg38.10000	ZBTB33.hg38.10000	10000	23	1381
HSF1.hg38.10000	ETV1.hg38.10000	10000	23	1344
HSF1.hg38.10000	ZBTB17.hg38.10000	10000	23	1119
HSF1.hg38.10000	SRF.hg38.10000	10000	23	977
HSF1.hg38.10000	STAT5A.hg38.10000	10000	23	853
HSF1.hg38.10000	SOX17.hg38.10000	10000	23	601
HSF1.hg38.10000	ELF1.hg38.10000	10000	22	1627
HSF1.hg38.10000	NFYA.hg38.10000	10000	22	1568
HSF1.hg38.10000	KLF5.hg38.10000	10000	22	1496
HSF1.hg38.10000	BCL6.hg38.10000	10000	22	1002
HSF1.hg38.10000	ZSCAN9.hg38.10000	10000	22	965
HSF1.hg38.10000	STAT3.hg38.10000	10000	21	1235
HSF1.hg38.10000	E2F6.hg38.10000	10000	21	1201
HSF1.hg38.10000	E2F8.hg38.10000	10000	21	1087
HSF1.hg38.10000	ZNF324.hg38.10000	10000	21	1051
HSF1.hg38.10000	FOXP3.hg38.10000	10000	21	810
HSF1.hg38.10000	ZKSCAN1.hg38.10000	10000	21	768
HSF1.hg38.10000	NFKB1.hg38.10000	10000	21	575
HSF1.hg38.10000	NR2C2.hg38.10000	10000	20	982
HSF1.hg38.10000	ZBTB11.hg38.10000	10000	20	972
HSF1.hg38.10000	POU2F2.hg38.10000	10000	20	903
HSF1.hg38.10000	TFE3.hg38.10000	10000	20	842
HSF1.hg38.10000	KLF1.hg38.10000	10000	19	985
HSF1.hg38.10000	SETDB1.hg38.10000	10000	19	964
HSF1.hg38.10000	ZNF444.hg38.10000	10000	19	910
HSF1.hg38.10000	SMAD1.hg38.10000	10000	19	886
HSF1.hg38.10000	MLX.hg38.10000	10000	19	874
HSF1.hg38.10000	ZSCAN22.hg38.10000	10000	19	871
HSF1.hg38.10000	MIXL1.hg38.10000	10000	19	769
HSF1.hg38.10000	PAX5.hg38.10000	10000	19	681
HSF1.hg38.10000	ZBTB26.hg38.10000	10000	18	1351
HSF1.hg38.10000	KMT2A.hg38.10000	10000	18	1293
HSF1.hg38.10000	BHLHE40.hg38.10000	10000	18	1180
HSF1.hg38.10000	FOXK2.hg38.10000	10000	18	883
HSF1.hg38.10000	ARNTL.hg38.10000	10000	18	772
HSF1.hg38.10000	PPARG.hg38.10000	10000	18	753
HSF1.hg38.10000	NFIL3.hg38.10000	10000	18	588
HSF1.hg38.10000	KLF6.hg38.10000	10000	17	1383
HSF1.hg38.10000	KLF11.hg38.10000	10000	17	1273
HSF1.hg38.10000	LEF1.hg38.10000	10000	17	984
HSF1.hg38.10000	HOMEZ.hg38.10000	10000	17	606
HSF1.hg38.10000	ZNF280A.hg38.10000	10000	17	515
HSF1.hg38.10000	E2F4.hg38.10000	10000	16	1458
HSF1.hg38.10000	ELK4.hg38.10000	10000	16	1388
HSF1.hg38.10000	SP2.hg38.10000	10000	16	1243
HSF1.hg38.10000	TEAD4.hg38.10000	10000	16	1030
HSF1.hg38.10000	VEZF1.hg38.10000	10000	16	933
HSF1.hg38.10000	TCF7L1.hg38.10000	10000	16	900
HSF1.hg38.10000	ZNF701.hg38.10000	10000	16	760
HSF1.hg38.10000	ARID3A.hg38.10000	10000	16	585
HSF1.hg38.10000	POU5F1.hg38.10000	10000	16	575
HSF1.hg38.10000	FLI1.hg38.10000	10000	15	1163
HSF1.hg38.10000	ZBTB7A.hg38.10000	10000	15	1071
HSF1.hg38.10000	KLF4.hg38.10000	10000	15	1057
HSF1.hg38.10000	ELK3.hg38.10000	10000	15	930
HSF1.hg38.10000	ZEB1.hg38.10000	10000	15	907
HSF1.hg38.10000	REST.hg38.10000	10000	15	865
HSF1.hg38.10000	PGR.hg38.10000	10000	15	659
HSF1.hg38.10000	CEBPD.hg38.10000	10000	15	644
HSF1.hg38.10000	ZNF778.hg38.10000	10000	15	607
HSF1.hg38.10000	NR4A1.hg38.10000	10000	15	605
HSF1.hg38.10000	CEBPB.hg38.10000	10000	15	552
HSF1.hg38.10000	NFATC1.hg38.10000	10000	14	1298
HSF1.hg38.10000	NFYC.hg38.10000	10000	14	1297
HSF1.hg38.10000	MNT.hg38.10000	10000	14	1235
HSF1.hg38.10000	ZFP42.hg38.10000	10000	14	1123
HSF1.hg38.10000	STAT2.hg38.10000	10000	14	1061
HSF1.hg38.10000	ZBTB14.hg38.10000	10000	14	1044
HSF1.hg38.10000	STAT5B.hg38.10000	10000	14	885
HSF1.hg38.10000	PBX3.hg38.10000	10000	14	807
HSF1.hg38.10000	HOXC5.hg38.10000	10000	14	581
HSF1.hg38.10000	TBX21.hg38.10000	10000	14	553
HSF1.hg38.10000	XBP1.hg38.10000	10000	14	538
HSF1.hg38.10000	HMG20A.hg38.10000	10000	14	461
HSF1.hg38.10000	CXXC1.hg38.10000	10000	13	1346
HSF1.hg38.10000	TFAP4.hg38.10000	10000	13	1006
HSF1.hg38.10000	EHF.hg38.10000	10000	13	851
HSF1.hg38.10000	POU3F2.hg38.10000	10000	13	825
HSF1.hg38.10000	CTCFL.hg38.10000	10000	13	797
HSF1.hg38.10000	NFE2.hg38.10000	10000	13	745
HSF1.hg38.10000	MAF.hg38.10000	10000	13	711
HSF1.hg38.10000	MYNN.hg38.10000	10000	13	673
HSF1.hg38.10000	NFIC.hg38.10000	10000	13	664
HSF1.hg38.10000	MECP2.hg38.10000	10000	13	456
HSF1.hg38.10000	E4F1.hg38.10000	10000	12	1095
HSF1.hg38.10000	HOXA6.hg38.10000	10000	12	1081
HSF1.hg38.10000	ARNT.hg38.10000	10000	12	953
HSF1.hg38.10000	GLIS2.hg38.10000	10000	12	898
HSF1.hg38.10000	E2F7.hg38.10000	10000	12	872
HSF1.hg38.10000	MBD2.hg38.10000	10000	12	859
HSF1.hg38.10000	MYB.hg38.10000	10000	12	815
HSF1.hg38.10000	FOXO3.hg38.10000	10000	12	771
HSF1.hg38.10000	JUND.hg38.10000	10000	12	764
HSF1.hg38.10000	ZNF18.hg38.10000	10000	12	731
HSF1.hg38.10000	ASCL2.hg38.10000	10000	12	661
HSF1.hg38.10000	ZBTB6.hg38.10000	10000	12	631
HSF1.hg38.10000	NR3C1.hg38.10000	10000	12	607
HSF1.hg38.10000	SOX13.hg38.10000	10000	12	571
HSF1.hg38.10000	MYOD1.hg38.10000	10000	12	564
HSF1.hg38.10000	SP7.hg38.10000	10000	12	560
HSF1.hg38.10000	KLF9.hg38.10000	10000	11	1292
HSF1.hg38.10000	SP4.hg38.10000	10000	11	1073
HSF1.hg38.10000	YY2.hg38.10000	10000	11	961
HSF1.hg38.10000	USF1.hg38.10000	10000	11	935
HSF1.hg38.10000	ZNF217.hg38.10000	10000	11	913
HSF1.hg38.10000	SREBF2.hg38.10000	10000	11	895
HSF1.hg38.10000	ZNF24.hg38.10000	10000	11	798
HSF1.hg38.10000	ZNF341.hg38.10000	10000	11	780
HSF1.hg38.10000	BACH1.hg38.10000	10000	11	762
HSF1.hg38.10000	ZNF3.hg38.10000	10000	11	721
HSF1.hg38.10000	MYF5.hg38.10000	10000	11	675
HSF1.hg38.10000	RFX1.hg38.10000	10000	11	635
HSF1.hg38.10000	RXRB.hg38.10000	10000	11	625
HSF1.hg38.10000	RARG.hg38.10000	10000	11	589
HSF1.hg38.10000	PROX1.hg38.10000	10000	11	540
HSF1.hg38.10000	FOXK1.hg38.10000	10000	11	510
HSF1.hg38.10000	ETV6.hg38.10000	10000	11	467
HSF1.hg38.10000	ZNF35.hg38.10000	10000	11	438
HSF1.hg38.10000	NRF1.hg38.10000	10000	10	1314
HSF1.hg38.10000	EGR1.hg38.10000	10000	10	1097
HSF1.hg38.10000	SP5.hg38.10000	10000	10	1029
HSF1.hg38.10000	NR1H2.hg38.10000	10000	10	882
HSF1.hg38.10000	IKZF1.hg38.10000	10000	10	842
HSF1.hg38.10000	CTCF.hg38.10000	10000	10	683
HSF1.hg38.10000	TCF7L2.hg38.10000	10000	10	668
HSF1.hg38.10000	STAT4.hg38.10000	10000	10	558
HSF1.hg38.10000	FOXO1.hg38.10000	10000	10	541
HSF1.hg38.10000	BCL11A.hg38.10000	10000	10	522
HSF1.hg38.10000	IRF4.hg38.10000	10000	10	480
HSF1.hg38.10000	NR2F6.hg38.10000	10000	10	469
HSF1.hg38.10000	PATZ1.hg38.10000	10000	9	1001
HSF1.hg38.10000	KLF15.hg38.10000	10000	9	898
HSF1.hg38.10000	REL.hg38.10000	10000	9	793
HSF1.hg38.10000	GFI1B.hg38.10000	10000	9	734
HSF1.hg38.10000	ZEB2.hg38.10000	10000	9	683
HSF1.hg38.10000	SMAD3.hg38.10000	10000	9	682
HSF1.hg38.10000	EPAS1.hg38.10000	10000	9	644
HSF1.hg38.10000	STAT6.hg38.10000	10000	9	630
HSF1.hg38.10000	OVOL2.hg38.10000	10000	9	623
HSF1.hg38.10000	AHR.hg38.10000	10000	9	520
HSF1.hg38.10000	RUNX3.hg38.10000	10000	9	493
HSF1.hg38.10000	CEBPA.hg38.10000	10000	9	445
HSF1.hg38.10000	FOXA3.hg38.10000	10000	9	436
HSF1.hg38.10000	SOX5.hg38.10000	10000	9	421
HSF1.hg38.10000	SMAD5.hg38.10000	10000	8	1278
HSF1.hg38.10000	USF2.hg38.10000	10000	8	777
HSF1.hg38.10000	TFAP2A.hg38.10000	10000	8	728
HSF1.hg38.10000	TCF3.hg38.10000	10000	8	702
HSF1.hg38.10000	NFATC3.hg38.10000	10000	8	674
HSF1.hg38.10000	PKNOX1.hg38.10000	10000	8	645
HSF1.hg38.10000	IRF3.hg38.10000	10000	8	597
HSF1.hg38.10000	NR2F2.hg38.10000	10000	8	572
HSF1.hg38.10000	THRB.hg38.10000	10000	8	539
HSF1.hg38.10000	HES2.hg38.10000	10000	8	504
HSF1.hg38.10000	TEAD3.hg38.10000	10000	8	492
HSF1.hg38.10000	CEBPG.hg38.10000	10000	8	405
HSF1.hg38.10000	CLOCK.hg38.10000	10000	7	782
HSF1.hg38.10000	TEAD1.hg38.10000	10000	7	661
HSF1.hg38.10000	NEUROD1.hg38.10000	10000	7	656
HSF1.hg38.10000	ZNF263.hg38.10000	10000	7	653
HSF1.hg38.10000	MECOM.hg38.10000	10000	7	631
HSF1.hg38.10000	NR5A2.hg38.10000	10000	7	509
HSF1.hg38.10000	ZBTB42.hg38.10000	10000	7	508
HSF1.hg38.10000	RELB.hg38.10000	10000	7	498
HSF1.hg38.10000	TFEB.hg38.10000	10000	7	470
HSF1.hg38.10000	CDX2.hg38.10000	10000	7	432
HSF1.hg38.10000	FOXA2.hg38.10000	10000	7	429
HSF1.hg38.10000	MEF2A.hg38.10000	10000	7	347
HSF1.hg38.10000	ASCL1.hg38.10000	10000	7	313
HSF1.hg38.10000	ZNF680.hg38.10000	10000	7	230
HSF1.hg38.10000	HEY1.hg38.10000	10000	6	1324
HSF1.hg38.10000	KDM2B.hg38.10000	10000	6	1155
HSF1.hg38.10000	ZBTB48.hg38.10000	10000	6	951
HSF1.hg38.10000	MITF.hg38.10000	10000	6	778
HSF1.hg38.10000	PLAG1.hg38.10000	10000	6	683
HSF1.hg38.10000	FOSL2.hg38.10000	10000	6	642
HSF1.hg38.10000	ZIC2.hg38.10000	10000	6	639
HSF1.hg38.10000	ESRRA.hg38.10000	10000	6	525
