TF_a	TF_b	num_site_TF_b	exact	window
IKZF1.hg38.10000	IKZF1.hg38.10000	10000	10000	10000
IKZF1.hg38.10000	IKZF2.hg38.10000	10000	145	2635
IKZF1.hg38.10000	ETV6.hg38.10000	10000	57	2137
IKZF1.hg38.10000	MECOM.hg38.10000	10000	54	2084
IKZF1.hg38.10000	LYL1.hg38.10000	10000	53	1760
IKZF1.hg38.10000	RELA.hg38.10000	10000	47	1851
IKZF1.hg38.10000	TCF12.hg38.10000	10000	46	2251
IKZF1.hg38.10000	SPI1.hg38.10000	10000	43	1625
IKZF1.hg38.10000	RUNX1.hg38.10000	10000	40	2531
IKZF1.hg38.10000	TCF3.hg38.10000	10000	39	2179
IKZF1.hg38.10000	IRF4.hg38.10000	10000	39	1649
IKZF1.hg38.10000	BCL6.hg38.10000	10000	36	1751
IKZF1.hg38.10000	FOXP1.hg38.10000	10000	35	1733
IKZF1.hg38.10000	ETS1.hg38.10000	10000	34	1946
IKZF1.hg38.10000	STAT5A.hg38.10000	10000	34	1362
IKZF1.hg38.10000	RXRA.hg38.10000	10000	33	1858
IKZF1.hg38.10000	RELB.hg38.10000	10000	33	1400
IKZF1.hg38.10000	FOXO1.hg38.10000	10000	33	1382
IKZF1.hg38.10000	ERG.hg38.10000	10000	32	1953
IKZF1.hg38.10000	FLI1.hg38.10000	10000	31	1823
IKZF1.hg38.10000	MYB.hg38.10000	10000	31	1753
IKZF1.hg38.10000	ELF1.hg38.10000	10000	30	1942
IKZF1.hg38.10000	RBPJ.hg38.10000	10000	27	1911
IKZF1.hg38.10000	STAT1.hg38.10000	10000	27	1792
IKZF1.hg38.10000	RUNX3.hg38.10000	10000	27	1237
IKZF1.hg38.10000	STAT3.hg38.10000	10000	26	1457
IKZF1.hg38.10000	EBF1.hg38.10000	10000	25	1232
IKZF1.hg38.10000	SMAD1.hg38.10000	10000	25	1055
IKZF1.hg38.10000	NR4A1.hg38.10000	10000	25	1046
IKZF1.hg38.10000	ELF3.hg38.10000	10000	25	1022
IKZF1.hg38.10000	IRF1.hg38.10000	10000	24	1475
IKZF1.hg38.10000	STAT5B.hg38.10000	10000	24	1329
IKZF1.hg38.10000	MAF.hg38.10000	10000	24	1068
IKZF1.hg38.10000	PBX1.hg38.10000	10000	23	1428
IKZF1.hg38.10000	EHF.hg38.10000	10000	23	1221
IKZF1.hg38.10000	SPIB.hg38.10000	10000	23	1139
IKZF1.hg38.10000	GABPA.hg38.10000	10000	22	1855
IKZF1.hg38.10000	ETV1.hg38.10000	10000	22	1784
IKZF1.hg38.10000	RARA.hg38.10000	10000	22	1716
IKZF1.hg38.10000	ELK4.hg38.10000	10000	22	1496
IKZF1.hg38.10000	VDR.hg38.10000	10000	22	1402
IKZF1.hg38.10000	REL.hg38.10000	10000	22	1335
IKZF1.hg38.10000	ZBTB11.hg38.10000	10000	22	1187
IKZF1.hg38.10000	ZBTB16.hg38.10000	10000	22	1174
IKZF1.hg38.10000	TCF4.hg38.10000	10000	22	1154
IKZF1.hg38.10000	HEY1.hg38.10000	10000	21	1400
IKZF1.hg38.10000	IRF2.hg38.10000	10000	21	1385
IKZF1.hg38.10000	ZNF574.hg38.10000	10000	20	1284
IKZF1.hg38.10000	ZBTB48.hg38.10000	10000	20	1221
IKZF1.hg38.10000	FOS.hg38.10000	10000	20	808
IKZF1.hg38.10000	BCL11B.hg38.10000	10000	19	1604
IKZF1.hg38.10000	TBX21.hg38.10000	10000	19	1335
IKZF1.hg38.10000	NFATC1.hg38.10000	10000	18	1515
IKZF1.hg38.10000	KLF5.hg38.10000	10000	18	1463
IKZF1.hg38.10000	E4F1.hg38.10000	10000	18	1298
IKZF1.hg38.10000	ZNF263.hg38.10000	10000	18	857
IKZF1.hg38.10000	TBP.hg38.10000	10000	17	1665
IKZF1.hg38.10000	ETV5.hg38.10000	10000	17	1403
IKZF1.hg38.10000	KLF10.hg38.10000	10000	17	1373
IKZF1.hg38.10000	BCL11A.hg38.10000	10000	17	1280
IKZF1.hg38.10000	STAT4.hg38.10000	10000	17	1262
IKZF1.hg38.10000	MEF2B.hg38.10000	10000	17	1179
IKZF1.hg38.10000	ETV4.hg38.10000	10000	17	1136
IKZF1.hg38.10000	NFKB2.hg38.10000	10000	17	1096
IKZF1.hg38.10000	MEF2A.hg38.10000	10000	17	776
IKZF1.hg38.10000	SP2.hg38.10000	10000	16	1402
IKZF1.hg38.10000	ZNF341.hg38.10000	10000	16	1275
IKZF1.hg38.10000	MNT.hg38.10000	10000	16	1220
IKZF1.hg38.10000	SREBF2.hg38.10000	10000	16	1108
IKZF1.hg38.10000	TEAD4.hg38.10000	10000	16	772
IKZF1.hg38.10000	STAT2.hg38.10000	10000	15	1419
IKZF1.hg38.10000	STAT6.hg38.10000	10000	15	1117
IKZF1.hg38.10000	BACH2.hg38.10000	10000	15	1069
IKZF1.hg38.10000	ZEB1.hg38.10000	10000	15	987
IKZF1.hg38.10000	E2F7.hg38.10000	10000	15	958
IKZF1.hg38.10000	CEBPA.hg38.10000	10000	15	811
IKZF1.hg38.10000	ELF4.hg38.10000	10000	14	1479
IKZF1.hg38.10000	PAX5.hg38.10000	10000	14	1342
IKZF1.hg38.10000	SIX5.hg38.10000	10000	14	1222
IKZF1.hg38.10000	FOXK2.hg38.10000	10000	14	1175
IKZF1.hg38.10000	BACH1.hg38.10000	10000	14	1072
