TF_a	TF_b	num_site_TF_b	exact	window
IRF3.hg38.10000	IRF3.hg38.10000	10000	10000	10000
IRF3.hg38.10000	SP1.hg38.10000	10000	161	2556
IRF3.hg38.10000	NFYC.hg38.10000	10000	141	2389
IRF3.hg38.10000	SP2.hg38.10000	10000	140	2320
IRF3.hg38.10000	MBD2.hg38.10000	10000	85	1802
IRF3.hg38.10000	NFYA.hg38.10000	10000	82	1997
IRF3.hg38.10000	KLF11.hg38.10000	10000	78	2006
IRF3.hg38.10000	RFX5.hg38.10000	10000	73	1832
IRF3.hg38.10000	SOX9.hg38.10000	10000	66	1582
IRF3.hg38.10000	CREB1.hg38.10000	10000	65	2345
IRF3.hg38.10000	PKNOX1.hg38.10000	10000	61	1499
IRF3.hg38.10000	FOS.hg38.10000	10000	55	637
IRF3.hg38.10000	SP4.hg38.10000	10000	48	1395
IRF3.hg38.10000	RBPJ.hg38.10000	10000	43	1682
IRF3.hg38.10000	IRF1.hg38.10000	10000	42	1034
IRF3.hg38.10000	LEF1.hg38.10000	10000	39	1293
IRF3.hg38.10000	PBX3.hg38.10000	10000	38	1504
IRF3.hg38.10000	SIX5.hg38.10000	10000	36	1494
IRF3.hg38.10000	GMEB2.hg38.10000	10000	35	1785
IRF3.hg38.10000	ATF1.hg38.10000	10000	35	1545
IRF3.hg38.10000	PBX2.hg38.10000	10000	35	1116
IRF3.hg38.10000	ZSCAN22.hg38.10000	10000	33	1030
IRF3.hg38.10000	VDR.hg38.10000	10000	32	867
IRF3.hg38.10000	GABPA.hg38.10000	10000	30	1751
IRF3.hg38.10000	FOXM1.hg38.10000	10000	30	1080
IRF3.hg38.10000	KLF10.hg38.10000	10000	29	1645
IRF3.hg38.10000	RELA.hg38.10000	10000	29	932
IRF3.hg38.10000	CREM.hg38.10000	10000	28	1735
IRF3.hg38.10000	RUNX1.hg38.10000	10000	27	1104
IRF3.hg38.10000	PBX1.hg38.10000	10000	26	974
IRF3.hg38.10000	RXRA.hg38.10000	10000	26	966
IRF3.hg38.10000	HIF1A.hg38.10000	10000	26	902
IRF3.hg38.10000	TBP.hg38.10000	10000	25	2006
IRF3.hg38.10000	MAX.hg38.10000	10000	25	1601
IRF3.hg38.10000	ELK4.hg38.10000	10000	25	1241
IRF3.hg38.10000	ZNF143.hg38.10000	10000	25	1130
IRF3.hg38.10000	SREBF2.hg38.10000	10000	25	1113
IRF3.hg38.10000	IRF2.hg38.10000	10000	25	904
IRF3.hg38.10000	STAT1.hg38.10000	10000	24	1066
IRF3.hg38.10000	POU3F2.hg38.10000	10000	24	865
IRF3.hg38.10000	ZBTB33.hg38.10000	10000	23	1176
IRF3.hg38.10000	USF1.hg38.10000	10000	23	1039
IRF3.hg38.10000	E2F1.hg38.10000	10000	22	2101
IRF3.hg38.10000	E4F1.hg38.10000	10000	22	1383
IRF3.hg38.10000	KLF5.hg38.10000	10000	22	1335
IRF3.hg38.10000	ELK3.hg38.10000	10000	22	1037
IRF3.hg38.10000	FOXP1.hg38.10000	10000	22	980
IRF3.hg38.10000	E2F8.hg38.10000	10000	22	913
IRF3.hg38.10000	FOXP3.hg38.10000	10000	22	719
IRF3.hg38.10000	THAP11.hg38.10000	10000	21	1166
IRF3.hg38.10000	ELF1.hg38.10000	10000	20	1695
IRF3.hg38.10000	TFDP1.hg38.10000	10000	20	1659
IRF3.hg38.10000	ETS1.hg38.10000	10000	20	1252
IRF3.hg38.10000	YY2.hg38.10000	10000	20	1085
IRF3.hg38.10000	POU2F1.hg38.10000	10000	20	907
IRF3.hg38.10000	RARA.hg38.10000	10000	20	849
IRF3.hg38.10000	ZNF341.hg38.10000	10000	20	772
IRF3.hg38.10000	ERG.hg38.10000	10000	19	1344
IRF3.hg38.10000	GFI1B.hg38.10000	10000	19	804
IRF3.hg38.10000	XBP1.hg38.10000	10000	19	595
IRF3.hg38.10000	TP53.hg38.10000	10000	19	477
IRF3.hg38.10000	ZFP42.hg38.10000	10000	18	1332
IRF3.hg38.10000	NR2C2.hg38.10000	10000	18	1003
IRF3.hg38.10000	USF2.hg38.10000	10000	18	959
IRF3.hg38.10000	STAT5A.hg38.10000	10000	18	638
IRF3.hg38.10000	POU5F1.hg38.10000	10000	18	349
IRF3.hg38.10000	E2F4.hg38.10000	10000	17	1762
IRF3.hg38.10000	REL.hg38.10000	10000	17	897
IRF3.hg38.10000	ZEB1.hg38.10000	10000	17	741
IRF3.hg38.10000	ETV5.hg38.10000	10000	16	1158
IRF3.hg38.10000	ZBTB14.hg38.10000	10000	16	1079
IRF3.hg38.10000	FOXK2.hg38.10000	10000	16	951
IRF3.hg38.10000	MAF.hg38.10000	10000	16	702
IRF3.hg38.10000	SRF.hg38.10000	10000	16	634
IRF3.hg38.10000	NFE2.hg38.10000	10000	16	568
IRF3.hg38.10000	MNT.hg38.10000	10000	15	1271
IRF3.hg38.10000	BHLHE40.hg38.10000	10000	15	1048
IRF3.hg38.10000	ZBTB11.hg38.10000	10000	15	891
IRF3.hg38.10000	TCF12.hg38.10000	10000	15	863
IRF3.hg38.10000	ZNF324.hg38.10000	10000	15	667
IRF3.hg38.10000	BCL6.hg38.10000	10000	15	639
IRF3.hg38.10000	ZKSCAN1.hg38.10000	10000	15	443
IRF3.hg38.10000	RELB.hg38.10000	10000	15	412
IRF3.hg38.10000	MXI1.hg38.10000	10000	14	1529
IRF3.hg38.10000	SOX4.hg38.10000	10000	14	992
IRF3.hg38.10000	CLOCK.hg38.10000	10000	14	975
IRF3.hg38.10000	STAT3.hg38.10000	10000	14	746
IRF3.hg38.10000	TRPS1.hg38.10000	10000	14	538
IRF3.hg38.10000	ZNF184.hg38.10000	10000	14	294
IRF3.hg38.10000	MYC.hg38.10000	10000	13	1585
IRF3.hg38.10000	BCL11B.hg38.10000	10000	13	1462
IRF3.hg38.10000	ELF4.hg38.10000	10000	13	1265
IRF3.hg38.10000	FLI1.hg38.10000	10000	13	834
