TF_a	TF_b	num_site_TF_b	exact	window
KLF16.hg38.10000	KLF16.hg38.10000	10000	10000	10000
KLF16.hg38.10000	CTCF.hg38.10000	10000	269	3046
KLF16.hg38.10000	TAL1.hg38.10000	10000	208	2275
KLF16.hg38.10000	CEBPD.hg38.10000	10000	185	2666
KLF16.hg38.10000	IRF2.hg38.10000	10000	185	2551
KLF16.hg38.10000	ZNF580.hg38.10000	10000	171	2510
KLF16.hg38.10000	STAT5A.hg38.10000	10000	164	2452
KLF16.hg38.10000	SMAD1.hg38.10000	10000	162	2191
KLF16.hg38.10000	IKZF5.hg38.10000	10000	158	2266
KLF16.hg38.10000	GATA1.hg38.10000	10000	154	2229
KLF16.hg38.10000	ZSCAN9.hg38.10000	10000	152	2315
KLF16.hg38.10000	ZNF792.hg38.10000	10000	150	2207
KLF16.hg38.10000	SRF.hg38.10000	10000	149	2264
KLF16.hg38.10000	ZNF143.hg38.10000	10000	142	2169
KLF16.hg38.10000	ZBTB2.hg38.10000	10000	142	1600
KLF16.hg38.10000	MIXL1.hg38.10000	10000	140	2013
KLF16.hg38.10000	TFE3.hg38.10000	10000	134	1822
KLF16.hg38.10000	CTCFL.hg38.10000	10000	124	2063
KLF16.hg38.10000	THAP11.hg38.10000	10000	121	2036
KLF16.hg38.10000	RXRB.hg38.10000	10000	115	1536
KLF16.hg38.10000	TCF12.hg38.10000	10000	114	2286
KLF16.hg38.10000	KLF6.hg38.10000	10000	110	2208
KLF16.hg38.10000	HOMEZ.hg38.10000	10000	102	1459
KLF16.hg38.10000	STAT1.hg38.10000	10000	96	2270
KLF16.hg38.10000	SOX6.hg38.10000	10000	96	1912
KLF16.hg38.10000	FOXM1.hg38.10000	10000	91	1819
KLF16.hg38.10000	REST.hg38.10000	10000	91	1474
KLF16.hg38.10000	ATF1.hg38.10000	10000	90	2100
KLF16.hg38.10000	FOXO3.hg38.10000	10000	88	1728
KLF16.hg38.10000	ZFP1.hg38.10000	10000	87	1766
