TF_a	TF_b	num_site_TF_b	exact	window
LYL1.hg38.10000	LYL1.hg38.10000	10000	10000	10000
LYL1.hg38.10000	RUNX1.hg38.10000	10000	193	3981
LYL1.hg38.10000	MECOM.hg38.10000	10000	171	4512
LYL1.hg38.10000	TAL1.hg38.10000	10000	153	2075
LYL1.hg38.10000	TCF12.hg38.10000	10000	138	2645
LYL1.hg38.10000	MYB.hg38.10000	10000	105	2548
LYL1.hg38.10000	TCF3.hg38.10000	10000	104	2390
LYL1.hg38.10000	FLI1.hg38.10000	10000	97	1717
LYL1.hg38.10000	CEBPA.hg38.10000	10000	95	2585
LYL1.hg38.10000	ZBTB16.hg38.10000	10000	93	3058
LYL1.hg38.10000	SMAD1.hg38.10000	10000	83	1778
LYL1.hg38.10000	STAT5A.hg38.10000	10000	83	1585
LYL1.hg38.10000	GATA2.hg38.10000	10000	78	1663
LYL1.hg38.10000	FOXO1.hg38.10000	10000	77	1946
LYL1.hg38.10000	NR4A1.hg38.10000	10000	75	2063
LYL1.hg38.10000	GATA1.hg38.10000	10000	68	1302
LYL1.hg38.10000	RARA.hg38.10000	10000	61	1851
LYL1.hg38.10000	CEBPD.hg38.10000	10000	55	1170
LYL1.hg38.10000	IKZF1.hg38.10000	10000	53	1755
LYL1.hg38.10000	ERG.hg38.10000	10000	52	1098
LYL1.hg38.10000	ETV6.hg38.10000	10000	48	1530
LYL1.hg38.10000	ETS1.hg38.10000	10000	48	1187
LYL1.hg38.10000	KLF16.hg38.10000	10000	46	753
LYL1.hg38.10000	TCF4.hg38.10000	10000	43	1162
LYL1.hg38.10000	BCL6.hg38.10000	10000	38	1269
LYL1.hg38.10000	RXRA.hg38.10000	10000	37	1405
LYL1.hg38.10000	TBX21.hg38.10000	10000	36	1487
LYL1.hg38.10000	SPI1.hg38.10000	10000	33	1466
LYL1.hg38.10000	ETV1.hg38.10000	10000	33	856
LYL1.hg38.10000	PBX1.hg38.10000	10000	32	1280
LYL1.hg38.10000	IKZF2.hg38.10000	10000	32	949
LYL1.hg38.10000	GFI1.hg38.10000	10000	29	1311
LYL1.hg38.10000	STAT3.hg38.10000	10000	28	781
LYL1.hg38.10000	GABPA.hg38.10000	10000	28	688
LYL1.hg38.10000	HIC1.hg38.10000	10000	27	1342
LYL1.hg38.10000	MEIS1.hg38.10000	10000	27	1145
LYL1.hg38.10000	NFYA.hg38.10000	10000	26	1133
LYL1.hg38.10000	VDR.hg38.10000	10000	25	990
LYL1.hg38.10000	STAT6.hg38.10000	10000	24	1105
LYL1.hg38.10000	STAT1.hg38.10000	10000	24	880
LYL1.hg38.10000	HES1.hg38.10000	10000	24	596
LYL1.hg38.10000	BCL11B.hg38.10000	10000	22	962
LYL1.hg38.10000	EHF.hg38.10000	10000	22	646
LYL1.hg38.10000	STAT5B.hg38.10000	10000	21	1090
LYL1.hg38.10000	SOX6.hg38.10000	10000	21	936
LYL1.hg38.10000	STAT4.hg38.10000	10000	20	1165
LYL1.hg38.10000	MEF2B.hg38.10000	10000	20	925
LYL1.hg38.10000	BCL11A.hg38.10000	10000	20	908
LYL1.hg38.10000	FOXP3.hg38.10000	10000	20	868
LYL1.hg38.10000	CEBPB.hg38.10000	10000	20	736
LYL1.hg38.10000	TCF7L2.hg38.10000	10000	20	704
LYL1.hg38.10000	NFE2.hg38.10000	10000	19	789
LYL1.hg38.10000	FOXP1.hg38.10000	10000	19	729
LYL1.hg38.10000	ELF4.hg38.10000	10000	19	630
LYL1.hg38.10000	TLX1.hg38.10000	10000	18	1034
LYL1.hg38.10000	SREBF2.hg38.10000	10000	18	971
LYL1.hg38.10000	MAF.hg38.10000	10000	18	871
LYL1.hg38.10000	ZEB2.hg38.10000	10000	18	705
LYL1.hg38.10000	PAX5.hg38.10000	10000	18	700
LYL1.hg38.10000	REL.hg38.10000	10000	18	606
LYL1.hg38.10000	RELA.hg38.10000	10000	17	753
LYL1.hg38.10000	MYNN.hg38.10000	10000	17	669
LYL1.hg38.10000	E4F1.hg38.10000	10000	17	627
LYL1.hg38.10000	BACH2.hg38.10000	10000	16	831
LYL1.hg38.10000	IRF1.hg38.10000	10000	16	830
LYL1.hg38.10000	TFEB.hg38.10000	10000	16	783
LYL1.hg38.10000	IRF4.hg38.10000	10000	16	753
LYL1.hg38.10000	RELB.hg38.10000	10000	16	634
LYL1.hg38.10000	ZNF341.hg38.10000	10000	16	492
LYL1.hg38.10000	GATA4.hg38.10000	10000	16	339
LYL1.hg38.10000	RUNX3.hg38.10000	10000	15	913
LYL1.hg38.10000	SPIB.hg38.10000	10000	15	789
LYL1.hg38.10000	PROX1.hg38.10000	10000	15	740
LYL1.hg38.10000	RUNX2.hg38.10000	10000	15	630
LYL1.hg38.10000	GATA6.hg38.10000	10000	15	335
LYL1.hg38.10000	SMAD3.hg38.10000	10000	14	577
LYL1.hg38.10000	CEBPG.hg38.10000	10000	14	451
LYL1.hg38.10000	FOXO3.hg38.10000	10000	14	405
LYL1.hg38.10000	GATA3.hg38.10000	10000	14	395
LYL1.hg38.10000	ASCL1.hg38.10000	10000	14	278
LYL1.hg38.10000	GFI1B.hg38.10000	10000	13	934
LYL1.hg38.10000	STAT2.hg38.10000	10000	13	664
LYL1.hg38.10000	ELF3.hg38.10000	10000	13	608
LYL1.hg38.10000	ETV4.hg38.10000	10000	13	537
LYL1.hg38.10000	ZBTB7A.hg38.10000	10000	12	785
LYL1.hg38.10000	POU2F2.hg38.10000	10000	12	684
LYL1.hg38.10000	BACH1.hg38.10000	10000	12	519
LYL1.hg38.10000	TFAP4.hg38.10000	10000	12	466
LYL1.hg38.10000	ZBTB33.hg38.10000	10000	12	430
LYL1.hg38.10000	FOSB.hg38.10000	10000	12	429
LYL1.hg38.10000	JUN.hg38.10000	10000	11	642
LYL1.hg38.10000	FOS.hg38.10000	10000	11	616
LYL1.hg38.10000	ARNT.hg38.10000	10000	11	584
