TF_a	TF_b	num_site_TF_b	exact	window
MAX.hg38.10000	MAX.hg38.10000	10000	10000	10000
MAX.hg38.10000	MYC.hg38.10000	10000	618	7498
MAX.hg38.10000	MYCN.hg38.10000	10000	526	6571
MAX.hg38.10000	E2F6.hg38.10000	10000	267	5221
MAX.hg38.10000	USF1.hg38.10000	10000	263	3762
MAX.hg38.10000	USF2.hg38.10000	10000	255	3577
MAX.hg38.10000	BHLHE40.hg38.10000	10000	217	4145
MAX.hg38.10000	MXI1.hg38.10000	10000	208	5472
MAX.hg38.10000	MNT.hg38.10000	10000	199	5122
MAX.hg38.10000	PLAG1.hg38.10000	10000	133	2911
MAX.hg38.10000	CREB1.hg38.10000	10000	123	5064
MAX.hg38.10000	CREM.hg38.10000	10000	121	4315
MAX.hg38.10000	TFE3.hg38.10000	10000	117	2136
MAX.hg38.10000	ERG.hg38.10000	10000	101	4349
MAX.hg38.10000	RBPJ.hg38.10000	10000	97	4442
MAX.hg38.10000	GMEB2.hg38.10000	10000	96	4865
MAX.hg38.10000	TCF12.hg38.10000	10000	96	3351
MAX.hg38.10000	THAP11.hg38.10000	10000	95	3272
MAX.hg38.10000	MLX.hg38.10000	10000	94	1889
MAX.hg38.10000	E2F4.hg38.10000	10000	92	4405
MAX.hg38.10000	TBP.hg38.10000	10000	91	4864
MAX.hg38.10000	STAT1.hg38.10000	10000	91	3677
MAX.hg38.10000	E2F1.hg38.10000	10000	90	5533
MAX.hg38.10000	KLF5.hg38.10000	10000	89	3761
MAX.hg38.10000	MITF.hg38.10000	10000	87	2452
MAX.hg38.10000	HIF1A.hg38.10000	10000	86	3163
MAX.hg38.10000	ELF1.hg38.10000	10000	81	4786
MAX.hg38.10000	KLF10.hg38.10000	10000	81	4279
MAX.hg38.10000	FOXP1.hg38.10000	10000	80	3104
MAX.hg38.10000	YY1.hg38.10000	10000	79	4424
MAX.hg38.10000	SIX5.hg38.10000	10000	79	3941
MAX.hg38.10000	ATF3.hg38.10000	10000	79	2342
MAX.hg38.10000	NFYC.hg38.10000	10000	78	3832
MAX.hg38.10000	ZNF792.hg38.10000	10000	76	2329
MAX.hg38.10000	ZSCAN9.hg38.10000	10000	76	2141
MAX.hg38.10000	SP1.hg38.10000	10000	75	5187
MAX.hg38.10000	ZBTB26.hg38.10000	10000	75	3957
MAX.hg38.10000	IRF2.hg38.10000	10000	75	2907
MAX.hg38.10000	NFE2.hg38.10000	10000	75	2005
MAX.hg38.10000	ZNF143.hg38.10000	10000	74	3534
MAX.hg38.10000	IKZF5.hg38.10000	10000	74	2117
MAX.hg38.10000	ETS1.hg38.10000	10000	72	3959
MAX.hg38.10000	MYRF.hg38.10000	10000	71	3001
MAX.hg38.10000	GABPA.hg38.10000	10000	69	4382
MAX.hg38.10000	RELA.hg38.10000	10000	69	3002
MAX.hg38.10000	ZBTB33.hg38.10000	10000	67	3103
MAX.hg38.10000	FOXM1.hg38.10000	10000	67	2596
MAX.hg38.10000	NFYA.hg38.10000	10000	65	4398
MAX.hg38.10000	TFDP1.hg38.10000	10000	65	4262
MAX.hg38.10000	KLF16.hg38.10000	10000	65	2255
MAX.hg38.10000	ZNF574.hg38.10000	10000	64	2656
MAX.hg38.10000	ETV5.hg38.10000	10000	62	3564
MAX.hg38.10000	ZNF580.hg38.10000	10000	59	2373
MAX.hg38.10000	NRF1.hg38.10000	10000	58	4207
MAX.hg38.10000	KLF9.hg38.10000	10000	58	3804
MAX.hg38.10000	FOXK2.hg38.10000	10000	58	2370
MAX.hg38.10000	ATF1.hg38.10000	10000	57	3445
MAX.hg38.10000	SOX9.hg38.10000	10000	56	2770
MAX.hg38.10000	SRF.hg38.10000	10000	56	2117
MAX.hg38.10000	SMAD4.hg38.10000	10000	55	1838
MAX.hg38.10000	FLI1.hg38.10000	10000	54	2789
MAX.hg38.10000	RUNX1.hg38.10000	10000	53	3070
MAX.hg38.10000	KLF11.hg38.10000	10000	52	3816
MAX.hg38.10000	BCL11B.hg38.10000	10000	52	3705
MAX.hg38.10000	KLF6.hg38.10000	10000	52	3609
MAX.hg38.10000	TFAP4.hg38.10000	10000	51	2554
MAX.hg38.10000	BCL6.hg38.10000	10000	51	1975
MAX.hg38.10000	HIF3A.hg38.10000	10000	51	1300
MAX.hg38.10000	ZBTB14.hg38.10000	10000	50	3497
MAX.hg38.10000	RFX5.hg38.10000	10000	50	2771
MAX.hg38.10000	SP2.hg38.10000	10000	49	3919
MAX.hg38.10000	ETV1.hg38.10000	10000	49	3386
MAX.hg38.10000	SP4.hg38.10000	10000	49	3127
MAX.hg38.10000	RXRA.hg38.10000	10000	48	3057
MAX.hg38.10000	SETDB1.hg38.10000	10000	47	2596
MAX.hg38.10000	RARA.hg38.10000	10000	47	2565
