TF_a	TF_b	num_site_TF_b	exact	window
MECOM.hg38.10000	MECOM.hg38.10000	10000	10000	10000
MECOM.hg38.10000	RUNX1.hg38.10000	10000	249	4867
MECOM.hg38.10000	LYL1.hg38.10000	10000	171	4465
MECOM.hg38.10000	MYB.hg38.10000	10000	102	2639
MECOM.hg38.10000	FLI1.hg38.10000	10000	100	2199
MECOM.hg38.10000	ZBTB16.hg38.10000	10000	93	2884
MECOM.hg38.10000	TCF12.hg38.10000	10000	92	2915
MECOM.hg38.10000	TCF3.hg38.10000	10000	85	2467
MECOM.hg38.10000	FOXO1.hg38.10000	10000	80	2102
MECOM.hg38.10000	ETV6.hg38.10000	10000	75	1963
MECOM.hg38.10000	BCL6.hg38.10000	10000	74	1908
MECOM.hg38.10000	RARA.hg38.10000	10000	73	2345
MECOM.hg38.10000	NR4A1.hg38.10000	10000	72	1880
MECOM.hg38.10000	ERG.hg38.10000	10000	68	2018
MECOM.hg38.10000	CEBPA.hg38.10000	10000	66	2056
MECOM.hg38.10000	SMAD1.hg38.10000	10000	64	1835
MECOM.hg38.10000	TBX21.hg38.10000	10000	59	1837
MECOM.hg38.10000	STAT5A.hg38.10000	10000	58	1936
MECOM.hg38.10000	IKZF1.hg38.10000	10000	54	2049
MECOM.hg38.10000	GABPA.hg38.10000	10000	54	1630
MECOM.hg38.10000	HIF1A.hg38.10000	10000	53	1200
MECOM.hg38.10000	TP53.hg38.10000	10000	53	819
MECOM.hg38.10000	RXRA.hg38.10000	10000	52	2128
MECOM.hg38.10000	SPI1.hg38.10000	10000	51	2075
MECOM.hg38.10000	ETS1.hg38.10000	10000	49	1913
MECOM.hg38.10000	STAT6.hg38.10000	10000	49	1511
MECOM.hg38.10000	GATA2.hg38.10000	10000	49	1390
MECOM.hg38.10000	PBX1.hg38.10000	10000	48	1361
MECOM.hg38.10000	ETV1.hg38.10000	10000	45	1553
MECOM.hg38.10000	MAF.hg38.10000	10000	45	1448
MECOM.hg38.10000	EBF3.hg38.10000	10000	45	459
MECOM.hg38.10000	VDR.hg38.10000	10000	44	1589
MECOM.hg38.10000	BCL11B.hg38.10000	10000	42	1910
MECOM.hg38.10000	TRPS1.hg38.10000	10000	42	924
MECOM.hg38.10000	TAL1.hg38.10000	10000	41	1506
MECOM.hg38.10000	RELA.hg38.10000	10000	41	1455
MECOM.hg38.10000	RUNX3.hg38.10000	10000	41	1238
MECOM.hg38.10000	FOXP1.hg38.10000	10000	39	1499
MECOM.hg38.10000	NFYA.hg38.10000	10000	38	2027
MECOM.hg38.10000	MEIS1.hg38.10000	10000	37	1333
MECOM.hg38.10000	FOXP3.hg38.10000	10000	36	1364
MECOM.hg38.10000	NFE2.hg38.10000	10000	36	1280
MECOM.hg38.10000	STAT1.hg38.10000	10000	35	1693
MECOM.hg38.10000	TLX1.hg38.10000	10000	35	1309
MECOM.hg38.10000	GATA1.hg38.10000	10000	35	1048
MECOM.hg38.10000	BCL11A.hg38.10000	10000	34	1177
MECOM.hg38.10000	IRF1.hg38.10000	10000	33	1273
MECOM.hg38.10000	STAT5B.hg38.10000	10000	32	1663
MECOM.hg38.10000	STAT4.hg38.10000	10000	31	1499
MECOM.hg38.10000	GFI1.hg38.10000	10000	31	1221
MECOM.hg38.10000	EHF.hg38.10000	10000	31	1098
MECOM.hg38.10000	RBPJ.hg38.10000	10000	29	1435
MECOM.hg38.10000	ZNF341.hg38.10000	10000	29	1046
MECOM.hg38.10000	ETV4.hg38.10000	10000	29	1018
MECOM.hg38.10000	TCF7L2.hg38.10000	10000	29	922
MECOM.hg38.10000	RELB.hg38.10000	10000	29	887
MECOM.hg38.10000	HMGA1.hg38.10000	10000	29	188
MECOM.hg38.10000	HIC1.hg38.10000	10000	28	1572
