TF_a	TF_b	num_site_TF_b	exact	window
MIXL1.hg38.10000	MIXL1.hg38.10000	10000	10000	10000
MIXL1.hg38.10000	RXRB.hg38.10000	10000	202	3144
MIXL1.hg38.10000	ZSCAN9.hg38.10000	10000	192	3046
MIXL1.hg38.10000	ZNF792.hg38.10000	10000	192	3019
MIXL1.hg38.10000	TFE3.hg38.10000	10000	173	2768
MIXL1.hg38.10000	ZFP1.hg38.10000	10000	162	2900
MIXL1.hg38.10000	MLX.hg38.10000	10000	160	2997
MIXL1.hg38.10000	IKZF5.hg38.10000	10000	158	3007
MIXL1.hg38.10000	IRF2.hg38.10000	10000	158	2415
MIXL1.hg38.10000	ZNF580.hg38.10000	10000	157	2728
MIXL1.hg38.10000	HOMEZ.hg38.10000	10000	155	2610
MIXL1.hg38.10000	SOX5.hg38.10000	10000	146	2374
MIXL1.hg38.10000	KLF16.hg38.10000	10000	140	1981
MIXL1.hg38.10000	FOXA3.hg38.10000	10000	131	2299
MIXL1.hg38.10000	SOX13.hg38.10000	10000	125	2494
MIXL1.hg38.10000	HMG20A.hg38.10000	10000	124	2381
MIXL1.hg38.10000	MYBL2.hg38.10000	10000	114	2428
MIXL1.hg38.10000	THAP11.hg38.10000	10000	112	1785
MIXL1.hg38.10000	KLF6.hg38.10000	10000	112	1746
MIXL1.hg38.10000	CTCF.hg38.10000	10000	108	1698
MIXL1.hg38.10000	NR2F6.hg38.10000	10000	107	1815
MIXL1.hg38.10000	MYRF.hg38.10000	10000	105	2109
MIXL1.hg38.10000	TEAD3.hg38.10000	10000	102	1885
MIXL1.hg38.10000	SMAD4.hg38.10000	10000	95	2050
MIXL1.hg38.10000	ZNF652.hg38.10000	10000	95	1704
MIXL1.hg38.10000	ATF1.hg38.10000	10000	90	1810
MIXL1.hg38.10000	REST.hg38.10000	10000	89	1145
MIXL1.hg38.10000	THRB.hg38.10000	10000	88	1986
MIXL1.hg38.10000	HNF4A.hg38.10000	10000	87	1911
MIXL1.hg38.10000	NFIL3.hg38.10000	10000	86	1831
MIXL1.hg38.10000	ZBTB2.hg38.10000	10000	85	1347
MIXL1.hg38.10000	ZNF3.hg38.10000	10000	82	1528
MIXL1.hg38.10000	FOXP1.hg38.10000	10000	82	1494
MIXL1.hg38.10000	FOXO3.hg38.10000	10000	74	1625
MIXL1.hg38.10000	SRF.hg38.10000	10000	69	1341
MIXL1.hg38.10000	RXRA.hg38.10000	10000	66	1591
MIXL1.hg38.10000	STAT1.hg38.10000	10000	64	1316
MIXL1.hg38.10000	NFYC.hg38.10000	10000	64	1208
MIXL1.hg38.10000	ERF.hg38.10000	10000	63	1212
MIXL1.hg38.10000	FOXM1.hg38.10000	10000	61	1336
MIXL1.hg38.10000	ZNF143.hg38.10000	10000	60	1255
MIXL1.hg38.10000	CREM.hg38.10000	10000	60	1245
MIXL1.hg38.10000	KLF10.hg38.10000	10000	59	1667
MIXL1.hg38.10000	TCF7.hg38.10000	10000	57	1633
MIXL1.hg38.10000	ARID3A.hg38.10000	10000	52	2017
MIXL1.hg38.10000	CTCFL.hg38.10000	10000	50	983
MIXL1.hg38.10000	ZNF574.hg38.10000	10000	49	1203
MIXL1.hg38.10000	MYCN.hg38.10000	10000	49	1140
MIXL1.hg38.10000	RARA.hg38.10000	10000	48	1092
MIXL1.hg38.10000	ETV5.hg38.10000	10000	47	1404
MIXL1.hg38.10000	FOXA2.hg38.10000	10000	47	1223
MIXL1.hg38.10000	NR1H3.hg38.10000	10000	47	776
MIXL1.hg38.10000	CREB1.hg38.10000	10000	46	1325
MIXL1.hg38.10000	TCF12.hg38.10000	10000	45	1114
MIXL1.hg38.10000	ETV4.hg38.10000	10000	44	1519
MIXL1.hg38.10000	PPARG.hg38.10000	10000	42	871
MIXL1.hg38.10000	ELF1.hg38.10000	10000	41	1187
MIXL1.hg38.10000	YY1.hg38.10000	10000	41	1139
MIXL1.hg38.10000	RFX5.hg38.10000	10000	41	969
MIXL1.hg38.10000	GMEB2.hg38.10000	10000	40	1373
MIXL1.hg38.10000	ZBTB33.hg38.10000	10000	40	1036
MIXL1.hg38.10000	MYC.hg38.10000	10000	39	1163
MIXL1.hg38.10000	NR2F2.hg38.10000	10000	39	1102
MIXL1.hg38.10000	ZNF35.hg38.10000	10000	38	793
MIXL1.hg38.10000	BCL6.hg38.10000	10000	38	720
MIXL1.hg38.10000	HOXC5.hg38.10000	10000	37	736
MIXL1.hg38.10000	RBPJ.hg38.10000	10000	36	1215
MIXL1.hg38.10000	HLF.hg38.10000	10000	35	956
MIXL1.hg38.10000	ETS1.hg38.10000	10000	34	1133
MIXL1.hg38.10000	SP1.hg38.10000	10000	34	1064
MIXL1.hg38.10000	KLF9.hg38.10000	10000	34	1031
MIXL1.hg38.10000	SIX5.hg38.10000	10000	34	919
MIXL1.hg38.10000	ZBTB26.hg38.10000	10000	34	863
MIXL1.hg38.10000	FOXA1.hg38.10000	10000	34	855
MIXL1.hg38.10000	ERG.hg38.10000	10000	33	1116
MIXL1.hg38.10000	KLF11.hg38.10000	10000	33	1066
MIXL1.hg38.10000	RELA.hg38.10000	10000	33	908
MIXL1.hg38.10000	TEAD4.hg38.10000	10000	32	718
MIXL1.hg38.10000	MAX.hg38.10000	10000	31	1280
MIXL1.hg38.10000	ZNF444.hg38.10000	10000	31	1092
MIXL1.hg38.10000	GABPA.hg38.10000	10000	31	1034
MIXL1.hg38.10000	HIF1A.hg38.10000	10000	31	1013
MIXL1.hg38.10000	MYNN.hg38.10000	10000	31	582
MIXL1.hg38.10000	ZNF324.hg38.10000	10000	30	845
MIXL1.hg38.10000	HNF4G.hg38.10000	10000	30	834
MIXL1.hg38.10000	KLF5.hg38.10000	10000	29	927
MIXL1.hg38.10000	BHLHE40.hg38.10000	10000	28	940
MIXL1.hg38.10000	VDR.hg38.10000	10000	28	922
MIXL1.hg38.10000	TFAP4.hg38.10000	10000	27	1118
MIXL1.hg38.10000	SOX9.hg38.10000	10000	27	985
MIXL1.hg38.10000	MXI1.hg38.10000	10000	27	952
MIXL1.hg38.10000	TFDP1.hg38.10000	10000	27	951
MIXL1.hg38.10000	NR2F1.hg38.10000	10000	27	941
MIXL1.hg38.10000	TRPS1.hg38.10000	10000	27	855
MIXL1.hg38.10000	HNF1A.hg38.10000	10000	27	753
MIXL1.hg38.10000	TBP.hg38.10000	10000	26	1065
MIXL1.hg38.10000	E2F4.hg38.10000	10000	26	1013
MIXL1.hg38.10000	E2F8.hg38.10000	10000	26	903
MIXL1.hg38.10000	ATF3.hg38.10000	10000	26	847
MIXL1.hg38.10000	JUN.hg38.10000	10000	25	955
MIXL1.hg38.10000	MSC.hg38.10000	10000	25	920
MIXL1.hg38.10000	JUND.hg38.10000	10000	25	639
MIXL1.hg38.10000	ETV1.hg38.10000	10000	24	949
MIXL1.hg38.10000	FOXK2.hg38.10000	10000	24	933
MIXL1.hg38.10000	NR1H2.hg38.10000	10000	24	866
MIXL1.hg38.10000	NR2C2.hg38.10000	10000	24	851
MIXL1.hg38.10000	POU2F2.hg38.10000	10000	24	715
MIXL1.hg38.10000	MNT.hg38.10000	10000	23	1025
MIXL1.hg38.10000	NFYA.hg38.10000	10000	22	986
MIXL1.hg38.10000	BCL11B.hg38.10000	10000	22	915
MIXL1.hg38.10000	FLI1.hg38.10000	10000	22	753
MIXL1.hg38.10000	ZNF18.hg38.10000	10000	22	652
MIXL1.hg38.10000	TP53.hg38.10000	10000	22	567
MIXL1.hg38.10000	ELK4.hg38.10000	10000	21	955
MIXL1.hg38.10000	SOX4.hg38.10000	10000	21	822
MIXL1.hg38.10000	RUNX1.hg38.10000	10000	21	797
MIXL1.hg38.10000	IRF1.hg38.10000	10000	21	594
MIXL1.hg38.10000	ZNF554.hg38.10000	10000	21	579
MIXL1.hg38.10000	AHR.hg38.10000	10000	21	570
MIXL1.hg38.10000	TBX21.hg38.10000	10000	21	383
MIXL1.hg38.10000	STAT3.hg38.10000	10000	20	778
MIXL1.hg38.10000	ZBTB17.hg38.10000	10000	20	739
MIXL1.hg38.10000	HIF3A.hg38.10000	10000	20	572
MIXL1.hg38.10000	IRF4.hg38.10000	10000	20	484
MIXL1.hg38.10000	POU5F1.hg38.10000	10000	20	365
MIXL1.hg38.10000	ZKSCAN1.hg38.10000	10000	19	830
MIXL1.hg38.10000	HSF1.hg38.10000	10000	19	734
MIXL1.hg38.10000	HES1.hg38.10000	10000	19	699
MIXL1.hg38.10000	CDX2.hg38.10000	10000	19	698
MIXL1.hg38.10000	ZBTB14.hg38.10000	10000	19	602
MIXL1.hg38.10000	CEBPA.hg38.10000	10000	19	444
MIXL1.hg38.10000	ZNF280A.hg38.10000	10000	18	404
MIXL1.hg38.10000	ZNF217.hg38.10000	10000	17	857
MIXL1.hg38.10000	NFIA.hg38.10000	10000	17	768
MIXL1.hg38.10000	SP4.hg38.10000	10000	17	752
MIXL1.hg38.10000	USF1.hg38.10000	10000	17	699
MIXL1.hg38.10000	HES2.hg38.10000	10000	17	642
