TF_a	TF_b	num_site_TF_b	exact	window
NFKB1.hg38.10000	NFKB1.hg38.10000	10000	10000	10000
NFKB1.hg38.10000	RELA.hg38.10000	10000	264	3639
NFKB1.hg38.10000	NFKB2.hg38.10000	10000	154	2343
NFKB1.hg38.10000	RELB.hg38.10000	10000	89	1802
NFKB1.hg38.10000	HIF1A.hg38.10000	10000	82	1162
NFKB1.hg38.10000	REL.hg38.10000	10000	77	1596
NFKB1.hg38.10000	EPAS1.hg38.10000	10000	74	973
NFKB1.hg38.10000	STAT3.hg38.10000	10000	65	1865
NFKB1.hg38.10000	PPARD.hg38.10000	10000	52	372
NFKB1.hg38.10000	TP53.hg38.10000	10000	50	910
NFKB1.hg38.10000	FOXK1.hg38.10000	10000	49	541
NFKB1.hg38.10000	RXRA.hg38.10000	10000	46	1132
NFKB1.hg38.10000	ZNF274.hg38.10000	10000	44	261
NFKB1.hg38.10000	IRF1.hg38.10000	10000	43	1041
NFKB1.hg38.10000	ZBTB33.hg38.10000	10000	43	875
NFKB1.hg38.10000	FOSL2.hg38.10000	10000	39	1202
NFKB1.hg38.10000	FOS.hg38.10000	10000	38	1116
NFKB1.hg38.10000	STAT6.hg38.10000	10000	38	876
NFKB1.hg38.10000	JUN.hg38.10000	10000	37	1425
NFKB1.hg38.10000	HES2.hg38.10000	10000	37	1156
NFKB1.hg38.10000	FOXM1.hg38.10000	10000	37	955
NFKB1.hg38.10000	VDR.hg38.10000	10000	37	937
NFKB1.hg38.10000	NR2C2.hg38.10000	10000	37	686
NFKB1.hg38.10000	POU3F2.hg38.10000	10000	37	478
NFKB1.hg38.10000	SMAD3.hg38.10000	10000	35	1185
NFKB1.hg38.10000	JUNB.hg38.10000	10000	34	1342
NFKB1.hg38.10000	ZEB1.hg38.10000	10000	34	865
NFKB1.hg38.10000	RARA.hg38.10000	10000	34	744
NFKB1.hg38.10000	NR3C1.hg38.10000	10000	33	1105
NFKB1.hg38.10000	RBPJ.hg38.10000	10000	33	1065
NFKB1.hg38.10000	CEBPA.hg38.10000	10000	33	798
NFKB1.hg38.10000	MAF.hg38.10000	10000	32	902
NFKB1.hg38.10000	STAT1.hg38.10000	10000	30	1100
NFKB1.hg38.10000	FOSL1.hg38.10000	10000	30	1024
NFKB1.hg38.10000	TRPS1.hg38.10000	10000	30	1007
NFKB1.hg38.10000	CEBPB.hg38.10000	10000	30	993
NFKB1.hg38.10000	STAT5A.hg38.10000	10000	30	710
NFKB1.hg38.10000	LEF1.hg38.10000	10000	30	623
NFKB1.hg38.10000	JUND.hg38.10000	10000	29	1185
NFKB1.hg38.10000	NFATC1.hg38.10000	10000	29	736
NFKB1.hg38.10000	ZNF341.hg38.10000	10000	29	589
NFKB1.hg38.10000	ATF3.hg38.10000	10000	28	1133
NFKB1.hg38.10000	NR1H2.hg38.10000	10000	28	926
NFKB1.hg38.10000	ZBTB17.hg38.10000	10000	28	715
NFKB1.hg38.10000	FLI1.hg38.10000	10000	28	693
NFKB1.hg38.10000	ARNTL.hg38.10000	10000	28	659
NFKB1.hg38.10000	POU5F1.hg38.10000	10000	28	363
NFKB1.hg38.10000	XBP1.hg38.10000	10000	27	402
NFKB1.hg38.10000	FOXP1.hg38.10000	10000	26	846
NFKB1.hg38.10000	ERG.hg38.10000	10000	25	774
NFKB1.hg38.10000	ZNF143.hg38.10000	10000	25	711
NFKB1.hg38.10000	GABPA.hg38.10000	10000	24	772
NFKB1.hg38.10000	KLF4.hg38.10000	10000	23	738
NFKB1.hg38.10000	PPARG.hg38.10000	10000	23	733
NFKB1.hg38.10000	ASCL1.hg38.10000	10000	23	312
NFKB1.hg38.10000	TEAD4.hg38.10000	10000	22	876
NFKB1.hg38.10000	ZFP42.hg38.10000	10000	22	571
NFKB1.hg38.10000	NR5A2.hg38.10000	10000	22	491
NFKB1.hg38.10000	ZNF184.hg38.10000	10000	22	306
NFKB1.hg38.10000	E2F7.hg38.10000	10000	21	943
NFKB1.hg38.10000	TCF7L2.hg38.10000	10000	21	672
NFKB1.hg38.10000	HOXC5.hg38.10000	10000	21	671
NFKB1.hg38.10000	CXXC1.hg38.10000	10000	21	626
