TF_a	TF_b	num_site_TF_b	exact	window
NFYA.hg38.10000	NFYA.hg38.10000	10000	10000	10000
NFYA.hg38.10000	SP1.hg38.10000	10000	162	5202
NFYA.hg38.10000	SP2.hg38.10000	10000	134	3891
NFYA.hg38.10000	RUNX1.hg38.10000	10000	127	4139
NFYA.hg38.10000	NFYC.hg38.10000	10000	111	3763
NFYA.hg38.10000	CREB1.hg38.10000	10000	95	4580
NFYA.hg38.10000	CREM.hg38.10000	10000	91	3871
NFYA.hg38.10000	ERG.hg38.10000	10000	90	4285
NFYA.hg38.10000	GMEB2.hg38.10000	10000	89	4242
NFYA.hg38.10000	RARA.hg38.10000	10000	84	3105
NFYA.hg38.10000	IRF3.hg38.10000	10000	82	2053
NFYA.hg38.10000	RBPJ.hg38.10000	10000	75	4020
NFYA.hg38.10000	KLF11.hg38.10000	10000	74	3731
NFYA.hg38.10000	TCF12.hg38.10000	10000	74	3246
NFYA.hg38.10000	BCL11B.hg38.10000	10000	73	4074
NFYA.hg38.10000	KLF10.hg38.10000	10000	72	3701
NFYA.hg38.10000	RXRA.hg38.10000	10000	71	3043
NFYA.hg38.10000	ETS1.hg38.10000	10000	66	3546
NFYA.hg38.10000	E2F1.hg38.10000	10000	65	5079
NFYA.hg38.10000	MAX.hg38.10000	10000	65	4426
NFYA.hg38.10000	ELF1.hg38.10000	10000	64	4205
NFYA.hg38.10000	E2F4.hg38.10000	10000	64	4100
NFYA.hg38.10000	RFX5.hg38.10000	10000	64	2820
NFYA.hg38.10000	BCL6.hg38.10000	10000	64	1943
NFYA.hg38.10000	ATF1.hg38.10000	10000	60	3087
NFYA.hg38.10000	SP4.hg38.10000	10000	60	3033
NFYA.hg38.10000	THAP11.hg38.10000	10000	59	2776
NFYA.hg38.10000	MBD2.hg38.10000	10000	56	2341
NFYA.hg38.10000	TFDP1.hg38.10000	10000	55	3742
NFYA.hg38.10000	ETV5.hg38.10000	10000	55	3399
NFYA.hg38.10000	SRF.hg38.10000	10000	55	2037
NFYA.hg38.10000	ZNF143.hg38.10000	10000	54	3048
NFYA.hg38.10000	SOX9.hg38.10000	10000	54	2664
NFYA.hg38.10000	NRF1.hg38.10000	10000	53	3876
NFYA.hg38.10000	MAZ.hg38.10000	10000	52	3317
NFYA.hg38.10000	STAT1.hg38.10000	10000	51	3188
NFYA.hg38.10000	MYCN.hg38.10000	10000	50	3989
NFYA.hg38.10000	GABPA.hg38.10000	10000	50	3936
NFYA.hg38.10000	IRF2.hg38.10000	10000	50	2512
NFYA.hg38.10000	ZBTB14.hg38.10000	10000	49	3319
NFYA.hg38.10000	SIX5.hg38.10000	10000	48	3425
NFYA.hg38.10000	BHLHE40.hg38.10000	10000	48	2975
NFYA.hg38.10000	KLF5.hg38.10000	10000	47	3458
NFYA.hg38.10000	GFI1B.hg38.10000	10000	47	2024
NFYA.hg38.10000	LEF1.hg38.10000	10000	46	2792
NFYA.hg38.10000	FLI1.hg38.10000	10000	46	2708
NFYA.hg38.10000	MYB.hg38.10000	10000	46	2077
NFYA.hg38.10000	MYC.hg38.10000	10000	45	4682
NFYA.hg38.10000	CXXC1.hg38.10000	10000	45	3997
NFYA.hg38.10000	FOXM1.hg38.10000	10000	44	2134
NFYA.hg38.10000	RELA.hg38.10000	10000	43	2592
NFYA.hg38.10000	TBP.hg38.10000	10000	42	4264
NFYA.hg38.10000	ZBTB26.hg38.10000	10000	42	3529
NFYA.hg38.10000	MNT.hg38.10000	10000	42	3045
NFYA.hg38.10000	KLF16.hg38.10000	10000	42	2103
NFYA.hg38.10000	PBX3.hg38.10000	10000	42	1822
NFYA.hg38.10000	MXI1.hg38.10000	10000	41	3761
NFYA.hg38.10000	SP5.hg38.10000	10000	41	2945
NFYA.hg38.10000	EGR1.hg38.10000	10000	39	2901
NFYA.hg38.10000	FOXP1.hg38.10000	10000	39	2741
NFYA.hg38.10000	ELK3.hg38.10000	10000	39	2420
NFYA.hg38.10000	KMT2A.hg38.10000	10000	38	3889
NFYA.hg38.10000	E4F1.hg38.10000	10000	38	2743
NFYA.hg38.10000	MECOM.hg38.10000	10000	38	2074
NFYA.hg38.10000	YY1.hg38.10000	10000	37	3866
NFYA.hg38.10000	E2F6.hg38.10000	10000	37	3410
NFYA.hg38.10000	ZFP42.hg38.10000	10000	37	2953
NFYA.hg38.10000	HIF1A.hg38.10000	10000	37	2370
NFYA.hg38.10000	IKZF5.hg38.10000	10000	37	1769
NFYA.hg38.10000	ZBTB33.hg38.10000	10000	36	2692
NFYA.hg38.10000	CTCFL.hg38.10000	10000	36	2363
NFYA.hg38.10000	ZNF574.hg38.10000	10000	36	2032
