TF_a	TF_b	num_site_TF_b	exact	window
NKX2-1.hg38.10000	NKX2-1.hg38.10000	10000	10000	10000
NKX2-1.hg38.10000	FOSL2.hg38.10000	10000	58	2102
NKX2-1.hg38.10000	JUND.hg38.10000	10000	57	2176
NKX2-1.hg38.10000	SMAD3.hg38.10000	10000	56	2045
NKX2-1.hg38.10000	JUN.hg38.10000	10000	54	2047
NKX2-1.hg38.10000	ATF3.hg38.10000	10000	54	1548
NKX2-1.hg38.10000	JUNB.hg38.10000	10000	53	2018
NKX2-1.hg38.10000	FOS.hg38.10000	10000	53	1804
NKX2-1.hg38.10000	FOSL1.hg38.10000	10000	47	1831
NKX2-1.hg38.10000	NR1H2.hg38.10000	10000	40	1513
NKX2-1.hg38.10000	STAT3.hg38.10000	10000	39	1511
NKX2-1.hg38.10000	NR1H3.hg38.10000	10000	37	1308
NKX2-1.hg38.10000	HOXC5.hg38.10000	10000	36	1138
NKX2-1.hg38.10000	NKX2-5.hg38.10000	10000	35	693
NKX2-1.hg38.10000	PROX1.hg38.10000	10000	34	1067
NKX2-1.hg38.10000	PBX4.hg38.10000	10000	31	1050
NKX2-1.hg38.10000	FOXM1.hg38.10000	10000	27	1179
NKX2-1.hg38.10000	FOSB.hg38.10000	10000	24	774
NKX2-1.hg38.10000	SMAD4.hg38.10000	10000	22	653
NKX2-1.hg38.10000	TEAD1.hg38.10000	10000	21	1050
NKX2-1.hg38.10000	FOXA2.hg38.10000	10000	21	1016
NKX2-1.hg38.10000	PBX3.hg38.10000	10000	21	1005
NKX2-1.hg38.10000	ATF1.hg38.10000	10000	21	640
NKX2-1.hg38.10000	TEAD4.hg38.10000	10000	20	1329
NKX2-1.hg38.10000	TRPS1.hg38.10000	10000	20	1195
NKX2-1.hg38.10000	HIF1A.hg38.10000	10000	20	1138
NKX2-1.hg38.10000	RXRA.hg38.10000	10000	20	940
NKX2-1.hg38.10000	RELA.hg38.10000	10000	20	939
NKX2-1.hg38.10000	CREB1.hg38.10000	10000	20	780
NKX2-1.hg38.10000	RBPJ.hg38.10000	10000	20	758
NKX2-1.hg38.10000	ZNF554.hg38.10000	10000	19	716
NKX2-1.hg38.10000	HES2.hg38.10000	10000	18	1111
NKX2-1.hg38.10000	TCF12.hg38.10000	10000	18	970
NKX2-1.hg38.10000	NR2F2.hg38.10000	10000	18	914
NKX2-1.hg38.10000	NFIC.hg38.10000	10000	18	895
NKX2-1.hg38.10000	STAT1.hg38.10000	10000	17	917
NKX2-1.hg38.10000	KLF5.hg38.10000	10000	17	812
NKX2-1.hg38.10000	CREM.hg38.10000	10000	17	735
NKX2-1.hg38.10000	SMAD1.hg38.10000	10000	17	523
NKX2-1.hg38.10000	HOMEZ.hg38.10000	10000	17	516
NKX2-1.hg38.10000	NR3C1.hg38.10000	10000	16	1262
NKX2-1.hg38.10000	E2F7.hg38.10000	10000	16	1151
NKX2-1.hg38.10000	AHR.hg38.10000	10000	16	892
NKX2-1.hg38.10000	FOXA1.hg38.10000	10000	16	810
NKX2-1.hg38.10000	ZEB1.hg38.10000	10000	16	769
NKX2-1.hg38.10000	ZNF574.hg38.10000	10000	16	675
NKX2-1.hg38.10000	ZNF701.hg38.10000	10000	15	941
NKX2-1.hg38.10000	ETS1.hg38.10000	10000	15	639
NKX2-1.hg38.10000	ZNF324.hg38.10000	10000	15	623
NKX2-1.hg38.10000	TFE3.hg38.10000	10000	15	591
NKX2-1.hg38.10000	ETV5.hg38.10000	10000	14	990
NKX2-1.hg38.10000	EHF.hg38.10000	10000	14	960
NKX2-1.hg38.10000	ZNF217.hg38.10000	10000	14	873
NKX2-1.hg38.10000	SOX4.hg38.10000	10000	14	688
NKX2-1.hg38.10000	SREBF2.hg38.10000	10000	14	618
