TF_a	TF_b	num_site_TF_b	exact	window
NR2F2.hg38.10000	NR2F2.hg38.10000	10000	10000	10000
NR2F2.hg38.10000	NR2F6.hg38.10000	10000	312	3394
NR2F2.hg38.10000	NR2F1.hg38.10000	10000	173	3551
NR2F2.hg38.10000	RXRA.hg38.10000	10000	122	2516
NR2F2.hg38.10000	ESR1.hg38.10000	10000	109	2479
NR2F2.hg38.10000	HNF4A.hg38.10000	10000	96	1725
NR2F2.hg38.10000	NR2C2.hg38.10000	10000	95	2032
NR2F2.hg38.10000	RARA.hg38.10000	10000	85	2246
NR2F2.hg38.10000	RARG.hg38.10000	10000	84	2596
NR2F2.hg38.10000	ZNF701.hg38.10000	10000	80	2224
NR2F2.hg38.10000	ESRRA.hg38.10000	10000	78	2022
NR2F2.hg38.10000	AHR.hg38.10000	10000	77	2165
NR2F2.hg38.10000	THRB.hg38.10000	10000	75	1800
NR2F2.hg38.10000	RXRB.hg38.10000	10000	75	1534
NR2F2.hg38.10000	NR1H3.hg38.10000	10000	70	1719
NR2F2.hg38.10000	FOXM1.hg38.10000	10000	69	2240
NR2F2.hg38.10000	SOX13.hg38.10000	10000	66	1663
NR2F2.hg38.10000	ETV2.hg38.10000	10000	61	1557
NR2F2.hg38.10000	HMG20A.hg38.10000	10000	59	1351
NR2F2.hg38.10000	SMAD4.hg38.10000	10000	58	1884
NR2F2.hg38.10000	TRPS1.hg38.10000	10000	56	1733
NR2F2.hg38.10000	MLX.hg38.10000	10000	52	1690
NR2F2.hg38.10000	MYBL2.hg38.10000	10000	49	1386
NR2F2.hg38.10000	ZSCAN9.hg38.10000	10000	49	1286
NR2F2.hg38.10000	NR1H2.hg38.10000	10000	48	1826
NR2F2.hg38.10000	ZNF217.hg38.10000	10000	47	1557
NR2F2.hg38.10000	IKZF5.hg38.10000	10000	47	1457
NR2F2.hg38.10000	TCF12.hg38.10000	10000	47	1340
NR2F2.hg38.10000	GATA3.hg38.10000	10000	46	1451
NR2F2.hg38.10000	MBD2.hg38.10000	10000	45	1266
NR2F2.hg38.10000	VDR.hg38.10000	10000	45	1212
NR2F2.hg38.10000	TFAP2A.hg38.10000	10000	43	1326
NR2F2.hg38.10000	TCF7.hg38.10000	10000	42	1349
NR2F2.hg38.10000	NFIL3.hg38.10000	10000	42	1126
NR2F2.hg38.10000	ESR2.hg38.10000	10000	40	1236
NR2F2.hg38.10000	MIXL1.hg38.10000	10000	39	1111
NR2F2.hg38.10000	JUN.hg38.10000	10000	38	1702
NR2F2.hg38.10000	ETV4.hg38.10000	10000	38	1456
NR2F2.hg38.10000	KLF10.hg38.10000	10000	38	1430
NR2F2.hg38.10000	NR3C1.hg38.10000	10000	38	1373
NR2F2.hg38.10000	PPARG.hg38.10000	10000	37	1064
NR2F2.hg38.10000	NR5A2.hg38.10000	10000	36	1464
NR2F2.hg38.10000	ATF3.hg38.10000	10000	36	1294
NR2F2.hg38.10000	HOMEZ.hg38.10000	10000	36	1102
NR2F2.hg38.10000	ZFP1.hg38.10000	10000	35	1230
NR2F2.hg38.10000	FOXO3.hg38.10000	10000	35	1072
NR2F2.hg38.10000	TFE3.hg38.10000	10000	34	1504
NR2F2.hg38.10000	TEAD4.hg38.10000	10000	34	1451
NR2F2.hg38.10000	SMAD3.hg38.10000	10000	34	1341
NR2F2.hg38.10000	FOXA2.hg38.10000	10000	34	1289
NR2F2.hg38.10000	FOXA3.hg38.10000	10000	34	1132
NR2F2.hg38.10000	JUND.hg38.10000	10000	33	1521
NR2F2.hg38.10000	TFAP2C.hg38.10000	10000	33	1387
NR2F2.hg38.10000	HNF4G.hg38.10000	10000	33	925
NR2F2.hg38.10000	TEAD3.hg38.10000	10000	32	973
NR2F2.hg38.10000	HES1.hg38.10000	10000	32	965
NR2F2.hg38.10000	ZNF792.hg38.10000	10000	31	1303
NR2F2.hg38.10000	STAT3.hg38.10000	10000	31	1175
NR2F2.hg38.10000	IRF2.hg38.10000	10000	30	1031
NR2F2.hg38.10000	FOXP1.hg38.10000	10000	30	1024
NR2F2.hg38.10000	CREM.hg38.10000	10000	30	1005
NR2F2.hg38.10000	FOXA1.hg38.10000	10000	29	1467
NR2F2.hg38.10000	FOSL2.hg38.10000	10000	29	1446
NR2F2.hg38.10000	TEAD1.hg38.10000	10000	29	1211
NR2F2.hg38.10000	SOX5.hg38.10000	10000	29	1166
NR2F2.hg38.10000	PROX1.hg38.10000	10000	29	949
NR2F2.hg38.10000	ATF1.hg38.10000	10000	28	1121
NR2F2.hg38.10000	SMAD1.hg38.10000	10000	28	840
NR2F2.hg38.10000	NFIC.hg38.10000	10000	27	1037
NR2F2.hg38.10000	ARID3A.hg38.10000	10000	26	1205
NR2F2.hg38.10000	HES2.hg38.10000	10000	26	1157
NR2F2.hg38.10000	STAT1.hg38.10000	10000	26	1004
NR2F2.hg38.10000	NFIA.hg38.10000	10000	26	1000
NR2F2.hg38.10000	TCF7L2.hg38.10000	10000	26	949
NR2F2.hg38.10000	ZNF652.hg38.10000	10000	26	780
NR2F2.hg38.10000	FOS.hg38.10000	10000	25	1270
NR2F2.hg38.10000	TFAP4.hg38.10000	10000	25	958
NR2F2.hg38.10000	RELA.hg38.10000	10000	24	1080
NR2F2.hg38.10000	JUNB.hg38.10000	10000	23	1324
NR2F2.hg38.10000	E2F7.hg38.10000	10000	23	1096
NR2F2.hg38.10000	THAP11.hg38.10000	10000	23	902
NR2F2.hg38.10000	KLF16.hg38.10000	10000	23	871
