TF_a	TF_b	num_site_TF_b	exact	window
PBX4.hg38.10000	PBX4.hg38.10000	10000	10000	10000
PBX4.hg38.10000	JUNB.hg38.10000	10000	54	1721
PBX4.hg38.10000	SMAD3.hg38.10000	10000	48	1705
PBX4.hg38.10000	FOSL2.hg38.10000	10000	47	1603
PBX4.hg38.10000	HOXC5.hg38.10000	10000	45	1418
PBX4.hg38.10000	PBX3.hg38.10000	10000	44	1050
PBX4.hg38.10000	JUND.hg38.10000	10000	38	1504
PBX4.hg38.10000	FOS.hg38.10000	10000	36	1426
PBX4.hg38.10000	FOSL1.hg38.10000	10000	34	1459
PBX4.hg38.10000	NR1H2.hg38.10000	10000	31	1054
PBX4.hg38.10000	NKX2-1.hg38.10000	10000	31	1051
PBX4.hg38.10000	NR1H3.hg38.10000	10000	30	1216
PBX4.hg38.10000	E2F7.hg38.10000	10000	28	928
PBX4.hg38.10000	ATF3.hg38.10000	10000	26	1016
PBX4.hg38.10000	HES2.hg38.10000	10000	25	1095
PBX4.hg38.10000	JUN.hg38.10000	10000	24	1186
PBX4.hg38.10000	FOXA2.hg38.10000	10000	23	788
PBX4.hg38.10000	FOSB.hg38.10000	10000	23	640
PBX4.hg38.10000	STAT3.hg38.10000	10000	22	1051
PBX4.hg38.10000	TEAD4.hg38.10000	10000	20	996
PBX4.hg38.10000	NR3C1.hg38.10000	10000	19	934
PBX4.hg38.10000	HIF1A.hg38.10000	10000	19	733
PBX4.hg38.10000	HMG20A.hg38.10000	10000	19	415
PBX4.hg38.10000	PKNOX1.hg38.10000	10000	18	488
PBX4.hg38.10000	EHF.hg38.10000	10000	17	795
PBX4.hg38.10000	TRPS1.hg38.10000	10000	16	966
PBX4.hg38.10000	PROX1.hg38.10000	10000	15	728
PBX4.hg38.10000	FOXM1.hg38.10000	10000	15	678
PBX4.hg38.10000	FOXA1.hg38.10000	10000	15	595
PBX4.hg38.10000	AHR.hg38.10000	10000	14	614
PBX4.hg38.10000	TCF7L2.hg38.10000	10000	14	533
PBX4.hg38.10000	ETV5.hg38.10000	10000	13	552
PBX4.hg38.10000	GATA3.hg38.10000	10000	13	519
PBX4.hg38.10000	BATF3.hg38.10000	10000	13	468
PBX4.hg38.10000	PBX2.hg38.10000	10000	13	452
PBX4.hg38.10000	MEIS2.hg38.10000	10000	13	385
PBX4.hg38.10000	TET3.hg38.10000	10000	12	705
PBX4.hg38.10000	NFKB1.hg38.10000	10000	12	611
PBX4.hg38.10000	CDX2.hg38.10000	10000	12	593
PBX4.hg38.10000	ZNF701.hg38.10000	10000	12	588
