TF_a	TF_b	num_site_TF_b	exact	window
PRDM9.hg38.10000	PRDM9.hg38.10000	10000	10000	10000
PRDM9.hg38.10000	SP5.hg38.10000	10000	13	558
PRDM9.hg38.10000	MAZ.hg38.10000	10000	12	620
PRDM9.hg38.10000	ZBTB48.hg38.10000	10000	10	435
PRDM9.hg38.10000	JUN.hg38.10000	10000	10	333
PRDM9.hg38.10000	KMT2A.hg38.10000	10000	9	506
PRDM9.hg38.10000	ZNF467.hg38.10000	10000	9	465
PRDM9.hg38.10000	GLIS2.hg38.10000	10000	8	596
PRDM9.hg38.10000	ETV5.hg38.10000	10000	8	382
PRDM9.hg38.10000	CTCFL.hg38.10000	10000	8	360
PRDM9.hg38.10000	PATZ1.hg38.10000	10000	7	553
PRDM9.hg38.10000	ZNF341.hg38.10000	10000	7	467
PRDM9.hg38.10000	ZFHX2.hg38.10000	10000	7	413
PRDM9.hg38.10000	NFYA.hg38.10000	10000	7	396
PRDM9.hg38.10000	SP7.hg38.10000	10000	7	296
PRDM9.hg38.10000	EGR3.hg38.10000	10000	7	213
PRDM9.hg38.10000	ZNF444.hg38.10000	10000	6	409
PRDM9.hg38.10000	EGR1.hg38.10000	10000	6	372
PRDM9.hg38.10000	RBPJ.hg38.10000	10000	6	369
PRDM9.hg38.10000	IKZF1.hg38.10000	10000	6	315
PRDM9.hg38.10000	GLIS3.hg38.10000	10000	6	284
PRDM9.hg38.10000	KLF15.hg38.10000	10000	5	467
PRDM9.hg38.10000	SP2.hg38.10000	10000	5	423
PRDM9.hg38.10000	KLF1.hg38.10000	10000	5	359
PRDM9.hg38.10000	MXI1.hg38.10000	10000	5	300
PRDM9.hg38.10000	ZBTB42.hg38.10000	10000	5	280
PRDM9.hg38.10000	ZBTB6.hg38.10000	10000	5	266
PRDM9.hg38.10000	ZNF580.hg38.10000	10000	5	263
PRDM9.hg38.10000	LEF1.hg38.10000	10000	5	246
PRDM9.hg38.10000	FOS.hg38.10000	10000	5	242
PRDM9.hg38.10000	VDR.hg38.10000	10000	5	232
PRDM9.hg38.10000	E2F7.hg38.10000	10000	5	224
PRDM9.hg38.10000	FOSL2.hg38.10000	10000	5	220
PRDM9.hg38.10000	NFIC.hg38.10000	10000	5	199
PRDM9.hg38.10000	ZNF263.hg38.10000	10000	4	445
PRDM9.hg38.10000	SP4.hg38.10000	10000	4	427
PRDM9.hg38.10000	MYCN.hg38.10000	10000	4	410
PRDM9.hg38.10000	ZBTB7A.hg38.10000	10000	4	400
PRDM9.hg38.10000	ZSCAN22.hg38.10000	10000	4	397
PRDM9.hg38.10000	KLF5.hg38.10000	10000	4	380
PRDM9.hg38.10000	TCF12.hg38.10000	10000	4	358
PRDM9.hg38.10000	GLIS1.hg38.10000	10000	4	349
PRDM9.hg38.10000	NFATC1.hg38.10000	10000	4	341
PRDM9.hg38.10000	TBP.hg38.10000	10000	4	340
PRDM9.hg38.10000	RARA.hg38.10000	10000	4	339
PRDM9.hg38.10000	E2F4.hg38.10000	10000	4	335
PRDM9.hg38.10000	KLF9.hg38.10000	10000	4	329
PRDM9.hg38.10000	SOX4.hg38.10000	10000	4	317
PRDM9.hg38.10000	CXXC1.hg38.10000	10000	4	303
PRDM9.hg38.10000	TFDP1.hg38.10000	10000	4	299
PRDM9.hg38.10000	TFAP2A.hg38.10000	10000	4	295
PRDM9.hg38.10000	ZNF143.hg38.10000	10000	4	259
PRDM9.hg38.10000	JUND.hg38.10000	10000	4	259
PRDM9.hg38.10000	FOXO1.hg38.10000	10000	4	251
PRDM9.hg38.10000	FOXM1.hg38.10000	10000	4	242
PRDM9.hg38.10000	SMAD3.hg38.10000	10000	4	205
PRDM9.hg38.10000	HSF1.hg38.10000	10000	4	177
PRDM9.hg38.10000	MYBL2.hg38.10000	10000	4	164
PRDM9.hg38.10000	ZNF382.hg38.10000	10000	4	99
PRDM9.hg38.10000	KDM2B.hg38.10000	10000	3	477
PRDM9.hg38.10000	ZBTB26.hg38.10000	10000	3	462
PRDM9.hg38.10000	ZBTB20.hg38.10000	10000	3	433
PRDM9.hg38.10000	E2F1.hg38.10000	10000	3	392
PRDM9.hg38.10000	MYC.hg38.10000	10000	3	379
PRDM9.hg38.10000	BCL11B.hg38.10000	10000	3	339
PRDM9.hg38.10000	ZFP42.hg38.10000	10000	3	336
PRDM9.hg38.10000	VEZF1.hg38.10000	10000	3	330
PRDM9.hg38.10000	KLF4.hg38.10000	10000	3	320
PRDM9.hg38.10000	MYRF.hg38.10000	10000	3	298
PRDM9.hg38.10000	TFAP4.hg38.10000	10000	3	294
PRDM9.hg38.10000	HEY1.hg38.10000	10000	3	294
PRDM9.hg38.10000	STAT1.hg38.10000	10000	3	287
PRDM9.hg38.10000	NRF1.hg38.10000	10000	3	286
PRDM9.hg38.10000	ZNF324.hg38.10000	10000	3	276
PRDM9.hg38.10000	YY1.hg38.10000	10000	3	276
PRDM9.hg38.10000	RUNX1.hg38.10000	10000	3	269
PRDM9.hg38.10000	RELA.hg38.10000	10000	3	269
PRDM9.hg38.10000	IRF2.hg38.10000	10000	3	256
PRDM9.hg38.10000	FLI1.hg38.10000	10000	3	249
PRDM9.hg38.10000	ZBTB33.hg38.10000	10000	3	234
PRDM9.hg38.10000	MITF.hg38.10000	10000	3	233
PRDM9.hg38.10000	ZSCAN9.hg38.10000	10000	3	232
PRDM9.hg38.10000	SMAD1.hg38.10000	10000	3	229
PRDM9.hg38.10000	EPAS1.hg38.10000	10000	3	214
PRDM9.hg38.10000	FOSL1.hg38.10000	10000	3	213
PRDM9.hg38.10000	ZNF3.hg38.10000	10000	3	195
PRDM9.hg38.10000	NR1H2.hg38.10000	10000	3	191
PRDM9.hg38.10000	MYF5.hg38.10000	10000	3	172
PRDM9.hg38.10000	TET3.hg38.10000	10000	3	169
PRDM9.hg38.10000	ZNF184.hg38.10000	10000	3	167
PRDM9.hg38.10000	ZNF217.hg38.10000	10000	3	163
PRDM9.hg38.10000	NFATC3.hg38.10000	10000	3	162
PRDM9.hg38.10000	ZNF24.hg38.10000	10000	3	157
PRDM9.hg38.10000	TCF4.hg38.10000	10000	3	149
