TF_a	TF_b	num_site_TF_b	exact	window
RARG.hg38.10000	RARG.hg38.10000	10000	10000	10000
RARG.hg38.10000	RARA.hg38.10000	10000	137	3212
RARG.hg38.10000	ESR1.hg38.10000	10000	122	3811
RARG.hg38.10000	NR2F2.hg38.10000	10000	84	2768
RARG.hg38.10000	RBPJ.hg38.10000	10000	77	1370
RARG.hg38.10000	ZEB1.hg38.10000	10000	70	1183
RARG.hg38.10000	LEF1.hg38.10000	10000	68	1180
RARG.hg38.10000	VDR.hg38.10000	10000	65	1306
RARG.hg38.10000	AHR.hg38.10000	10000	61	2341
RARG.hg38.10000	ETV2.hg38.10000	10000	61	2116
RARG.hg38.10000	HIF1A.hg38.10000	10000	61	1300
RARG.hg38.10000	TP53.hg38.10000	10000	59	944
RARG.hg38.10000	EPAS1.hg38.10000	10000	54	1075
RARG.hg38.10000	ZBTB33.hg38.10000	10000	54	1032
RARG.hg38.10000	SOX2.hg38.10000	10000	53	443
RARG.hg38.10000	ZNF341.hg38.10000	10000	52	906
RARG.hg38.10000	XBP1.hg38.10000	10000	52	564
RARG.hg38.10000	FOXM1.hg38.10000	10000	51	2191
RARG.hg38.10000	IRF1.hg38.10000	10000	50	710
RARG.hg38.10000	NR2C2.hg38.10000	10000	47	1341
RARG.hg38.10000	STAT5A.hg38.10000	10000	46	701
RARG.hg38.10000	RXRA.hg38.10000	10000	45	1907
RARG.hg38.10000	TRPS1.hg38.10000	10000	45	1673
RARG.hg38.10000	ASCL1.hg38.10000	10000	44	636
RARG.hg38.10000	ZNF184.hg38.10000	10000	44	430
RARG.hg38.10000	ZNF22.hg38.10000	10000	44	260
RARG.hg38.10000	STAT6.hg38.10000	10000	43	608
RARG.hg38.10000	ZNF701.hg38.10000	10000	41	2165
RARG.hg38.10000	PGR.hg38.10000	10000	41	1606
RARG.hg38.10000	NR5A2.hg38.10000	10000	40	1838
RARG.hg38.10000	ESR2.hg38.10000	10000	40	1660
RARG.hg38.10000	RELA.hg38.10000	10000	40	1161
RARG.hg38.10000	RELB.hg38.10000	10000	40	452
RARG.hg38.10000	ZFP42.hg38.10000	10000	39	1110
RARG.hg38.10000	PPARD.hg38.10000	10000	39	475
RARG.hg38.10000	STAT1.hg38.10000	10000	38	1090
RARG.hg38.10000	ESRRA.hg38.10000	10000	37	2045
RARG.hg38.10000	PATZ1.hg38.10000	10000	36	1116
RARG.hg38.10000	ZNF778.hg38.10000	10000	36	621
RARG.hg38.10000	CXXC1.hg38.10000	10000	35	1202
RARG.hg38.10000	NR1H3.hg38.10000	10000	34	1104
RARG.hg38.10000	FOXK1.hg38.10000	10000	34	572
RARG.hg38.10000	NR3C1.hg38.10000	10000	32	1096
RARG.hg38.10000	SREBF2.hg38.10000	10000	32	822
RARG.hg38.10000	SMAD4.hg38.10000	10000	30	1333
RARG.hg38.10000	MBD2.hg38.10000	10000	30	1324
RARG.hg38.10000	REL.hg38.10000	10000	30	724
RARG.hg38.10000	ZNF274.hg38.10000	10000	29	311
RARG.hg38.10000	NR2F6.hg38.10000	10000	28	1044
RARG.hg38.10000	BCL6.hg38.10000	10000	28	579
RARG.hg38.10000	ZNF680.hg38.10000	10000	28	339
RARG.hg38.10000	ZNF324.hg38.10000	10000	27	713
RARG.hg38.10000	MECOM.hg38.10000	10000	27	673
RARG.hg38.10000	POU3F2.hg38.10000	10000	27	654
RARG.hg38.10000	ZNF217.hg38.10000	10000	26	1594
RARG.hg38.10000	GRHL2.hg38.10000	10000	26	1382
RARG.hg38.10000	ERG.hg38.10000	10000	25	1352
RARG.hg38.10000	ZNF143.hg38.10000	10000	25	870
RARG.hg38.10000	MAF.hg38.10000	10000	25	595
RARG.hg38.10000	ZNF768.hg38.10000	10000	25	343
