TF_a	TF_b	num_site_TF_b	exact	window
RUNX1.hg38.10000	RUNX1.hg38.10000	10000	10000	10000
RUNX1.hg38.10000	MECOM.hg38.10000	10000	249	4843
RUNX1.hg38.10000	LYL1.hg38.10000	10000	193	3908
RUNX1.hg38.10000	TCF12.hg38.10000	10000	186	4199
RUNX1.hg38.10000	RUNX3.hg38.10000	10000	177	1995
RUNX1.hg38.10000	MYB.hg38.10000	10000	169	3853
RUNX1.hg38.10000	TBX21.hg38.10000	10000	136	2476
RUNX1.hg38.10000	ETS1.hg38.10000	10000	128	3406
RUNX1.hg38.10000	FLI1.hg38.10000	10000	128	3108
RUNX1.hg38.10000	NFYA.hg38.10000	10000	127	3961
RUNX1.hg38.10000	BCL6.hg38.10000	10000	121	2629
RUNX1.hg38.10000	ERG.hg38.10000	10000	112	3385
RUNX1.hg38.10000	TCF3.hg38.10000	10000	109	2991
RUNX1.hg38.10000	RUNX2.hg38.10000	10000	106	1497
RUNX1.hg38.10000	CREM.hg38.10000	10000	103	3082
RUNX1.hg38.10000	GABPA.hg38.10000	10000	101	3162
RUNX1.hg38.10000	NR4A1.hg38.10000	10000	101	1954
RUNX1.hg38.10000	ETV6.hg38.10000	10000	95	2024
RUNX1.hg38.10000	ELF1.hg38.10000	10000	94	3124
RUNX1.hg38.10000	FOXO1.hg38.10000	10000	94	2452
RUNX1.hg38.10000	RARA.hg38.10000	10000	93	3046
RUNX1.hg38.10000	FOXP1.hg38.10000	10000	88	2658
RUNX1.hg38.10000	RELA.hg38.10000	10000	88	2630
RUNX1.hg38.10000	SP1.hg38.10000	10000	85	3082
RUNX1.hg38.10000	ZBTB16.hg38.10000	10000	84	2826
RUNX1.hg38.10000	BCL11B.hg38.10000	10000	83	3369
RUNX1.hg38.10000	VDR.hg38.10000	10000	83	2369
RUNX1.hg38.10000	KLF10.hg38.10000	10000	78	2854
RUNX1.hg38.10000	CREB1.hg38.10000	10000	77	3072
RUNX1.hg38.10000	RBPJ.hg38.10000	10000	77	3058
RUNX1.hg38.10000	STAT5A.hg38.10000	10000	76	2413
RUNX1.hg38.10000	SIX5.hg38.10000	10000	75	2712
RUNX1.hg38.10000	STAT1.hg38.10000	10000	74	2940
RUNX1.hg38.10000	THAP11.hg38.10000	10000	74	2198
RUNX1.hg38.10000	STAT3.hg38.10000	10000	73	1994
RUNX1.hg38.10000	RXRA.hg38.10000	10000	72	3133
RUNX1.hg38.10000	FOXM1.hg38.10000	10000	71	1921
RUNX1.hg38.10000	IRF2.hg38.10000	10000	71	1895
RUNX1.hg38.10000	ZBTB33.hg38.10000	10000	70	2394
RUNX1.hg38.10000	HIF1A.hg38.10000	10000	69	2115
RUNX1.hg38.10000	JUN.hg38.10000	10000	68	2165
RUNX1.hg38.10000	GMEB2.hg38.10000	10000	66	2893
RUNX1.hg38.10000	KLF5.hg38.10000	10000	63	2464
RUNX1.hg38.10000	ETV1.hg38.10000	10000	62	2669
RUNX1.hg38.10000	STAT5B.hg38.10000	10000	61	2577
RUNX1.hg38.10000	E2F1.hg38.10000	10000	60	3001
RUNX1.hg38.10000	CEBPA.hg38.10000	10000	60	1956
RUNX1.hg38.10000	ZBTB11.hg38.10000	10000	59	2047
RUNX1.hg38.10000	SMAD1.hg38.10000	10000	59	1831
RUNX1.hg38.10000	MYC.hg38.10000	10000	58	3107
RUNX1.hg38.10000	FOXP3.hg38.10000	10000	58	2114
RUNX1.hg38.10000	SOX9.hg38.10000	10000	57	1880
RUNX1.hg38.10000	BCL11A.hg38.10000	10000	57	1496
RUNX1.hg38.10000	ATF1.hg38.10000	10000	56	2182
RUNX1.hg38.10000	YY1.hg38.10000	10000	55	2695
RUNX1.hg38.10000	MYCN.hg38.10000	10000	54	2624
RUNX1.hg38.10000	ELK3.hg38.10000	10000	54	1852
RUNX1.hg38.10000	MAX.hg38.10000	10000	53	2942
RUNX1.hg38.10000	ZNF143.hg38.10000	10000	53	2170
RUNX1.hg38.10000	PAX5.hg38.10000	10000	51	1628
RUNX1.hg38.10000	ELK4.hg38.10000	10000	50	2485
RUNX1.hg38.10000	E2F4.hg38.10000	10000	49	2509
RUNX1.hg38.10000	POU2F2.hg38.10000	10000	49	2025
RUNX1.hg38.10000	KLF16.hg38.10000	10000	49	1624
RUNX1.hg38.10000	PBX1.hg38.10000	10000	49	1616
RUNX1.hg38.10000	IRF1.hg38.10000	10000	48	1977
RUNX1.hg38.10000	MBD2.hg38.10000	10000	48	1545
RUNX1.hg38.10000	BHLHE40.hg38.10000	10000	47	2067
RUNX1.hg38.10000	ETV5.hg38.10000	10000	46	2277
RUNX1.hg38.10000	RFX5.hg38.10000	10000	45	1774
RUNX1.hg38.10000	E2F8.hg38.10000	10000	44	1986
RUNX1.hg38.10000	STAT4.hg38.10000	10000	43	1919
RUNX1.hg38.10000	SPI1.hg38.10000	10000	43	1724
RUNX1.hg38.10000	NFE2.hg38.10000	10000	43	1592
RUNX1.hg38.10000	NFYC.hg38.10000	10000	42	2330
RUNX1.hg38.10000	KLF11.hg38.10000	10000	41	2218
RUNX1.hg38.10000	MXI1.hg38.10000	10000	40	2466
RUNX1.hg38.10000	IKZF1.hg38.10000	10000	40	2454
RUNX1.hg38.10000	E4F1.hg38.10000	10000	40	2396
RUNX1.hg38.10000	SP2.hg38.10000	10000	40	2343
RUNX1.hg38.10000	MAF.hg38.10000	10000	40	2036
RUNX1.hg38.10000	ETV4.hg38.10000	10000	40	1823
RUNX1.hg38.10000	SP4.hg38.10000	10000	40	1782
RUNX1.hg38.10000	NR2C2.hg38.10000	10000	39	1700
RUNX1.hg38.10000	TFAP4.hg38.10000	10000	39	1533
RUNX1.hg38.10000	TP53.hg38.10000	10000	39	1188
RUNX1.hg38.10000	TAL1.hg38.10000	10000	38	1229
RUNX1.hg38.10000	ATF3.hg38.10000	10000	37	1637
RUNX1.hg38.10000	TRPS1.hg38.10000	10000	37	1497
RUNX1.hg38.10000	SMAD4.hg38.10000	10000	37	1330
RUNX1.hg38.10000	IRF4.hg38.10000	10000	37	1199
RUNX1.hg38.10000	ERF.hg38.10000	10000	37	1190
RUNX1.hg38.10000	SOX4.hg38.10000	10000	36	1930
RUNX1.hg38.10000	FOXK2.hg38.10000	10000	36	1707
RUNX1.hg38.10000	KLF1.hg38.10000	10000	36	1593
RUNX1.hg38.10000	ZKSCAN1.hg38.10000	10000	36	1042
RUNX1.hg38.10000	TBP.hg38.10000	10000	35	2943
RUNX1.hg38.10000	TFDP1.hg38.10000	10000	35	2265
RUNX1.hg38.10000	MNT.hg38.10000	10000	35	2203
RUNX1.hg38.10000	ZNF580.hg38.10000	10000	35	1329
RUNX1.hg38.10000	MEIS1.hg38.10000	10000	35	1211
RUNX1.hg38.10000	REL.hg38.10000	10000	34	1708
RUNX1.hg38.10000	TLX1.hg38.10000	10000	34	1692
RUNX1.hg38.10000	MAZ.hg38.10000	10000	33	2104
RUNX1.hg38.10000	STAT6.hg38.10000	10000	33	1814
RUNX1.hg38.10000	REST.hg38.10000	10000	33	1384
RUNX1.hg38.10000	SRF.hg38.10000	10000	33	1347
RUNX1.hg38.10000	IKZF2.hg38.10000	10000	33	1345
RUNX1.hg38.10000	TCF4.hg38.10000	10000	33	1108
RUNX1.hg38.10000	EGR1.hg38.10000	10000	32	2067
RUNX1.hg38.10000	HIC1.hg38.10000	10000	32	1952
RUNX1.hg38.10000	GFI1B.hg38.10000	10000	32	1842
RUNX1.hg38.10000	SETDB1.hg38.10000	10000	32	1685
RUNX1.hg38.10000	ZNF444.hg38.10000	10000	32	1107
RUNX1.hg38.10000	ASCL2.hg38.10000	10000	32	1007
RUNX1.hg38.10000	POU5F1.hg38.10000	10000	32	780
RUNX1.hg38.10000	LEF1.hg38.10000	10000	31	1733
RUNX1.hg38.10000	VEZF1.hg38.10000	10000	31	1730
RUNX1.hg38.10000	HSF1.hg38.10000	10000	31	1255
RUNX1.hg38.10000	KLF9.hg38.10000	10000	30	2054
RUNX1.hg38.10000	SREBF2.hg38.10000	10000	30	1782
RUNX1.hg38.10000	ZNF792.hg38.10000	10000	30	1304
RUNX1.hg38.10000	MYNN.hg38.10000	10000	30	1025
RUNX1.hg38.10000	NRF1.hg38.10000	10000	29	2215
RUNX1.hg38.10000	ZBTB26.hg38.10000	10000	29	1952
RUNX1.hg38.10000	ZNF574.hg38.10000	10000	29	1693
RUNX1.hg38.10000	BACH1.hg38.10000	10000	29	1600
RUNX1.hg38.10000	MYRF.hg38.10000	10000	29	1530
RUNX1.hg38.10000	ZNF217.hg38.10000	10000	29	1405
RUNX1.hg38.10000	TFE3.hg38.10000	10000	29	1073
RUNX1.hg38.10000	CXXC1.hg38.10000	10000	28	2509
RUNX1.hg38.10000	ELF4.hg38.10000	10000	28	2328
RUNX1.hg38.10000	EHF.hg38.10000	10000	28	1585
RUNX1.hg38.10000	ZBTB17.hg38.10000	10000	28	1383
RUNX1.hg38.10000	ARNT.hg38.10000	10000	28	1339
RUNX1.hg38.10000	TCF7L2.hg38.10000	10000	28	1228
RUNX1.hg38.10000	ZEB2.hg38.10000	10000	28	1128
RUNX1.hg38.10000	FOXO3.hg38.10000	10000	28	1102
RUNX1.hg38.10000	MECP2.hg38.10000	10000	28	694
RUNX1.hg38.10000	KMT2A.hg38.10000	10000	27	2424
RUNX1.hg38.10000	KLF4.hg38.10000	10000	27	1591
RUNX1.hg38.10000	POU3F2.hg38.10000	10000	27	1355
RUNX1.hg38.10000	IKZF5.hg38.10000	10000	27	1282
RUNX1.hg38.10000	IRF3.hg38.10000	10000	27	1060
RUNX1.hg38.10000	KLF6.hg38.10000	10000	26	2117
RUNX1.hg38.10000	ZBTB7A.hg38.10000	10000	26	2010
RUNX1.hg38.10000	ZFP42.hg38.10000	10000	26	1948
RUNX1.hg38.10000	SP5.hg38.10000	10000	26	1794
RUNX1.hg38.10000	USF1.hg38.10000	10000	26	1536
RUNX1.hg38.10000	PBX3.hg38.10000	10000	26	1397
RUNX1.hg38.10000	ZSCAN22.hg38.10000	10000	26	1370
RUNX1.hg38.10000	NFATC3.hg38.10000	10000	26	1176
RUNX1.hg38.10000	CEBPD.hg38.10000	10000	26	1142
