TF_a	TF_b	num_site_TF_b	exact	window
SCRT1.hg38.10000	SCRT1.hg38.10000	10000	10000	10000
SCRT1.hg38.10000	SCRT2.hg38.10000	10000	241	3317
SCRT1.hg38.10000	SNAI2.hg38.10000	10000	39	702
SCRT1.hg38.10000	TFAP4.hg38.10000	10000	14	448
SCRT1.hg38.10000	ZNF574.hg38.10000	10000	11	464
SCRT1.hg38.10000	MYOD1.hg38.10000	10000	11	402
SCRT1.hg38.10000	ZEB1.hg38.10000	10000	10	502
SCRT1.hg38.10000	TCF3.hg38.10000	10000	9	338
SCRT1.hg38.10000	TCF12.hg38.10000	10000	8	401
SCRT1.hg38.10000	ZNF324.hg38.10000	10000	8	387
SCRT1.hg38.10000	ZEB2.hg38.10000	10000	8	351
SCRT1.hg38.10000	TCF4.hg38.10000	10000	8	315
SCRT1.hg38.10000	CTCF.hg38.10000	10000	7	452
SCRT1.hg38.10000	OSR2.hg38.10000	10000	7	377
SCRT1.hg38.10000	ZNF444.hg38.10000	10000	7	376
SCRT1.hg38.10000	CTCFL.hg38.10000	10000	7	346
SCRT1.hg38.10000	ZBTB33.hg38.10000	10000	7	297
SCRT1.hg38.10000	CREB1.hg38.10000	10000	6	432
SCRT1.hg38.10000	MYC.hg38.10000	10000	6	404
SCRT1.hg38.10000	GLIS2.hg38.10000	10000	6	395
SCRT1.hg38.10000	FEZF1.hg38.10000	10000	6	361
SCRT1.hg38.10000	FOXM1.hg38.10000	10000	6	358
SCRT1.hg38.10000	ZNF143.hg38.10000	10000	6	355
SCRT1.hg38.10000	GMEB2.hg38.10000	10000	6	340
SCRT1.hg38.10000	IRF2.hg38.10000	10000	6	336
SCRT1.hg38.10000	SP7.hg38.10000	10000	6	327
SCRT1.hg38.10000	FOXK2.hg38.10000	10000	6	306
SCRT1.hg38.10000	ZNF580.hg38.10000	10000	6	305
SCRT1.hg38.10000	MYF5.hg38.10000	10000	6	234
SCRT1.hg38.10000	REST.hg38.10000	10000	6	215
SCRT1.hg38.10000	GRHL2.hg38.10000	10000	6	200
SCRT1.hg38.10000	ZNF778.hg38.10000	10000	5	387
SCRT1.hg38.10000	FOXP1.hg38.10000	10000	5	339
SCRT1.hg38.10000	SP5.hg38.10000	10000	5	335
SCRT1.hg38.10000	ASCL1.hg38.10000	10000	5	327
SCRT1.hg38.10000	MYRF.hg38.10000	10000	5	315
SCRT1.hg38.10000	KLF16.hg38.10000	10000	5	304
SCRT1.hg38.10000	RXRA.hg38.10000	10000	5	297
SCRT1.hg38.10000	SOX4.hg38.10000	10000	5	283
SCRT1.hg38.10000	FOXK1.hg38.10000	10000	5	266
SCRT1.hg38.10000	RUNX1.hg38.10000	10000	5	263
SCRT1.hg38.10000	ZNF554.hg38.10000	10000	5	262
SCRT1.hg38.10000	EHF.hg38.10000	10000	5	255
SCRT1.hg38.10000	ZBTB17.hg38.10000	10000	5	253
SCRT1.hg38.10000	MYB.hg38.10000	10000	5	247
SCRT1.hg38.10000	BCL6.hg38.10000	10000	5	244
SCRT1.hg38.10000	SREBF2.hg38.10000	10000	5	236
SCRT1.hg38.10000	TFE3.hg38.10000	10000	5	230
SCRT1.hg38.10000	TP53.hg38.10000	10000	5	220
SCRT1.hg38.10000	NR3C1.hg38.10000	10000	5	191
SCRT1.hg38.10000	ATF4.hg38.10000	10000	5	111
SCRT1.hg38.10000	MAZ.hg38.10000	10000	4	439
SCRT1.hg38.10000	MAX.hg38.10000	10000	4	425
SCRT1.hg38.10000	CREM.hg38.10000	10000	4	371
SCRT1.hg38.10000	ZNF18.hg38.10000	10000	4	368
SCRT1.hg38.10000	ATF1.hg38.10000	10000	4	363
SCRT1.hg38.10000	NFYC.hg38.10000	10000	4	350
SCRT1.hg38.10000	MNT.hg38.10000	10000	4	349
SCRT1.hg38.10000	ERG.hg38.10000	10000	4	348
SCRT1.hg38.10000	BCL11B.hg38.10000	10000	4	336
SCRT1.hg38.10000	STAT1.hg38.10000	10000	4	335
SCRT1.hg38.10000	KMT2A.hg38.10000	10000	4	328
SCRT1.hg38.10000	HIF1A.hg38.10000	10000	4	328
SCRT1.hg38.10000	USF1.hg38.10000	10000	4	308
SCRT1.hg38.10000	ATF3.hg38.10000	10000	4	304
SCRT1.hg38.10000	USF2.hg38.10000	10000	4	292
SCRT1.hg38.10000	HIF3A.hg38.10000	10000	4	289
SCRT1.hg38.10000	IKZF5.hg38.10000	10000	4	288
SCRT1.hg38.10000	ELF4.hg38.10000	10000	4	279
SCRT1.hg38.10000	ZSCAN22.hg38.10000	10000	4	274
SCRT1.hg38.10000	GLIS1.hg38.10000	10000	4	263
SCRT1.hg38.10000	MSC.hg38.10000	10000	4	253
SCRT1.hg38.10000	ZNF467.hg38.10000	10000	4	251
SCRT1.hg38.10000	TEAD3.hg38.10000	10000	4	245
SCRT1.hg38.10000	ZFP1.hg38.10000	10000	4	244
SCRT1.hg38.10000	STAT5B.hg38.10000	10000	4	215
SCRT1.hg38.10000	FOXP3.hg38.10000	10000	4	205
SCRT1.hg38.10000	ZKSCAN1.hg38.10000	10000	4	197
SCRT1.hg38.10000	RXRB.hg38.10000	10000	4	193
SCRT1.hg38.10000	NFE2.hg38.10000	10000	4	192
SCRT1.hg38.10000	ZNF382.hg38.10000	10000	4	179
SCRT1.hg38.10000	NFKB2.hg38.10000	10000	4	162
SCRT1.hg38.10000	TP63.hg38.10000	10000	4	161
SCRT1.hg38.10000	EGR2.hg38.10000	10000	4	158
SCRT1.hg38.10000	FOXA3.hg38.10000	10000	4	142
SCRT1.hg38.10000	MEIS2.hg38.10000	10000	4	128
SCRT1.hg38.10000	PATZ1.hg38.10000	10000	3	407
SCRT1.hg38.10000	SP2.hg38.10000	10000	3	399
SCRT1.hg38.10000	MYCN.hg38.10000	10000	3	382
SCRT1.hg38.10000	SP1.hg38.10000	10000	3	377
SCRT1.hg38.10000	YY1.hg38.10000	10000	3	367
SCRT1.hg38.10000	TBP.hg38.10000	10000	3	362
SCRT1.hg38.10000	NFYA.hg38.10000	10000	3	359
SCRT1.hg38.10000	ZBTB42.hg38.10000	10000	3	356
SCRT1.hg38.10000	SRF.hg38.10000	10000	3	352
SCRT1.hg38.10000	RFX5.hg38.10000	10000	3	351
SCRT1.hg38.10000	KLF11.hg38.10000	10000	3	333
SCRT1.hg38.10000	ETS1.hg38.10000	10000	3	329
SCRT1.hg38.10000	ELK4.hg38.10000	10000	3	328
SCRT1.hg38.10000	KLF6.hg38.10000	10000	3	315
SCRT1.hg38.10000	JUN.hg38.10000	10000	3	302
SCRT1.hg38.10000	ZIC2.hg38.10000	10000	3	300
SCRT1.hg38.10000	E2F6.hg38.10000	10000	3	293
SCRT1.hg38.10000	MYNN.hg38.10000	10000	3	289
SCRT1.hg38.10000	PKNOX1.hg38.10000	10000	3	286
SCRT1.hg38.10000	ZNF792.hg38.10000	10000	3	282
SCRT1.hg38.10000	RARA.hg38.10000	10000	3	282
SCRT1.hg38.10000	ZFP42.hg38.10000	10000	3	276
SCRT1.hg38.10000	TRPS1.hg38.10000	10000	3	270
SCRT1.hg38.10000	ZNF3.hg38.10000	10000	3	265
SCRT1.hg38.10000	ZBTB11.hg38.10000	10000	3	255
SCRT1.hg38.10000	PLAG1.hg38.10000	10000	3	250
SCRT1.hg38.10000	MYBL2.hg38.10000	10000	3	249
SCRT1.hg38.10000	MIXL1.hg38.10000	10000	3	248
SCRT1.hg38.10000	E2F8.hg38.10000	10000	3	244
SCRT1.hg38.10000	VDR.hg38.10000	10000	3	240
SCRT1.hg38.10000	JUND.hg38.10000	10000	3	234
SCRT1.hg38.10000	ERF.hg38.10000	10000	3	228
SCRT1.hg38.10000	MBD2.hg38.10000	10000	3	225
SCRT1.hg38.10000	MLX.hg38.10000	10000	3	220
SCRT1.hg38.10000	NR1H2.hg38.10000	10000	3	215
SCRT1.hg38.10000	CLOCK.hg38.10000	10000	3	210
SCRT1.hg38.10000	SPDEF.hg38.10000	10000	3	208
SCRT1.hg38.10000	PPARG.hg38.10000	10000	3	206
SCRT1.hg38.10000	NR2F1.hg38.10000	10000	3	205
SCRT1.hg38.10000	ZNF652.hg38.10000	10000	3	195
SCRT1.hg38.10000	MYOG.hg38.10000	10000	3	190
SCRT1.hg38.10000	PBX2.hg38.10000	10000	3	189
SCRT1.hg38.10000	STAT4.hg38.10000	10000	3	182
SCRT1.hg38.10000	ESRRA.hg38.10000	10000	3	177
SCRT1.hg38.10000	IRF1.hg38.10000	10000	3	175
SCRT1.hg38.10000	IRF3.hg38.10000	10000	3	174
SCRT1.hg38.10000	BACH2.hg38.10000	10000	3	173
SCRT1.hg38.10000	NFKB1.hg38.10000	10000	3	164
SCRT1.hg38.10000	SMAD3.hg38.10000	10000	3	163
SCRT1.hg38.10000	NEUROG2.hg38.10000	10000	3	161
SCRT1.hg38.10000	FOSL1.hg38.10000	10000	3	150
SCRT1.hg38.10000	MECP2.hg38.10000	10000	3	149
SCRT1.hg38.10000	ZNF184.hg38.10000	10000	3	147
SCRT1.hg38.10000	GATA3.hg38.10000	10000	3	147
SCRT1.hg38.10000	HMG20A.hg38.10000	10000	3	144
SCRT1.hg38.10000	CEBPG.hg38.10000	10000	3	142
