TF_a	TF_b	num_site_TF_b	exact	window
SNAI2.hg38.10000	SNAI2.hg38.10000	10000	10000	10000
SNAI2.hg38.10000	ASCL1.hg38.10000	10000	85	1247
SNAI2.hg38.10000	MYOD1.hg38.10000	10000	58	1079
SNAI2.hg38.10000	SCRT1.hg38.10000	10000	39	703
SNAI2.hg38.10000	ZEB1.hg38.10000	10000	33	1721
SNAI2.hg38.10000	SCRT2.hg38.10000	10000	29	623
SNAI2.hg38.10000	TCF3.hg38.10000	10000	26	984
SNAI2.hg38.10000	TCF4.hg38.10000	10000	26	821
SNAI2.hg38.10000	TFAP4.hg38.10000	10000	23	908
SNAI2.hg38.10000	TCF12.hg38.10000	10000	16	1132
SNAI2.hg38.10000	MAX.hg38.10000	10000	14	1101
SNAI2.hg38.10000	E2F6.hg38.10000	10000	14	946
SNAI2.hg38.10000	ZEB2.hg38.10000	10000	13	808
SNAI2.hg38.10000	MYF5.hg38.10000	10000	12	457
SNAI2.hg38.10000	BCL11B.hg38.10000	10000	11	969
SNAI2.hg38.10000	ZFX.hg38.10000	10000	9	1039
SNAI2.hg38.10000	ZBTB20.hg38.10000	10000	9	743
SNAI2.hg38.10000	HIC1.hg38.10000	10000	9	556
SNAI2.hg38.10000	PROX1.hg38.10000	10000	9	479
SNAI2.hg38.10000	SP1.hg38.10000	10000	8	1209
SNAI2.hg38.10000	KMT2A.hg38.10000	10000	8	1025
SNAI2.hg38.10000	ELF1.hg38.10000	10000	8	999
SNAI2.hg38.10000	NFYA.hg38.10000	10000	8	954
SNAI2.hg38.10000	TFDP1.hg38.10000	10000	8	944
SNAI2.hg38.10000	KLF4.hg38.10000	10000	8	818
SNAI2.hg38.10000	ZNF217.hg38.10000	10000	8	625
SNAI2.hg38.10000	E2F1.hg38.10000	10000	7	1206
SNAI2.hg38.10000	MYC.hg38.10000	10000	7	1150
SNAI2.hg38.10000	NRF1.hg38.10000	10000	7	1069
SNAI2.hg38.10000	MXI1.hg38.10000	10000	7	963
SNAI2.hg38.10000	HEY1.hg38.10000	10000	7	875
SNAI2.hg38.10000	SP5.hg38.10000	10000	7	865
SNAI2.hg38.10000	CTCFL.hg38.10000	10000	7	846
SNAI2.hg38.10000	ZNF143.hg38.10000	10000	7	787
SNAI2.hg38.10000	TP63.hg38.10000	10000	7	709
SNAI2.hg38.10000	RARA.hg38.10000	10000	7	667
SNAI2.hg38.10000	USF1.hg38.10000	10000	7	634
SNAI2.hg38.10000	ZNF580.hg38.10000	10000	7	581
SNAI2.hg38.10000	MYB.hg38.10000	10000	7	507
SNAI2.hg38.10000	ZBTB42.hg38.10000	10000	7	503
SNAI2.hg38.10000	TFE3.hg38.10000	10000	7	501
SNAI2.hg38.10000	MAZ.hg38.10000	10000	6	988
SNAI2.hg38.10000	ERG.hg38.10000	10000	6	972
SNAI2.hg38.10000	CXXC1.hg38.10000	10000	6	972
SNAI2.hg38.10000	RBPJ.hg38.10000	10000	6	913
SNAI2.hg38.10000	TCF7L1.hg38.10000	10000	6	905
SNAI2.hg38.10000	PATZ1.hg38.10000	10000	6	873
SNAI2.hg38.10000	BHLHE40.hg38.10000	10000	6	849
SNAI2.hg38.10000	YY1.hg38.10000	10000	6	814
SNAI2.hg38.10000	HIF1A.hg38.10000	10000	6	814
