TF_a	TF_b	num_site_TF_b	exact	window
SOX6.hg38.10000	SOX6.hg38.10000	10000	10000	10000
SOX6.hg38.10000	GATA1.hg38.10000	10000	194	3457
SOX6.hg38.10000	TAL1.hg38.10000	10000	176	3199
SOX6.hg38.10000	CEBPD.hg38.10000	10000	153	3254
SOX6.hg38.10000	SMAD1.hg38.10000	10000	145	2821
SOX6.hg38.10000	STAT5A.hg38.10000	10000	130	2455
SOX6.hg38.10000	ZEB2.hg38.10000	10000	104	2568
SOX6.hg38.10000	KLF16.hg38.10000	10000	96	1905
SOX6.hg38.10000	GATA2.hg38.10000	10000	96	1632
SOX6.hg38.10000	HES1.hg38.10000	10000	81	1447
SOX6.hg38.10000	FOXK2.hg38.10000	10000	51	1610
SOX6.hg38.10000	GATA4.hg38.10000	10000	50	1150
SOX6.hg38.10000	GATA6.hg38.10000	10000	48	1082
SOX6.hg38.10000	NFE2.hg38.10000	10000	47	1454
SOX6.hg38.10000	TCF12.hg38.10000	10000	46	1177
SOX6.hg38.10000	MYNN.hg38.10000	10000	44	1631
SOX6.hg38.10000	MEIS2.hg38.10000	10000	37	1483
SOX6.hg38.10000	ARNT.hg38.10000	10000	36	1076
SOX6.hg38.10000	STAT2.hg38.10000	10000	35	1197
SOX6.hg38.10000	FOS.hg38.10000	10000	35	1021
SOX6.hg38.10000	FOXO3.hg38.10000	10000	35	985
SOX6.hg38.10000	ATF3.hg38.10000	10000	34	931
SOX6.hg38.10000	ZNF24.hg38.10000	10000	33	777
SOX6.hg38.10000	JUND.hg38.10000	10000	31	782
SOX6.hg38.10000	HMBOX1.hg38.10000	10000	29	1431
SOX6.hg38.10000	E4F1.hg38.10000	10000	29	1301
SOX6.hg38.10000	VEZF1.hg38.10000	10000	27	1000
SOX6.hg38.10000	NR2F6.hg38.10000	10000	27	594
SOX6.hg38.10000	SOX13.hg38.10000	10000	26	689
SOX6.hg38.10000	ZBTB7A.hg38.10000	10000	25	1256
SOX6.hg38.10000	BACH1.hg38.10000	10000	25	1114
SOX6.hg38.10000	MYBL2.hg38.10000	10000	25	703
SOX6.hg38.10000	MECOM.hg38.10000	10000	24	942
SOX6.hg38.10000	RUNX1.hg38.10000	10000	24	825
SOX6.hg38.10000	JUN.hg38.10000	10000	23	963
SOX6.hg38.10000	MYB.hg38.10000	10000	23	701
