TF_a	TF_b	num_site_TF_b	exact	window
SP4.hg38.10000	SP4.hg38.10000	10000	10000	10000
SP4.hg38.10000	SP1.hg38.10000	10000	188	4784
SP4.hg38.10000	SP2.hg38.10000	10000	157	4077
SP4.hg38.10000	KLF15.hg38.10000	10000	156	3798
SP4.hg38.10000	SP5.hg38.10000	10000	126	3322
SP4.hg38.10000	KLF5.hg38.10000	10000	97	3173
SP4.hg38.10000	MAZ.hg38.10000	10000	87	3324
SP4.hg38.10000	KLF11.hg38.10000	10000	86	3469
SP4.hg38.10000	ZNF778.hg38.10000	10000	86	1627
SP4.hg38.10000	KLF9.hg38.10000	10000	76	3594
SP4.hg38.10000	KLF1.hg38.10000	10000	74	2721
SP4.hg38.10000	RBPJ.hg38.10000	10000	69	2800
SP4.hg38.10000	KLF10.hg38.10000	10000	67	2760
SP4.hg38.10000	NFYC.hg38.10000	10000	64	2741
SP4.hg38.10000	CREB1.hg38.10000	10000	63	3227
SP4.hg38.10000	NFYA.hg38.10000	10000	60	2951
SP4.hg38.10000	RELA.hg38.10000	10000	57	1730
SP4.hg38.10000	CREM.hg38.10000	10000	56	2619
SP4.hg38.10000	ZSCAN22.hg38.10000	10000	56	2095
SP4.hg38.10000	KLF4.hg38.10000	10000	54	2109
SP4.hg38.10000	KLF16.hg38.10000	10000	52	1598
SP4.hg38.10000	VDR.hg38.10000	10000	52	1389
SP4.hg38.10000	SIX5.hg38.10000	10000	51	2279
SP4.hg38.10000	ZBTB33.hg38.10000	10000	51	1851
SP4.hg38.10000	E2F4.hg38.10000	10000	50	2789
SP4.hg38.10000	MAX.hg38.10000	10000	49	3114
SP4.hg38.10000	GMEB2.hg38.10000	10000	48	2907
SP4.hg38.10000	GABPA.hg38.10000	10000	48	2770
SP4.hg38.10000	ATF1.hg38.10000	10000	48	2134
SP4.hg38.10000	IRF3.hg38.10000	10000	48	1392
SP4.hg38.10000	E2F1.hg38.10000	10000	47	3589
SP4.hg38.10000	EGR1.hg38.10000	10000	47	2638
SP4.hg38.10000	PATZ1.hg38.10000	10000	47	2632
SP4.hg38.10000	STAT1.hg38.10000	10000	47	2045
SP4.hg38.10000	ELF1.hg38.10000	10000	46	3003
SP4.hg38.10000	LEF1.hg38.10000	10000	46	2247
SP4.hg38.10000	ZFP42.hg38.10000	10000	45	2458
SP4.hg38.10000	ETS1.hg38.10000	10000	45	2208
SP4.hg38.10000	ZNF324.hg38.10000	10000	45	1377
SP4.hg38.10000	ERG.hg38.10000	10000	44	2637
SP4.hg38.10000	STAT3.hg38.10000	10000	44	1266
SP4.hg38.10000	ZNF143.hg38.10000	10000	43	2092
SP4.hg38.10000	ZNF574.hg38.10000	10000	43	1699
SP4.hg38.10000	IRF1.hg38.10000	10000	43	1255
SP4.hg38.10000	TFDP1.hg38.10000	10000	42	2483
SP4.hg38.10000	RFX5.hg38.10000	10000	42	1923
SP4.hg38.10000	SOX9.hg38.10000	10000	42	1831
SP4.hg38.10000	FOXP1.hg38.10000	10000	41	1912
SP4.hg38.10000	RXRA.hg38.10000	10000	41	1799
SP4.hg38.10000	RUNX1.hg38.10000	10000	40	1849
SP4.hg38.10000	TCF12.hg38.10000	10000	39	1913
SP4.hg38.10000	THAP11.hg38.10000	10000	38	1997
SP4.hg38.10000	ZNF580.hg38.10000	10000	38	1406
SP4.hg38.10000	BCL11B.hg38.10000	10000	37	2535
SP4.hg38.10000	ZBTB7A.hg38.10000	10000	37	2398
SP4.hg38.10000	VEZF1.hg38.10000	10000	37	1958
SP4.hg38.10000	FOXM1.hg38.10000	10000	37	1483
SP4.hg38.10000	MYCN.hg38.10000	10000	35	2664
SP4.hg38.10000	IRF2.hg38.10000	10000	35	1701
SP4.hg38.10000	MYC.hg38.10000	10000	34	3204
SP4.hg38.10000	ZBTB26.hg38.10000	10000	34	2686
SP4.hg38.10000	MYRF.hg38.10000	10000	34	1758
SP4.hg38.10000	MBD2.hg38.10000	10000	34	1683
SP4.hg38.10000	ETV1.hg38.10000	10000	33	2104
SP4.hg38.10000	HIF1A.hg38.10000	10000	33	1804
SP4.hg38.10000	IKZF5.hg38.10000	10000	33	1336
SP4.hg38.10000	BCL6.hg38.10000	10000	33	1139
SP4.hg38.10000	ZNF341.hg38.10000	10000	32	1741
SP4.hg38.10000	PKNOX1.hg38.10000	10000	32	1587
SP4.hg38.10000	SREBF2.hg38.10000	10000	32	1440
SP4.hg38.10000	MNT.hg38.10000	10000	31	2213
SP4.hg38.10000	REL.hg38.10000	10000	31	1385
SP4.hg38.10000	ZNF467.hg38.10000	10000	31	1213
SP4.hg38.10000	TP53.hg38.10000	10000	31	822
SP4.hg38.10000	MXI1.hg38.10000	10000	30	2805
SP4.hg38.10000	PBX3.hg38.10000	10000	30	1455
SP4.hg38.10000	TBP.hg38.10000	10000	29	3122
SP4.hg38.10000	E4F1.hg38.10000	10000	29	1905
SP4.hg38.10000	ZBTB11.hg38.10000	10000	29	1710
SP4.hg38.10000	ZNF444.hg38.10000	10000	29	1456
SP4.hg38.10000	ZBTB17.hg38.10000	10000	29	1422
SP4.hg38.10000	YY1.hg38.10000	10000	28	2665
SP4.hg38.10000	ELK3.hg38.10000	10000	28	1622
SP4.hg38.10000	KLF6.hg38.10000	10000	27	2266
SP4.hg38.10000	ZNF701.hg38.10000	10000	27	1006
SP4.hg38.10000	ZKSCAN1.hg38.10000	10000	27	982
SP4.hg38.10000	MYNN.hg38.10000	10000	27	906
SP4.hg38.10000	NRF1.hg38.10000	10000	26	2745
SP4.hg38.10000	ZBTB14.hg38.10000	10000	26	2639
SP4.hg38.10000	USF1.hg38.10000	10000	26	1612
SP4.hg38.10000	TRPS1.hg38.10000	10000	26	1161
SP4.hg38.10000	EGR3.hg38.10000	10000	26	654
SP4.hg38.10000	SMAD4.hg38.10000	10000	25	1382
SP4.hg38.10000	JUN.hg38.10000	10000	25	1363
SP4.hg38.10000	SRF.hg38.10000	10000	25	1285
SP4.hg38.10000	PBX2.hg38.10000	10000	25	924
SP4.hg38.10000	GLIS2.hg38.10000	10000	24	2390
SP4.hg38.10000	BHLHE40.hg38.10000	10000	24	1979
SP4.hg38.10000	RARA.hg38.10000	10000	24	1729
SP4.hg38.10000	SOX4.hg38.10000	10000	24	1695
SP4.hg38.10000	FLI1.hg38.10000	10000	24	1588
SP4.hg38.10000	CTCFL.hg38.10000	10000	24	1549
SP4.hg38.10000	USF2.hg38.10000	10000	24	1447
SP4.hg38.10000	SOX2.hg38.10000	10000	24	477
SP4.hg38.10000	ETV5.hg38.10000	10000	23	2292
SP4.hg38.10000	ELK4.hg38.10000	10000	23	1990
SP4.hg38.10000	FOXK2.hg38.10000	10000	23	1450
SP4.hg38.10000	ZNF792.hg38.10000	10000	23	1327
SP4.hg38.10000	REST.hg38.10000	10000	23	1315
SP4.hg38.10000	POU3F2.hg38.10000	10000	23	1160
SP4.hg38.10000	MYBL2.hg38.10000	10000	23	1052
SP4.hg38.10000	CXXC1.hg38.10000	10000	22	2869
SP4.hg38.10000	E2F6.hg38.10000	10000	22	2421
SP4.hg38.10000	HOXA6.hg38.10000	10000	22	2193
SP4.hg38.10000	NR2C2.hg38.10000	10000	22	1481
SP4.hg38.10000	SETDB1.hg38.10000	10000	22	1350
SP4.hg38.10000	STAT5A.hg38.10000	10000	22	1011
SP4.hg38.10000	SPDEF.hg38.10000	10000	22	746
SP4.hg38.10000	ZNF680.hg38.10000	10000	22	332
SP4.hg38.10000	ZBTB6.hg38.10000	10000	21	1111
SP4.hg38.10000	ZFHX2.hg38.10000	10000	21	1089
SP4.hg38.10000	TFE3.hg38.10000	10000	21	1060
SP4.hg38.10000	ARNTL.hg38.10000	10000	21	871
SP4.hg38.10000	ETV4.hg38.10000	10000	20	1469
SP4.hg38.10000	ZEB1.hg38.10000	10000	20	1455
SP4.hg38.10000	ZSCAN9.hg38.10000	10000	20	1280
SP4.hg38.10000	ZNF18.hg38.10000	10000	20	1050
SP4.hg38.10000	EHF.hg38.10000	10000	20	1003
SP4.hg38.10000	TET3.hg38.10000	10000	20	933
