TF_a	TF_b	num_site_TF_b	exact	window
STAT5A.hg38.10000	STAT5A.hg38.10000	10000	10000	10000
STAT5A.hg38.10000	CEBPD.hg38.10000	10000	272	3350
STAT5A.hg38.10000	TAL1.hg38.10000	10000	264	3163
STAT5A.hg38.10000	GATA1.hg38.10000	10000	230	2954
STAT5A.hg38.10000	SMAD1.hg38.10000	10000	209	3036
STAT5A.hg38.10000	KLF16.hg38.10000	10000	164	2475
STAT5A.hg38.10000	SOX6.hg38.10000	10000	130	2484
STAT5A.hg38.10000	STAT1.hg38.10000	10000	123	2694
STAT5A.hg38.10000	STAT5B.hg38.10000	10000	120	3183
STAT5A.hg38.10000	TCF12.hg38.10000	10000	108	2498
STAT5A.hg38.10000	GATA2.hg38.10000	10000	104	1442
STAT5A.hg38.10000	BCL6.hg38.10000	10000	100	1978
STAT5A.hg38.10000	MYNN.hg38.10000	10000	85	1828
STAT5A.hg38.10000	STAT3.hg38.10000	10000	84	1821
STAT5A.hg38.10000	VDR.hg38.10000	10000	83	1762
STAT5A.hg38.10000	LYL1.hg38.10000	10000	83	1619
STAT5A.hg38.10000	RUNX1.hg38.10000	10000	76	2504
STAT5A.hg38.10000	RBPJ.hg38.10000	10000	76	1857
STAT5A.hg38.10000	ZBTB33.hg38.10000	10000	75	1734
STAT5A.hg38.10000	STAT2.hg38.10000	10000	74	2186
STAT5A.hg38.10000	IRF1.hg38.10000	10000	74	1510
STAT5A.hg38.10000	RELA.hg38.10000	10000	73	1878
STAT5A.hg38.10000	RXRA.hg38.10000	10000	72	1937
STAT5A.hg38.10000	ETV6.hg38.10000	10000	72	1675
STAT5A.hg38.10000	TBX21.hg38.10000	10000	68	1982
STAT5A.hg38.10000	ZEB2.hg38.10000	10000	67	1970
STAT5A.hg38.10000	LEF1.hg38.10000	10000	67	1424
STAT5A.hg38.10000	FOXM1.hg38.10000	10000	63	1419
STAT5A.hg38.10000	TP53.hg38.10000	10000	63	1120
STAT5A.hg38.10000	MYB.hg38.10000	10000	62	1905
STAT5A.hg38.10000	RARA.hg38.10000	10000	62	1547
STAT5A.hg38.10000	SIX5.hg38.10000	10000	61	1811
STAT5A.hg38.10000	ZNF143.hg38.10000	10000	59	1509
STAT5A.hg38.10000	MECOM.hg38.10000	10000	58	1978
STAT5A.hg38.10000	STAT6.hg38.10000	10000	58	1505
STAT5A.hg38.10000	STAT4.hg38.10000	10000	56	2076
STAT5A.hg38.10000	GABPA.hg38.10000	10000	56	1784
STAT5A.hg38.10000	IRF4.hg38.10000	10000	56	1344
STAT5A.hg38.10000	CREM.hg38.10000	10000	55	1963
STAT5A.hg38.10000	FOXO3.hg38.10000	10000	53	1372
STAT5A.hg38.10000	FOXO1.hg38.10000	10000	53	1251
STAT5A.hg38.10000	CREB1.hg38.10000	10000	52	1817
STAT5A.hg38.10000	POU2F2.hg38.10000	10000	52	1515
STAT5A.hg38.10000	IRF2.hg38.10000	10000	52	1369
STAT5A.hg38.10000	NFE2.hg38.10000	10000	51	1565
STAT5A.hg38.10000	HIF1A.hg38.10000	10000	51	1476
STAT5A.hg38.10000	MAF.hg38.10000	10000	50	1692
STAT5A.hg38.10000	BCL11A.hg38.10000	10000	49	1499
STAT5A.hg38.10000	NR2C2.hg38.10000	10000	49	1259
STAT5A.hg38.10000	ZNF574.hg38.10000	10000	49	1197
STAT5A.hg38.10000	ETS1.hg38.10000	10000	46	1940
STAT5A.hg38.10000	FOXP1.hg38.10000	10000	46	1679
STAT5A.hg38.10000	ARNT.hg38.10000	10000	46	1534
STAT5A.hg38.10000	REL.hg38.10000	10000	46	1355
STAT5A.hg38.10000	RARG.hg38.10000	10000	46	671
STAT5A.hg38.10000	ZNF184.hg38.10000	10000	45	934
STAT5A.hg38.10000	FOXP3.hg38.10000	10000	44	1799
STAT5A.hg38.10000	ZNF341.hg38.10000	10000	44	1082
STAT5A.hg38.10000	MBD2.hg38.10000	10000	43	1220
STAT5A.hg38.10000	CXXC1.hg38.10000	10000	41	1543
STAT5A.hg38.10000	RUNX3.hg38.10000	10000	41	1119
STAT5A.hg38.10000	ERG.hg38.10000	10000	40	1852
STAT5A.hg38.10000	KLF10.hg38.10000	10000	39	1658
STAT5A.hg38.10000	HES1.hg38.10000	10000	39	1288
STAT5A.hg38.10000	PAX5.hg38.10000	10000	39	1259
STAT5A.hg38.10000	ZNF324.hg38.10000	10000	39	1138
STAT5A.hg38.10000	PATZ1.hg38.10000	10000	39	1050
STAT5A.hg38.10000	ZEB1.hg38.10000	10000	39	964
STAT5A.hg38.10000	ZNF792.hg38.10000	10000	39	883
STAT5A.hg38.10000	POU5F1.hg38.10000	10000	39	645
STAT5A.hg38.10000	ELF4.hg38.10000	10000	38	1728
STAT5A.hg38.10000	TCF3.hg38.10000	10000	38	1723
STAT5A.hg38.10000	ZBTB11.hg38.10000	10000	38	1369
STAT5A.hg38.10000	SREBF2.hg38.10000	10000	37	1098
STAT5A.hg38.10000	TCF7L2.hg38.10000	10000	37	1017
STAT5A.hg38.10000	ZKSCAN1.hg38.10000	10000	37	935
STAT5A.hg38.10000	YY1.hg38.10000	10000	36	1700
STAT5A.hg38.10000	FLI1.hg38.10000	10000	36	1544
STAT5A.hg38.10000	RELB.hg38.10000	10000	36	1070
STAT5A.hg38.10000	IKZF2.hg38.10000	10000	36	1050
STAT5A.hg38.10000	ELF1.hg38.10000	10000	35	1750
STAT5A.hg38.10000	SP1.hg38.10000	10000	35	1654
STAT5A.hg38.10000	ETV1.hg38.10000	10000	35	1510
STAT5A.hg38.10000	REST.hg38.10000	10000	35	948
STAT5A.hg38.10000	ZNF778.hg38.10000	10000	35	772
STAT5A.hg38.10000	EPAS1.hg38.10000	10000	35	746
STAT5A.hg38.10000	XBP1.hg38.10000	10000	35	656
STAT5A.hg38.10000	ZBTB7A.hg38.10000	10000	34	1919
STAT5A.hg38.10000	E4F1.hg38.10000	10000	34	1795
STAT5A.hg38.10000	JUN.hg38.10000	10000	34	1471
STAT5A.hg38.10000	VEZF1.hg38.10000	10000	34	1425
STAT5A.hg38.10000	IKZF1.hg38.10000	10000	34	1371
STAT5A.hg38.10000	BHLHE40.hg38.10000	10000	34	1369
STAT5A.hg38.10000	ZFP42.hg38.10000	10000	34	1242
STAT5A.hg38.10000	SRF.hg38.10000	10000	34	1066
STAT5A.hg38.10000	ASCL1.hg38.10000	10000	34	475
STAT5A.hg38.10000	GMEB2.hg38.10000	10000	33	1647
STAT5A.hg38.10000	ZBTB16.hg38.10000	10000	33	1269
STAT5A.hg38.10000	KLF5.hg38.10000	10000	32	1468
STAT5A.hg38.10000	THAP11.hg38.10000	10000	32	1333
STAT5A.hg38.10000	TBP.hg38.10000	10000	31	1790
STAT5A.hg38.10000	NFYA.hg38.10000	10000	31	1709
STAT5A.hg38.10000	MXI1.hg38.10000	10000	31	1622
STAT5A.hg38.10000	KLF6.hg38.10000	10000	31	1306
STAT5A.hg38.10000	HMBOX1.hg38.10000	10000	31	1135
STAT5A.hg38.10000	SOX9.hg38.10000	10000	31	1118
STAT5A.hg38.10000	RFX5.hg38.10000	10000	30	1064
STAT5A.hg38.10000	NR4A1.hg38.10000	10000	30	894
STAT5A.hg38.10000	NFKB1.hg38.10000	10000	30	735
STAT5A.hg38.10000	ZNF680.hg38.10000	10000	30	382
STAT5A.hg38.10000	BCL11B.hg38.10000	10000	29	1812
STAT5A.hg38.10000	SMAD4.hg38.10000	10000	29	1036
STAT5A.hg38.10000	FOS.hg38.10000	10000	29	923
STAT5A.hg38.10000	KMT2A.hg38.10000	10000	28	1365
STAT5A.hg38.10000	ZBTB17.hg38.10000	10000	28	1065
STAT5A.hg38.10000	ASCL2.hg38.10000	10000	28	730
STAT5A.hg38.10000	TCF7.hg38.10000	10000	28	646
STAT5A.hg38.10000	GATA6.hg38.10000	10000	28	577
STAT5A.hg38.10000	E2F4.hg38.10000	10000	27	1654
STAT5A.hg38.10000	BACH1.hg38.10000	10000	27	1500
STAT5A.hg38.10000	ATF3.hg38.10000	10000	27	1179
STAT5A.hg38.10000	ETV4.hg38.10000	10000	27	1133
STAT5A.hg38.10000	KLF4.hg38.10000	10000	27	1032
STAT5A.hg38.10000	PBX3.hg38.10000	10000	27	1003
STAT5A.hg38.10000	MEF2C.hg38.10000	10000	27	754
STAT5A.hg38.10000	GATA4.hg38.10000	10000	27	647
STAT5A.hg38.10000	ATF1.hg38.10000	10000	26	1358
STAT5A.hg38.10000	MYBL2.hg38.10000	10000	26	940
STAT5A.hg38.10000	ZNF24.hg38.10000	10000	26	934
STAT5A.hg38.10000	POU3F2.hg38.10000	10000	26	872
STAT5A.hg38.10000	ZSCAN22.hg38.10000	10000	26	869
STAT5A.hg38.10000	NFATC3.hg38.10000	10000	25	1242
STAT5A.hg38.10000	KLF1.hg38.10000	10000	25	1034
STAT5A.hg38.10000	SOX2.hg38.10000	10000	25	454
STAT5A.hg38.10000	FOXK2.hg38.10000	10000	24	1739
STAT5A.hg38.10000	HIC1.hg38.10000	10000	24	1343
STAT5A.hg38.10000	E2F8.hg38.10000	10000	24	1208
STAT5A.hg38.10000	ZBTB26.hg38.10000	10000	24	1181
STAT5A.hg38.10000	ZNF18.hg38.10000	10000	24	993
STAT5A.hg38.10000	NFKB2.hg38.10000	10000	24	872
