TF_a	TF_b	num_site_TF_b	exact	window
STAT6.hg38.10000	STAT6.hg38.10000	10000	10000	10000
STAT6.hg38.10000	RBPJ.hg38.10000	10000	76	1649
STAT6.hg38.10000	IRF1.hg38.10000	10000	72	1664
STAT6.hg38.10000	ZNF341.hg38.10000	10000	72	1078
STAT6.hg38.10000	ZEB1.hg38.10000	10000	70	945
STAT6.hg38.10000	XBP1.hg38.10000	10000	70	798
STAT6.hg38.10000	VDR.hg38.10000	10000	65	1405
STAT6.hg38.10000	TP53.hg38.10000	10000	61	938
STAT6.hg38.10000	RELA.hg38.10000	10000	59	1745
STAT6.hg38.10000	LEF1.hg38.10000	10000	59	1088
STAT6.hg38.10000	STAT5A.hg38.10000	10000	58	1560
STAT6.hg38.10000	ZNF22.hg38.10000	10000	52	314
STAT6.hg38.10000	MAF.hg38.10000	10000	51	1590
STAT6.hg38.10000	MECOM.hg38.10000	10000	49	1627
STAT6.hg38.10000	TBX21.hg38.10000	10000	49	1479
STAT6.hg38.10000	BCL6.hg38.10000	10000	48	1501
STAT6.hg38.10000	ZBTB33.hg38.10000	10000	46	1504
STAT6.hg38.10000	CXXC1.hg38.10000	10000	45	1353
STAT6.hg38.10000	HIF1A.hg38.10000	10000	45	1345
STAT6.hg38.10000	ZFP42.hg38.10000	10000	45	1149
STAT6.hg38.10000	NR2C2.hg38.10000	10000	45	1108
STAT6.hg38.10000	SOX2.hg38.10000	10000	44	474
STAT6.hg38.10000	STAT1.hg38.10000	10000	43	1609
STAT6.hg38.10000	RARG.hg38.10000	10000	43	618
STAT6.hg38.10000	ZNF184.hg38.10000	10000	42	541
STAT6.hg38.10000	STAT5B.hg38.10000	10000	40	1803
STAT6.hg38.10000	ZBTB16.hg38.10000	10000	40	1220
STAT6.hg38.10000	POU3F2.hg38.10000	10000	40	984
STAT6.hg38.10000	SREBF2.hg38.10000	10000	38	1326
STAT6.hg38.10000	RARA.hg38.10000	10000	38	1277
STAT6.hg38.10000	NFKB1.hg38.10000	10000	38	953
STAT6.hg38.10000	RELB.hg38.10000	10000	38	951
STAT6.hg38.10000	EPAS1.hg38.10000	10000	38	814
STAT6.hg38.10000	REL.hg38.10000	10000	37	1287
STAT6.hg38.10000	FOXO1.hg38.10000	10000	37	1044
STAT6.hg38.10000	CREB1.hg38.10000	10000	36	1588
STAT6.hg38.10000	ZNF274.hg38.10000	10000	36	347
STAT6.hg38.10000	PPARD.hg38.10000	10000	34	596
STAT6.hg38.10000	ZNF768.hg38.10000	10000	34	468
STAT6.hg38.10000	RUNX1.hg38.10000	10000	33	1967
STAT6.hg38.10000	PATZ1.hg38.10000	10000	33	960
STAT6.hg38.10000	ASCL1.hg38.10000	10000	33	478
STAT6.hg38.10000	STAT3.hg38.10000	10000	32	1450
STAT6.hg38.10000	ERG.hg38.10000	10000	31	1528
STAT6.hg38.10000	ZNF778.hg38.10000	10000	30	669
STAT6.hg38.10000	RXRA.hg38.10000	10000	29	1641
STAT6.hg38.10000	FLI1.hg38.10000	10000	29	1356
STAT6.hg38.10000	ZNF680.hg38.10000	10000	29	399
STAT6.hg38.10000	TCF12.hg38.10000	10000	28	1480
STAT6.hg38.10000	FOXP1.hg38.10000	10000	28	1432
STAT6.hg38.10000	MYB.hg38.10000	10000	27	1506
STAT6.hg38.10000	CEBPA.hg38.10000	10000	27	1228
STAT6.hg38.10000	FOXK1.hg38.10000	10000	27	793
STAT6.hg38.10000	ETV6.hg38.10000	10000	26	1260
STAT6.hg38.10000	YY2.hg38.10000	10000	26	1043
STAT6.hg38.10000	GABPA.hg38.10000	10000	25	1595
STAT6.hg38.10000	FOXP3.hg38.10000	10000	25	1549
STAT6.hg38.10000	ZNF143.hg38.10000	10000	25	1129
STAT6.hg38.10000	ATF3.hg38.10000	10000	25	1014
STAT6.hg38.10000	SETDB1.hg38.10000	10000	25	955
STAT6.hg38.10000	NR5A2.hg38.10000	10000	25	513
STAT6.hg38.10000	HIC1.hg38.10000	10000	24	1383
STAT6.hg38.10000	LYL1.hg38.10000	10000	24	1162
STAT6.hg38.10000	CLOCK.hg38.10000	10000	24	833
STAT6.hg38.10000	STAT4.hg38.10000	10000	23	1615
STAT6.hg38.10000	BHLHE40.hg38.10000	10000	23	1129
STAT6.hg38.10000	SMAD1.hg38.10000	10000	23	875
STAT6.hg38.10000	ELF3.hg38.10000	10000	23	655
STAT6.hg38.10000	HMBOX1.hg38.10000	10000	23	577
STAT6.hg38.10000	NR3C1.hg38.10000	10000	23	557
STAT6.hg38.10000	POU5F1.hg38.10000	10000	23	469
STAT6.hg38.10000	BCL11B.hg38.10000	10000	22	1526
STAT6.hg38.10000	SIX5.hg38.10000	10000	22	1387
STAT6.hg38.10000	KLF6.hg38.10000	10000	22	1074
STAT6.hg38.10000	ZNF324.hg38.10000	10000	22	884
STAT6.hg38.10000	ZBTB17.hg38.10000	10000	22	860
STAT6.hg38.10000	ARNTL.hg38.10000	10000	22	845
STAT6.hg38.10000	CREM.hg38.10000	10000	21	1552
STAT6.hg38.10000	MYC.hg38.10000	10000	21	1464
STAT6.hg38.10000	NFATC1.hg38.10000	10000	21	1328
STAT6.hg38.10000	ELK4.hg38.10000	10000	20	1382
STAT6.hg38.10000	TCF7L2.hg38.10000	10000	20	876
STAT6.hg38.10000	OVOL2.hg38.10000	10000	20	716
