TF_a	TF_b	num_site_TF_b	exact	window
TBP.hg38.10000	TBP.hg38.10000	10000	10000	10000
TBP.hg38.10000	YY1.hg38.10000	10000	127	5053
TBP.hg38.10000	GABPA.hg38.10000	10000	101	5170
TBP.hg38.10000	MAX.hg38.10000	10000	91	5189
TBP.hg38.10000	STAT1.hg38.10000	10000	91	3995
TBP.hg38.10000	MYC.hg38.10000	10000	87	5574
TBP.hg38.10000	ELF1.hg38.10000	10000	86	5322
TBP.hg38.10000	CREM.hg38.10000	10000	86	4928
TBP.hg38.10000	E2F1.hg38.10000	10000	84	5931
TBP.hg38.10000	CREB1.hg38.10000	10000	82	5832
TBP.hg38.10000	GMEB2.hg38.10000	10000	81	5275
TBP.hg38.10000	KLF10.hg38.10000	10000	81	4923
TBP.hg38.10000	SIX5.hg38.10000	10000	79	4605
TBP.hg38.10000	ERG.hg38.10000	10000	78	4534
TBP.hg38.10000	ETS1.hg38.10000	10000	73	4481
TBP.hg38.10000	TCF12.hg38.10000	10000	72	3177
TBP.hg38.10000	E2F4.hg38.10000	10000	71	4673
TBP.hg38.10000	ZBTB33.hg38.10000	10000	70	3575
TBP.hg38.10000	RBPJ.hg38.10000	10000	69	4750
TBP.hg38.10000	MXI1.hg38.10000	10000	68	4566
TBP.hg38.10000	RELA.hg38.10000	10000	67	3322
TBP.hg38.10000	ELK4.hg38.10000	10000	66	4019
TBP.hg38.10000	IRF2.hg38.10000	10000	63	2953
TBP.hg38.10000	ETV4.hg38.10000	10000	62	2723
TBP.hg38.10000	THAP11.hg38.10000	10000	61	3715
TBP.hg38.10000	MYCN.hg38.10000	10000	59	4540
TBP.hg38.10000	ETV1.hg38.10000	10000	58	3660
TBP.hg38.10000	ZNF143.hg38.10000	10000	57	3550
TBP.hg38.10000	FOXP1.hg38.10000	10000	57	3341
TBP.hg38.10000	FOXM1.hg38.10000	10000	57	2728
TBP.hg38.10000	POU2F2.hg38.10000	10000	56	2513
TBP.hg38.10000	SMAD5.hg38.10000	10000	55	5194
TBP.hg38.10000	YY2.hg38.10000	10000	55	3342
TBP.hg38.10000	FLI1.hg38.10000	10000	55	3061
TBP.hg38.10000	ZNF792.hg38.10000	10000	55	2152
TBP.hg38.10000	NFYC.hg38.10000	10000	54	4656
TBP.hg38.10000	ZBTB11.hg38.10000	10000	54	3315
TBP.hg38.10000	NEUROD1.hg38.10000	10000	54	2472
