TF_a	TF_b	num_site_TF_b	exact	window
TCF12.hg38.10000	TCF12.hg38.10000	10000	10000	10000
TCF12.hg38.10000	TCF3.hg38.10000	10000	242	3804
TCF12.hg38.10000	RUNX1.hg38.10000	10000	186	4249
TCF12.hg38.10000	ETS1.hg38.10000	10000	138	3488
TCF12.hg38.10000	LYL1.hg38.10000	10000	138	2613
TCF12.hg38.10000	STAT1.hg38.10000	10000	134	3405
TCF12.hg38.10000	MYB.hg38.10000	10000	134	3149
TCF12.hg38.10000	FOXM1.hg38.10000	10000	127	2708
TCF12.hg38.10000	RELA.hg38.10000	10000	125	3044
TCF12.hg38.10000	JUN.hg38.10000	10000	121	3281
TCF12.hg38.10000	FLI1.hg38.10000	10000	120	2911
TCF12.hg38.10000	BCL6.hg38.10000	10000	120	2469
TCF12.hg38.10000	ERG.hg38.10000	10000	117	3465
TCF12.hg38.10000	RXRA.hg38.10000	10000	115	3362
TCF12.hg38.10000	KLF16.hg38.10000	10000	114	2255
TCF12.hg38.10000	TCF4.hg38.10000	10000	112	1869
TCF12.hg38.10000	STAT5A.hg38.10000	10000	108	2451
TCF12.hg38.10000	KLF10.hg38.10000	10000	106	2926
TCF12.hg38.10000	ATF3.hg38.10000	10000	105	2424
TCF12.hg38.10000	SIX5.hg38.10000	10000	100	2639
TCF12.hg38.10000	MAX.hg38.10000	10000	96	3265
TCF12.hg38.10000	MYCN.hg38.10000	10000	94	3085
TCF12.hg38.10000	FOXP1.hg38.10000	10000	94	2722
TCF12.hg38.10000	HIF1A.hg38.10000	10000	94	2675
TCF12.hg38.10000	STAT3.hg38.10000	10000	93	2547
TCF12.hg38.10000	SP1.hg38.10000	10000	92	3089
TCF12.hg38.10000	MECOM.hg38.10000	10000	92	2925
TCF12.hg38.10000	CREB1.hg38.10000	10000	90	3055
TCF12.hg38.10000	VDR.hg38.10000	10000	90	2432
TCF12.hg38.10000	RARA.hg38.10000	10000	89	2959
TCF12.hg38.10000	THAP11.hg38.10000	10000	89	2190
TCF12.hg38.10000	ETV5.hg38.10000	10000	88	2904
TCF12.hg38.10000	CREM.hg38.10000	10000	87	3121
TCF12.hg38.10000	GABPA.hg38.10000	10000	87	2950
TCF12.hg38.10000	ETV1.hg38.10000	10000	87	2828
TCF12.hg38.10000	TFAP4.hg38.10000	10000	87	2482
TCF12.hg38.10000	IRF2.hg38.10000	10000	86	2255
TCF12.hg38.10000	SMAD1.hg38.10000	10000	84	2201
TCF12.hg38.10000	RBPJ.hg38.10000	10000	82	3227
TCF12.hg38.10000	GATA2.hg38.10000	10000	82	1403
TCF12.hg38.10000	YY1.hg38.10000	10000	80	2785
TCF12.hg38.10000	MYC.hg38.10000	10000	78	3453
TCF12.hg38.10000	ETV6.hg38.10000	10000	78	1802
TCF12.hg38.10000	JUND.hg38.10000	10000	77	1895
TCF12.hg38.10000	SOX9.hg38.10000	10000	76	2157
TCF12.hg38.10000	TAL1.hg38.10000	10000	76	1642
TCF12.hg38.10000	BCL11B.hg38.10000	10000	75	3118
TCF12.hg38.10000	ATF1.hg38.10000	10000	75	2201
TCF12.hg38.10000	NFYA.hg38.10000	10000	74	3170
TCF12.hg38.10000	TBX21.hg38.10000	10000	74	1851
TCF12.hg38.10000	NFIC.hg38.10000	10000	73	1866
TCF12.hg38.10000	TBP.hg38.10000	10000	72	2911
TCF12.hg38.10000	BHLHE40.hg38.10000	10000	72	2382
TCF12.hg38.10000	FOXO1.hg38.10000	10000	72	1895
TCF12.hg38.10000	ZNF580.hg38.10000	10000	72	1745
TCF12.hg38.10000	MBD2.hg38.10000	10000	72	1739
TCF12.hg38.10000	GMEB2.hg38.10000	10000	70	2872
TCF12.hg38.10000	SMAD4.hg38.10000	10000	69	2002
TCF12.hg38.10000	MYOD1.hg38.10000	10000	69	1770
TCF12.hg38.10000	TRPS1.hg38.10000	10000	68	2332
TCF12.hg38.10000	POU2F2.hg38.10000	10000	68	2125
TCF12.hg38.10000	SMAD3.hg38.10000	10000	68	1741
TCF12.hg38.10000	REST.hg38.10000	10000	68	1514
TCF12.hg38.10000	ZBTB33.hg38.10000	10000	66	2488
TCF12.hg38.10000	ZNF143.hg38.10000	10000	65	2353
TCF12.hg38.10000	PBX3.hg38.10000	10000	65	2009
TCF12.hg38.10000	ZNF792.hg38.10000	10000	65	1853
TCF12.hg38.10000	FOSL1.hg38.10000	10000	65	1405
TCF12.hg38.10000	KLF5.hg38.10000	10000	64	2700
TCF12.hg38.10000	ZNF574.hg38.10000	10000	62	2002
TCF12.hg38.10000	TEAD4.hg38.10000	10000	62	1681
TCF12.hg38.10000	TP53.hg38.10000	10000	62	1560
TCF12.hg38.10000	KLF6.hg38.10000	10000	61	2316
TCF12.hg38.10000	FOXP3.hg38.10000	10000	61	1814
TCF12.hg38.10000	NR1H2.hg38.10000	10000	61	1723
TCF12.hg38.10000	ZSCAN9.hg38.10000	10000	60	1674
TCF12.hg38.10000	FOSL2.hg38.10000	10000	60	1494
TCF12.hg38.10000	ERF.hg38.10000	10000	60	1469
TCF12.hg38.10000	CEBPD.hg38.10000	10000	59	1622
TCF12.hg38.10000	E2F7.hg38.10000	10000	58	1820
TCF12.hg38.10000	SOX4.hg38.10000	10000	57	2195
TCF12.hg38.10000	IKZF5.hg38.10000	10000	57	1813
TCF12.hg38.10000	NFE2.hg38.10000	10000	57	1748
TCF12.hg38.10000	IRF1.hg38.10000	10000	57	1724
TCF12.hg38.10000	FOS.hg38.10000	10000	57	1674
TCF12.hg38.10000	SRF.hg38.10000	10000	57	1550
TCF12.hg38.10000	ELF1.hg38.10000	10000	56	3056
TCF12.hg38.10000	PAX5.hg38.10000	10000	56	1881
TCF12.hg38.10000	ETV4.hg38.10000	10000	54	2213
TCF12.hg38.10000	TFE3.hg38.10000	10000	54	1550
TCF12.hg38.10000	E2F1.hg38.10000	10000	53	3007
TCF12.hg38.10000	MAZ.hg38.10000	10000	53	2521
TCF12.hg38.10000	STAT5B.hg38.10000	10000	53	2113
TCF12.hg38.10000	IRF4.hg38.10000	10000	53	1335
TCF12.hg38.10000	AHR.hg38.10000	10000	53	1238
TCF12.hg38.10000	MXI1.hg38.10000	10000	52	2528
TCF12.hg38.10000	ZEB2.hg38.10000	10000	52	1736
TCF12.hg38.10000	BCL11A.hg38.10000	10000	52	1727
TCF12.hg38.10000	ZNF701.hg38.10000	10000	52	1585
TCF12.hg38.10000	MNT.hg38.10000	10000	51	2318
TCF12.hg38.10000	USF1.hg38.10000	10000	51	1709
TCF12.hg38.10000	NR4A1.hg38.10000	10000	51	1384
TCF12.hg38.10000	ELK4.hg38.10000	10000	50	2539
TCF12.hg38.10000	ZNF324.hg38.10000	10000	50	1771
TCF12.hg38.10000	JUNB.hg38.10000	10000	50	1384
TCF12.hg38.10000	PROX1.hg38.10000	10000	50	1363
TCF12.hg38.10000	ZFP1.hg38.10000	10000	50	1317
TCF12.hg38.10000	MYNN.hg38.10000	10000	49	1441
TCF12.hg38.10000	GATA1.hg38.10000	10000	49	1104
TCF12.hg38.10000	ZEB1.hg38.10000	10000	48	1742
TCF12.hg38.10000	E2F4.hg38.10000	10000	47	2557
TCF12.hg38.10000	FOXO3.hg38.10000	10000	47	1503
TCF12.hg38.10000	MLX.hg38.10000	10000	47	1478
TCF12.hg38.10000	NR2F2.hg38.10000	10000	47	1343
TCF12.hg38.10000	IKZF1.hg38.10000	10000	46	2208
TCF12.hg38.10000	ZBTB16.hg38.10000	10000	46	1712
TCF12.hg38.10000	ZKSCAN1.hg38.10000	10000	46	1339
TCF12.hg38.10000	SOX6.hg38.10000	10000	46	1185
TCF12.hg38.10000	ASCL1.hg38.10000	10000	46	1147
TCF12.hg38.10000	SP2.hg38.10000	10000	45	2268
TCF12.hg38.10000	E2F8.hg38.10000	10000	45	2012
TCF12.hg38.10000	ZBTB11.hg38.10000	10000	45	1971
TCF12.hg38.10000	ZBTB17.hg38.10000	10000	45	1712
TCF12.hg38.10000	MIXL1.hg38.10000	10000	45	1124
TCF12.hg38.10000	KLF11.hg38.10000	10000	44	2245
TCF12.hg38.10000	NR1H3.hg38.10000	10000	44	1080
TCF12.hg38.10000	KLF1.hg38.10000	10000	43	1770
TCF12.hg38.10000	MITF.hg38.10000	10000	43	1490
