TF_a	TF_b	num_site_TF_b	exact	window
TEAD4.hg38.10000	TEAD4.hg38.10000	10000	10000	10000
TEAD4.hg38.10000	TEAD1.hg38.10000	10000	619	5944
TEAD4.hg38.10000	TEAD3.hg38.10000	10000	190	1871
TEAD4.hg38.10000	JUND.hg38.10000	10000	141	2846
TEAD4.hg38.10000	SMAD3.hg38.10000	10000	139	3124
TEAD4.hg38.10000	JUNB.hg38.10000	10000	133	2809
TEAD4.hg38.10000	JUN.hg38.10000	10000	126	2941
TEAD4.hg38.10000	FOSL2.hg38.10000	10000	123	2894
TEAD4.hg38.10000	FOSL1.hg38.10000	10000	110	2372
TEAD4.hg38.10000	ATF3.hg38.10000	10000	98	2247
TEAD4.hg38.10000	SMAD1.hg38.10000	10000	75	1480
TEAD4.hg38.10000	FOXM1.hg38.10000	10000	72	2013
TEAD4.hg38.10000	FOS.hg38.10000	10000	65	1908
TEAD4.hg38.10000	NR1H2.hg38.10000	10000	64	1931
TEAD4.hg38.10000	NR3C1.hg38.10000	10000	63	2132
TEAD4.hg38.10000	NFIC.hg38.10000	10000	62	1806
TEAD4.hg38.10000	TCF12.hg38.10000	10000	62	1685
TEAD4.hg38.10000	TRPS1.hg38.10000	10000	57	2176
TEAD4.hg38.10000	NR1H3.hg38.10000	10000	56	1584
TEAD4.hg38.10000	E2F7.hg38.10000	10000	55	2214
TEAD4.hg38.10000	EPAS1.hg38.10000	10000	52	2164
TEAD4.hg38.10000	STAT3.hg38.10000	10000	52	2076
TEAD4.hg38.10000	RELA.hg38.10000	10000	48	1543
TEAD4.hg38.10000	HES2.hg38.10000	10000	47	1782
TEAD4.hg38.10000	ETV5.hg38.10000	10000	45	1591
TEAD4.hg38.10000	KLF5.hg38.10000	10000	43	1431
TEAD4.hg38.10000	RXRA.hg38.10000	10000	42	1437
TEAD4.hg38.10000	STAT1.hg38.10000	10000	42	1340
TEAD4.hg38.10000	PBX3.hg38.10000	10000	40	1504
TEAD4.hg38.10000	ZNF701.hg38.10000	10000	39	1266
TEAD4.hg38.10000	AHR.hg38.10000	10000	38	1253
TEAD4.hg38.10000	PROX1.hg38.10000	10000	37	1397
TEAD4.hg38.10000	HIF1A.hg38.10000	10000	36	1659
TEAD4.hg38.10000	SMAD4.hg38.10000	10000	36	1200
TEAD4.hg38.10000	NR2F2.hg38.10000	10000	34	1451
TEAD4.hg38.10000	MYBL2.hg38.10000	10000	33	1127
TEAD4.hg38.10000	HMG20A.hg38.10000	10000	33	834
TEAD4.hg38.10000	ZNF217.hg38.10000	10000	32	1188
TEAD4.hg38.10000	ZNF580.hg38.10000	10000	32	886
TEAD4.hg38.10000	CEBPB.hg38.10000	10000	32	862
TEAD4.hg38.10000	MIXL1.hg38.10000	10000	32	722
TEAD4.hg38.10000	ZBTB33.hg38.10000	10000	29	886
TEAD4.hg38.10000	RXRB.hg38.10000	10000	29	713
TEAD4.hg38.10000	CTCF.hg38.10000	10000	29	441
TEAD4.hg38.10000	TFE3.hg38.10000	10000	28	943
TEAD4.hg38.10000	KLF10.hg38.10000	10000	28	937
TEAD4.hg38.10000	SOX13.hg38.10000	10000	28	881
TEAD4.hg38.10000	FOXP1.hg38.10000	10000	28	869
TEAD4.hg38.10000	KLF16.hg38.10000	10000	28	684
TEAD4.hg38.10000	TCF7L1.hg38.10000	10000	27	1226
TEAD4.hg38.10000	CREB1.hg38.10000	10000	27	1046
TEAD4.hg38.10000	ZBTB17.hg38.10000	10000	27	1015
TEAD4.hg38.10000	HOMEZ.hg38.10000	10000	27	717
TEAD4.hg38.10000	ETV4.hg38.10000	10000	26	1247
TEAD4.hg38.10000	RBPJ.hg38.10000	10000	26	1224
TEAD4.hg38.10000	TP53.hg38.10000	10000	26	1068
