TF_a	TF_b	num_site_TF_b	exact	window
THRB.hg38.10000	THRB.hg38.10000	10000	10000	10000
THRB.hg38.10000	RXRB.hg38.10000	10000	201	3153
THRB.hg38.10000	NR2F6.hg38.10000	10000	114	2586
THRB.hg38.10000	RXRA.hg38.10000	10000	114	2103
THRB.hg38.10000	IKZF5.hg38.10000	10000	112	2468
THRB.hg38.10000	TFE3.hg38.10000	10000	104	2385
THRB.hg38.10000	HMG20A.hg38.10000	10000	99	2028
THRB.hg38.10000	MLX.hg38.10000	10000	97	3066
THRB.hg38.10000	SOX13.hg38.10000	10000	92	2547
THRB.hg38.10000	SMAD4.hg38.10000	10000	91	2576
THRB.hg38.10000	ZSCAN9.hg38.10000	10000	89	2455
THRB.hg38.10000	MIXL1.hg38.10000	10000	88	2001
THRB.hg38.10000	SOX5.hg38.10000	10000	87	2005
THRB.hg38.10000	ZNF792.hg38.10000	10000	82	2360
THRB.hg38.10000	FOXA3.hg38.10000	10000	82	1730
THRB.hg38.10000	NR2F2.hg38.10000	10000	75	1809
THRB.hg38.10000	ZNF580.hg38.10000	10000	73	1739
THRB.hg38.10000	HNF4A.hg38.10000	10000	71	2141
THRB.hg38.10000	HOMEZ.hg38.10000	10000	71	1799
THRB.hg38.10000	MYBL2.hg38.10000	10000	67	2134
THRB.hg38.10000	IRF2.hg38.10000	10000	67	1480
THRB.hg38.10000	ZFP1.hg38.10000	10000	65	2230
THRB.hg38.10000	NR2F1.hg38.10000	10000	65	1680
THRB.hg38.10000	TCF7.hg38.10000	10000	59	1939
THRB.hg38.10000	NFIL3.hg38.10000	10000	55	1745
THRB.hg38.10000	ZNF652.hg38.10000	10000	55	1364
THRB.hg38.10000	TEAD3.hg38.10000	10000	54	1473
THRB.hg38.10000	THAP11.hg38.10000	10000	53	1217
THRB.hg38.10000	MYRF.hg38.10000	10000	48	1637
THRB.hg38.10000	KLF16.hg38.10000	10000	48	1048
THRB.hg38.10000	RARA.hg38.10000	10000	46	1371
THRB.hg38.10000	KLF6.hg38.10000	10000	41	1187
THRB.hg38.10000	FOXO3.hg38.10000	10000	40	1649
THRB.hg38.10000	KLF10.hg38.10000	10000	40	1536
THRB.hg38.10000	ZNF3.hg38.10000	10000	38	1493
THRB.hg38.10000	ETV4.hg38.10000	10000	37	1457
THRB.hg38.10000	NFYC.hg38.10000	10000	36	941
THRB.hg38.10000	ARID3A.hg38.10000	10000	35	1754
THRB.hg38.10000	ATF1.hg38.10000	10000	35	1219
THRB.hg38.10000	NR1H3.hg38.10000	10000	35	1046
THRB.hg38.10000	NR1H2.hg38.10000	10000	35	1030
THRB.hg38.10000	FOXP1.hg38.10000	10000	33	1075
THRB.hg38.10000	REST.hg38.10000	10000	31	519
THRB.hg38.10000	GMEB2.hg38.10000	10000	30	1144
THRB.hg38.10000	FOXA2.hg38.10000	10000	29	1010
THRB.hg38.10000	VDR.hg38.10000	10000	28	871
THRB.hg38.10000	ESRRA.hg38.10000	10000	28	866
THRB.hg38.10000	HNF4G.hg38.10000	10000	28	842
THRB.hg38.10000	HLF.hg38.10000	10000	26	862
THRB.hg38.10000	CREM.hg38.10000	10000	26	862
THRB.hg38.10000	ETV5.hg38.10000	10000	24	1069
THRB.hg38.10000	RARG.hg38.10000	10000	23	1010
THRB.hg38.10000	NFIA.hg38.10000	10000	23	951
THRB.hg38.10000	TFAP4.hg38.10000	10000	23	852
THRB.hg38.10000	JUN.hg38.10000	10000	21	829
THRB.hg38.10000	NR5A2.hg38.10000	10000	21	719
THRB.hg38.10000	ERF.hg38.10000	10000	20	723
THRB.hg38.10000	NR2C2.hg38.10000	10000	19	980
THRB.hg38.10000	KLF9.hg38.10000	10000	19	776
THRB.hg38.10000	ESR1.hg38.10000	10000	19	689
THRB.hg38.10000	MAX.hg38.10000	10000	18	755
THRB.hg38.10000	MNT.hg38.10000	10000	17	799
THRB.hg38.10000	VEZF1.hg38.10000	10000	17	668
THRB.hg38.10000	STAT3.hg38.10000	10000	17	661
THRB.hg38.10000	E2F8.hg38.10000	10000	17	595
THRB.hg38.10000	SP5.hg38.10000	10000	16	977
THRB.hg38.10000	FOXM1.hg38.10000	10000	16	801
THRB.hg38.10000	ZNF701.hg38.10000	10000	16	786
